Date,EM ASIA IMI WITH PARTIAL A SHARES
2008-11-28,1094.166254840468
2008-12-31,1115.7439200386243
2009-01-30,1134.6093795622446
2009-02-27,1077.387678595129
2009-03-31,1195.9522948789902
2009-04-30,1405.5699047182084
2009-05-29,1533.3201884585296
2009-06-30,1539.0193653912415
2009-07-31,1716.0602071623614
2009-08-31,1646.6319366410366
2009-09-30,1763.4347240151487
2009-10-30,1734.1152233090893
2009-11-30,1761.9443815281925
2009-12-31,1933.8234569904694
2010-01-29,1878.6339281205142
2010-02-26,1915.3762503739615
2010-03-31,2085.058672616871
2010-04-30,2170.5115063112685
2010-05-31,2142.602277958535
2010-06-30,2175.4966879562226
2010-07-30,2162.928414840818
2010-08-31,2190.5694664047496
2010-09-30,2271.2585138537847
2010-10-29,2294.8674617191145
2010-11-30,2400.3271037637683
2010-12-31,2469.663294445856
2011-01-31,2379.184785790128
2011-02-28,2267.839348714051
2011-03-31,2355.4028973518816
2011-04-29,2338.789662623856
2011-05-31,2372.3398128332146
2011-06-30,2302.4410325996537
2011-07-29,2348.421168625649
2011-08-31,2095.160879962918
2011-09-30,1953.9103288735598
2011-10-31,2098.2860176875556
2011-11-30,1988.9767973719645
2011-12-30,2070.2183404928555
2012-01-31,2268.313633509783
2012-02-29,2357.38331126392
2012-03-30,2289.2955303559406
2012-04-30,2294.042436977545
2012-05-31,2230.8175674172703
2012-06-29,2224.965707564341
2012-07-31,2328.4301788257894
2012-08-31,2266.436982135625
2012-09-28,2380.2394981865755
2012-10-31,2349.4875202334933
2012-11-30,2403.73845831381
2012-12-31,2458.2984901721743
2013-01-31,2420.6085613183923
2013-02-28,2517.8139040294554
2013-03-29,2512.9733581619703
2013-04-30,2487.560641823253
2013-05-31,2521.066284097527
2013-06-28,2350.7159128516378
2013-07-31,2329.9429235658813
2013-08-30,2314.768847119555
2013-09-30,2374.9049787698104
2013-10-31,2473.0444277202355
2013-11-29,2470.43422246339
2013-12-31,2413.9207205604725
2014-01-31,2360.980646544808
2014-02-28,2382.2531019895923
2014-03-31,2419.7872228463484
2014-04-30,2408.3617143989895
2014-05-30,2544.4618483357485
2014-06-30,2604.871247756695
2014-07-31,2750.157730835019
2014-08-29,2828.0425925346535
2014-09-30,2793.939080130654
2014-10-31,2842.2738638103747
2014-11-28,2857.25620446271
2014-12-31,2897.678188250746
2015-01-30,3180.102066754191
2015-02-27,3276.4806806676947
2015-03-31,3452.128387110338
2015-04-30,3561.309896483618
2015-05-29,3572.7517578044576
2015-06-30,3364.4199197046023
2015-07-31,3134.549638410206
2015-08-31,2799.4289685843883
2015-09-30,2775.58083385964
2015-10-30,3018.9425021751204
2015-11-30,3065.651106381847
2015-12-31,2964.1877107560626
2016-01-29,2733.9892488868404
2016-02-29,2686.5540527231287
2016-03-31,2847.040313338657
2016-04-29,2804.9063996667182
2016-05-31,2846.4910730238958
2016-06-30,2927.706350249972
2016-07-29,3041.51332880404
2016-08-31,3168.616312662905
2016-09-30,3179.3986393553196
2016-10-31,3208.046419871281
2018-03-30,3873.2136191802138
2018-04-30,3944.97911346368
2018-05-01,3977.832381828312
2018-05-31,4038.407064951922
