Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11-28,1077.7521435025797
2008-12-31,1060.153094594877
2009-01-30,1076.2968845288162
2009-02-27,1025.240389821413
2009-03-31,1121.5176676183835
2009-04-30,1309.9671119025004
2009-05-29,1435.0843987474223
2009-06-30,1430.1406227551984
2009-07-31,1574.5088036262373
2009-08-31,1547.4518843331377
2009-09-30,1657.067265746625
2009-10-30,1644.4016951743915
2009-11-30,1685.7616353013855
2009-12-31,1833.5193459312761
2010-01-29,1786.7169334118485
2010-02-26,1826.8663080953513
2010-03-31,1991.0592418654091
2010-04-30,2050.266993338016
2010-05-31,2025.7427842929765
2010-06-30,2014.2828924166863
2010-07-30,2052.1035175778643
2010-08-31,2062.7020400230645
2010-09-30,2132.9661376211625
2010-10-29,2157.047387307686
2010-11-30,2242.6763953476816
2010-12-31,2330.50686616782
2011-01-31,2218.713975953318
2011-02-28,2182.01558417589
2011-03-31,2247.8327169721506
2011-04-29,2216.8238840753907
2011-05-31,2228.1875597462395
2011-06-30,2175.798417045849
2011-07-29,2185.5456848925023
2011-08-31,1986.8517766370476
2011-09-30,1821.8799955496008
2011-10-31,1983.8093184885595
2011-11-30,1918.7332894139306
2011-12-30,1965.6334557354098
2012-01-31,2169.390356814903
2012-02-29,2249.9398929213653
2012-03-30,2184.3873407357123
2012-04-30,2172.2554186962357
2012-05-31,2065.4779339803295
2012-06-29,2089.266169588238
2012-07-31,2194.181889161467
2012-08-31,2136.020670911032
2012-09-28,2219.0492270001523
2012-10-31,2189.9148197918075
2012-11-30,2208.980639798335
2012-12-31,2287.7372991966545
2013-01-31,2253.669732326664
2013-02-28,2310.574076144753
2013-03-29,2311.078127352142
2013-04-30,2267.905013899662
2013-05-31,2250.1124468379044
2013-06-28,2099.0054723109265
2013-07-31,2076.373704970871
2013-08-30,2056.6338941879367
2013-09-30,2132.9796395517183
2013-10-31,2226.1875107319756
2013-11-29,2191.955288265592
2013-12-31,2134.7288515089963
2014-01-31,2040.5007370986475
2014-02-28,2057.120324983352
2014-03-31,2122.9918119994227
2014-04-30,2116.6021506296424
2014-05-30,2225.439582041118
2014-06-30,2277.1983966842363
2014-07-31,2377.249600392132
2014-08-29,2468.9981927943927
2014-09-30,2385.812717631251
2014-10-31,2434.3673077950248
2014-11-28,2423.054323770851
2014-12-31,2387.319364790994
2015-01-30,2574.166166114291
2015-02-27,2669.5935764315464
2015-03-31,2756.096115073787
2015-04-30,2855.1905861223004
2015-05-29,2806.143514261632
2015-06-30,2684.51360265113
2015-07-31,2515.0370666138047
2015-08-31,2252.541030014667
2015-09-30,2193.491231507414
2015-10-30,2376.6315551595158
2015-11-30,2390.1361092744773
2015-12-31,2272.7198380309587
2016-01-29,2121.1355507433495
2016-02-29,2108.7235934490304
2016-03-31,2275.7857901398042
2016-04-29,2275.934570085995
2016-05-31,2258.2950898743125
2016-06-30,2351.573908186189
2016-07-29,2452.6651789958933
2016-08-31,2526.4322787291553
2016-09-30,2535.1449276884277
2016-10-31,2604.617656699132
2018-03-30,3091.107640249851
2018-04-30,3132.1913571305345
2018-05-01,3151.316141554408
2018-05-31,3131.432194874107
