Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-02-22;74.9376;75.3984;72.2688;72.2688;12892.8393
2022-02-23;74.7072;74.7072;74.7072;74.7072;1862.2326
2022-02-24;56.9088;64.896;56.9088;61.8624;13738.2344
2022-02-25;63.9552;67.0656;63.9552;67.0656;25156.1352
2022-03-01;63.36;63.36;63.36;63.36;990.0
2022-03-02;62.3424;62.3424;62.3424;62.3424;9085.4307
2022-03-03;60.1728;60.1728;60.1728;60.1728;3134.0
2022-03-08;53.6064;53.6064;48.6336;48.6336;50630.048
2022-03-09;51.7056;51.7056;51.7056;51.7056;9156.2
2022-03-11;40.896;41.2416;40.896;41.2416;32.679
2022-03-17;39.6096;39.6096;35.5584;35.5584;2404.3164
2022-03-18;39.1104;39.1104;37.9968;38.304;7592.4071
2022-03-21;40.512;43.1616;40.512;43.1616;24178.0276
2022-03-22;52.608;58.2528;51.936;56.8896;17391.605
2022-03-23;59.232;59.232;57.1392;59.232;2997.438
2022-03-24;57.4848;58.6368;48.9408;48.9408;28888.9391
2022-03-25;49.8624;49.8624;49.5744;49.6128;8364.3791
2022-03-28;54.144;54.6816;53.4144;53.4144;11621.8976
2022-03-29;55.8336;60.2688;55.7952;55.7952;38764.8325
2022-03-30;56.8512;58.752;54.6624;58.752;26106.988
2022-03-31;54.5472;54.7584;53.6448;53.6448;22080.1499
2022-04-01;52.5312;54.816;52.5312;54.7008;1547.4948
2022-04-04;54.8928;55.6992;54.8544;55.6992;11631.2
2022-04-05;57.8304;57.8304;48.1344;48.1344;7076.8272
2022-04-06;45.1008;45.1008;42.24;42.24;9849.615
2022-04-07;42.24;42.5472;38.208;38.208;7909.907
2022-04-08;39.8784;40.8;39.8784;40.8;902.8948
2022-04-11;34.0416;36.3264;34.0416;36.3264;2471.5182
2022-04-12;36.3264;37.2672;35.52;35.616;3901.9455
2022-04-13;34.56;34.56;34.56;34.56;360.0
2022-04-14;32.2176;32.2176;31.4688;31.4688;1975.439
2022-04-19;27.8976;27.8976;26.688;26.688;18086.626
2022-04-20;27.264;27.456;26.016;26.016;5394.959
2022-04-21;24.5376;24.5376;22.7328;23.04;12215.3438
2022-04-22;22.8864;22.8864;22.4448;22.4448;4302.709
2022-04-25;20.16;20.3328;18.816;20.1792;14284.0
2022-04-26;20.2752;20.2752;20.1216;20.1216;1370.4
2022-04-27;21.9264;23.808;21.5232;22.944;18730.8503
2022-04-28;25.2672;25.2672;23.616;24.288;17343.9687
2022-04-29;35.1168;36.384;33.2736;33.2736;58605.2847
2022-05-02;33.2736;33.2736;30.4704;30.5472;5313.5063
2022-05-03;34.1952;35.0784;34.1952;34.4832;5934.852
2022-05-04;31.2;31.2;31.2;31.2;2437.5
2022-05-05;32.64;32.64;31.584;31.584;5538.166
2022-05-06;26.8416;27.072;24.4608;25.9392;4029.0
2022-05-09;21.5424;21.5424;20.544;20.544;5465.05
