Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-12-06;38955.0;39085.0;34820.0;36125.0;990165.826
2021-12-07;41845.0;42690.0;41660.0;41660.0;138121.8081
2021-12-09;46890.0;47100.0;46890.0;47100.0;34904.355
2021-12-10;43245.0;43245.0;41510.0;41510.0;47283.0422
2021-12-13;43505.0;43825.0;41700.0;41850.0;324030.9565
2021-12-14;34600.0;34600.0;33175.0;33175.0;79747.9252
2021-12-15;27780.0;27780.0;27550.0;27710.0;75406.183
2021-12-17;28520.0;28520.0;28520.0;28520.0;171.12
2021-12-20;27460.0;27940.0;26120.0;27800.0;307006.4696
2021-12-21;24980.0;26350.0;24755.0;26350.0;193721.92
2021-12-22;28325.0;28325.0;26270.0;27100.0;251048.2668
2021-12-23;27245.0;27245.0;26100.0;26100.0;89505.8833
2021-12-27;30380.0;30380.0;30380.0;30380.0;60.76
2021-12-28;26755.0;26755.0;26755.0;26755.0;1070.2
2021-12-30;22810.0;22810.0;22000.0;22000.0;76895.88
2022-01-03;35500.0;35500.0;34560.0;34560.0;2561.225
2022-01-04;36755.0;36755.0;35560.0;35560.0;11158.8524
2022-01-05;29050.0;29050.0;28200.0;28200.0;128233.914
2022-01-06;25150.0;25365.0;22165.0;24305.0;209172.7868
2022-01-07;24100.0;24115.0;22500.0;22635.0;219197.5904
2022-01-10;23550.0;23915.0;23550.0;23915.0;3305.4712
2022-01-11;23065.0;25000.0;23065.0;25000.0;11824.9134
2022-01-12;26110.0;27615.0;26110.0;26325.0;522744.4616
2022-01-13;28895.0;29075.0;27595.0;27595.0;74919.74
2022-01-14;25385.0;27230.0;23765.0;26150.0;153971.626
2022-01-17;27715.0;27715.0;27715.0;27715.0;55.43
2022-01-18;25420.0;25665.0;25000.0;25500.0;54260.2
2022-01-19;23000.0;23000.0;23000.0;23000.0;200.1
2022-01-20;23280.0;23280.0;22805.0;22805.0;15220.0306
2022-01-21;22810.0;22875.0;19500.0;19500.0;57145.9899
2022-01-24;18085.0;18085.0;12410.0;13060.0;309509.4368
2022-01-25;12055.0;12055.0;11340.0;11340.0;1468.3264
2022-01-26;12465.0;13465.0;11155.0;11185.0;48015.8469
2022-01-27;10750.0;10750.0;8600.0;9040.0;241620.9106
2022-01-28;9185.0;9185.0;6250.0;7845.0;174660.4531
2022-01-31;8660.0;11010.0;8660.0;11010.0;146293.1098
2022-02-01;12350.0;12450.0;11715.0;11735.0;388227.8093
2022-02-02;12650.0;12895.0;9890.0;9890.0;25134.407
2022-02-03;9100.0;10620.0;9100.0;10620.0;18489.384
2022-02-04;10000.0;10005.0;9730.0;9730.0;166445.3806
2022-02-07;10800.0;10800.0;10430.0;10430.0;456.08
2022-02-08;10930.0;10930.0;10930.0;10930.0;1093.0
2022-02-09;12145.0;13550.0;12145.0;13550.0;3437.238
2022-02-10;13360.0;13360.0;13360.0;13360.0;1218.9664
2022-02-11;12620.0;12620.0;11945.0;12400.0;11848.6037
2022-02-14;10390.0;10390.0;9820.0;9820.0;5247.656
2022-02-15;10920.0;11950.0;10920.0;11950.0;334575.4276
2022-02-16;12880.0;12900.0;12875.0;12880.0;220128.6952
2022-02-18;10500.0;10500.0;8965.0;8965.0;867.9402
2022-02-21;9225.0;9255.0;8690.0;8690.0;385029.4381
2022-02-22;7925.0;8475.0;7500.0;7500.0;530842.1685
2022-02-23;7985.0;8305.0;7975.0;8030.0;228067.7772
2022-02-24;5615.0;5855.0;4885.0;5855.0;315368.9595
2022-02-25;6610.0;7410.0;5905.0;5905.0;33133.6112
2022-02-28;5810.0;7850.0;5810.0;7850.0;776413.3931
2022-03-01;7715.0;8055.0;7715.0;7950.0;206440.6106
2022-03-02;7440.0;7440.0;6475.0;6475.0;116356.5272
2022-03-04;5440.0;5445.0;5000.0;5445.0;84221.5525
2022-03-07;3910.0;4050.0;3750.0;3955.0;62669.925
2022-03-08;4000.0;4295.0;3895.0;3900.0;49385.2016
2022-03-09;4350.0;5040.0;4350.0;5040.0;3370.0672
