Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-01-31;956.1;956.1;927.3;927.3;2712.096
2022-02-02;600.0;600.0;311.82;315.72;9531.2854
2022-02-03;307.5;345.0;269.76;277.5;8902.9356
2022-02-04;270.0;270.0;250.86;260.13;1615.2554
2022-02-07;271.2;272.1;257.31;257.31;591.81
2022-02-08;240.0;240.0;238.11;238.11;993.7
2022-02-09;243.96;243.96;236.4;236.4;2732.51
2022-02-10;244.56;248.16;244.56;248.16;446.684
2022-02-11;220.47;226.71;220.47;226.71;157.3727
2022-02-14;193.62;203.07;193.62;202.5;2412.6544
2022-02-15;214.74;214.74;214.74;214.74;1073.7
2022-02-16;190.44;190.44;190.44;190.44;2031.36
2022-02-17;175.38;175.38;168.57;168.57;341.68
2022-02-18;166.65;166.65;147.69;147.69;5517.345
2022-02-21;147.48;147.48;147.48;147.48;297.9096
2022-02-22;144.0;146.49;144.0;146.49;1121.43
2022-02-23;154.05;154.05;151.8;152.37;5104.45
2022-02-24;117.45;130.86;117.3;130.86;873.96
2022-02-25;159.48;162.0;159.06;162.0;6327.46
2022-03-01;171.54;171.54;171.54;171.54;1429.5
2022-03-04;132.75;132.96;131.67;132.96;4211.086
2022-03-07;122.22;132.12;122.22;132.12;1422.99
2022-03-08;111.27;111.87;111.27;111.87;1027.933
2022-03-09;120.75;120.75;116.88;119.67;5153.947
2022-03-11;114.69;114.69;114.69;114.69;95.575
2022-03-14;121.2;121.2;120.78;120.78;201.72
2022-03-15;123.0;123.0;123.0;123.0;4999.95
2022-03-16;147.72;149.97;147.72;149.97;9070.216
2022-03-17;152.76;164.19;151.71;160.47;9735.4173
2022-03-18;168.06;185.4;168.06;185.19;15606.035
2022-03-21;175.92;192.51;175.92;192.51;1081.5
2022-03-22;204.0;204.0;201.42;201.42;5671.44
2022-03-23;190.08;190.08;190.08;190.08;633.6
2022-03-24;189.66;189.66;181.95;181.95;2198.82
2022-03-30;208.41;218.25;208.41;218.25;10609.44
2022-03-31;207.21;207.21;199.53;199.53;1632.08
2022-04-04;207.96;207.96;207.96;207.96;693.2
2022-04-05;216.0;216.0;216.0;216.0;108.0
2022-04-07;163.17;164.97;163.17;164.97;3495.36
2022-04-08;172.38;172.38;172.38;172.38;14.365
2022-04-12;168.51;168.51;168.51;168.51;3089.35
2022-04-13;132.0;140.67;132.0;140.67;3049.266
2022-04-20;107.25;108.0;107.01;107.01;1258.59
2022-04-21;102.0;104.49;102.0;104.49;663.252
2022-04-22;82.5;82.5;78.75;78.75;948.75
2022-04-25;72.09;72.09;71.94;71.94;156.045
2022-04-26;77.88;77.88;68.91;68.91;3146.7
2022-04-27;69.54;71.28;66.48;66.48;6428.45
2022-04-29;85.38;92.97;83.85;92.97;25856.6711
2022-05-02;76.05;76.05;76.05;76.05;1360.788
2022-05-04;84.18;84.18;83.37;83.37;211.3255
2022-05-05;73.98;73.98;73.98;73.98;9.864
2022-05-06;66.36;67.47;61.5;61.5;305.383
2022-05-09;55.32;55.32;53.7;53.7;4029.343
2022-05-10;49.5;49.5;49.5;49.5;80.025
2022-05-12;45.36;45.36;44.13;44.13;137.764
2022-05-13;50.19;50.19;50.19;50.19;37.1406
2022-05-17;53.91;53.91;53.91;53.91;998.4132
2022-05-19;55.35;55.35;55.35;55.35;1001.6505
2022-05-20;61.5;61.5;58.5;58.5;14271.505
2022-05-24;47.67;47.67;47.67;47.67;198.625
2022-05-26;52.47;52.47;52.47;52.47;2623.5
2022-05-27;61.02;61.02;61.02;61.02;2034.0
2022-05-30;65.04;65.55;65.04;65.55;6152.5825
2022-05-31;63.0;63.0;63.0;63.0;200.13
2022-06-02;57.0;57.0;57.0;57.0;200.07
2022-06-03;67.23;67.23;66.0;66.0;1561.82
2022-06-07;65.1;65.1;64.35;64.35;754.5
2022-06-09;66.87;66.87;63.3;63.3;21492.0
2022-06-10;59.43;59.43;49.56;49.56;16364.84
2022-06-13;43.53;43.53;43.53;43.53;8706.0
2022-06-14;40.77;40.77;38.31;38.31;12574.5
2022-06-15;37.14;37.14;37.14;37.14;272.36
2022-06-17;35.76;35.76;35.7;35.7;3173.5872
2022-06-20;36.72;37.59;36.72;37.59;3934.1544
2022-06-21;39.0;39.0;38.61;38.61;4077.58
2022-06-22;33.87;37.65;33.87;37.65;2760.5
2022-06-24;42.84;42.84;42.84;42.84;39984.0
2022-06-27;45.33;45.33;45.0;45.0;31536.3
2022-06-29;34.2;35.01;33.0;33.54;25890.16
2022-06-30;29.82;29.82;29.37;29.37;1039.6
2022-07-01;33.0;33.0;33.0;33.0;420.2
2022-07-07;38.73;38.73;37.02;37.02;2649.5596
2022-07-11;35.4;35.4;35.4;35.4;2360.0
2022-07-12;33.0;33.0;33.0;33.0;203.5
2022-07-14;34.47;34.47;32.1;32.1;5074.51
2022-07-18;39.57;39.81;39.39;39.72;9509.4367
2022-07-21;46.17;49.5;46.17;49.5;101.7375
2022-07-22;51.51;52.44;51.51;52.44;3521.4
2022-07-27;49.68;52.32;49.68;52.32;9251.102
2022-07-28;53.7;53.7;53.7;53.7;53700.0
2022-07-29;56.46;57.6;56.46;56.55;35911.3622
2022-08-01;59.31;59.31;59.31;59.31;2097.597
