Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-12-13;103.1;103.1;103.1;103.1;206.2
2017-12-15;99.76;99.76;99.76;99.76;2992.8
2017-12-19;103.72;104.54;103.72;104.54;13251.98
2017-12-20;104.18;104.18;104.18;104.18;520.9
2018-01-03;109.42;109.42;109.42;109.42;1641.3
2018-01-04;109.36;109.36;108.52;108.52;13110.8
2018-01-10;111.22;111.22;111.22;111.22;1112.2
2018-01-11;108.68;108.68;108.68;108.68;4890.6
2018-01-12;110.98;110.98;109.66;109.66;12909.38
2018-01-18;109.48;109.92;109.48;109.78;19214.7
2018-01-22;111.08;111.08;111.08;111.08;1110.8
2018-01-23;108.88;108.88;108.88;108.88;1197.68
2018-01-25;111.83;111.83;111.83;111.83;1118.3
2018-01-26;107.76;107.76;107.56;107.56;1722.16
2018-01-30;111.34;113.0;111.34;113.0;5244.6
2018-01-31;112.2;112.2;112.2;112.2;5610.0
2018-02-02;115.5;115.83;115.5;115.83;15953.85
2018-02-05;115.5;115.65;115.5;115.65;693.75
2018-02-07;114.98;114.98;114.98;114.98;11383.02
2018-02-08;114.94;114.94;114.94;114.94;1149.4
2018-02-13;115.43;116.05;115.43;116.05;2891.1
2018-02-16;116.92;116.92;116.92;116.92;5027.56
2018-02-20;116.56;116.56;116.56;116.56;11656.0
2018-02-21;115.8;115.8;115.8;115.8;3474.0
2018-02-23;113.31;113.31;111.51;111.9;6494.88
2018-03-01;110.15;110.15;108.85;109.54;13134.3
2018-03-07;109.93;109.93;109.93;109.93;1319.16
2018-03-14;107.54;107.54;107.54;107.54;3226.2
2018-03-15;104.78;104.78;104.78;104.78;1571.7
2018-03-16;104.72;104.72;104.72;104.72;1047.2
2018-03-26;102.08;102.08;102.08;102.08;2041.6
2018-04-05;100.5;100.74;100.5;100.74;10062.0
2018-04-12;99.67;99.67;99.67;99.67;1694.39
2018-04-17;100.86;100.86;100.86;100.86;8875.68
2018-04-24;106.26;106.26;106.26;106.26;2125.2
2018-04-25;106.84;106.84;106.84;106.84;1495.76
2018-04-26;104.02;104.02;104.02;104.02;1248.24
2018-05-03;104.2;104.2;103.63;103.63;4156.6
2018-05-04;101.64;101.64;101.64;101.64;1931.16
2018-05-18;107.04;107.04;107.04;107.04;2033.76
2018-05-23;101.65;101.65;101.65;101.65;2033.0
2018-05-24;98.29;98.29;98.29;98.29;1081.19
2018-05-25;97.33;97.33;95.86;95.86;7172.42
2018-05-31;93.98;93.98;93.98;93.98;1127.76
2018-06-01;91.75;92.16;91.75;92.16;9195.5
2018-06-08;93.8;94.12;93.8;94.06;6579.2
2018-06-14;97.0;97.0;97.0;97.0;4365.0
2018-06-29;88.39;88.39;88.39;88.39;1149.07
2018-08-23;86.3;86.3;86.3;86.3;2589.0
2018-10-05;94.54;94.54;94.54;94.54;1229.02
2018-10-17;90.91;90.91;90.91;90.91;2727.3
2018-10-23;87.6;87.6;87.6;87.6;3504.0
2018-11-02;87.73;87.73;87.73;87.73;2631.9
2018-11-15;85.85;85.85;85.85;85.85;85.85
2018-12-13;77.86;77.86;77.86;77.86;155720.0
2019-01-18;76.76;76.76;76.76;76.76;38380.0
2019-01-21;76.1;76.1;76.1;76.1;38050.0
2019-01-25;71.55;71.55;71.55;71.55;143100.0
2019-01-30;72.37;72.37;72.37;72.37;50659.0
2019-01-31;72.0;72.0;72.0;72.0;7200.0
2019-02-11;70.01;70.01;70.01;70.01;7001.0
2019-03-01;72.85;74.0;72.85;74.0;11963.5
2019-03-04;72.61;72.61;72.61;72.61;6389.7
2019-03-08;68.63;68.63;68.63;68.63;58335.5
2019-04-01;64.42;64.42;64.42;64.42;1932.6
2019-05-02;65.19;65.19;65.19;65.19;2933.6
2019-05-15;59.22;59.22;59.22;59.22;1184.4
2019-06-04;55.42;55.42;55.42;55.42;277.1
2019-06-05;55.25;55.25;55.25;55.25;773.5
2019-06-06;54.22;54.22;54.22;54.22;759.1
2019-06-10;54.78;54.78;54.78;54.78;1369.5
2019-06-18;51.77;52.8;51.45;51.45;8969.1
2019-06-20;50.53;50.53;49.96;49.96;8587.1
2019-06-21;51.53;51.53;51.53;51.53;5153.0
2019-06-24;50.67;50.67;50.37;50.37;7582.5
2019-07-03;48.45;48.45;48.43;48.43;11094.6
2019-07-04;48.6;48.6;48.6;48.6;972.0
2019-07-08;48.75;48.75;48.75;48.75;10042.5
2019-07-10;51.66;51.66;51.66;51.66;15498.0
2019-07-11;51.28;52.98;51.28;52.95;4112.8
2019-07-12;53.7;53.72;53.7;53.72;10794.0
