Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-12-05;17.964;17.964;17.964;17.964;1077.8
2019-12-09;18.136;18.136;18.136;18.136;1813.6
2019-12-11;18.08;18.08;18.08;18.08;1627.2
2019-12-12;18.046;18.046;18.046;18.046;18046.0
2019-12-16;18.302;18.302;18.302;18.302;915.1
2019-12-18;18.248;18.344;18.248;18.344;37230.0
2019-12-27;18.644;18.644;18.644;18.644;9322.0
2019-12-30;18.5;18.5;18.5;18.5;18500.0
2020-01-07;18.584;18.584;18.584;18.584;4999.096
2020-01-08;18.674;18.674;18.674;18.674;1867.4
2020-01-09;18.844;18.844;18.844;18.844;9422.0
2020-01-10;18.914;18.914;18.914;18.914;378.28
2020-01-13;18.844;18.844;18.844;18.844;5992.392
2020-01-15;18.854;18.854;18.854;18.854;414.788
2020-01-16;18.944;18.944;18.944;18.944;1136.64
2020-01-20;19.156;19.156;19.156;19.156;191.56
2020-01-27;18.78;18.78;18.78;18.78;2347.5
2020-01-30;18.87;18.87;18.87;18.87;18870.0
2020-02-10;19.434;19.434;19.434;19.434;31094.4
2020-02-11;19.714;19.768;19.714;19.766;55823.942
2020-02-12;19.84;19.84;19.84;19.84;9920.0
2020-02-13;19.826;19.826;19.826;19.826;19826.0
2020-02-20;20.07;20.07;20.07;20.07;24906.87
2020-02-21;19.9;19.9;19.9;19.9;895.5
2020-02-24;19.95;19.95;19.95;19.95;399.0
2020-02-25;19.138;19.138;19.138;19.138;1722.42
2020-03-03;17.81;17.81;17.81;17.81;1994.72
2020-03-05;17.55;17.574;17.55;17.574;40041.36
2020-03-06;17.1;17.1;17.1;17.1;9832.5
2020-03-10;15.926;16.036;15.432;15.722;1728188.95
2020-03-11;15.854;15.854;15.688;15.688;185421.358
2020-03-12;14.894;14.894;14.894;14.894;52397.092
2020-03-16;14.416;14.416;14.416;14.416;56222.4
2020-03-18;13.846;13.846;13.846;13.846;52337.88
2020-03-20;14.3;14.3;14.3;14.3;10010.0
2020-03-24;13.9;13.9;13.9;13.9;208.5
2020-03-25;14.824;14.824;14.492;14.492;655.46
2020-03-27;14.912;14.912;14.912;14.912;80256.384
2020-04-27;17.01;17.01;17.01;17.01;425.25
2020-05-12;17.5;17.5;17.5;17.5;525.0
2020-06-17;18.146;18.15;18.146;18.15;60953.638
2020-06-30;17.822;17.822;17.822;17.822;2013.886
2020-07-09;18.206;18.206;18.206;18.206;54.618
2020-07-23;18.394;18.394;18.394;18.394;91970.0
2020-07-31;17.982;17.982;17.91;17.91;99937.944
2020-08-27;19.378;19.378;19.378;19.378;1937.8
2020-09-02;19.582;19.582;19.582;19.582;6227.076
2020-09-07;18.89;18.89;18.89;18.89;566.7
2020-09-28;18.718;18.718;18.718;18.718;374.36
2020-10-01;18.868;18.868;18.868;18.868;105566.46
2020-10-02;18.578;18.578;18.578;18.578;103572.35
2020-10-16;19.552;19.552;19.552;19.552;19.552
2020-10-30;18.49;18.49;18.278;18.278;369618.322
2020-11-02;18.516;18.664;18.516;18.664;726410.046
2020-11-04;19.164;19.182;19.146;19.182;319942.98
2020-11-05;19.544;19.544;19.544;19.544;5374.6
2020-11-06;19.314;19.314;19.314;19.314;74552.04
2020-11-09;20.245;20.245;19.974;19.974;112188.236
2020-11-10;19.716;19.716;19.716;19.716;173934.552
2020-11-13;19.786;19.786;19.728;19.728;363593.87
2020-11-16;20.01;20.01;20.01;20.01;2721.36
2020-11-17;19.972;19.972;19.972;19.972;76392.9
2020-11-18;19.898;19.974;19.898;19.974;77108.55
2020-11-19;19.69;19.69;19.662;19.662;606388.576
2020-11-23;19.724;19.724;19.692;19.692;105648.284
2020-11-24;19.902;19.902;19.864;19.902;268046.89
2020-11-26;19.954;19.954;19.954;19.954;105097.718
2020-11-30;19.842;19.842;19.842;19.842;3968.4
2020-12-01;20.005;20.005;19.952;19.952;435769.7
2020-12-02;19.838;19.838;19.838;19.838;1983.8
2020-12-03;19.8;19.8;19.8;19.8;19.8
2020-12-04;19.794;19.932;19.794;19.932;214575.544
2020-12-10;19.89;19.89;19.89;19.89;39.78
2020-12-15;19.824;19.824;19.824;19.824;2478.0
2020-12-17;19.966;19.966;19.966;19.966;35040.33
2020-12-21;19.896;19.896;19.896;19.896;182167.776
2021-01-04;20.13;20.13;20.13;20.13;181.17
2021-01-05;19.826;19.894;19.826;19.832;99977.166
2021-01-06;19.7;19.7;19.7;19.7;2679.2
2021-01-07;20.105;20.105;20.105;20.105;180.945
2021-01-11;20.48;20.48;20.48;20.48;1024.0
2021-01-13;20.45;20.45;20.425;20.425;10396.55
2021-01-14;20.555;20.555;20.555;20.555;20555.0
2021-01-15;20.41;20.41;20.41;20.41;714.35
2021-01-20;20.835;20.835;20.835;20.835;416.7
2021-01-21;20.845;20.845;20.845;20.845;432262.765
2021-01-22;20.67;20.67;20.67;20.67;177824.01
2021-01-25;20.75;20.75;20.75;20.75;1037.5
2021-01-26;20.805;20.88;20.805;20.88;879090.175
2021-01-28;20.455;20.59;20.455;20.59;127575.505
2021-01-29;20.285;20.4;20.25;20.25;9456.325
2021-02-01;20.315;20.315;20.315;20.315;406.3
2021-02-09;21.23;21.23;21.23;21.23;530.75
2021-02-10;21.265;21.27;21.265;21.27;808.185
2021-02-11;21.245;21.245;21.245;21.245;382.41
2021-02-15;21.41;21.435;21.41;21.435;30109.58
2021-02-16;21.485;21.485;21.37;21.37;121301.9
2021-02-17;21.4;21.4;21.36;21.36;3060.08
2021-02-18;21.18;21.22;21.18;21.22;26983.06
2021-02-19;21.215;21.28;21.215;21.28;243227.15
2021-02-22;21.055;21.055;21.01;21.01;4562.815
2021-02-23;21.0;21.0;21.0;21.0;1995.0
2021-02-25;21.0;21.0;21.0;21.0;31500.0
2021-02-26;20.78;20.78;20.7;20.775;4618.695
2021-03-01;21.0;21.0;21.0;21.0;210.0
2021-03-02;21.255;21.26;21.255;21.26;1764.53
2021-03-04;20.79;20.875;20.725;20.87;1052863.01
2021-03-08;21.1;21.43;21.1;21.43;13676.16
2021-03-09;21.305;21.375;21.305;21.375;78141.89
2021-03-10;21.38;21.38;21.375;21.375;983.365
2021-03-11;21.57;21.725;21.57;21.725;28540.46
2021-03-12;21.63;21.635;21.56;21.56;516239.935
2021-03-15;21.75;21.75;21.75;21.75;87.0
2021-03-16;21.94;21.94;21.94;21.94;1557.74
2021-03-17;21.9;21.9;21.755;21.755;3408.88
2021-03-18;21.78;21.78;21.78;21.78;43.56
2021-03-19;21.51;21.51;21.51;21.51;1548.72
2021-03-22;21.59;21.66;21.575;21.66;82591.62
2021-03-23;21.7;21.735;21.68;21.735;5055.37
