Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-04-14;53.86;53.87;53.65;53.65;314529.62
2022-04-19;53.09;53.14;53.09;53.14;419608.5
2022-04-25;51.36;51.4;51.29;51.4;312413.4
2022-04-26;51.86;52.23;51.82;52.23;523158.19
2022-04-27;50.53;50.87;50.53;50.87;105356.41
2022-04-29;51.37;51.37;50.98;51.02;517954.5
2022-05-02;50.24;50.24;49.82;49.82;106355.08
2022-05-03;50.29;50.29;50.29;50.29;1005.8
2022-05-05;51.0;51.0;51.0;51.0;1020.0
2022-05-06;49.97;49.97;49.97;49.97;499.7
2022-05-09;48.785;48.785;48.785;48.785;30246.7
2022-05-10;48.85;48.85;48.745;48.745;31018.175
2022-05-13;48.095;48.47;48.095;48.47;11241.29
2022-05-26;48.4;48.76;48.4;48.76;20795.12
2022-06-02;49.365;49.365;49.365;49.365;102679.2
2022-06-10;47.195;47.195;47.195;47.195;19585.925
2022-06-13;46.34;46.34;46.34;46.34;19231.1
2022-06-14;45.67;45.67;45.67;45.67;106091.41
2022-06-16;45.27;45.27;44.42;44.43;1646966.72
2022-06-23;45.78;45.78;45.78;45.78;105706.02
2022-07-11;47.0;47.0;47.0;47.0;30550.0
2022-07-25;47.97;47.97;47.635;47.635;314973.4
2022-07-26;47.64;47.64;47.64;47.64;30013.2
2022-07-28;48.485;48.485;48.48;48.48;209929.225
2022-08-04;50.14;50.2;50.14;50.2;107653.58
2022-08-05;49.98;49.98;49.98;49.98;2499.0
2022-08-09;49.79;49.79;49.79;49.79;2489.5
2022-08-12;51.0;51.0;51.0;51.0;105417.0
2022-08-16;51.81;51.81;51.81;51.81;1036.2
2022-08-18;51.64;51.64;51.64;51.64;49058.0
2022-08-29;48.41;48.41;48.41;48.41;104081.5
2022-08-30;48.83;48.83;47.74;47.74;415843.55
2022-09-05;47.195;47.2;47.195;47.2;117895.1
2022-09-13;49.705;49.705;49.705;49.705;994.1
2022-09-14;47.395;47.395;47.395;47.395;947.9
2022-09-29;43.4;43.4;43.285;43.285;205183.395
2022-10-13;42.71;42.71;42.71;42.71;4527.26
2022-10-14;44.17;44.17;44.17;44.17;99780.03
2022-10-18;44.74;44.74;44.74;44.74;4742.44
2022-10-24;45.48;45.48;45.48;45.48;454.8
2022-10-31;46.52;46.52;46.52;46.52;104483.92
2022-11-01;46.135;46.135;46.135;46.135;922.7
2022-11-07;45.235;45.235;45.235;45.235;105171.375
2022-11-14;47.825;47.865;47.825;47.865;136471.085
2022-11-15;48.32;48.49;48.17;48.17;394670.015
2022-11-17;47.86;47.86;47.86;47.86;2393.0
2022-12-01;48.93;48.93;48.855;48.86;410235.99
2022-12-07;47.025;47.16;46.995;47.055;136639.09
2022-12-13;48.205;48.205;48.205;48.205;7471.775
2022-12-15;46.84;46.84;46.565;46.565;9553.8
2022-12-21;45.805;46.405;45.8;46.405;111480.07
2022-12-22;45.51;45.51;45.51;45.51;6098.34
2022-12-23;45.6;45.6;45.6;45.6;15777.6
2023-01-03;45.795;45.795;45.795;45.795;20607.75
2023-01-09;46.875;46.875;46.875;46.875;93.75
2023-01-11;46.77;46.77;46.77;46.77;2478.81
2023-01-27;48.38;48.38;48.38;48.38;52347.16
2023-01-31;47.995;47.995;47.995;47.995;105061.055
2023-02-22;47.445;47.445;47.445;47.445;104853.45
2023-02-28;47.22;47.22;47.22;47.22;944.4
2023-03-02;46.85;46.85;46.845;46.845;2810.965
2023-03-08;47.41;47.435;47.405;47.435;116067.135
2023-03-10;46.485;46.485;46.485;46.485;5113.35
2023-03-13;46.22;46.22;46.22;46.22;2495.88
2023-03-14;46.03;46.525;46.025;46.525;145415.155
2023-03-15;46.635;46.7;45.845;45.845;416930.22
2023-03-16;46.475;46.49;46.475;46.49;136693.16
2023-03-20;46.905;46.905;46.9;46.9;107588.865
2023-03-23;47.375;47.405;47.375;47.4;109350.63
2023-05-16;49.765;49.77;49.765;49.77;7067.09
2023-05-26;50.0;50.0;50.0;50.0;600.0
2023-06-05;51.51;51.51;51.51;51.51;618.12
2023-06-09;51.79;51.79;51.79;51.79;7509.55
2023-06-13;52.31;52.31;52.31;52.31;105247.72
2023-06-16;53.22;53.26;53.22;53.25;378138.07
2023-06-27;52.15;52.15;52.15;52.15;1668.8
2023-06-29;52.68;52.71;52.68;52.71;5269.32
2023-07-11;52.85;52.85;52.83;52.83;3699.22
2023-07-17;54.17;54.17;54.17;54.17;541.7
2023-07-19;54.65;54.65;54.65;54.65;273.25
2023-07-21;54.5;54.5;54.5;54.5;272.5
2023-07-25;54.62;54.62;54.62;54.62;105034.26
2023-07-26;54.75;54.75;54.75;54.75;5475.0
2023-07-27;55.1;55.1;55.1;55.1;495.9
2023-07-31;54.91;54.91;54.91;54.91;104933.01
2023-08-01;54.94;54.94;54.94;54.94;5988.46
2023-08-24;53.64;53.64;53.51;53.51;7705.68
2023-08-25;52.58;52.58;52.49;52.49;4938.29
2023-08-28;52.9;52.9;52.9;52.9;9522.0
2023-09-26;51.37;51.37;51.37;51.37;10274.0
2023-09-29;51.71;51.71;51.71;51.71;2223.53
2023-10-10;52.21;52.21;52.21;52.21;2245.03
2023-10-16;52.01;52.01;52.01;52.01;1820.35
2023-10-25;50.4;50.4;50.39;50.39;18644.63
2023-11-02;51.6;51.6;51.6;51.6;4076.4
2023-11-03;51.64;51.83;51.63;51.83;5580.31
2023-11-06;52.24;52.34;52.24;52.34;13479.82
2023-11-09;52.6;52.6;52.6;52.6;1157.2
2023-11-10;52.34;52.34;52.34;52.34;105465.1
2023-11-14;53.45;53.45;53.45;53.45;106151.7
2023-11-17;54.18;54.18;54.18;54.18;2058.84
2023-11-21;54.38;54.38;54.35;54.35;107344.98
2023-11-22;54.39;54.39;54.39;54.39;40792.5
2023-11-24;54.89;54.89;54.89;54.89;6586.8
2023-12-06;54.72;54.72;54.72;54.72;1368.0
2023-12-07;54.38;54.73;54.38;54.73;18657.81
2023-12-08;54.63;54.63;54.63;54.63;34908.57
2023-12-14;56.22;56.22;56.15;56.15;1910.29
2023-12-15;56.34;56.34;56.34;56.34;2366.28
2023-12-20;56.81;56.81;56.81;56.81;738.53
2023-12-29;57.1;57.1;57.1;57.1;110145.9
2024-01-02;56.99;56.99;56.99;56.99;113.98
2024-01-03;56.44;56.44;56.23;56.23;105038.06
2024-01-09;56.66;56.66;56.65;56.65;1019.79
2024-01-19;57.16;57.16;57.16;57.16;171.48
2024-01-26;58.11;58.43;58.11;58.43;1631.56
2024-02-05;58.73;58.73;58.57;58.57;3049.8
2024-02-06;58.8;58.8;58.76;58.76;2351.2
2024-02-12;59.77;59.77;59.77;59.77;7770.1
2024-02-13;58.88;58.88;58.86;58.86;207104.66
2024-02-16;59.84;59.85;59.84;59.85;2992.09
2024-02-19;59.4;59.4;59.4;59.4;10810.8
2024-03-05;60.47;60.47;60.47;60.47;786.11
2024-03-06;60.3;60.3;60.3;60.3;7597.8
2024-03-13;61.34;61.34;61.34;61.34;3803.08
2024-03-15;61.22;61.23;60.72;60.72;8367.71
2024-03-18;60.96;60.96;60.96;60.96;487.68
2024-03-25;61.87;61.87;61.86;61.86;13176.52
2024-03-27;62.02;62.18;62.02;62.18;1985.28
2024-04-03;61.63;61.63;61.63;61.63;3266.39
2024-04-04;61.99;62.17;61.99;62.17;12106.41
2024-04-05;61.15;61.15;61.15;61.15;1589.9
2024-04-16;59.99;59.99;59.99;59.99;20996.5
2024-04-17;59.85;59.86;59.85;59.86;10414.62
2024-05-02;60.0;60.0;60.0;60.0;152940.0
2024-05-03;60.43;60.43;60.41;60.41;210624.12
2024-05-06;61.14;61.14;61.14;61.14;183.42
2024-05-07;61.49;61.66;61.49;61.66;52780.45
2024-05-08;61.65;61.65;61.63;61.63;1109.38
2024-05-15;62.36;62.36;62.36;62.36;374.16
2024-05-23;63.49;63.49;63.49;63.49;888.86
2024-05-27;63.36;63.36;63.36;63.36;696.96
2024-05-28;63.19;63.41;63.19;63.41;6400.83
2024-06-04;63.11;63.11;63.11;63.11;694.21
2024-06-06;64.05;64.05;64.05;64.05;1409.1
2024-06-18;65.56;65.56;65.39;65.39;1701.84
2024-06-21;65.27;65.27;65.27;65.27;13249.81
2024-06-25;65.01;65.01;65.01;65.01;10141.56
2024-07-01;65.49;65.49;65.49;65.49;1309.8
2024-07-03;65.72;65.72;65.72;65.72;262.88
2024-07-08;66.53;66.53;66.53;66.53;12441.11
