Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-02-09;10.096;10.096;10.096;10.096;151.44
2023-02-21;10.002;10.002;10.002;10.002;2000.4
2023-03-14;9.567;9.567;9.567;9.567;30040.38
2023-03-15;9.482;9.499;9.482;9.499;64337.552
2023-03-16;9.493;9.493;9.493;9.493;12530.76
2023-03-21;9.54;9.54;9.54;9.54;18898.74
2023-03-22;9.548;9.548;9.548;9.548;30076.2
2023-05-09;9.836;9.836;9.702;9.702;322139.506
2023-05-16;9.68;9.68;9.68;9.68;28943.2
2023-06-14;10.206;10.206;10.206;10.206;673.596
2023-06-19;10.68;10.68;10.164;10.164;125.064
2023-06-27;9.917;9.917;9.917;9.917;59.502
2023-07-05;10.13;10.13;10.13;10.13;151.95
2023-07-28;10.342;10.342;10.342;10.342;620.52
2023-08-07;10.112;10.112;10.112;10.112;606.72
2023-08-31;10.138;10.138;10.138;10.138;3041.4
2023-09-01;10.184;10.184;10.062;10.062;202.46
2023-09-11;10.036;10.036;10.036;10.036;100.36
2023-10-06;9.708;9.708;9.702;9.702;3872.592
2023-10-26;9.38;9.38;9.38;9.38;30109.8
2023-11-07;9.666;9.666;9.666;9.666;318.978
