Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-02-27;108.64;108.64;108.6;108.6;285026.4
2017-02-28;;;;108.6;
2017-03-01;;;;108.6;
2017-03-02;;;;108.6;
2017-03-03;;;;108.6;
2017-03-06;109.0;109.0;108.89;108.89;10894.5
2017-03-07;;;;108.89;
2017-03-08;;;;108.89;
2017-03-09;;;;108.89;
2017-03-10;109.32;109.43;109.27;109.27;226205.75
2017-03-13;;;;109.27;
2017-03-14;109.41;109.41;109.09;109.09;88349.84
2017-03-15;109.42;109.42;109.42;109.42;109.42
2017-03-16;110.37;110.37;109.92;109.92;574755.78
2017-03-17;109.92;111.0;109.8;111.0;438756.04
2017-03-20;109.9;110.02;109.9;110.02;31905.56
2017-03-21;108.89;108.89;108.89;108.89;36804.82
2017-03-22;108.1;108.65;108.1;108.65;23575.95
2017-03-23;108.67;109.07;108.67;109.07;257899.89
2017-03-24;109.01;109.01;109.01;109.01;140949.93
2017-03-27;108.04;108.04;108.03;108.03;46237.83
2017-03-28;108.74;108.74;108.63;108.63;192644.16
2017-03-29;109.41;109.41;109.34;109.34;5579.49
2017-03-30;109.58;109.84;109.58;109.84;66720.08
2017-03-31;109.42;109.64;109.42;109.64;6686.72
2017-04-03;109.32;109.73;109.31;109.65;668332.67
2017-04-04;109.16;109.2;109.0;109.0;51974.0
2017-04-05;109.4;109.99;109.4;109.99;11926.37
2017-04-06;108.7;109.32;108.7;109.17;74360.33
2017-04-07;109.36;109.36;109.21;109.21;101043.24
2017-04-10;109.34;109.53;109.34;109.53;659039.15
2017-04-11;108.89;109.01;108.89;109.01;2506.51
2017-04-12;109.28;109.28;108.92;109.09;286252.04
2017-04-13;108.58;108.58;108.58;108.58;1302.96
2017-04-18;108.07;108.49;108.07;108.49;608706.37
2017-04-19;108.44;108.44;108.27;108.43;37393.29
2017-04-20;108.35;108.35;108.18;108.18;17315.94
2017-04-21;108.78;108.78;108.78;108.78;7179.48
2017-04-24;109.93;110.11;109.91;110.07;237074.75
2017-04-25;110.67;110.67;110.67;110.67;1660.05
2017-04-26;110.82;110.91;110.82;110.91;13972.32
2017-04-27;110.59;110.59;110.35;110.51;87171.82
2017-04-28;110.45;110.45;110.29;110.29;15778.67
2017-05-02;110.95;111.08;110.82;111.08;265075.16
2017-05-03;110.85;111.09;110.73;110.73;590907.33
2017-05-04;111.3;111.3;111.15;111.15;129150.75
2017-05-05;111.22;111.22;111.08;111.08;23792.12
2017-05-08;111.68;111.68;111.4;111.64;366620.78
2017-05-09;111.93;112.1;111.93;112.1;6387.15
2017-05-10;111.88;111.88;111.71;111.8;10174.37
2017-05-11;111.84;111.84;111.24;111.5;160652.24
2017-05-12;111.56;111.76;111.56;111.69;72425.52
2017-05-15;112.38;112.38;112.11;112.11;263721.89
2017-05-16;112.25;112.25;111.98;111.98;56941.59
2017-05-17;111.46;111.46;110.71;110.71;414684.45
2017-05-18;109.9;110.15;109.62;110.15;227791.94
2017-05-19;110.48;110.99;110.48;110.99;88558.8
2017-05-22;111.1;111.25;110.94;111.09;96529.92
2017-05-23;111.46;111.74;111.38;111.74;305280.42
2017-05-24;111.65;111.69;111.53;111.67;166050.25
2017-05-25;112.31;112.31;111.99;111.99;8401.81
2017-05-26;111.83;112.03;111.83;112.0;135292.83
2017-05-29;112.1;112.15;111.88;112.15;383017.93
2017-05-30;111.83;111.98;111.79;111.98;55079.76
2017-05-31;111.67;111.77;111.65;111.65;181507.44
2017-06-01;111.84;112.17;111.84;112.17;75961.42
2017-06-02;112.71;112.71;112.71;112.71;1465.23
2017-06-05;112.92;112.98;112.92;112.98;323233.95
2017-06-06;112.38;112.57;112.3;112.3;703215.42
2017-06-07;112.2;112.2;112.2;112.2;24459.6
2017-06-08;112.59;112.64;112.47;112.59;818221.26
2017-06-09;112.56;113.01;112.56;113.01;121400.01
2017-06-12;112.11;112.21;112.11;112.21;268290.91
2017-06-13;112.64;112.64;112.54;112.54;52911.5
2017-06-14;112.86;113.0;112.71;112.82;86360.59
2017-06-15;111.66;111.68;111.66;111.68;47681.72
2017-06-16;112.53;112.53;112.06;112.15;344778.74
2017-06-19;113.33;113.33;113.22;113.22;14503.49
2017-06-20;113.4;113.42;112.96;113.12;414057.08
2017-06-21;112.67;112.86;112.67;112.76;235695.7
2017-06-22;112.4;112.76;112.39;112.76;603336.1
2017-06-23;112.54;112.57;112.49;112.49;120771.12
2017-06-26;113.15;113.2;112.82;112.92;40122.06
2017-06-27;112.68;112.68;112.68;112.68;21521.88
2017-06-28;111.98;112.53;111.98;112.53;53565.46
2017-06-29;112.48;112.48;111.92;112.0;86808.07
2017-06-30;111.55;111.55;111.45;111.45;18739.1
2017-07-03;111.88;112.39;111.88;112.29;89516.1
2017-07-04;111.87;112.08;111.87;111.98;318509.16
2017-07-05;111.84;112.06;111.68;112.0;1404803.45
2017-07-06;111.75;111.86;111.16;111.25;37616682.56
2017-07-07;111.09;111.38;111.09;111.3;12588976.04
2017-07-10;111.82;111.87;111.64;111.75;202799.84
2017-07-11;111.94;111.96;111.87;111.94;41179987.98
2017-07-12;111.93;112.98;111.93;112.82;1131102.11
2017-07-13;112.9;113.03;112.86;112.98;928775.88
2017-07-14;113.06;113.33;113.06;113.17;222984.9
2017-07-17;113.42;113.49;113.27;113.49;802960.79
2017-07-18;113.16;113.23;112.88;112.88;213508.07
2017-07-19;113.3;113.62;113.3;113.62;173824.02
2017-07-20;114.07;114.07;113.59;113.6;405519.67
2017-07-21;113.92;113.92;113.11;113.23;379884.12
2017-07-24;113.12;113.25;113.05;113.09;292877.69
2017-07-25;113.45;113.61;113.45;113.61;132081.36
2017-07-26;113.79;113.87;113.69;113.77;448692.3
2017-07-27;113.94;114.0;113.85;113.95;587364.05
2017-07-28;113.23;113.27;112.95;112.95;465469.58
2017-07-31;113.35;113.35;113.07;113.07;218490.88
2017-08-01;113.49;113.77;113.45;113.69;568386.14
2017-08-02;113.62;113.68;113.28;113.28;400784.94
2017-08-03;113.52;113.52;113.35;113.45;213118.69
2017-08-04;113.4;113.75;113.4;113.75;343796.1
2017-08-07;113.97;113.97;113.84;113.84;319079.65
2017-08-08;113.9;114.03;113.77;114.03;164351.33
2017-08-09;113.2;113.4;113.2;113.21;176592.65
2017-08-10;112.91;112.92;112.28;112.53;651780.59
2017-08-11;111.35;111.79;111.35;111.66;434047.75
2017-08-14;112.79;112.85;112.63;112.63;841881.67
2017-08-16;113.36;113.56;113.36;113.48;654191.15
2017-08-17;113.27;113.27;112.69;112.69;768986.63
2017-08-18;111.76;111.9;111.45;111.45;184395.34
2017-08-21;111.6;111.6;111.5;111.59;55864.19
2017-08-22;112.07;112.46;112.07;112.36;478974.24
2017-08-23;112.74;112.74;112.29;112.3;457165.16
2017-08-24;112.77;112.77;112.67;112.67;41607.73
2017-08-25;112.79;112.99;112.79;112.99;345109.23
2017-08-28;112.19;112.56;112.19;112.31;91806.14
2017-08-29;111.16;111.42;111.16;111.29;129792.69
2017-08-30;112.63;112.63;112.21;112.49;162494.65
2017-08-31;112.92;113.2;112.92;113.1;367639.28
2017-09-01;113.44;113.77;113.44;113.77;292437.23
2017-09-04;112.8;113.17;112.8;113.17;478467.99
2017-09-05;113.01;113.18;112.85;112.85;90371.67
2017-09-06;112.91;112.93;112.59;112.87;333506.06
2017-09-07;112.68;113.14;112.42;112.86;4721379.86
2017-09-08;112.74;112.87;112.67;112.81;201064.4
2017-09-11;113.55;113.85;113.52;113.85;317170.47
2017-09-12;114.27;114.4;114.27;114.29;343433.18
2017-09-13;114.33;114.58;114.23;114.58;220336.02
2017-09-14;114.41;114.41;114.24;114.32;470491.2
2017-09-15;114.32;114.44;114.2;114.37;366663.13
2017-09-18;114.84;114.94;114.67;114.8;257674.31
2017-09-19;114.95;114.95;114.84;114.92;671601.47
2017-09-20;114.86;114.96;114.82;114.84;268775.66
2017-09-21;115.03;115.12;114.91;114.93;299619.24
2017-09-22;114.74;114.86;114.69;114.78;333887.86
2017-09-25;114.65;114.84;114.29;114.39;336498.34
2017-09-26;114.5;114.86;114.49;114.63;524656.84
2017-09-27;114.84;114.86;114.51;114.51;31473244.03
2017-09-28;114.71;114.87;114.62;114.71;1201806.68
2017-09-29;115.01;115.36;115.01;115.31;2113409.29
2017-10-02;115.8;116.02;115.66;116.02;2213039.36
