Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2016-11-03;4.3475;4.3475;4.3475;4.3475;4.3475
2016-11-04;4.305;4.305;4.305;4.305;150.675
2016-11-07;;;;4.305;
2016-11-08;4.4175;4.4175;4.4125;4.4125;5296.0
2016-11-09;4.3575;4.38;4.33;4.3725;99546.05
2016-11-10;4.5425;4.5425;4.5;4.5;7173.4575
2016-11-11;4.5075;4.5075;4.48;4.48;60515.26
2016-11-14;;;;4.48;
2016-11-15;;;;4.48;
2016-11-16;4.62;4.62;4.62;4.62;15246.0
2016-11-17;;;;4.62;
2016-11-18;4.6525;4.6675;4.6525;4.6675;29350.75
2016-11-21;4.65;4.6675;4.65;4.665;33155.025
2016-11-22;4.705;4.7075;4.705;4.7075;13649.0
2016-11-23;4.7;4.7;4.68;4.6825;13273.89
2016-11-24;4.72;4.72;4.72;4.72;40322.96
2016-11-25;4.8125;4.8125;4.6975;4.705;38889.275
2016-11-28;4.69;4.73;4.69;4.715;58731.93
2016-11-29;4.7;4.7;4.7;4.7;3445.1
2016-11-30;4.69;4.69;4.69;4.69;5768.7
2016-12-01;4.695;4.695;4.685;4.6925;36590.75
2016-12-02;;;;4.6925;
2016-12-05;4.6525;4.6525;4.6525;4.6525;4652.5
2016-12-06;4.645;4.6625;4.645;4.6475;19646.9
2016-12-07;4.695;4.695;4.67;4.67;45473.5
2016-12-08;4.68;4.7225;4.6625;4.7225;15032.51
2016-12-09;4.755;4.8;4.755;4.8;13115.425
2016-12-12;4.7575;4.765;4.75;4.76;37086.025
2016-12-13;4.7675;4.775;4.7675;4.7675;11029.96
2016-12-14;4.755;4.76;4.73;4.7325;114922.495
2016-12-15;4.76;4.795;4.76;4.795;21029.0
2016-12-16;4.8025;4.8075;4.8025;4.8075;15426.2225
2016-12-19;4.8;4.8;4.79;4.79;65212.0
2016-12-20;4.8075;4.8325;4.805;4.8325;31939.6475
2016-12-21;4.81;4.81;4.79;4.79;4832.48
2016-12-22;4.7625;4.7675;4.74;4.7425;268952.3
2016-12-23;4.765;4.765;4.765;4.765;190.6
2016-12-27;4.7825;4.79;4.7825;4.785;8180.1
