Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-04-20;4.6;4.6;4.5;4.56;1876.0
2007-04-23;4.54;4.54;4.54;4.54;8172.0
2007-04-24;4.54;4.54;4.52;4.52;1044.0
2007-04-25;4.52;4.52;4.52;4.52;5.0
2007-04-26;4.57;4.65;4.57;4.58;1414.0
2007-04-27;4.5;4.56;4.5;4.54;8310.0
2007-04-30;;;;4.54;
2007-05-02;;;;4.54;
2007-05-03;4.54;4.56;4.54;4.56;3638.0
2007-05-04;4.51;4.59;4.51;4.59;3131.0
2007-05-07;4.61;4.61;4.53;4.53;4397.0
2007-05-08;4.52;4.52;4.52;4.52;2712.0
2007-05-09;4.52;4.52;4.52;4.52;5.0
2007-05-10;;;;4.52;
2007-05-11;4.46;4.59;4.44;4.59;5322.0
2007-05-14;4.62;4.62;4.62;4.62;1848.0
2007-05-15;4.565;4.565;4.565;4.565;2009.0
2007-05-16;;;;4.565;
2007-05-17;;;;4.565;
2007-05-18;4.64;4.64;4.64;4.64;933.0
2007-05-21;4.77;4.77;4.67;4.67;215.0
2007-05-22;4.69;4.69;4.673;4.673;994.0
2007-05-23;4.69;4.69;4.69;4.69;1008.0
2007-05-24;;;;4.69;
2007-05-25;4.72;4.77;4.72;4.77;6520.0
2007-05-28;4.77;4.77;4.75;4.77;1479.0
2007-05-29;;;;4.77;
2007-05-30;;;;4.77;
2007-05-31;4.77;4.86;4.77;4.793;31005.0
2007-06-01;4.76;4.76;4.76;4.76;3808.0
2007-06-04;4.895;4.895;4.825;4.87;14912.0
2007-06-05;5.11;5.11;4.858;4.885;5876.0
2007-06-06;4.88;4.892;4.82;4.82;19649.0
2007-06-07;4.8;4.845;4.8;4.83;4837.0
2007-06-08;4.875;4.875;4.875;4.875;2018.0
2007-06-11;5.01;5.1;4.95;4.95;62810.0
2007-06-12;4.99;5.012;4.98;4.98;21249.0
2007-06-13;5.1;5.1;4.93;5.1;15442.0
2007-06-14;5.1;5.1;5.043;5.05;212584.0
2007-06-15;5.1;5.125;5.025;5.055;5663.0
2007-06-18;5.205;5.205;5.14;5.14;72116.0
2007-06-19;5.14;5.14;5.115;5.115;19061.0
2007-06-20;5.12;5.12;5.02;5.025;19213.0
2007-06-21;5.145;5.155;5.145;5.155;9152.0
2007-06-22;5.055;5.055;4.99;4.99;2602.0
2007-06-25;5.25;5.25;4.85;4.9;9505.0
2007-06-26;4.905;4.905;4.89;4.9;3188.0
2007-06-27;4.98;4.98;4.955;4.955;6452.0
2007-06-28;4.89;4.92;4.89;4.92;7011.0
2007-06-29;4.955;4.955;4.955;4.955;6704.0
2007-07-02;5.0;5.0;4.89;4.89;20765.0
2007-07-03;4.905;4.905;4.9;4.903;54906.0
2007-07-04;;;;4.903;
2007-07-05;4.892;4.892;4.892;4.892;2446.0
