Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-04-20;13.23;13.26;13.23;13.26;1217.0
2007-04-23;13.26;13.32;13.26;13.32;4977.0
2007-04-24;13.43;13.43;13.43;13.43;1343.0
2007-04-25;;;;13.43;
2007-04-26;13.42;13.42;13.36;13.36;2763.0
2007-04-27;13.22;13.22;13.21;13.21;2048.0
2007-04-30;13.37;13.4;13.37;13.4;4761.0
2007-05-02;13.4;13.4;13.4;13.4;1340.0
2007-05-03;;;;13.4;
2007-05-04;13.39;13.39;13.39;13.39;1071.0
2007-05-07;13.44;13.44;13.39;13.39;16788.0
2007-05-08;13.34;13.34;13.34;13.34;4669.0
2007-05-09;13.34;13.34;13.31;13.31;1997.0
2007-05-10;;;;13.31;
2007-05-11;13.35;13.35;13.35;13.35;14685.0
2007-05-14;;;;13.35;
2007-05-15;13.35;13.35;13.35;13.35;133.0
2007-05-16;;;;13.35;
2007-05-17;13.35;13.35;13.35;13.35;1202.0
2007-05-18;13.55;13.55;13.54;13.54;15040.0
2007-05-21;13.6;13.6;13.52;13.52;6827.0
2007-05-22;;;;13.52;
2007-05-23;13.4;13.4;13.4;13.4;9380.0
2007-05-24;13.43;13.43;13.43;13.43;806.0
2007-05-25;;;;13.43;
2007-05-28;13.7;13.7;13.53;13.53;4827.0
2007-05-29;;;;13.53;
2007-05-30;13.32;13.35;13.32;13.35;51285.0
2007-05-31;;;;13.35;
2007-06-01;;;;13.35;
2007-06-04;13.6;13.61;13.6;13.61;1375.0
2007-06-05;13.65;13.65;13.65;13.65;1979.0
2007-06-06;;;;13.65;
2007-06-07;;;;13.65;
2007-06-08;13.55;13.55;13.55;13.55;1355.0
2007-06-11;13.49;13.49;13.49;13.49;944.0
2007-06-12;;;;13.49;
2007-06-13;;;;13.49;
2007-06-14;13.73;13.73;13.73;13.73;2059.0
2007-06-15;13.81;13.81;13.7;13.7;13714.0
2007-06-18;;;;13.7;
2007-06-19;;;;13.7;
2007-06-20;;;;13.7;
2007-06-21;;;;13.7;
2007-06-22;13.52;13.52;13.5;13.5;2229.0
2007-06-25;;;;13.5;
2007-06-26;13.26;13.26;13.26;13.26;19890.0
2007-06-27;13.22;13.22;13.13;13.13;1326.0
2007-06-28;;;;13.13;
2007-06-29;;;;13.13;
2007-07-02;13.14;13.14;13.14;13.14;105.0
2007-07-03;13.13;13.13;13.1;13.1;3278.0
2007-07-04;;;;13.1;
2007-07-05;;;;13.1;
2007-07-06;13.23;13.23;13.23;13.23;3307.0
2007-07-09;13.28;13.28;13.28;13.28;14940.0
2007-07-10;13.27;13.27;13.25;13.25;2681.0
2007-07-11;;;;13.25;
2007-07-12;;;;13.25;
2007-07-13;13.31;13.31;13.31;13.31;5324.0
2007-07-16;13.34;13.34;13.12;13.12;1576.0
2007-07-17;13.1;13.1;13.1;13.1;14410.0
2007-07-18;;;;13.1;
2007-07-19;13.16;13.16;13.16;13.16;132.0
2007-07-20;;;;13.16;
2007-07-23;13.18;13.18;13.06;13.06;6806.0
2007-07-24;13.04;13.04;12.97;12.97;6492.0
2007-07-25;;;;12.97;
2007-07-26;12.95;13.09;12.95;13.09;26040.0
2007-07-27;;;;13.09;
2007-07-30;13.24;13.24;13.24;13.24;252.0
2007-07-31;13.28;13.34;13.28;13.34;3399.0
2007-08-01;;;;13.34;
2007-08-02;13.24;13.24;13.24;13.24;1986.0
2007-08-03;;;;13.24;
2007-08-06;12.88;12.88;12.8;12.8;3856.0
2007-08-07;12.88;12.88;12.88;12.88;39.0
2007-08-08;12.86;12.86;12.86;12.86;1286.0
2007-08-09;;;;12.86;
2007-08-10;;;;12.86;
2007-08-13;;;;12.86;
2007-08-14;;;;12.86;
2007-08-16;12.88;12.88;12.88;12.88;1288.0
2007-08-17;;;;12.88;
2007-08-20;;;;12.88;
2007-08-21;;;;12.88;
2007-08-22;;;;12.88;
2007-08-23;12.65;12.75;12.65;12.75;2658.0
2007-08-24;;;;12.75;
2007-08-27;;;;12.75;
2007-08-28;;;;12.75;
2007-08-29;;;;12.75;
2007-08-30;;;;12.75;
2007-08-31;;;;12.75;
2007-09-03;;;;12.75;
2007-09-04;;;;12.75;
2007-09-05;;;;12.75;
2007-09-06;12.91;12.91;12.91;12.91;904.0
2007-09-07;;;;12.91;
2007-09-10;;;;12.91;
2007-09-11;;;;12.91;
2007-09-12;;;;12.91;
2007-09-13;;;;12.91;
2007-09-14;13.13;13.13;13.13;13.13;15756.0
2007-09-17;;;;13.13;
2007-09-18;;;;13.13;
2007-09-19;13.6;13.6;13.36;13.37;11109.0
2007-09-20;13.37;13.37;13.37;13.37;134.0
2007-09-21;;;;13.37;
2007-09-24;13.41;13.41;13.41;13.41;26820.0
2007-09-25;;;;13.41;
2007-09-26;13.0;13.4;12.9;13.4;2121.0
2007-09-27;13.36;13.4;13.36;13.4;8070.0
2007-09-28;13.49;13.49;13.41;13.41;16628.0
2007-10-01;13.37;13.37;13.37;13.37;4987.0
