Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-09-06;10.13;10.15;10.13;10.15;19270.86
2023-09-08;10.14;10.14;10.14;10.14;922.74
2023-09-13;10.134;10.134;10.134;10.134;506.7
2023-09-15;10.15;10.15;10.15;10.15;1522.5
2023-09-18;10.148;10.148;10.132;10.132;7019.232
2023-09-19;10.13;10.148;10.13;10.148;40061.906
2023-09-21;10.106;10.106;10.106;10.106;1030.812
2023-09-26;10.092;10.092;10.092;10.092;1685.364
2023-09-27;10.098;10.108;10.082;10.082;13176.35
2023-09-28;10.04;10.04;10.014;10.014;5007.308
2023-10-02;10.082;10.098;10.036;10.036;39059.864
2023-10-03;10.044;10.044;10.044;10.044;853.74
2023-10-04;10.014;10.014;10.002;10.002;105141.0
2023-10-05;10.024;10.024;10.024;10.024;3007.2
2023-10-06;10.038;10.038;10.024;10.024;6101.578
2023-10-10;10.092;10.092;10.092;10.092;1463.34
2023-10-12;10.112;10.112;10.112;10.112;1112.32
2023-10-16;10.09;10.09;10.086;10.086;8070.8
2023-10-17;10.06;10.06;10.06;10.06;1106.6
2023-10-19;10.014;10.014;10.014;10.014;3504.9
2023-10-25;10.09;10.09;10.09;10.09;5045.0
2023-10-26;10.042;10.056;10.042;10.056;1004.48
2023-10-31;10.136;10.148;10.116;10.116;40060.116
2023-11-08;10.19;10.242;10.19;10.242;40461.238
