Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-07-20;13.566;13.566;13.566;13.566;22519.56
2018-08-23;13.48;13.48;13.48;13.48;2952.12
2018-10-08;13.196;13.196;13.196;13.196;5014.48
2018-10-22;12.84;12.84;12.84;12.84;2311.2
2018-11-14;12.536;12.536;12.536;12.536;1629.68
2018-12-13;12.306;12.306;12.306;12.306;1845.9
2019-01-02;12.136;12.136;12.136;12.136;1517.0
2019-01-07;12.35;12.35;12.35;12.35;617.5
2019-01-22;12.784;12.784;12.784;12.784;28290.992
2019-01-28;12.83;12.83;12.83;12.83;2270.91
2019-02-05;13.108;13.114;13.1;13.114;529955.8
2019-02-06;13.188;13.212;13.188;13.212;24350.5
2019-02-07;13.26;13.26;13.26;13.26;20062.4
2019-02-08;13.22;13.22;13.22;13.22;11541.1
2019-02-11;13.208;13.23;13.208;13.23;63588.3
2019-02-12;13.236;13.244;13.236;13.244;19828.1
2019-02-13;13.174;13.174;13.174;13.174;17626.8
2019-02-14;13.228;13.228;13.228;13.228;55756.0
2019-02-15;13.208;13.208;13.208;13.208;36137.1
2019-02-18;13.268;13.268;13.268;13.268;7589.3
2019-02-19;13.312;13.312;13.312;13.312;7934.0
2019-02-20;13.298;13.298;13.298;13.298;60372.9
2019-02-21;13.304;13.366;13.304;13.366;47844.0
2019-02-26;13.452;13.452;13.452;13.452;995.4
2019-02-27;13.416;13.416;13.416;13.416;84574.5
2019-02-28;13.496;13.496;13.496;13.496;242.9
2019-03-01;13.592;13.592;13.592;13.592;56923.3
2019-03-04;13.784;13.784;13.504;13.504;4153.5
2019-03-05;13.592;13.592;13.578;13.578;4075.7
2019-03-06;13.736;13.736;13.656;13.656;9202.1
2019-03-07;13.744;13.744;13.744;13.744;271457.7
2019-03-08;13.5;13.5;13.5;13.5;1957.5
2019-03-11;13.58;13.58;13.58;13.58;7591.2
2019-03-12;13.524;13.524;13.524;13.524;107312.9
2019-03-13;13.568;13.568;13.568;13.568;8086.5
2019-03-14;13.518;13.588;13.518;13.588;25670.5
2019-03-15;13.56;13.56;13.51;13.56;7530.2
2019-03-18;13.52;13.588;13.52;13.588;30186.0
2019-03-19;13.628;13.628;13.628;13.628;4033.9
2019-03-21;13.5;13.536;13.5;13.536;10411.9
2019-03-22;13.562;13.562;13.514;13.514;17765.5
2019-03-25;13.398;13.398;13.398;13.398;2451.8
2019-03-26;13.432;13.494;13.428;13.494;29628.0
2019-03-28;13.56;13.58;13.56;13.58;45566.2
2019-03-29;13.596;13.608;13.526;13.608;18068.6
2019-04-01;13.604;13.604;13.592;13.592;8119.5
2019-04-02;13.704;13.724;13.658;13.724;30180.8
2019-04-03;13.768;13.768;13.702;13.702;9949.8
2019-04-04;13.66;13.66;13.588;13.588;47742.0
2019-04-05;13.56;13.56;13.56;13.56;11187.0
2019-04-08;13.566;13.566;13.566;13.566;5928.3
2019-04-09;13.502;13.566;13.502;13.566;29829.1
2019-04-10;13.636;13.636;13.636;13.636;2304.5
2019-04-11;13.55;13.608;13.55;13.608;38737.4
2019-04-12;13.708;13.708;13.708;13.708;24359.1
2019-04-15;13.696;13.696;13.616;13.624;36407.4
2019-04-18;13.732;13.732;13.672;13.672;4930.7
2019-04-23;13.832;13.84;13.832;13.84;23792.4
2019-04-26;13.888;13.936;13.888;13.892;6252.8
2019-04-29;13.902;13.906;13.902;13.906;76879.5
2019-05-07;13.7;13.7;13.7;13.7;986.4
2019-05-08;13.676;13.696;13.676;13.696;10846.4
2019-05-09;13.706;13.706;13.656;13.656;2790.9
2019-05-13;13.762;13.762;13.694;13.694;13947.6
2019-05-15;13.726;13.726;13.726;13.726;9869.0
2019-05-16;13.9;13.99;13.9;13.99;6372.6
2019-05-20;14.162;14.162;14.162;14.162;2704.9
2019-05-21;14.272;14.272;14.258;14.258;3794.5
2019-05-23;14.232;14.232;14.194;14.212;9158.2
2019-05-24;14.21;14.25;14.208;14.25;17878.5
2019-05-29;14.088;14.088;14.058;14.058;5347.7
2019-05-30;14.032;14.062;14.032;14.062;13933.2
2019-05-31;14.01;14.01;14.002;14.002;1260.5
2019-06-03;13.874;13.874;13.874;13.874;23030.8
2019-06-04;14.062;14.066;14.062;14.066;10576.1
2019-06-05;14.086;14.086;14.032;14.032;8941.5
2019-06-07;14.196;14.196;14.196;14.196;5252.5
2019-06-10;14.338;14.346;14.338;14.346;12478.1
2019-06-12;14.356;14.356;14.356;14.356;9044.3
2019-06-13;14.448;14.448;14.404;14.404;10040.5
2019-06-14;14.386;14.386;14.374;14.378;25534.8
2019-06-17;14.394;14.4;14.394;14.4;9790.0
2019-06-18;14.506;14.538;14.502;14.538;32742.6
2019-06-21;14.676;14.676;14.672;14.672;7982.7
2019-06-25;14.638;14.638;14.612;14.612;24607.9
2019-06-27;14.66;14.66;14.66;14.66;3606.4
2019-06-28;14.624;14.626;14.624;14.626;19172.2
2019-07-01;14.604;14.604;14.604;14.604;1548.0
2019-07-02;14.61;14.61;14.61;14.61;4397.6
2019-07-03;14.7;14.7;14.7;14.7;9363.9
2019-07-08;14.658;14.658;14.658;14.658;3517.9
2019-07-09;14.652;14.666;14.652;14.666;20031.8
2019-07-10;14.67;14.67;14.652;14.666;20281.4
2019-07-11;14.72;14.724;14.72;14.724;2870.8
2019-07-15;14.632;14.632;14.632;14.632;819.4
2019-07-16;14.55;14.59;14.55;14.59;8512.9
2019-07-18;14.55;14.62;14.55;14.62;84165.7
2019-07-19;14.69;14.69;14.69;14.69;1924.4
2019-07-24;14.772;14.78;14.77;14.78;13693.6
2019-07-26;14.858;14.858;14.858;14.858;2154.4
2019-07-30;14.95;14.95;14.906;14.906;28996.4
