Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-09-07;32.9;33.0;32.9;33.0;46142.0
2010-09-08;33.35;33.615;33.25;33.59;154672.6
2010-09-09;33.89;34.27;33.86;34.27;119404.9
2010-09-10;34.25;34.25;33.6;34.065;250271.5
2010-09-13;34.175;34.59;34.16;34.58;497564.6
2010-09-14;34.59;34.59;34.05;34.26;236509.61
2010-09-15;34.375;34.605;34.22;34.4;282210.2
2010-09-16;35.0;35.0;33.53;33.63;255338.3
2010-09-17;34.07;34.6;34.0;34.0;53680.2
2010-09-20;34.8;35.27;34.1;34.5;298185.1
2010-09-21;35.25;35.25;33.675;34.1;393849.5
2010-09-22;34.16;34.16;33.3;33.3;164282.7
2010-09-23;33.55;33.55;32.99;33.285;485445.0
2010-09-24;33.31;33.64;33.165;33.64;84064.0
2010-09-27;33.72;33.79;33.65;33.7;52055.4
2010-09-28;33.725;33.925;33.625;33.715;57537.5
2010-09-29;33.6;33.615;33.525;33.525;25385.7
2010-09-30;33.2;33.35;33.0;33.05;88616.6
2010-10-01;32.925;32.95;32.62;32.62;64613.8
2010-10-04;33.01;33.245;32.8;32.815;36670.9
2010-10-05;32.52;32.89;32.51;32.89;35322.5
2010-10-06;33.71;33.71;33.415;33.425;77742.7
2010-10-07;33.47;33.65;33.47;33.47;88920.0
2010-10-08;33.24;33.25;33.04;33.22;34789.8
2010-10-11;33.935;33.935;33.64;33.765;13150.9
2010-10-12;34.39;34.4;33.1;33.225;117237.2
2010-10-13;33.225;33.415;33.225;33.4;84110.8
2010-10-14;33.775;33.775;33.53;33.68;54020.2
2010-10-15;33.65;33.65;33.29;33.465;69169.4
2010-10-18;33.31;33.865;33.31;33.62;209523.0
2010-10-19;34.35;34.35;33.0;33.0;80585.8
2010-10-20;33.205;33.255;33.135;33.255;26313.0
2010-10-21;33.045;33.17;33.045;33.14;44602.7
2010-10-22;33.2;33.26;33.125;33.125;20556.1
2010-10-25;33.64;33.995;33.64;33.93;48595.9
