Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-09-01;23.56;23.615;23.56;23.585;318524.07
2022-09-06;23.525;23.525;23.515;23.515;9408.0
2022-09-08;23.595;23.86;23.595;23.86;9491.0
2022-09-09;24.13;24.14;24.12;24.12;14478.0
2022-09-12;24.36;24.375;24.36;24.375;157787.745
2022-09-13;24.075;24.075;23.925;23.925;14407.0
2022-09-15;23.8;23.8;23.8;23.8;4760.0
2022-09-16;23.245;23.31;23.245;23.31;13965.0
2022-09-20;23.325;23.325;23.195;23.195;118169.9
2022-09-21;23.445;23.445;23.445;23.445;4689.0
2022-09-23;22.385;22.385;22.25;22.25;22314.0
2022-09-26;22.35;22.655;22.35;22.655;9001.0
2022-09-28;22.705;22.705;22.705;22.705;4541.0
2022-09-29;22.605;22.605;22.435;22.5;17999.0
2022-09-30;22.215;22.305;22.19;22.305;13342.0
2022-10-03;22.095;22.31;22.095;22.31;13309.0
2022-10-05;22.88;22.9;22.88;22.9;9156.0
2022-10-06;23.13;23.25;23.075;23.25;13891.0
2022-10-07;22.875;22.875;22.875;22.875;4575.0
2022-10-11;22.49;22.52;22.49;22.52;9002.0
2022-10-12;22.695;22.695;22.62;22.62;9063.0
2022-10-13;22.685;22.685;22.685;22.685;4537.0
2022-10-14;22.87;22.87;22.87;22.87;4574.0
2022-10-17;22.64;22.64;22.64;22.64;4528.0
2022-10-20;22.765;22.78;22.765;22.78;157591.17
2022-10-24;22.8;22.8;22.8;22.8;4560.0
2022-10-27;23.135;23.135;23.135;23.135;4627.0
2022-10-28;23.465;23.465;23.465;23.465;4693.0
2022-10-31;23.96;23.96;23.96;23.96;4792.0
2022-11-11;23.695;23.695;23.695;23.695;4739.0
2022-11-14;23.605;23.605;23.605;23.605;4721.0
2022-11-15;23.65;23.665;23.65;23.66;159867.48
2022-11-16;23.33;23.33;23.33;23.33;4666.0
2022-11-18;23.09;23.265;23.09;23.165;196098.455
2022-11-22;23.29;23.29;23.29;23.29;4658.0
2022-11-25;23.445;23.445;23.445;23.445;4689.0
2022-12-13;23.005;23.07;23.005;23.07;276939.125
2022-12-14;22.585;22.585;22.585;22.585;4517.0
2022-12-20;21.385;21.57;21.385;21.485;12888.0
2022-12-21;21.98;21.98;21.98;21.98;4396.0
2022-12-23;21.73;21.73;21.73;21.73;1108.23
2022-12-27;21.9;21.9;21.9;21.9;1007.4
2023-01-04;21.67;21.67;21.67;21.67;4334.0
2023-01-09;22.13;22.13;22.13;22.13;4426.0
2023-01-10;22.07;22.07;22.07;22.07;4414.0
2023-01-12;22.445;22.625;22.445;22.625;9014.0
2023-01-16;22.875;22.875;22.875;22.875;4575.0
2023-01-18;22.845;22.845;22.845;22.845;4569.0
2023-01-20;22.24;22.415;22.24;22.415;113927.8
2023-01-25;22.735;22.735;22.735;22.735;11367.5
2023-01-30;22.96;22.96;22.96;22.96;9184.0
2023-01-31;23.065;23.22;23.065;23.22;12740.0
2023-02-01;23.31;23.31;23.31;23.31;4662.0
2023-02-03;24.075;24.105;24.075;24.105;157130.55
2023-02-06;24.125;24.125;24.125;24.125;4825.0
2023-02-07;24.02;24.02;24.005;24.005;9605.0
2023-02-08;24.075;24.075;24.075;24.075;4815.0
2023-02-10;23.585;23.585;23.585;23.585;4717.0
2023-02-14;23.905;23.905;23.905;23.905;4781.0
2023-02-15;23.795;23.795;23.795;23.795;4759.0
2023-02-17;24.005;24.005;23.87;23.995;28750.0
2023-02-21;23.785;23.79;23.785;23.79;9515.0
2023-02-22;23.525;23.635;23.455;23.455;21179.5
2023-02-27;23.8;23.8;23.8;23.8;3094.0
2023-03-03;23.755;23.755;23.755;23.755;4751.0
2023-03-06;23.955;23.955;23.77;23.77;19099.0
2023-03-07;23.6;23.64;23.6;23.625;14173.0
2023-03-13;21.435;21.435;21.435;21.435;98601.0
2023-03-14;21.95;22.12;21.95;22.12;174351.05
2023-03-15;21.83;21.83;21.5;21.5;12969.0
2023-03-16;21.79;21.955;21.485;21.955;236957.18
2023-03-20;21.34;21.34;21.34;21.34;4268.0
2023-03-21;21.72;21.93;21.72;21.815;20303.95
2023-03-22;21.73;21.73;21.73;21.73;4346.0
2023-03-23;21.22;21.22;21.165;21.165;6248.9
2023-03-24;21.14;21.175;21.14;21.175;16924.0
2023-03-28;21.505;21.505;21.35;21.5;21434.0
2023-03-29;21.65;21.675;21.63;21.63;21653.0
2023-03-30;21.805;21.805;21.805;21.805;4361.0
2023-03-31;21.915;21.915;21.915;21.915;4383.0
2023-04-03;22.13;22.13;21.945;21.945;8815.0
2023-04-05;21.455;21.455;21.455;21.455;4291.0
2023-04-06;21.49;21.515;21.36;21.41;21440.0
2023-04-13;21.575;21.62;21.525;21.525;15106.0
2023-04-14;21.665;21.665;21.665;21.665;4333.0
2023-04-17;21.9;21.9;21.9;21.9;4380.0
2023-04-18;21.965;21.965;21.965;21.965;4393.0
2023-04-20;21.685;21.685;21.685;21.685;4337.0
2023-04-21;21.755;21.755;21.755;21.755;4351.0
2023-04-24;21.695;21.695;21.695;21.695;4339.0
2023-04-25;21.335;21.335;21.335;21.335;103730.77
2023-04-26;21.015;21.025;20.955;20.955;12599.0
2023-04-27;20.955;20.965;20.955;20.965;8384.0
2023-04-28;21.26;21.26;21.26;21.26;4252.0
2023-05-03;21.2;21.2;21.185;21.185;8477.0
2023-05-04;20.935;20.95;20.725;20.725;16685.0
2023-05-10;21.35;21.35;21.35;21.35;4270.0
2023-05-11;21.385;21.385;21.215;21.215;8520.0
2023-05-15;21.455;21.455;21.455;21.455;4291.0
2023-05-16;21.48;21.48;21.365;21.365;21433.0
2023-05-17;21.605;21.605;21.605;21.605;4321.0
2023-05-18;21.79;22.0;21.79;22.0;17487.0
2023-05-19;22.165;22.17;22.09;22.09;13285.0
2023-05-23;22.19;22.275;22.19;22.275;8893.0
2023-05-25;21.74;21.795;21.565;21.57;39071.0
2023-05-26;21.67;21.67;21.65;21.65;8664.0
2023-05-30;22.035;22.085;22.035;22.085;8824.0
2023-06-01;21.82;21.82;21.82;21.82;4364.0
2023-06-02;22.175;22.405;22.175;22.405;8916.0
2023-06-05;22.655;22.655;22.265;22.41;30263.75
2023-06-06;22.45;22.945;22.41;22.945;198654.86
2023-06-07;23.17;23.175;23.135;23.175;163709.58
2023-06-08;23.26;23.29;22.93;22.965;20806.5
2023-06-09;22.93;22.93;22.91;22.91;5273.3
2023-06-12;23.0;23.045;23.0;23.045;9598.765
2023-06-13;23.245;23.245;23.245;23.245;6973.5
2023-06-14;23.15;23.15;23.15;23.15;4630.0
2023-06-16;22.845;22.845;22.845;22.845;4569.0
2023-06-19;22.825;22.89;22.825;22.84;18287.0
2023-06-20;22.79;22.79;22.735;22.735;13653.0
2023-06-26;22.38;22.38;22.38;22.38;4476.0
2023-06-27;22.21;22.48;22.21;22.48;8938.0
2023-06-28;22.585;22.585;22.585;22.585;4517.0
2023-06-29;23.025;23.07;23.025;23.065;18441.0
2023-07-03;23.275;23.29;23.235;23.235;23259.0
2023-07-05;23.045;23.065;22.99;23.065;13820.0
2023-07-06;22.68;22.68;22.645;22.645;9065.0
2023-07-07;22.75;22.93;22.7;22.93;18940.0
2023-07-10;23.095;23.095;23.095;23.095;4619.0
2023-07-11;23.315;23.34;23.315;23.34;110743.3
2023-07-12;23.53;23.53;23.4;23.45;23459.0
2023-07-13;23.25;23.25;23.25;23.25;9300.0
2023-07-14;23.095;23.095;23.08;23.08;13852.0
2023-07-17;23.12;23.14;23.12;23.14;9252.0
2023-07-18;23.195;23.31;23.195;23.31;133816.28
2023-07-19;23.56;23.585;23.56;23.585;9429.0
2023-07-20;23.45;23.45;23.45;23.45;4690.0
2023-07-21;23.615;23.615;23.575;23.575;9438.0
2023-07-24;23.76;23.76;23.76;23.76;4752.0
2023-07-26;23.72;23.82;23.655;23.82;14239.0
2023-07-28;23.715;23.885;23.715;23.86;129530.665
2023-08-01;24.025;24.05;23.95;23.95;19213.0
2023-08-02;23.905;23.905;23.905;23.905;4781.0
2023-08-03;23.725;23.725;23.725;23.725;4745.0
2023-08-04;23.655;23.675;23.655;23.675;9466.0
2023-08-07;23.695;23.695;23.57;23.62;23629.0
2023-08-08;23.455;23.455;23.445;23.445;9380.0
2023-08-09;23.465;23.465;23.465;23.465;4693.0
2023-08-10;23.45;23.58;23.45;23.58;9406.0
2023-08-11;23.35;23.35;23.35;23.35;4670.0
2023-08-14;23.43;23.43;23.38;23.42;23404.0
2023-08-16;23.26;23.26;23.26;23.26;4652.0
2023-08-18;22.785;22.785;22.785;22.785;4557.0
2023-08-21;22.8;22.8;22.8;22.8;4560.0
2023-08-22;22.925;22.925;22.925;22.925;9170.0
2023-08-23;22.91;22.91;22.87;22.87;9156.0
2023-08-24;22.93;22.93;22.93;22.93;4586.0
2023-08-25;22.96;22.96;22.795;22.795;9151.0
2023-08-30;23.19;23.23;23.19;23.23;9284.0
2023-09-01;23.705;23.705;23.705;23.705;4741.0
2023-09-05;23.84;23.84;23.84;23.84;4768.0
2023-09-06;23.55;23.55;23.55;23.55;4710.0
2023-09-11;23.28;23.28;23.28;23.28;4656.0
2023-09-14;23.49;23.49;23.49;23.49;4698.0
2023-09-15;23.365;23.365;23.205;23.205;9314.0
