Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-05-15;17.642;17.678;17.642;17.678;7491.296
2018-05-16;17.668;17.748;17.64;17.742;82359.974
2018-05-17;17.75;17.808;17.7;17.798;194677.076
2018-05-18;17.762;17.762;17.65;17.708;216361.4
2018-05-21;17.81;17.832;17.73;17.73;178841.226
2018-05-22;17.794;17.824;17.73;17.792;697712.376
2018-05-23;17.726;17.802;17.65;17.686;332561.464
2018-05-24;17.812;17.828;17.7;17.7;73610.05
2018-05-25;17.868;17.89;17.808;17.89;91779.292
2018-05-28;17.93;18.036;17.884;17.914;370093.258
2018-05-29;17.86;17.86;17.74;17.802;128400.618
2018-05-30;17.96;17.96;17.7;17.728;117138.416
2018-05-31;17.8;17.918;17.644;17.666;200719.432
2018-06-01;17.752;17.898;17.73;17.898;307763.128
2018-06-04;18.028;18.028;17.966;17.996;152592.836
2018-06-05;18.05;18.154;18.05;18.096;82328.342
2018-06-06;18.104;18.118;18.044;18.11;80243.264
2018-06-07;18.35;18.35;18.03;18.03;124240.306
2018-06-08;18.15;18.15;17.76;18.0;210258.452
2018-06-11;18.09;18.108;18.022;18.082;25222.664
2018-06-12;18.198;18.198;18.09;18.124;53987.222
2018-06-13;18.5;18.5;18.18;18.252;66496.71
2018-06-14;18.09;18.428;18.018;18.34;89928.888
2018-06-15;18.38;18.38;18.258;18.276;108372.298
2018-06-18;18.336;18.336;18.072;18.202;205560.38
2018-06-19;18.0;18.086;18.0;18.028;26546.176
2018-06-20;18.22;18.266;18.13;18.17;298037.178
2018-06-21;18.228;18.228;17.93;17.952;70028.494
2018-06-22;17.9;17.96;17.83;17.846;133544.98
2018-06-25;17.8;17.8;17.4;17.4;111820.242
2018-06-26;17.514;17.514;17.45;17.462;91700.322
2018-06-27;17.374;17.626;17.374;17.598;51570.28
2018-06-28;17.438;17.474;17.288;17.332;58398.76
2018-06-29;17.53;17.564;17.46;17.46;15253.886
2018-07-02;17.548;17.548;17.208;17.296;15943.368
2018-07-03;17.416;17.578;17.416;17.534;64320.718
2018-07-04;17.412;17.46;17.38;17.46;73447.218
2018-07-05;17.348;17.452;17.348;17.384;136362.02
2018-07-06;17.5;17.5;17.37;17.37;80372.624
2018-07-09;17.698;17.814;17.698;17.706;32338.188
2018-07-10;17.824;17.914;17.804;17.91;111926.936
2018-07-11;17.76;17.76;17.668;17.732;42148.83
2018-07-12;17.836;17.966;17.836;17.966;91176.4
2018-07-13;18.11;18.11;17.95;17.95;147114.91
2018-07-16;17.978;17.986;17.912;17.912;167167.558
2018-07-17;17.92;17.96;17.9;17.96;53351.426
2018-07-18;18.156;18.5;18.148;18.16;28822.584
2018-07-19;18.18;18.184;18.098;18.098;304995.086
2018-07-20;18.1;18.112;17.96;18.04;82270.974
2018-07-23;17.958;17.958;17.88;17.88;122084.9
2018-07-24;18.078;18.172;17.98;18.09;59872.94
2018-07-25;18.028;18.028;17.986;17.986;36999.38
2018-07-26;18.144;18.386;18.144;18.28;9546.324
2018-07-27;18.35;18.364;18.242;18.332;69126.218
2018-07-30;18.192;18.192;17.926;17.926;39360.964
2018-07-31;17.882;17.976;17.882;17.946;16321.998
2018-08-01;17.922;17.922;17.856;17.856;56949.02
2018-08-02;17.822;17.868;17.79;17.868;11615.946
2018-08-03;18.042;18.062;18.012;18.022;2995.842
2018-08-06;18.134;18.134;18.06;18.086;35709.172
2018-08-07;18.224;18.224;18.136;18.136;8756.964
2018-08-08;18.196;18.236;18.196;18.202;49566.26
2018-08-09;18.21;18.252;18.17;18.25;65776.082
2018-08-10;18.28;18.35;18.128;18.13;118091.1
2018-08-13;18.17;18.17;18.144;18.144;100102.7
2018-08-14;18.216;18.224;18.14;18.158;26035.072
2018-08-16;18.12;18.12;17.91;18.024;60803.192
2018-08-17;18.03;18.03;17.914;17.95;52304.544
2018-08-20;18.1;18.1;18.062;18.082;57191.906
2018-08-21;18.0;18.12;18.0;18.12;29207.46
2018-08-22;18.0;18.026;17.96;17.992;68002.86
2018-08-23;18.134;18.2;18.12;18.2;35286.428
2018-08-24;18.264;18.264;18.224;18.236;24395.168
2018-08-27;18.368;18.528;18.352;18.528;42679.442
2018-08-28;18.476;18.494;18.388;18.388;53095.908
2018-08-29;18.468;18.478;18.358;18.464;262848.602
2018-08-30;18.456;18.484;18.436;18.484;14951.16
2018-08-31;18.384;18.434;18.308;18.434;30754.68
2018-09-03;18.5;18.566;18.5;18.538;79564.182
2018-09-04;18.618;18.626;18.5;18.522;73179.87
2018-09-05;18.548;18.548;18.34;18.352;69933.332
2018-09-06;18.332;18.332;18.154;18.168;7241.108
2018-09-07;18.188;18.292;18.13;18.292;54763.14
2018-09-10;18.306;18.308;18.248;18.248;45168.56
2018-09-11;18.342;18.342;18.26;18.294;60370.148
2018-09-12;18.37;18.37;18.22;18.22;34869.158
2018-09-13;18.438;18.49;18.36;18.36;109260.378
2018-09-14;18.42;18.486;18.302;18.486;103165.42
2018-09-17;18.49;18.49;18.38;18.38;17792.444
2018-09-18;18.43;18.43;18.304;18.4;245058.826
2018-09-19;18.424;18.494;18.41;18.494;6800.976
2018-09-20;18.488;18.63;18.428;18.5;149011.814
2018-09-21;18.566;18.6;18.468;18.55;20294.942
2018-09-24;18.7;18.7;18.39;18.412;29185.908
2018-09-25;18.538;18.558;18.498;18.498;15900.062
2018-09-26;18.622;18.622;18.494;18.582;55372.98
2018-09-27;18.65;18.65;18.526;18.578;16157.336
2018-09-28;18.678;18.692;18.588;18.692;141777.928
2018-10-01;18.52;18.716;18.52;18.7;25230.7
2018-10-02;19.098;19.098;18.518;18.564;54092.034
2018-10-03;18.566;18.6;18.51;18.6;45782.234
2018-10-04;18.6;18.6;18.368;18.368;44795.872
2018-10-05;18.1;18.368;18.1;18.118;155681.446
2018-10-08;18.1;18.1;17.932;17.932;60935.778
2018-10-09;17.906;18.032;17.906;17.988;43881.412
2018-10-10;17.948;17.962;17.534;17.534;71750.178
2018-10-11;17.28;17.28;16.96;17.096;138765.768
2018-10-12;17.31;17.4;17.294;17.294;107511.152
2018-10-15;17.3;17.3;17.132;17.272;9800.33
2018-10-16;17.322;17.4;17.266;17.4;58748.098
2018-10-17;17.716;17.72;17.442;17.5;99995.79
2018-10-18;17.548;17.614;17.53;17.55;108539.444
2018-10-19;17.462;17.54;17.462;17.53;172891.086
2018-10-22;17.4;17.4;17.33;17.376;14757.1
2018-10-23;17.046;17.1;16.858;16.858;425461.762
2018-10-24;17.0;17.068;17.0;17.012;9679.692
2018-10-25;16.858;16.9;16.542;16.866;45978.164
2018-10-26;16.738;16.808;16.546;16.552;27094.032
2018-10-29;16.752;17.226;16.752;17.154;26200.618
2018-10-30;16.794;16.8;16.646;16.704;11642.922
2018-10-31;17.046;17.06;17.04;17.048;8063.84
2018-11-01;17.228;17.258;17.17;17.23;34101.986
2018-11-02;17.52;17.564;17.386;17.392;14514.87
2018-11-05;17.276;17.39;17.26;17.26;22794.968
2018-11-06;17.312;17.362;17.22;17.362;7906.912
2018-11-07;17.51;17.512;17.5;17.5;62836.128
2018-11-08;17.712;17.754;17.654;17.654;17076.302
2018-11-09;17.612;17.628;17.506;17.62;35431.624
2018-11-12;17.546;17.546;17.3;17.3;9763.28
2018-11-13;16.912;17.462;16.912;17.462;31265.556
2018-11-14;17.75;17.75;17.15;17.278;10429.48
2018-11-15;17.296;17.298;17.226;17.244;12841.646
2018-11-16;17.276;17.276;17.19;17.19;14605.808
2018-11-19;17.316;17.316;16.982;16.982;50633.076
2018-11-20;16.708;16.708;16.496;16.6;421782.894
2018-11-21;16.678;16.824;16.678;16.824;8201.7
2018-11-22;16.706;16.706;16.594;16.594;9990.0
2018-11-23;16.658;16.794;16.658;16.794;1406.612
2018-11-26;16.968;17.0;16.968;17.0;4076.44
2018-11-27;17.084;17.084;17.0;17.08;4740.956
2018-11-28;17.16;17.16;17.114;17.12;7506.29
2018-11-29;17.206;17.228;17.156;17.156;2340.992
2018-11-30;17.202;17.202;17.072;17.17;6804.04
2018-12-03;17.608;17.664;17.508;17.508;47260.152
2018-12-04;17.486;17.486;17.26;17.26;5280.358
2018-12-05;17.05;17.05;17.012;17.018;3746.6
2018-12-06;16.79;16.79;16.504;16.504;19465.2
2018-12-07;16.552;16.792;16.552;16.62;23706.744
2018-12-10;16.8;16.8;16.264;16.264;100569.22
2018-12-11;16.41;16.75;16.41;16.676;28630.922
2018-12-12;16.756;16.756;16.756;16.756;586.46
2018-12-13;16.884;16.884;16.764;16.764;3022.86
2018-12-14;16.552;16.67;16.552;16.67;5326.96
2018-12-17;16.4;16.584;16.4;16.4;13852.982
2018-12-18;16.266;16.31;16.23;16.3;5735.568
2018-12-19;16.278;16.374;16.278;16.356;25810.682
2018-12-20;16.0;16.0;15.86;15.906;13654.79
2018-12-21;15.734;15.902;15.734;15.902;18341.94
2018-12-27;15.91;15.91;15.474;15.5;13689.944
2018-12-28;15.796;15.91;15.79;15.79;19276.776
2019-01-02;15.674;15.674;15.674;15.674;2351.1
2019-01-03;15.756;15.778;15.528;15.528;4291.678
2019-01-04;15.764;16.094;15.764;16.094;2803.514
2019-01-07;16.2;16.2;16.032;16.162;33653.568
2019-01-08;16.32;16.342;16.32;16.342;5369.7
2019-01-09;16.476;16.564;16.476;16.54;3387.14
2019-01-10;16.376;16.442;16.37;16.442;33341.148
2019-01-11;16.62;16.62;16.438;16.508;202201.2
