Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-04-07;34.0;34.0;34.0;34.0;10200.0
2022-04-08;35.28;35.28;35.28;35.28;17640.0
2022-04-13;36.0;36.0;36.0;36.0;18000.0
2022-04-19;37.7;37.7;37.7;37.7;3770.0
2022-04-21;37.85;37.85;37.85;37.85;189.25
2022-04-26;37.6;37.6;37.6;37.6;18800.0
2022-05-02;40.7;40.7;40.7;40.7;4070.0
2022-05-05;43.11;43.11;43.11;43.11;172.44
2022-05-09;47.34;47.34;47.34;47.34;23670.0
2022-05-11;43.0;43.0;43.0;43.0;21500.0
2022-05-12;39.93;39.93;39.93;39.93;39930.0
2022-05-18;43.0;43.0;43.0;43.0;43000.0
2022-05-19;42.0;42.0;42.0;42.0;42000.0
2022-05-20;42.5;43.5;42.5;43.5;86000.0
2022-05-23;43.6;43.6;43.6;43.6;43600.0
2022-05-24;43.03;43.03;43.03;43.03;43030.0
2022-06-03;48.9;48.9;48.9;48.9;48900.0
2022-06-07;48.0;48.0;48.0;48.0;96000.0
2022-06-09;49.0;52.26;49.0;52.26;127230.0
2022-06-10;54.24;54.48;54.24;54.48;18482.4
2022-06-13;59.1;61.0;59.1;61.0;179200.0
2022-06-14;64.38;64.38;64.38;64.38;128.76
2022-06-15;60.79;61.21;60.79;61.21;61453.16
2022-06-21;53.5;53.5;53.5;53.5;53500.0
2022-06-24;48.0;48.0;48.0;48.0;48000.0
2022-08-09;36.33;36.33;36.33;36.33;254.31
2022-08-17;39.78;39.84;39.04;39.04;5933.0
2022-08-19;41.9;41.9;41.9;41.9;2095.0
2022-08-22;43.5;43.5;43.5;43.5;304.5
2022-08-25;44.05;44.05;44.05;44.05;1101.25
2022-08-26;44.62;44.62;44.62;44.62;2231.0
2022-08-29;46.5;47.45;46.5;47.45;4900.5
2022-08-31;49.11;49.12;49.11;49.12;4911.5
2022-09-02;49.82;49.82;49.82;49.82;4982.0
2022-09-05;50.0;50.0;49.11;49.11;3964.4
2022-09-08;46.91;46.91;46.91;46.91;2345.5
2022-09-09;49.0;49.0;49.0;49.0;1960.0
2022-09-14;50.97;50.97;50.97;50.97;7645.5
2022-09-16;51.08;51.08;51.08;51.08;2554.0
2022-09-20;51.11;51.11;51.11;51.11;102.22
2022-09-22;49.95;49.95;49.95;49.95;599.4
2022-09-26;60.29;60.29;60.29;60.29;6029.0
2022-09-27;63.03;63.71;63.03;63.71;11098.25
2022-09-28;69.5;69.5;62.0;62.0;6641.5
2022-09-30;60.44;61.0;60.29;61.0;3750.25
2022-10-24;58.5;58.5;58.5;58.5;819.0
2022-10-25;54.18;54.18;54.18;54.18;541.8
2022-10-27;53.6;53.6;47.83;47.83;2061.97
2022-11-01;47.83;48.3;47.83;48.3;9613.0
2022-11-11;45.43;47.05;45.33;47.05;69310.0
2022-11-16;43.0;43.0;43.0;43.0;21500.0
2022-11-17;42.6;42.6;42.6;42.6;1704.0
2022-11-23;40.0;40.0;39.7;39.7;1437.0
2022-12-05;37.0;37.0;36.84;36.84;1991.6
2022-12-06;36.5;36.5;36.5;36.5;18250.0
2022-12-16;46.5;46.5;46.5;46.5;2790.0
2022-12-20;49.0;49.0;49.0;49.0;147.0
2022-12-27;51.01;51.01;51.01;51.01;153.03
2022-12-28;51.5;51.5;51.5;51.5;1030.0
2023-01-03;49.5;49.5;49.5;49.5;792.0
2023-01-05;45.7;45.7;45.7;45.7;914.0
2023-01-09;45.31;45.31;45.31;45.31;135.93
2023-01-12;39.7;39.7;39.2;39.2;6332.0
2023-01-17;40.65;40.65;40.65;40.65;2520.3
2023-01-18;36.89;36.89;36.89;36.89;922.25
2023-01-19;37.0;37.0;37.0;37.0;1110.0
2023-01-23;38.99;38.99;38.99;38.99;1949.5
2023-01-24;38.25;38.25;38.25;38.25;2371.5
2023-01-25;37.72;38.54;37.72;38.54;3042.2
2023-01-27;39.92;41.1;39.92;41.1;6510.6
