Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-02-14;70.44;70.48;70.02;70.02;1931192.47
2018-02-15;71.1;71.51;71.1;71.25;2439291.7
2018-02-16;71.52;71.81;71.4;71.73;910113.71
2018-02-19;71.89;71.92;71.38;71.4;514482.73
2018-02-20;71.34;71.93;71.34;71.91;402836.08
2018-02-21;71.69;71.84;71.39;71.72;767462.39
2018-02-22;71.31;71.66;71.26;71.42;280915.51
2018-02-23;71.95;72.16;71.72;72.1;373225.18
2018-02-26;72.49;72.71;72.36;72.52;686099.21
2018-02-27;72.71;72.73;72.25;72.44;2946812.26
2018-02-28;72.25;72.46;72.11;72.46;305216.64
2018-03-01;71.9;71.9;71.0;71.32;253193.65
2018-03-02;70.78;70.78;69.55;69.55;509485.69
2018-03-05;69.47;70.13;69.47;70.13;320738.84
2018-03-06;70.78;71.03;70.62;70.62;1881066.74
2018-03-07;70.08;70.59;70.02;70.41;460897.84
2018-03-08;70.3;71.6;70.3;71.6;1646622.36
2018-03-09;71.34;71.96;71.34;71.6;1904733.58
2018-03-12;71.99;72.05;71.57;71.8;12045649.58
2018-03-13;71.95;72.08;71.17;71.17;210110.95
2018-03-14;70.98;71.51;70.92;70.93;2782300.56
2018-03-15;71.13;71.54;71.04;71.43;182904.14
2018-03-16;71.48;72.12;71.46;71.96;714091.5
2018-03-19;71.72;71.72;70.99;70.99;344703.82
2018-03-20;71.22;71.3;70.88;71.3;379238.35
2018-03-21;71.51;71.51;70.97;71.1;307684.19
2018-03-22;71.1;71.1;69.5;69.52;15934392.92
2018-03-23;69.0;69.46;68.74;69.0;330870.15
2018-03-26;69.05;69.45;68.41;68.41;506161.9
2018-03-27;69.55;69.84;69.38;69.41;436040.38
2018-03-28;68.94;69.52;68.43;69.52;681839.87
2018-03-29;69.75;70.73;69.75;70.71;1418192.53
2018-04-03;69.83;70.26;69.59;70.26;720723.78
2018-04-04;69.87;69.98;69.11;69.98;1335478.58
2018-04-05;71.14;71.89;71.0;71.89;5168225.43
2018-04-06;71.45;71.74;71.32;71.54;435054.54
2018-04-09;71.61;72.02;71.45;71.49;1630266.52
2018-04-10;72.02;72.15;71.96;72.11;213624.48
2018-04-11;71.98;72.01;71.56;71.67;419708.22
2018-04-12;71.71;72.27;71.67;72.22;591095.01
2018-04-13;72.25;72.69;72.17;72.25;374225.81
2018-04-16;72.46;72.46;72.29;72.32;81337.89
2018-04-17;72.48;73.15;72.31;73.15;2068589.35
2018-04-18;73.11;73.4;73.1;73.25;608162.41
2018-04-19;73.36;73.36;73.07;73.19;567164.48
