Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-03-09;36.3;36.44;36.3;36.18;293460.0
2010-03-10;35.99;36.04;35.94;35.85;294720.0
2010-03-11;;;;36.0;
2010-03-12;;;;35.99;
2010-03-15;;;;36.3;
2010-03-16;;;;35.87;
2010-03-17;;;;35.55;
2010-03-18;;;;35.81;
2010-03-19;36.05;36.05;36.05;36.05;3610.0
2010-03-22;;;;36.17;
2010-03-23;;;;35.78;
2010-03-24;;;;35.9;
2010-03-25;;;;35.38;
2010-03-26;35.38;35.43;35.38;35.43;11686.9
2010-03-29;35.27;35.27;35.27;35.27;3527.0
2010-03-30;;;;35.27;
2010-03-31;;;;35.27;
2010-04-01;;;;35.27;
2010-04-06;;;;35.27;
2010-04-07;34.85;34.85;34.85;34.85;3485.0
2010-04-08;;;;34.85;
2010-04-09;;;;34.85;
2010-04-12;;;;34.85;
2010-04-13;;;;34.85;
2010-04-14;;;;34.85;
2010-04-15;;;;34.85;
2010-04-16;34.5;34.5;34.5;34.5;5175.0
2010-04-19;;;;34.5;
2010-04-20;;;;34.5;
2010-04-21;;;;34.5;
2010-04-22;35.92;35.92;35.92;35.92;3592.0
2010-04-23;35.48;35.48;35.48;35.48;3548.0
2010-04-26;;;;35.48;
2010-04-27;35.84;35.84;35.84;35.84;3584.0
2010-04-28;36.84;37.29;36.79;36.94;94013.7
2010-04-29;36.85;36.85;36.85;36.85;663.3
2010-04-30;;;;36.85;
2010-05-03;;;;36.85;
2010-05-04;37.85;37.85;37.85;37.85;378.5
2010-05-05;38.02;38.02;38.02;38.02;3802.0
2010-05-06;;;;38.02;
2010-05-07;40.15;40.22;39.38;39.88;88890.0
2010-05-10;36.78;36.78;36.73;36.73;10473.1
2010-05-11;37.27;37.47;37.11;37.16;18470.3
2010-05-12;36.59;36.59;36.22;36.22;5470.0
2010-05-13;36.4;36.4;36.4;36.4;3640.0
2010-05-14;36.67;37.78;36.67;37.78;18530.8
2010-05-17;38.31;38.34;37.45;37.99;12434.7
2010-05-18;37.41;37.44;36.94;36.94;7698.5
2010-05-19;;;;36.94;
2010-05-20;38.95;39.34;38.88;39.29;78218.0
2010-05-21;39.36;39.36;39.36;39.36;3739.2
2010-05-24;38.3;38.51;38.3;38.51;6718.3
2010-05-25;;;;38.51;
2010-05-26;39.26;39.31;38.76;38.76;81320.0
2010-05-27;38.71;39.0;38.0;38.0;76877.0
2010-05-28;37.71;37.86;37.68;37.68;75563.0
2010-05-31;;;;37.68;
2010-06-01;38.82;38.82;38.61;38.61;7743.0
2010-06-02;38.56;38.56;38.08;38.08;26842.0
2010-06-03;37.28;37.56;37.19;37.5;36263.9
2010-06-04;37.37;38.74;37.37;38.53;86054.4
2010-06-07;39.35;39.52;38.68;39.24;76377.5
2010-06-08;38.92;39.87;38.92;39.55;19915.3
2010-06-09;38.97;39.08;38.97;39.08;15599.0
2010-06-10;38.89;38.9;38.32;38.32;79407.7
2010-06-11;37.81;37.92;37.38;37.38;76503.1
2010-06-14;36.84;36.93;36.71;36.93;29485.0
2010-06-15;37.08;37.08;36.37;36.37;42904.6
2010-06-16;36.02;36.45;36.02;36.4;36842.1
