Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-06-07;23.72;23.79;23.72;23.79;18745.1
2010-06-08;23.76;23.76;23.57;23.57;5247.0
2010-06-09;23.89;23.89;23.89;23.89;2389.0
2010-06-10;24.04;24.04;24.04;24.04;12020.0
2010-06-11;24.29;24.3;24.29;24.3;6801.6
2010-06-14;24.31;24.31;24.28;24.28;16285.6
2010-06-15;24.2;24.2;24.2;24.2;4840.0
2010-06-16;;;;24.2;
2010-06-17;24.5;24.71;24.37;24.37;48355.4
2010-06-18;24.5;24.5;24.5;24.5;24500.0
2010-06-21;24.65;25.05;24.65;24.8;300652.6
2010-06-22;24.79;24.79;24.7;24.7;12002.8
2010-06-23;;;;24.7;
2010-06-24;;;;24.7;
2010-06-25;;;;24.7;
2010-06-28;23.58;23.58;23.58;23.58;4716.0
2010-06-29;23.26;23.26;23.26;23.26;4652.0
2010-06-30;;;;23.26;
2010-07-01;;;;23.26;
2010-07-02;22.09;22.09;21.9;21.9;5941.5
2010-07-05;21.75;21.75;21.75;21.75;652.5
2010-07-06;21.53;21.94;21.53;21.94;21670.4
2010-07-07;;;;21.94;
2010-07-08;22.49;22.49;22.49;22.49;20083.6
2010-07-09;;;;22.49;
2010-07-12;23.0;23.0;23.0;23.0;92.0
2010-07-13;23.3;23.4;23.3;23.39;23518.5
2010-07-14;23.2;23.2;23.2;23.2;1160.0
2010-07-15;;;;23.2;
2010-07-16;22.18;22.18;22.18;22.18;887.2
2010-07-19;;;;22.18;
2010-07-20;22.03;22.03;22.03;22.03;5617.7
2010-07-21;;;;22.03;
2010-07-22;;;;22.03;
2010-07-23;;;;22.03;
2010-07-26;;;;22.03;
2010-07-27;22.62;22.63;22.61;22.61;1583.4
2010-07-28;22.39;22.39;22.39;22.39;47578.8
2010-07-29;;;;22.39;
2010-07-30;;;;22.39;
2010-08-02;22.91;22.91;22.91;22.91;114.6
2010-08-03;22.48;22.48;22.48;22.48;13488.0
2010-08-04;;;;22.48;
2010-08-05;22.85;22.85;22.85;22.85;14989.6
2010-08-06;22.76;22.76;22.3;22.3;11288.0
2010-08-09;22.43;22.43;22.43;22.43;4037.4
2010-08-10;;;;22.43;
2010-08-11;;;;22.43;
2010-08-12;;;;22.43;
2010-08-13;;;;22.43;
2010-08-16;;;;22.43;
2010-08-17;;;;22.43;
2010-08-18;;;;22.43;
2010-08-19;;;;22.43;
2010-08-20;;;;22.43;
2010-08-23;22.87;22.87;22.87;22.87;4574.0
2010-08-24;22.18;22.18;22.16;22.16;7047.2
2010-08-25;22.08;22.08;22.08;22.08;110.4
2010-08-26;;;;22.08;
2010-08-27;22.21;22.21;22.21;22.21;1998.9
2010-08-30;;;;22.21;
2010-08-31;;;;22.21;
2010-09-01;;;;22.21;
2010-09-02;22.99;23.1;22.99;22.99;9261.4
2010-09-03;;;;22.99;
2010-09-06;;;;22.99;
2010-09-07;23.48;23.48;23.45;23.45;11069.1
2010-09-08;23.57;23.57;23.57;23.57;235.7
2010-09-09;23.56;23.56;23.53;23.53;19248.1
2010-09-10;;;;23.53;
2010-09-13;23.68;23.68;23.68;23.68;40398.1
2010-09-14;23.68;23.73;23.68;23.73;11862.5
2010-09-15;;;;23.73;
2010-09-16;;;;23.73;
2010-09-17;23.34;23.63;23.31;23.31;4252133.8
2010-09-20;23.43;23.43;23.29;23.29;1171529.1
2010-09-21;23.36;23.36;23.36;23.36;1168000.0
2010-09-22;22.805;22.805;22.805;22.805;342.1
2010-09-23;22.6;22.6;22.6;22.6;2260.0
2010-09-24;22.66;22.66;22.66;22.66;22.7
2010-09-27;22.84;22.84;22.82;22.84;3174.4
2010-09-28;;;;22.84;
2010-09-29;;;;22.84;
2010-09-30;22.67;22.67;22.67;22.67;45.3
2010-10-01;22.69;22.69;22.69;22.69;113.5
2010-10-04;;;;22.69;
2010-10-05;;;;22.69;
2010-10-06;;;;22.69;
2010-10-07;;;;22.69;
2010-10-08;;;;22.69;
2010-10-11;;;;22.69;
2010-10-12;;;;22.69;
2010-10-13;;;;22.69;
2010-10-14;23.2;23.2;23.2;23.2;5104.0
2010-10-15;;;;23.2;
2010-10-18;;;;23.2;
2010-10-19;;;;23.2;
2010-10-20;22.71;22.71;22.71;22.71;522.3
2010-10-21;;;;22.71;
2010-10-22;;;;22.71;
2010-10-25;22.71;22.71;22.71;22.71;22710.0
2010-10-26;;;;22.71;
2010-10-27;22.87;22.87;22.87;22.87;503.1
2010-10-28;;;;22.87;
2010-10-29;23.0;23.0;23.0;23.0;1150.0
2010-11-01;23.0;23.0;23.0;23.0;115.0
