Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-04-20;50.14;50.14;49.45;49.45;7561.0
2007-04-23;49.45;49.45;49.22;49.22;11150.0
2007-04-24;49.22;49.22;48.76;48.76;3513.0
2007-04-25;48.53;48.53;47.84;47.84;13191.0
2007-04-26;47.84;47.84;47.38;47.38;18922.0
2007-04-27;46.92;47.84;46.92;47.84;5750.0
2007-04-30;;;;47.84;
2007-05-02;47.15;47.38;46.92;46.92;11065.0
2007-05-03;46.759;47.15;46.69;47.15;7061.0
2007-05-04;47.15;48.07;47.15;47.38;7555.0
2007-05-07;47.84;47.84;47.15;47.38;16064.0
2007-05-08;48.76;48.76;46.23;47.219;22697.0
2007-05-09;47.564;47.61;47.564;47.61;1814.0
2007-05-10;47.564;48.07;47.564;48.07;17779.0
2007-05-11;47.61;47.61;47.61;47.61;6578.0
2007-05-14;;;;47.61;
2007-05-15;48.3;48.3;47.84;47.84;11752.0
2007-05-16;47.84;49.105;47.84;49.105;26454.0
2007-05-17;49.22;50.6;49.22;50.6;17715.0
2007-05-18;50.6;51.359;50.37;50.485;32763.0
2007-05-21;50.324;50.6;50.324;50.6;18485.0
2007-05-22;49.864;51.129;49.864;50.255;31388.0
2007-05-23;50.6;50.6;50.14;50.485;3234.0
2007-05-24;50.37;51.405;50.37;51.359;23784.0
2007-05-25;51.635;51.635;51.175;51.29;3753.0
2007-05-28;51.98;51.98;50.14;50.715;12406.0
2007-05-29;50.669;50.669;50.025;50.025;9898.0
2007-05-30;50.025;50.025;49.45;50.025;21085.0
2007-05-31;50.531;50.531;50.324;50.324;2412.0
2007-06-01;50.255;51.52;50.255;51.52;7361.0
2007-06-04;52.785;53.36;52.141;53.36;57462.0
2007-06-05;52.9;52.9;51.52;52.21;12447.0
2007-06-06;52.969;52.969;52.555;52.601;4246.0
2007-06-07;52.67;52.739;52.44;52.739;46969.0
2007-06-08;53.199;53.36;52.555;52.555;50859.0
2007-06-11;52.555;52.555;52.21;52.21;10276.0
2007-06-12;53.13;53.13;52.21;52.21;1028.0
2007-06-13;52.21;52.21;49.68;51.681;22708.0
2007-06-14;52.67;52.67;52.095;52.095;18831.0
2007-06-15;52.555;52.555;51.865;52.279;10069.0
2007-06-18;52.141;52.325;51.681;51.911;35242.0
2007-06-19;51.75;51.819;51.06;51.06;42538.0
2007-06-20;51.175;51.635;50.945;51.635;24346.0
2007-06-21;52.279;52.279;51.52;51.52;17136.0
2007-06-22;51.75;51.865;51.405;51.405;7186.0
2007-06-25;50.6;50.899;50.14;50.186;20980.0
2007-06-26;49.45;49.45;48.76;48.944;22247.0
2007-06-27;49.45;49.45;49.404;49.404;494.0
2007-06-28;49.634;49.795;49.404;49.795;6471.0
2007-06-29;49.565;49.565;49.45;49.45;7958.0
2007-07-02;49.634;49.634;48.645;48.714;9203.0
2007-07-03;47.495;48.76;47.495;48.346;7079.0
2007-07-04;;;;48.346;
2007-07-05;48.415;48.415;48.254;48.254;5257.0
2007-07-06;48.3;48.346;47.725;47.84;119636.0
2007-07-09;50.025;50.025;47.84;47.84;12258.0
2007-07-10;47.564;47.564;47.564;47.564;8270.0
2007-07-11;48.346;48.346;48.254;48.254;2531.0
2007-07-12;48.3;48.484;47.84;47.84;1840.0
2007-07-13;47.84;47.84;47.564;47.564;33130.0
2007-07-16;47.61;47.61;47.035;47.035;9891.0
2007-07-17;45.31;48.806;45.31;48.645;137288.0
2007-07-18;48.415;48.806;48.415;48.645;3605.0
2007-07-19;49.45;49.496;49.22;49.22;23663.0
2007-07-20;49.22;49.335;49.174;49.174;10876.0
2007-07-23;49.68;49.68;48.3;48.3;46647.0
2007-07-24;48.576;48.576;48.53;48.53;13500.0
2007-07-25;50.14;50.14;49.404;49.404;12672.0
