Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-09-15;80.91;80.91;80.65;80.65;16236.7
2010-09-16;80.13;80.13;80.13;80.13;4807.8
2010-09-17;79.41;79.41;79.41;79.41;9529.2
2010-09-20;;;;79.41;
2010-09-21;;;;79.41;
2010-09-22;78.45;78.45;78.1;78.1;312750.0
2010-09-23;77.47;77.47;77.47;77.47;232410.0
2010-09-24;78.46;78.46;78.36;78.36;627415.4
2010-09-27;78.46;78.46;78.46;78.46;235615.4
2010-09-28;78.66;78.66;78.66;78.66;1573.2
2010-09-29;78.28;78.28;78.28;78.28;2348.4
2010-09-30;;;;78.28;
2010-10-01;78.37;78.37;78.28;78.28;587505.0
2010-10-04;78.9;78.92;78.9;78.9;15387.5
2010-10-05;78.32;78.62;78.32;78.62;323500.6
2010-10-06;79.25;79.25;79.25;79.25;79.3
2010-10-07;78.83;78.83;78.83;78.83;788.3
2010-10-08;77.93;78.37;77.93;78.37;9767.7
2010-10-11;78.56;78.56;78.56;78.56;3535.2
2010-10-12;78.46;78.46;78.46;78.46;6276.8
2010-10-13;78.77;78.9;78.77;78.88;270598.6
2010-10-14;78.83;78.96;78.75;78.96;666902.6
2010-10-15;78.74;78.74;78.74;78.74;236456.2
2010-10-18;78.77;78.77;78.77;78.77;24418.7
2010-10-19;78.5;78.5;78.5;78.5;53694.0
2010-10-20;78.97;78.97;77.93;77.93;234325.9
2010-10-21;78.49;78.49;78.49;78.49;39245.0
2010-10-22;;;;78.49;
2010-10-25;79.31;79.99;79.31;79.99;8024.7
2010-10-26;79.68;79.68;79.68;79.68;13944.0
2010-10-27;79.66;79.66;79.66;79.66;398539.0
2010-10-28;79.45;79.45;79.38;79.38;6909.6
2010-10-29;;;;79.38;
2010-11-01;79.84;79.85;79.84;79.85;479070.0
2010-11-02;80.26;80.26;79.84;79.84;241526.5
2010-11-03;;;;79.84;
2010-11-04;80.49;80.57;80.49;80.57;20943.4
2010-11-05;80.8;80.8;80.63;80.63;16966.3
2010-11-08;82.27;82.27;82.22;82.22;49337.0
2010-11-09;82.28;82.28;82.28;82.28;14399.0
2010-11-10;82.95;82.95;82.95;82.95;11198.2
2010-11-11;82.96;83.19;82.96;83.19;249960.8
2010-11-12;;;;83.19;
2010-11-15;;;;83.19;
2010-11-16;80.52;80.52;80.18;80.18;183014.1
2010-11-17;;;;80.18;
2010-11-18;80.8;80.8;80.8;80.8;242642.4
2010-11-19;;;;80.8;
2010-11-22;80.82;81.33;80.46;80.6;11075967.7
2010-11-23;79.7;79.7;79.31;79.52;1310886.6
2010-11-24;81.06;81.06;80.76;80.9;39894.0
2010-11-25;81.51;81.53;81.13;81.53;12628.3
2010-11-26;80.5;80.64;80.0;80.64;75597.0
2010-11-29;81.41;81.76;81.41;81.76;283713.4
2010-11-30;81.97;81.97;81.97;81.97;6393.7
2010-12-01;83.33;83.62;83.1;83.59;549266.3
2010-12-02;84.0;84.13;84.0;84.13;47531.6
2010-12-03;83.37;83.37;83.37;83.37;59776.3
2010-12-06;83.73;83.84;83.49;83.51;4600.6
2010-12-07;84.28;84.36;84.28;84.36;14753.0
2010-12-08;;;;84.36;
2010-12-09;83.79;83.79;83.79;83.79;26058.7
2010-12-10;83.73;84.11;83.57;84.11;12309.4
2010-12-13;84.0;84.0;83.6;83.61;898618.7
2010-12-14;83.72;83.72;83.72;83.72;7451.1
2010-12-15;83.25;83.25;82.89;83.17;20974.2
2010-12-16;83.03;83.03;82.77;82.77;39346.9
2010-12-17;82.91;82.92;82.91;82.92;5223.6
2010-12-20;83.85;83.85;83.33;83.83;12287736.0
2010-12-21;84.49;84.71;84.49;84.71;14960.2
2010-12-22;85.0;85.3;85.0;85.3;40136.7
2010-12-23;84.95;84.95;84.95;84.95;8325.1
2010-12-27;84.7;84.73;84.55;84.73;26230.4
2010-12-28;84.91;84.91;84.91;84.91;1868.0
2010-12-29;;;;84.91;
2010-12-30;85.72;85.72;85.72;85.72;4286.0
2011-01-03;86.71;86.88;86.17;86.17;27445.1
2011-01-04;86.76;86.76;85.95;86.65;135168.2
2011-01-05;;;;86.65;
2011-01-06;87.82;87.94;87.82;87.94;1142.6
2011-01-07;87.5;87.5;87.28;87.5;271289.3
