Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2014-10-20;6160.0;6160.0;6160.0;6160.0;616.0
2014-10-21;6131.0;6131.0;6022.0;6022.0;1817.5
2014-10-22;;;;6022.0;
2014-10-23;;;;6022.0;
2014-10-24;;;;6022.0;
2014-10-27;;;;6022.0;
2014-10-28;;;;6022.0;
2014-10-29;;;;6022.0;
2014-10-30;;;;6022.0;
2014-10-31;;;;6022.0;
2014-11-03;;;;6022.0;
2014-11-04;5124.0;5124.0;5124.0;5124.0;1024.8
2014-11-05;;;;5124.0;
2014-11-06;;;;5124.0;
2014-11-07;4859.5;4995.0;4859.5;4995.0;2706.6
2014-11-10;;;;4995.0;
2014-11-11;4928.5;4928.5;4928.5;4928.5;1232.125
2014-11-12;5064.0;5172.0;5064.0;5172.0;2559.0
2014-11-13;;;;5172.0;
2014-11-14;;;;5172.0;
2014-11-17;5060.0;5060.0;5060.0;5060.0;60720.0
2014-11-18;;;;5060.0;
2014-11-19;;;;5060.0;
2014-11-20;4842.0;4842.0;4842.0;4842.0;58104.0
2014-11-21;;;;4842.0;
2014-11-24;;;;4842.0;
2014-11-25;;;;4842.0;
2014-11-26;;;;4842.0;
2014-11-27;;;;4842.0;
2014-11-28;;;;4842.0;
2014-12-01;;;;4842.0;
2014-12-02;4017.5;4017.5;4017.5;4017.5;8035.0
2014-12-03;;;;4017.5;
2014-12-04;;;;4017.5;
2014-12-05;;;;4017.5;
2014-12-08;;;;4017.5;
2014-12-09;;;;4017.5;
2014-12-10;;;;4017.5;
2014-12-11;4149.0;4149.0;4149.0;4149.0;1244.7
2014-12-12;;;;4149.0;
2014-12-15;;;;4149.0;
2014-12-16;4802.5;4802.5;4802.5;4802.5;960.5
2014-12-17;4545.5;4545.5;4543.5;4543.5;9089.0
2014-12-18;4289.0;4289.0;4173.0;4173.0;9521.07
2014-12-19;4060.0;4209.0;4060.0;4115.0;4130.375
2014-12-22;4023.0;4090.0;4023.0;4090.0;2028.25
2014-12-23;4016.5;4016.5;4016.5;4016.5;1004.125
2014-12-29;4082.5;4082.5;4082.5;4082.5;1020.625
2014-12-30;4137.5;4140.0;4137.5;4140.0;3103.75
2015-01-02;4096.0;4231.0;4096.0;4231.0;2081.75
2015-01-05;4459.0;4459.0;4459.0;4459.0;2229.5
2015-01-06;;;;4459.0;
2015-01-07;;;;4459.0;
2015-01-08;4341.0;4341.0;4051.0;4051.0;10399.375
2015-01-09;4100.5;4216.5;4050.0;4208.0;61767.75
2015-01-12;4159.0;4240.0;4132.0;4132.0;4165.75
2015-01-13;4070.0;4070.0;3880.0;3880.0;10724.0
2015-01-14;4030.0;4056.5;3880.0;3960.0;6966.75
2015-01-15;3891.5;4121.0;3825.0;3825.0;14984.125
2015-01-16;3830.0;3830.0;3597.5;3597.5;9342.5
2015-01-19;3555.0;3555.0;3500.0;3500.0;8160.0
2015-01-20;;;;3500.0;
2015-01-21;3566.5;3622.5;3519.5;3550.0;81759.2
2015-01-22;3508.0;3508.0;3390.0;3390.0;11386.0
2015-01-23;3125.0;3167.5;3104.5;3151.0;66889.975
2015-01-26;3147.0;3147.0;3057.0;3058.5;59466.9
2015-01-27;3055.0;3150.5;3030.0;3150.5;10737.75
2015-01-28;3081.0;3081.0;3081.0;3081.0;1540.5
2015-01-29;;;;3081.0;
2015-01-30;3008.5;3100.0;3008.5;3100.0;12224.0
2015-02-02;3050.5;3050.5;3040.0;3040.0;4565.25
2015-02-03;2901.0;2910.0;2858.5;2894.5;27391.0
2015-02-04;2920.0;2978.5;2920.0;2920.0;8802.75
2015-02-05;2945.5;2945.5;2915.0;2915.0;4825.0
2015-02-06;2922.0;2975.0;2922.0;2945.0;5934.72
2015-02-09;3100.0;3128.0;3079.5;3079.5;7927.875
2015-02-10;3104.0;3104.0;3001.0;3065.0;11340.675
2015-02-11;;;;3065.0;
2015-02-12;3036.0;3036.0;2876.0;2876.0;25211.0
2015-02-13;2841.0;2841.0;2841.0;2841.0;3551.25
2015-02-16;2875.5;2875.5;2875.5;2875.5;1437.75
2015-02-17;2945.5;2995.0;2909.5;2950.0;13306.5
2015-02-18;2879.5;2879.5;2865.5;2870.0;11480.25
2015-02-19;2896.0;2896.0;2860.0;2860.0;5756.0
2015-02-20;;;;2860.0;
2015-02-23;;;;2860.0;
2015-02-24;2708.5;2708.5;2670.5;2670.5;17377.25
2015-02-25;2660.5;2671.5;2660.5;2671.5;21324.0
2015-02-26;2657.5;2657.5;2585.5;2585.5;14414.5
2015-02-27;;;;2585.5;
2015-03-02;;;;2585.5;
2015-03-03;2527.5;2592.5;2527.5;2592.5;12978.375
2015-03-04;2605.0;2643.5;2553.0;2553.0;25996.0
2015-03-05;2492.5;2506.0;2492.5;2497.5;27497.0
2015-03-06;2448.5;2448.5;2448.5;2448.5;2448.5
2015-03-09;2444.0;2444.0;2420.0;2420.0;9728.0
2015-03-10;2416.0;2491.0;2416.0;2443.0;36734.0
2015-03-11;2404.0;2404.0;2249.5;2249.5;205648.0
2015-03-12;2262.0;2262.0;2255.0;2255.0;11292.5
2015-03-13;2283.0;2283.0;2231.5;2231.5;11286.25
2015-03-16;2111.0;2111.0;2030.0;2030.0;83794.405
2015-03-17;2040.5;2152.0;2040.5;2152.0;25785.0
2015-03-18;2148.5;2227.0;2148.5;2188.5;53386.45
2015-03-19;2190.5;2190.5;2190.5;2190.5;17085.9
2015-03-20;2110.5;2126.0;2110.5;2126.0;6339.25
2015-03-23;2190.5;2190.5;2190.5;2190.5;5476.25
2015-03-24;2207.5;2207.5;2207.5;2207.5;22075.0
2015-03-25;2125.0;2125.0;2125.0;2125.0;27625.0
2015-03-26;2296.5;2313.0;2295.0;2295.0;12768.75
2015-03-27;2169.5;2233.5;2169.5;2200.5;13379.935
2015-03-30;2109.0;2109.0;2100.0;2100.0;7162.5
2015-03-31;2083.0;2083.0;2083.0;2083.0;1874.7
2015-04-01;2074.5;2109.0;2074.5;2109.0;24789.6
2015-04-02;;;;2109.0;
2015-04-07;2072.0;2072.0;2072.0;2072.0;6216.0
2015-04-08;2069.0;2092.0;2069.0;2092.0;12474.0
2015-04-09;;;;2092.0;
2015-04-10;2009.0;2009.0;1931.5;1944.0;42158.255
2015-04-13;1933.0;1933.0;1919.5;1919.5;90756.5
2015-04-14;1985.0;1985.0;1985.0;1985.0;3771.5
2015-04-15;1985.0;1985.0;1985.0;1985.0;3573.0
2015-04-16;2074.0;2074.0;2074.0;2074.0;4148.0
2015-04-17;2133.5;2230.0;2133.5;2200.0;9668.75
2015-04-20;2213.0;2213.0;2154.5;2154.5;7197.6
2015-04-21;2083.0;2120.0;2068.5;2120.0;11586.295
2015-04-22;2177.5;2177.5;2173.0;2173.0;26080.5
2015-04-23;2239.0;2239.0;2239.0;2239.0;156.73
2015-04-24;2216.0;2216.0;2216.0;2216.0;1108.0
2015-04-27;2121.0;2121.0;2085.0;2085.0;14799.5
2015-04-28;2120.0;2149.5;2120.0;2149.5;16082.75
2015-04-29;2282.5;2357.0;2282.5;2357.0;28169.75
2015-04-30;2381.5;2381.5;2360.0;2369.0;6518.25
2015-05-04;;;;2369.0;
2015-05-05;2310.0;2387.5;2310.0;2387.5;2348.75
2015-05-06;2484.0;2484.0;2387.5;2387.5;8177.9
2015-05-07;2454.0;2467.5;2454.0;2467.5;3805.725
2015-05-08;;;;2467.5;
2015-05-11;;;;2467.5;
2015-05-12;2367.5;2390.0;2321.0;2321.0;104977.0
2015-05-13;;;;2321.0;
2015-05-14;2459.0;2459.0;2415.0;2415.0;101533.0
2015-05-15;;;;2415.0;
2015-05-18;2295.5;2295.5;2295.5;2295.5;4591.0
2015-05-19;2165.0;2165.0;2112.5;2112.5;133701.5
2015-05-20;;;;2112.5;
2015-05-21;;;;2112.5;
2015-05-22;;;;2112.5;
2015-05-25;2000.0;2000.0;2000.0;2000.0;1000.0
2015-05-26;2084.0;2210.0;2084.0;2210.0;115932.0
2015-05-27;2210.0;2210.0;2210.0;2210.0;2210.0
2015-05-28;;;;2210.0;
2015-05-29;2265.0;2265.0;2212.0;2212.0;10697.55
2015-06-01;2342.0;2358.0;2342.0;2358.0;705.0
2015-06-02;2363.0;2363.0;2363.0;2363.0;18904.0
2015-06-03;;;;2363.0;
2015-06-04;2463.0;2463.0;2463.0;2463.0;6157.5
2015-06-05;2460.0;2460.0;2460.0;2460.0;73800.0
2015-06-08;2473.5;2550.0;2473.5;2550.0;79516.7
2015-06-09;2599.0;2672.0;2590.5;2672.0;12624.06
2015-06-10;2612.0;2612.0;2450.0;2450.0;42199.3
2015-06-11;2365.0;2365.0;2295.0;2362.0;74501.55
2015-06-12;2419.0;2465.0;2419.0;2465.0;15929.7
2015-06-15;2560.0;2609.5;2560.0;2609.5;16937.0
2015-06-16;2711.5;2711.5;2600.5;2600.5;45189.25
2015-06-17;2552.0;2552.5;2545.5;2545.5;9052.8
2015-06-18;2629.0;2629.0;2629.0;2629.0;2629.0
2015-06-19;2503.0;2503.0;2503.0;2503.0;500.6
2015-06-22;2360.0;2377.0;2260.0;2280.5;39021.435
2015-06-23;2222.5;2222.5;2182.0;2213.0;7127.5
2015-06-24;2221.5;2303.5;2221.5;2266.5;19901.25
2015-06-25;2283.0;2304.0;2223.0;2304.0;10672.01
2015-06-26;;;;2304.0;
2015-06-29;2474.0;2475.0;2430.0;2430.0;6942.03
2015-06-30;2577.0;2577.0;2543.0;2543.0;15292.0
2015-07-01;2385.0;2435.0;2355.0;2395.0;9540.0
2015-07-02;;;;2395.0;
2015-07-03;2472.0;2472.0;2472.0;2472.0;2472.0
2015-07-06;2610.0;2612.0;2610.0;2612.0;3524.2
2015-07-07;2588.0;2720.0;2588.0;2716.0;53583.2
2015-07-08;;;;2716.0;
2015-07-09;;;;2716.0;
2015-07-10;2356.5;2380.0;2314.0;2314.0;12000.15
2015-07-13;2290.0;2290.0;2200.0;2209.5;9888.25
2015-07-14;;;;2209.5;
2015-07-15;;;;2209.5;
2015-07-16;2090.0;2090.0;2049.0;2049.0;10644.775
2015-07-17;2077.0;2094.5;2077.0;2094.5;11511.0
2015-07-20;;;;2094.5;
2015-07-21;2083.5;2083.5;2083.5;2083.5;2083.5
2015-07-22;2158.5;2158.5;2158.5;2158.5;1079.25
2015-07-23;2124.5;2189.0;2124.5;2189.0;13079.75
2015-07-24;2200.0;2210.0;2200.0;2210.0;3310.0
2015-07-27;2358.0;2402.5;2331.0;2402.0;209321.8
2015-07-28;2412.5;2412.5;2412.5;2412.5;4825.0
2015-07-29;;;;2412.5;
2015-07-30;2288.5;2372.0;2286.5;2372.0;6486.9
2015-07-31;;;;2372.0;
2015-08-03;2204.0;2204.0;2204.0;2204.0;17632.0
2015-08-04;;;;2204.0;
2015-08-05;2159.5;2159.5;2085.0;2085.0;15170.2
2015-08-06;2090.5;2090.5;2090.5;2090.5;1045.25
2015-08-07;2134.0;2134.0;2134.0;2134.0;1067.0
2015-08-10;2101.0;2101.0;2101.0;2101.0;1050.5
2015-08-11;2135.0;2263.0;2135.0;2263.0;27554.5
2015-08-12;2420.0;2420.0;2420.0;2420.0;1210.0
2015-08-13;;;;2420.0;
2015-08-14;;;;2420.0;
