Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-05-17;18.87;18.9;18.87;18.9;1908.87
2023-05-18;19.23;19.44;19.2;19.44;39314.71
2023-05-19;19.97;19.97;19.47;19.47;21112.21
2023-05-22;19.444;19.508;19.35;19.508;20824.274
2023-05-23;19.56;19.668;19.45;19.66;91639.104
2023-05-24;19.436;19.436;19.22;19.22;43977.416
2023-05-25;19.464;19.464;19.2;19.2;35048.16
2023-05-26;19.208;19.638;19.138;19.638;35152.516
2023-05-29;20.05;20.05;19.69;19.72;68606.208
2023-05-30;19.718;19.818;19.7;19.818;49854.19
2023-05-31;19.79;19.87;19.6;19.6;56549.14
2023-06-01;19.866;20.065;19.76;19.77;27468.821
2023-06-02;19.85;20.08;19.85;20.08;28246.4
2023-06-05;20.17;20.25;20.015;20.24;106139.14
2023-06-06;20.22;20.76;19.996;20.2;49095.414
2023-06-07;20.385;20.4;20.155;20.4;34521.64
2023-06-08;20.26;20.455;20.0;20.1;103914.62
2023-06-09;20.69;20.69;20.45;20.585;19925.85
2023-06-12;20.575;20.62;20.5;20.61;62497.67
2023-06-13;20.725;20.775;20.6;20.74;98750.635
2023-06-14;20.78;20.845;20.65;20.65;101520.735
2023-06-15;20.505;20.615;20.495;20.615;33289.015
2023-06-16;20.78;20.9;20.78;20.885;26531.495
2023-06-19;21.045;21.36;20.9;20.98;187531.71
2023-06-20;20.88;21.21;20.88;20.99;76952.875
2023-06-21;20.94;21.05;20.875;20.875;41632.615
2023-06-22;20.67;20.69;20.65;20.65;55068.44
2023-06-23;20.635;20.74;20.35;20.35;23170.76
2023-06-26;20.385;20.385;20.1;20.1;57742.23
2023-06-27;20.37;20.37;20.305;20.305;3153.775
2023-06-28;20.54;20.68;20.54;20.68;10302.9
2023-06-29;20.68;20.925;20.68;20.925;16536.605
2023-06-30;20.82;21.4;20.81;20.81;429538.95
2023-07-03;21.195;21.195;21.07;21.105;96072.995
2023-07-04;21.105;21.105;21.0;21.055;71815.67
2023-07-05;21.045;21.065;21.035;21.035;17407.87
2023-07-06;20.955;20.955;20.81;20.81;22835.525
2023-07-07;20.67;20.78;20.67;20.78;12457.0
2023-07-10;20.69;20.81;20.565;20.81;20319.36
2023-07-11;20.915;20.97;20.915;20.965;9853.55
2023-07-12;21.06;21.295;20.98;21.175;86042.72
2023-07-13;21.045;21.245;21.045;21.235;105831.56
2023-07-14;21.0;21.0;20.88;20.88;100699.915
2023-07-17;20.81;20.995;20.76;20.995;30484.66
2023-07-18;21.0;21.125;20.95;21.125;7362.7
2023-07-19;21.255;21.375;21.155;21.24;219335.36
2023-07-20;21.225;21.34;21.06;21.295;210969.825
2023-07-21;21.335;21.335;21.165;21.165;69882.05
2023-07-24;21.065;21.245;21.06;21.19;75605.68
2023-07-25;21.14;21.245;21.065;21.07;72156.445
2023-07-26;21.285;21.305;21.11;21.15;68994.17
2023-07-27;21.15;21.55;21.15;21.275;73274.9
2023-07-28;21.25;21.31;21.155;21.155;32067.645
2023-07-31;21.615;21.875;21.6;21.875;84521.695
2023-08-01;22.025;22.03;21.86;22.03;79343.285
2023-08-02;22.025;22.2;21.77;21.945;144774.88
2023-08-03;21.95;21.96;21.79;21.85;64048.3
2023-08-04;22.07;22.105;21.805;21.805;25840.91
2023-08-07;22.2;22.2;21.87;22.07;102687.885
2023-08-08;22.22;22.22;21.87;21.89;277689.975
2023-08-09;21.985;22.05;21.79;21.795;56301.985
2023-08-10;21.78;21.78;21.56;21.685;32335.23
2023-08-11;21.57;21.58;21.56;21.57;25088.28
2023-08-14;21.69;21.69;21.59;21.6;10603.46
2023-08-16;21.4;21.45;21.345;21.45;30400.95
2023-08-17;21.41;21.41;21.165;21.165;22401.755
2023-08-18;20.975;20.975;20.6;20.81;91812.17
2023-08-21;20.975;21.145;20.975;21.145;5979.51
2023-08-22;21.105;21.205;21.105;21.17;18819.755
2023-08-23;21.21;21.475;21.21;21.475;8783.16
2023-08-24;21.59;21.59;21.23;21.23;69986.445
2023-08-25;21.415;21.415;21.415;21.415;2141.5
2023-08-28;21.34;21.605;21.34;21.605;42419.145
2023-08-29;21.66;21.66;21.46;21.595;28444.79
2023-08-30;21.65;21.685;21.55;21.655;19209.91
2023-08-31;21.71;21.71;21.685;21.69;9245.105
2023-09-01;21.61;21.86;21.61;21.86;6747.61
2023-09-04;21.905;21.905;21.725;21.725;122407.49
2023-09-05;21.885;22.055;21.8;21.895;50614.245
2023-09-06;21.8;21.825;21.77;21.825;102578.725
2023-09-07;21.755;21.8;21.46;21.46;8012.595
2023-09-08;21.735;21.735;21.54;21.54;22593.92
2023-09-11;21.74;21.96;21.74;21.78;56747.8
2023-09-12;21.745;21.76;21.7;21.72;19545.46
2023-09-13;21.725;21.725;21.725;21.725;2172.5
2023-09-14;21.765;21.765;21.68;21.765;25155.415
2023-09-15;21.85;22.095;21.8;21.8;60733.23
2023-09-18;21.84;21.84;21.74;21.765;25175.84
2023-09-19;21.63;21.85;21.63;21.7;7081.25
2023-09-20;21.7;21.715;21.575;21.575;31763.69
2023-09-21;21.34;21.46;21.28;21.28;12619.68
2023-09-22;21.215;21.215;21.16;21.18;2667.96
2023-09-25;20.965;21.115;20.96;20.96;5954.045
2023-09-26;21.145;21.145;21.0;21.0;10801.265
2023-09-27;21.185;21.46;21.185;21.42;44664.09
2023-09-28;21.575;21.6;21.51;21.51;51029.5
2023-09-29;21.61;21.675;21.61;21.675;5886.405
2023-10-02;21.695;21.695;21.405;21.405;14737.38
2023-10-03;21.615;21.615;21.46;21.46;4670.85
2023-10-04;21.18;21.36;21.16;21.16;43329.335
2023-10-05;21.26;21.305;21.065;21.065;46180.36
2023-10-06;21.12;21.27;21.105;21.215;10115.045
2023-10-09;21.585;22.1;21.58;22.085;123459.21
2023-10-10;22.46;22.5;22.32;22.48;76198.82
2023-10-11;22.34;22.845;22.34;22.845;170843.605
2023-10-12;22.84;22.965;22.73;22.88;188198.835
2023-10-13;22.915;22.94;22.65;22.65;144365.415
2023-10-16;23.3;23.3;22.64;22.715;337896.145
2023-10-17;22.85;22.97;22.61;22.9;81869.85
2023-10-18;22.885;22.885;22.58;22.6;97749.28
2023-10-19;22.47;22.47;22.215;22.245;59187.335
2023-10-20;22.11;22.145;21.95;21.96;92292.79
2023-10-23;21.985;21.985;21.67;21.855;139757.25
2023-10-24;21.645;22.165;21.645;21.995;71370.565
2023-10-25;21.885;22.025;21.885;21.96;163043.26
2023-10-26;21.88;21.98;21.775;21.98;76788.555
2023-10-27;21.965;21.965;21.625;21.625;66794.96
2023-10-30;21.765;21.785;21.5;21.57;41431.585
2023-10-31;21.425;21.785;21.305;21.785;10662.91
2023-11-01;21.915;22.145;21.785;21.98;20545.955
2023-11-02;22.255;22.5;22.175;22.5;44719.56
2023-11-03;22.53;22.595;22.47;22.595;150118.06
