Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2008-02-29;28.77;28.77;28.77;28.77;58.0
2008-03-03;;;;28.77;
2008-03-04;;;;28.77;
2008-03-05;28.06;28.06;28.06;28.06;280600.0
2008-03-06;27.28;27.28;27.28;27.28;846.0
2008-03-07;26.96;26.96;26.96;26.96;53920.0
2008-03-10;26.94;27.02;26.94;27.02;120971.0
2008-03-11;27.0;27.26;27.0;27.26;109757.0
2008-03-12;;;;27.26;
2008-03-13;;;;27.26;
2008-03-14;27.61;27.76;27.61;27.76;110740.0
2008-03-17;26.5;26.5;25.94;25.94;443938.0
2008-03-18;26.36;26.62;26.36;26.62;264830.0
2008-03-19;27.37;27.48;27.37;27.48;822750.0
2008-03-20;27.4;27.4;27.4;27.4;54800.0
2008-03-25;28.45;28.45;28.45;28.45;426750.0
2008-03-26;28.1;28.1;28.1;28.1;1939.0
2008-03-27;;;;28.1;
2008-03-28;27.3;27.3;27.15;27.15;274873.0
2008-03-31;26.75;26.75;26.52;26.52;372760.0
2008-04-01;27.27;27.93;27.27;27.86;488759.0
2008-04-02;;;;27.86;
2008-04-03;28.61;28.61;28.61;28.61;24891.0
2008-04-04;;;;28.61;
2008-04-07;28.12;28.12;28.12;28.12;1125.0
2008-04-08;27.97;27.97;27.97;27.97;55940.0
2008-04-09;;;;27.97;
2008-04-10;27.9;27.9;27.12;27.12;4239.0
2008-04-11;27.28;27.28;27.28;27.28;54560.0
2008-04-14;;;;27.28;
2008-04-15;;;;27.28;
2008-04-16;;;;27.28;
2008-04-17;;;;27.28;
2008-04-18;27.22;27.22;27.22;27.22;54440.0
2008-04-21;27.2;27.2;26.7;26.7;46806.0
2008-04-22;;;;26.7;
2008-04-23;;;;26.7;
2008-04-24;26.81;26.81;26.81;26.81;2493.0
2008-04-25;;;;26.81;
2008-04-28;;;;26.81;
2008-04-29;;;;26.81;
2008-04-30;;;;26.81;
2008-05-02;28.31;28.49;28.31;28.49;4767.0
2008-05-05;28.41;28.41;28.05;28.05;28286.0
2008-05-06;28.2;28.21;28.2;28.21;310260.0
2008-05-07;;;;28.21;
2008-05-08;28.11;28.11;28.11;28.11;15179.0
2008-05-09;27.4;27.7;27.35;27.7;418069.0
2008-05-12;27.73;27.73;27.73;27.73;14974.0
2008-05-13;28.08;28.08;28.08;28.08;140400.0
2008-05-14;28.12;28.14;28.12;28.14;9141.0
2008-05-15;28.13;28.13;28.13;28.13;15050.0
2008-05-16;;;;28.13;
2008-05-19;;;;28.13;
2008-05-20;;;;28.13;
2008-05-21;;;;28.13;
2008-05-22;;;;28.13;
2008-05-23;;;;28.13;
2008-05-26;;;;28.13;
2008-05-27;;;;28.13;
2008-05-28;26.65;26.65;26.65;26.65;53.0
2008-05-29;;;;26.65;
2008-05-30;27.54;27.54;27.03;27.03;233637.0
2008-06-02;;;;27.03;
2008-06-03;;;;27.03;
2008-06-04;26.67;26.67;26.67;26.67;4934.0
2008-06-05;27.09;27.09;27.09;27.09;54180.0
2008-06-06;26.67;26.67;26.67;26.67;533.0
2008-06-09;;;;26.67;
2008-06-10;;;;26.67;
2008-06-11;25.5;25.5;25.5;25.5;612.0
2008-06-12;;;;25.5;
2008-06-13;;;;25.5;
2008-06-16;25.6;25.6;25.23;25.23;786.0
2008-06-17;25.64;25.64;25.64;25.64;513.0
2008-06-18;25.1;25.1;25.1;25.1;50.0
2008-06-19;;;;25.1;
2008-06-20;;;;25.1;
2008-06-23;24.75;24.75;24.75;24.75;4975.0
2008-06-24;;;;24.75;
2008-06-25;;;;24.75;
2008-06-26;23.69;23.69;23.69;23.69;948.0
2008-06-27;;;;23.69;
2008-06-30;;;;23.69;
2008-07-01;;;;23.69;
2008-07-02;;;;23.69;
2008-07-03;22.5;23.08;22.5;22.9;409640.0
2008-07-04;;;;22.9;
2008-07-07;22.81;22.81;22.57;22.57;565.0
2008-07-08;;;;22.57;
2008-07-09;;;;22.57;
2008-07-10;22.59;22.59;22.59;22.59;113.0
2008-07-11;21.69;21.69;21.69;21.69;65.0
2008-07-14;22.1;22.1;22.1;22.1;1702.0
2008-07-15;20.11;20.11;20.11;20.11;1548.0
2008-07-16;;;;20.11;
2008-07-17;;;;20.11;
2008-07-18;;;;20.11;
