Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2006-11-22;30.0;30.0;29.8;29.8;14973.0
2006-11-23;29.91;29.91;29.8;29.83;12556.0
2006-11-24;29.53;29.53;29.47;29.47;384.0
2006-11-27;29.46;29.47;29.43;29.47;7447.0
2006-11-28;29.33;29.33;29.22;29.22;11703.0
2006-11-29;29.48;29.48;29.48;29.48;29480.0
2006-11-30;29.41;29.44;29.32;29.32;151992.0
2006-12-01;29.37;29.37;29.37;29.37;9986.0
2006-12-04;29.14;29.14;29.09;29.12;293470.0
2006-12-05;29.18;29.26;29.18;29.26;11062.0
2006-12-06;;;;29.26;
2006-12-07;29.25;29.36;29.25;29.36;14247.0
2006-12-08;;;;29.36;
2006-12-11;29.37;29.42;29.37;29.42;11573.0
2006-12-12;29.38;29.38;29.38;29.38;5994.0
2006-12-13;29.85;29.88;29.85;29.88;12839.0
2006-12-14;29.98;29.98;29.98;29.98;2998.0
2006-12-15;30.17;30.17;30.08;30.13;20070.0
2006-12-18;30.2;30.21;30.09;30.09;35875.0
2006-12-19;30.0;30.0;29.95;29.98;20078.0
2006-12-20;30.09;30.09;30.0;30.0;11505.0
2006-12-21;29.96;29.96;29.95;29.95;4584.0
2006-12-22;;;;29.95;
2006-12-27;30.02;30.15;30.02;30.09;9937.0
2006-12-28;30.1;30.12;30.1;30.12;2530.0
2006-12-29;30.07;30.07;30.03;30.03;9610.0
2007-01-02;30.18;30.18;30.15;30.15;9985.0
2007-01-03;30.24;30.24;30.15;30.18;110417.0
2007-01-04;30.15;30.16;30.1;30.12;8434.0
2007-01-05;29.97;29.97;29.85;29.85;31462.0
2007-01-08;29.83;29.83;29.83;29.83;7905.0
2007-01-09;29.8;29.8;29.76;29.76;10426.0
2007-01-10;29.63;29.66;29.59;29.63;26268.0
2007-01-11;29.75;29.75;29.71;29.71;26753.0
2007-01-12;30.19;30.23;30.19;30.23;33213.0
2007-01-15;30.28;30.32;30.27;30.32;17340.0
2007-01-16;30.39;30.46;30.28;30.28;34764.0
2007-01-17;30.3;30.34;30.3;30.32;8157.0
2007-01-18;;;;30.32;
2007-01-19;30.32;30.32;30.25;30.26;21301.0
2007-01-22;30.53;30.54;30.45;30.45;32349.0
2007-01-23;30.44;30.44;30.07;30.07;15221.0
2007-01-24;30.25;30.25;30.25;30.25;605.0
2007-01-25;30.43;30.43;30.22;30.22;40138.0
2007-01-26;30.18;30.37;30.17;30.37;9082.0
2007-01-29;30.19;30.38;30.19;30.38;91.0
2007-01-30;30.42;30.69;30.42;30.64;11641.0
2007-01-31;30.52;30.64;30.52;30.64;4221.0
2007-02-01;30.77;30.83;30.74;30.81;7749.0
2007-02-02;30.83;30.83;30.83;30.83;3299.0
2007-02-05;30.89;31.02;30.89;31.01;15783.0
2007-02-06;31.1;31.14;31.08;31.12;62307.0
2007-02-07;31.14;31.14;30.98;30.98;48678.0
2007-02-08;31.0;31.0;30.65;30.67;42628.0
2007-02-09;30.95;30.95;30.87;30.87;17630.0
2007-02-12;30.61;30.78;30.61;30.77;10370.0
2007-02-13;30.9;31.0;30.84;30.99;38561.0
2007-02-14;31.07;31.07;30.94;30.94;8526.0
2007-02-15;31.4;31.52;31.24;31.5;34241.0
2007-02-16;31.35;31.37;31.25;31.25;224001.0
2007-02-19;31.34;31.55;31.34;31.39;50896.0
2007-02-20;31.36;31.36;31.22;31.25;29395.0
2007-02-21;31.16;31.16;31.13;31.14;35490.0
2007-02-22;31.15;31.25;31.15;31.17;33613.0
