Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2016-02-26;13.03;13.03;13.03;13.03;759831.42
2016-02-29;;;;13.03;
2016-03-01;;;;13.03;
2016-03-02;;;;13.03;
2016-03-03;;;;13.03;
2016-03-04;;;;13.03;
2016-03-07;;;;13.03;
2016-03-08;;;;13.03;
2016-03-09;;;;13.03;
2016-03-10;;;;13.03;
2016-03-11;;;;13.03;
2016-03-14;;;;13.03;
2016-03-15;;;;13.03;
2016-03-16;;;;13.03;
2016-03-17;;;;13.03;
2016-03-18;;;;13.03;
2016-03-21;;;;13.03;
2016-03-22;;;;13.03;
2016-03-23;;;;13.03;
2016-03-24;;;;13.03;
2016-03-29;;;;13.03;
2016-03-30;13.095;13.095;13.095;13.095;6062.985
2016-03-31;;;;13.095;
2016-04-01;;;;13.095;
2016-04-04;;;;13.095;
2016-04-05;;;;13.095;
2016-04-06;;;;13.095;
2016-04-07;;;;13.095;
2016-04-08;;;;13.095;
2016-04-11;;;;13.095;
2016-04-12;;;;13.095;
2016-04-13;;;;13.095;
2016-04-14;;;;13.095;
2016-04-15;;;;13.095;
2016-04-18;;;;13.095;
2016-04-19;;;;13.095;
2016-04-20;;;;13.095;
2016-04-21;;;;13.095;
2016-04-22;;;;13.095;
2016-04-25;;;;13.095;
2016-04-26;;;;13.095;
2016-04-27;;;;13.095;
2016-04-28;;;;13.095;
2016-04-29;;;;13.095;
2016-05-02;;;;13.095;
2016-05-03;;;;13.095;
2016-05-04;;;;13.095;
2016-05-05;;;;13.095;
2016-05-06;;;;13.095;
2016-05-09;;;;13.095;
2016-05-10;;;;13.095;
2016-05-11;;;;13.095;
2016-05-12;;;;13.095;
2016-05-13;;;;13.095;
2016-05-16;;;;13.095;
2016-05-17;;;;13.095;
2016-05-18;;;;13.095;
2016-05-19;;;;13.095;
2016-05-20;;;;13.095;
2016-05-23;;;;13.095;
2016-05-24;;;;13.095;
2016-05-25;;;;13.095;
2016-05-26;13.23;13.23;13.205;13.205;318342.61
2016-05-27;;;;13.205;
2016-05-30;;;;13.205;
2016-05-31;;;;13.205;
2016-06-01;;;;13.205;
2016-06-02;13.23;13.23;13.23;13.23;31447.71
2016-06-03;;;;13.23;
2016-06-06;;;;13.23;
2016-06-07;;;;13.23;
2016-06-08;;;;13.23;
2016-06-09;;;;13.23;
2016-06-10;;;;13.23;
2016-06-13;;;;13.23;
2016-06-14;12.75;12.75;12.75;12.75;18334.5
2016-06-15;;;;12.75;
2016-06-16;;;;12.75;
2016-06-17;;;;12.75;
2016-06-20;13.035;13.035;13.035;13.035;5644.155
2016-06-21;;;;13.035;
2016-06-22;;;;13.035;
2016-06-23;;;;13.035;
2016-06-24;;;;13.035;
2016-06-27;;;;13.035;
2016-06-28;;;;13.035;
2016-06-29;;;;13.035;
2016-06-30;;;;13.035;
2016-07-01;12.93;12.93;12.93;12.93;27359.88
2016-07-04;13.005;13.005;13.005;13.005;15944.13
2016-07-05;;;;13.005;
2016-07-06;;;;13.005;
2016-07-07;;;;13.005;
2016-07-08;;;;13.005;
2016-07-11;13.31;13.31;13.31;13.31;35484.46
2016-07-12;;;;13.31;
2016-07-13;;;;13.31;
2016-07-14;;;;13.31;
2016-07-15;;;;13.31;
2016-07-18;;;;13.31;
2016-07-19;;;;13.31;
2016-07-20;;;;13.31;
2016-07-21;;;;13.31;
2016-07-22;;;;13.31;
2016-07-25;;;;13.31;
2016-07-26;;;;13.31;
2016-07-27;;;;13.31;
2016-07-28;;;;13.31;
2016-07-29;;;;13.31;
2016-08-01;;;;13.31;
2016-08-02;;;;13.31;
2016-08-03;;;;13.31;
2016-08-04;;;;13.31;
