Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-07-10;10.83;10.83;10.83;10.83;88806.0
2018-07-11;10.83;10.83;10.83;10.83;864483.09
2018-07-12;10.83;10.83;10.83;10.83;102949.98
2018-07-13;10.83;10.91;10.83;10.84;165375.38
2018-07-16;10.84;10.84;10.83;10.83;89974.2
2018-07-17;10.84;10.84;10.84;10.84;12910.44
2018-07-18;10.85;10.85;10.85;10.85;9982.0
2018-07-19;10.85;10.85;10.85;10.85;20864.55
2018-07-20;10.84;10.84;10.84;10.84;70893.6
2018-07-23;10.83;10.83;10.83;10.83;30367.32
2018-07-24;10.83;10.83;10.83;10.83;72994.2
2018-07-25;10.83;10.85;10.83;10.85;23205.7
2018-07-26;10.9;10.9;10.83;10.83;101615.25
2018-07-27;10.828;10.83;10.828;10.83;34489.95
2018-07-30;10.82;10.82;10.81;10.81;68563.96
2018-07-31;10.878;10.878;10.878;10.878;101165.4
2018-08-01;10.82;10.828;10.82;10.828;352628.084
2018-08-02;10.9;10.9;10.786;10.786;31146.042
2018-08-03;10.81;10.82;10.81;10.82;70311.5
2018-08-06;10.828;10.828;10.82;10.82;28287.06
2018-08-07;10.82;10.82;10.82;10.82;1525.62
2018-08-09;10.8;10.8;10.722;10.79;2349464.548
2018-08-10;10.8;10.8;10.8;10.8;864.0
2018-08-13;10.79;10.79;10.77;10.77;19548.41
2018-08-14;10.8;10.8;10.79;10.79;35630.0
2018-08-17;10.8;10.8;10.8;10.8;2484.0
2018-08-21;10.81;10.81;10.8;10.8;280465.2
2018-08-22;10.8;10.8;10.8;10.8;24084.0
2018-08-23;10.8;10.8;10.8;10.8;19904.4
2018-08-24;10.79;10.79;10.79;10.79;22302.93
2018-08-27;10.79;10.79;10.78;10.78;438213.5
2018-08-28;10.78;10.78;10.78;10.78;12181.4
2018-08-29;10.78;10.78;10.78;10.78;5390.0
2018-08-30;10.78;10.78;10.78;10.78;34474.44
2018-08-31;10.78;10.78;10.78;10.78;6381.76
2018-09-03;10.78;10.78;10.78;10.78;5390.0
2018-09-05;10.79;10.79;10.79;10.79;14782.3
2018-09-06;10.79;10.8;10.79;10.8;250616.65
2018-09-07;10.8;10.864;10.8;10.864;202380.66
2018-09-10;10.8;10.8;10.8;10.8;55155.6
2018-09-11;10.736;10.736;10.736;10.736;1234.64
2018-09-12;10.8;10.8;10.8;10.8;14763.6
2018-09-13;10.8;10.818;10.78;10.8;193777.342
2018-09-17;10.79;10.79;10.79;10.79;9764.95
2018-09-18;10.8;10.8;10.78;10.8;6412.2
2018-09-19;10.79;10.79;10.79;10.79;533554.71
2018-09-20;10.79;10.816;10.79;10.816;11348.688
2018-09-21;10.8;10.8;10.8;10.8;2916.0
2018-09-24;10.79;10.79;10.78;10.78;2286.98
2018-09-25;10.78;10.78;10.78;10.78;6489.56
2018-09-27;10.76;10.78;10.76;10.78;149966.74
2018-10-01;10.76;10.76;10.76;10.76;2496.32
2018-10-02;10.77;10.78;10.77;10.78;11035.9
2018-10-03;10.778;10.778;10.76;10.778;38843.806
2018-10-04;10.77;10.77;10.75;10.75;26377.78
2018-10-05;10.76;10.76;10.76;10.76;5498.36
2018-10-08;10.74;10.74;10.74;10.74;2148000.0
2018-10-09;10.76;10.76;10.73;10.73;25021.16
2018-10-10;10.76;10.77;10.76;10.76;68258.42
2018-10-11;10.76;10.76;10.74;10.74;83286.68
2018-10-12;10.76;10.76;10.76;10.76;25877.8
2018-10-15;10.76;10.76;10.76;10.76;75664.32
2018-10-16;10.76;10.77;10.75;10.77;68305.66
2018-10-17;10.78;10.78;10.77;10.77;73928.74
2018-10-18;10.77;10.77;10.75;10.76;670377.85
2018-10-19;10.786;10.786;10.75;10.75;257234.696
2018-10-22;10.76;10.76;10.76;10.76;23230.84
2018-10-23;10.76;10.76;10.76;10.76;32968.64
2018-10-24;10.77;10.77;10.77;10.77;38772.0
