Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-09-26;11.274;11.274;11.274;11.274;1127.4
2019-10-23;11.524;11.524;11.524;11.524;2535.3
2019-11-04;11.714;11.76;11.714;11.76;11740.2
2019-11-08;11.894;11.9;11.894;11.9;19930.3
2019-11-11;11.862;11.91;11.862;11.91;5934.3
2019-11-13;11.886;11.886;11.856;11.858;5230.1
2019-12-09;11.846;11.846;11.846;11.846;4999.0
2019-12-18;12.068;12.068;12.066;12.066;2654.9
2020-01-06;12.038;12.038;12.038;12.038;1203.8
2020-01-17;12.238;12.248;12.238;12.248;3183.88
2020-01-23;12.062;12.064;12.062;12.064;3860.06
2020-01-27;11.862;11.862;11.862;11.862;711.72
2020-01-28;11.838;11.838;11.838;11.838;11838.0
2020-01-30;11.89;11.89;11.89;11.89;1450.58
2020-01-31;11.864;11.864;11.864;11.864;1459.272
2020-02-05;11.924;11.974;11.924;11.974;9921.06
2020-02-14;12.406;12.406;12.406;12.406;521.052
2020-02-17;12.394;12.412;12.346;12.412;10875.108
2020-02-20;12.422;12.422;12.422;12.422;819.852
2020-02-21;12.28;12.28;12.28;12.28;785.92
2020-02-24;11.886;11.886;11.886;11.886;392.238
2020-02-25;11.718;11.728;11.608;11.684;13989.94
2020-02-26;11.45;11.45;11.45;11.45;469.45
2020-02-27;11.376;11.376;11.376;11.376;1467.504
2020-03-02;10.824;10.824;10.824;10.824;184.008
2020-03-04;11.066;11.066;11.066;11.066;564.366
2020-03-05;11.016;11.016;11.016;11.016;132.192
2020-03-06;10.576;10.576;10.576;10.576;359.584
2020-03-09;9.81;9.81;9.81;9.81;598.41
2020-03-10;9.827;10.046;9.827;10.046;7176.18
2020-03-11;9.663;9.663;9.663;9.663;125.619
2020-03-12;9.064;9.064;9.064;9.064;117.832
2020-03-16;7.881;7.881;7.881;7.881;102.453
2020-03-23;8.178;8.178;8.178;8.178;147.204
2020-03-24;8.71;8.715;8.71;8.715;3119.965
2020-04-14;9.752;9.752;9.752;9.752;126.776
2020-04-15;9.563;9.563;9.563;9.563;325.142
2020-04-21;9.512;9.547;9.512;9.547;114.529
2020-04-24;9.418;9.418;9.418;9.418;310.794
2020-05-04;9.484;9.484;9.484;9.484;123.292
2020-05-15;9.453;9.453;9.453;9.453;633.351
2020-05-18;9.587;9.587;9.587;9.587;124.631
2020-05-19;9.749;9.749;9.749;9.749;175.482
2020-05-25;9.924;9.924;9.924;9.924;19.848
2020-05-27;10.212;10.252;10.212;10.252;5116.0
2020-05-28;10.304;10.304;10.304;10.304;340.032
2020-06-04;10.9;10.9;10.9;10.9;218.0
2020-06-10;11.138;11.138;11.138;11.138;2227.6
2020-06-11;10.772;10.772;10.772;10.772;193.896
2020-06-16;10.812;10.812;10.812;10.812;367.608
2020-06-24;10.994;10.994;10.994;10.994;241.868
2020-06-25;10.84;10.84;10.83;10.83;54.19
2020-07-09;11.234;11.234;11.234;11.234;561.7
2020-07-10;11.08;11.08;11.08;11.08;221.6
2020-07-13;11.304;11.304;11.256;11.256;22.56
2020-07-16;11.344;11.344;11.178;11.178;2269.632
2020-07-27;11.308;11.308;11.308;11.308;260.084
2020-07-28;11.304;11.304;11.304;11.304;169.56
2020-07-30;11.244;11.244;11.244;11.244;1011.96
2020-07-31;10.984;10.984;10.984;10.984;2691.08
2020-08-03;10.638;10.648;10.638;10.648;1320.312
2020-08-04;10.944;10.944;10.944;10.944;1378.944
2020-08-05;11.01;11.01;11.01;11.01;1233.12
2020-08-06;10.944;10.944;10.878;10.878;1724.536
2020-08-07;10.842;10.842;10.842;10.842;2265.978
2020-08-10;10.902;10.95;10.902;10.95;743.064
2020-08-11;11.078;11.08;11.078;11.08;2570.1
2020-08-12;11.14;11.194;11.14;11.194;7274.874
2020-08-13;11.23;11.232;11.23;11.232;2976.02
2020-08-14;11.032;11.072;11.032;11.072;4928.912
2020-08-17;11.03;11.03;11.03;11.03;22.06
2020-08-20;10.99;11.026;10.99;11.026;8749.57
2020-08-21;10.96;10.96;10.96;10.96;832.96
2020-08-24;11.136;11.138;11.136;11.138;3686.218
2020-08-25;11.194;11.244;11.194;11.244;14458.678
2020-08-27;11.174;11.174;11.174;11.174;1117.4
2020-08-28;11.104;11.104;11.104;11.104;1065.984
2020-08-31;11.136;11.138;11.136;11.138;3574.838
2020-09-01;10.96;10.96;10.96;10.96;1753.6
2020-09-03;11.314;11.314;11.314;11.314;859.864
2020-09-04;11.016;11.016;11.016;11.016;2059.992
2020-09-07;11.068;11.068;11.068;11.068;5534.0
2020-09-14;11.11;11.11;11.11;11.11;111.1
2020-09-15;11.152;11.152;11.152;11.152;1605.888
2020-09-16;11.168;11.168;11.168;11.168;1563.52
2020-09-17;11.056;11.056;11.056;11.056;5804.4
2020-09-21;10.808;10.808;10.808;10.808;1956.248
2020-09-24;10.616;10.616;10.616;10.616;4883.36
2020-09-28;10.762;10.762;10.762;10.762;1635.824
2020-09-29;10.78;10.784;10.778;10.784;1854.254
2020-10-02;10.646;10.66;10.646;10.66;1438.368
2020-10-05;10.758;10.778;10.758;10.776;45138.378
2020-10-08;10.866;10.866;10.818;10.818;13804.692
2020-10-15;10.682;10.682;10.682;10.682;12519.304
2020-10-16;10.842;10.892;10.842;10.892;791.716
2020-10-19;10.926;10.974;10.926;10.974;29717.92
2020-10-20;10.852;10.854;10.83;10.83;1843.87
2020-10-21;10.696;10.696;10.654;10.654;2411.392
2020-10-22;10.6;10.6;10.6;10.6;911.6
2020-10-26;10.53;10.53;10.394;10.396;18175.196
2020-10-27;10.332;10.362;10.274;10.292;10119.552
2020-10-28;9.9;9.9;9.9;9.9;990.0
2020-10-29;9.902;9.908;9.883;9.89;2365.793
2020-10-30;9.861;9.865;9.861;9.865;1183.708
2020-11-02;9.96;10.108;9.96;10.092;11325.144
2020-11-03;10.382;10.382;10.382;10.382;581.392
2020-11-04;10.304;10.556;10.3;10.542;3355.628
2020-11-05;10.762;10.762;10.734;10.744;2375.43
2020-11-06;10.654;10.728;10.654;10.728;964.706
2020-11-09;10.882;11.27;10.882;11.27;329.952
2020-11-10;11.328;11.408;11.328;11.408;1925.71
2020-11-11;11.494;11.548;11.448;11.542;11248.918
2020-11-12;11.452;11.47;11.396;11.42;37024.152
2020-11-13;11.448;11.448;11.434;11.434;1086.384
2020-11-16;11.484;11.484;11.438;11.438;26647.464
2020-11-17;11.444;11.472;11.444;11.448;5821.812
2020-11-18;11.472;11.576;11.472;11.576;5948.828
2020-11-19;11.496;11.496;11.446;11.446;12703.728
2020-11-20;11.516;11.578;11.432;11.5;40096.454
