Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2013-01-23;96.15;96.15;96.15;96.15;4999.8
2013-01-24;96.15;96.15;96.1;96.1;15282.65
2013-01-25;95.94;95.96;95.94;95.96;65242.2
2013-01-28;;;;95.96;
2013-01-29;;;;95.96;
2013-01-30;;;;95.96;
2013-01-31;93.35;93.35;93.35;93.35;933.5
2013-02-01;;;;93.35;
2013-02-04;;;;93.35;
2013-02-05;;;;93.35;
2013-02-06;;;;93.35;
2013-02-07;;;;93.35;
2013-02-08;;;;93.35;
2013-02-11;93.79;93.79;93.79;93.79;937.9
2013-02-12;;;;93.79;
2013-02-13;;;;93.79;
2013-02-14;;;;93.79;
2013-02-15;;;;93.79;
2013-02-18;;;;93.79;
2013-02-19;;;;93.79;
2013-02-20;;;;93.79;
2013-02-21;94.1;94.1;94.1;94.1;167027.5
2013-02-22;;;;94.1;
2013-02-25;;;;94.1;
2013-02-26;;;;94.1;
2013-02-27;;;;94.1;
2013-02-28;;;;94.1;
2013-03-01;;;;94.1;
2013-03-04;;;;94.1;
2013-03-05;;;;94.1;
2013-03-06;;;;94.1;
2013-03-07;;;;94.1;
2013-03-08;94.4;94.4;94.4;94.4;15104.0
2013-03-11;;;;94.4;
2013-03-12;;;;94.4;
2013-03-13;;;;94.4;
2013-03-14;94.51;94.51;94.51;94.51;14176.5
2013-03-15;;;;94.51;
2013-03-18;;;;94.51;
2013-03-19;94.76;94.76;94.76;94.76;241638.0
2013-03-20;;;;94.76;
2013-03-21;;;;94.76;
2013-03-22;94.78;94.78;94.78;94.78;28434.0
2013-03-25;;;;94.78;
2013-03-26;;;;94.78;
2013-03-27;;;;94.78;
2013-03-28;;;;94.78;
2013-04-02;;;;94.78;
2013-04-03;;;;94.78;
2013-04-04;;;;94.78;
2013-04-05;;;;94.78;
2013-04-08;;;;94.78;
2013-04-09;;;;94.78;
2013-04-10;;;;94.78;
2013-04-11;95.09;95.09;95.08;95.08;21964.22
2013-04-12;;;;95.08;
2013-04-15;95.29;95.29;95.29;95.29;10005.45
2013-04-16;;;;95.29;
2013-04-17;;;;95.29;
2013-04-18;;;;95.29;
2013-04-19;95.44;95.44;95.44;95.44;12120.88
2013-04-22;;;;95.44;
2013-04-23;95.73;95.75;95.71;95.71;47389.05
2013-04-24;;;;95.71;
2013-04-25;;;;95.71;
2013-04-26;;;;95.71;
2013-04-29;96.06;96.06;96.06;96.06;38424.0
2013-04-30;96.23;96.24;96.23;96.24;499916.75
2013-05-02;96.19;96.19;96.19;96.19;7695.2
2013-05-03;;;;96.19;
2013-05-06;96.45;96.45;96.45;96.45;964.5
2013-05-07;;;;96.45;
2013-05-08;;;;96.45;
2013-05-09;;;;96.45;
2013-05-10;96.55;96.55;96.55;96.55;1544.8
2013-05-13;96.34;96.36;96.34;96.36;109638.92
2013-05-14;;;;96.36;
2013-05-15;96.26;96.26;96.23;96.23;58605.63
2013-05-16;;;;96.23;
2013-05-17;;;;96.23;
2013-05-20;96.54;96.54;96.54;96.54;965.4
2013-05-21;96.36;96.36;96.36;96.36;289.08
2013-05-22;;;;96.36;
2013-05-23;;;;96.36;
2013-05-24;;;;96.36;
2013-05-27;;;;96.36;
2013-05-28;;;;96.36;
2013-05-29;;;;96.36;
2013-05-30;;;;96.36;
2013-05-31;;;;96.36;
2013-06-03;95.69;95.69;95.69;95.69;956.9
2013-06-04;95.65;95.65;95.65;95.65;956.5
2013-06-05;;;;95.65;
2013-06-06;;;;95.65;
2013-06-07;;;;95.65;
2013-06-10;;;;95.65;
2013-06-11;94.97;94.97;94.97;94.97;23742.5
2013-06-12;94.95;94.95;94.95;94.95;949.5
2013-06-13;;;;94.95;
2013-06-14;95.13;95.13;95.13;95.13;10939.95
2013-06-17;;;;95.13;
2013-06-18;;;;95.13;
2013-06-19;;;;95.13;
2013-06-20;;;;95.13;
2013-06-21;;;;95.13;
2013-06-24;;;;95.13;
2013-06-25;93.43;93.47;93.43;93.47;176587.3
2013-06-26;;;;93.47;
2013-06-27;;;;93.47;
2013-06-28;;;;93.47;
2013-07-01;;;;93.47;
2013-07-02;;;;93.47;
2013-07-03;;;;93.47;
2013-07-04;;;;93.47;
2013-07-05;;;;93.47;
2013-07-08;;;;93.47;
2013-07-09;;;;93.47;
2013-07-10;;;;93.47;
2013-07-11;94.97;94.97;94.97;94.97;7977.48
2013-07-12;;;;94.97;
2013-07-15;94.91;94.91;94.9;94.9;4840.1
2013-07-16;;;;94.9;
2013-07-17;94.98;95.01;94.98;95.01;25082.61
2013-07-18;95.11;95.11;95.11;95.11;7608.8
2013-07-19;95.1;95.13;95.1;95.1;34052.41
2013-07-22;;;;95.1;
2013-07-23;95.08;95.08;95.04;95.04;51142.92
2013-07-24;94.92;94.92;94.92;94.92;2752.68
2013-07-25;;;;94.92;
2013-07-26;;;;94.92;
2013-07-29;94.78;94.78;94.78;94.78;8056.3
2013-07-30;94.82;94.85;94.82;94.85;34994.94
2013-07-31;;;;94.85;
2013-08-01;94.15;94.15;94.12;94.12;19672.58
2013-08-02;;;;94.12;
2013-08-05;94.3;94.32;94.3;94.32;19049.24
2013-08-06;;;;94.32;
2013-08-07;94.23;94.23;94.23;94.23;9894.15
2013-08-08;94.4;94.4;94.4;94.4;15953.6
2013-08-09;94.4;94.4;94.4;94.4;15953.6
2013-08-12;;;;94.4;
2013-08-13;94.25;94.25;94.25;94.25;6597.5
2013-08-14;94.2;94.2;94.2;94.2;2920.2
2013-08-16;94.2;94.2;94.2;94.2;4992.6
2013-08-19;;;;94.2;
2013-08-20;;;;94.2;
2013-08-21;94.0;94.0;94.0;94.0;4042.0
2013-08-22;93.76;93.79;93.76;93.79;14911.05
2013-08-23;;;;93.79;
2013-08-26;;;;93.79;
2013-08-27;;;;93.79;
2013-08-28;;;;93.79;
2013-08-29;;;;93.79;
2013-08-30;93.9;93.9;93.9;93.9;7042.5
2013-09-02;;;;93.9;
2013-09-03;;;;93.9;
2013-09-04;93.7;93.7;93.7;93.7;2998.4
2013-09-05;;;;93.7;
2013-09-06;;;;93.7;
2013-09-09;;;;93.7;
2013-09-10;;;;93.7;
2013-09-11;;;;93.7;
2013-09-12;;;;93.7;
2013-09-13;;;;93.7;
2013-09-16;;;;93.7;
2013-09-17;;;;93.7;
2013-09-18;;;;93.7;
2013-09-19;;;;93.7;
2013-09-20;;;;93.7;
2013-09-23;;;;93.7;
2013-09-24;94.38;94.46;94.38;94.42;70815.68
2013-09-25;94.49;94.49;94.49;94.49;472.45
2013-09-26;94.57;94.57;94.57;94.57;2931.67
2013-09-27;;;;94.57;
2013-09-30;;;;94.57;
2013-10-01;94.59;94.59;94.59;94.59;19863.9
2013-10-02;;;;94.59;
2013-10-03;;;;94.59;
2013-10-04;;;;94.59;
2013-10-07;;;;94.59;
2013-10-08;;;;94.59;
2013-10-09;94.57;94.57;94.57;94.57;20048.84
2013-10-10;;;;94.57;
2013-10-11;;;;94.57;
2013-10-14;;;;94.57;
2013-10-15;;;;94.57;
2013-10-16;;;;94.57;
2013-10-17;;;;94.57;
2013-10-18;;;;94.57;
2013-10-21;;;;94.57;
2013-10-22;;;;94.57;
2013-10-23;;;;94.57;
2013-10-24;;;;94.57;
2013-10-25;;;;94.57;
2013-10-28;94.95;95.0;94.95;95.0;12157.85
2013-10-29;;;;95.0;
2013-10-30;;;;95.0;
2013-10-31;;;;95.0;
2013-11-01;;;;95.0;
2013-11-04;;;;95.0;
2013-11-05;;;;95.0;
2013-11-06;95.5;95.5;95.5;95.5;7067.0
2013-11-07;;;;95.5;
2013-11-08;95.43;95.59;95.43;95.59;19213.43
2013-11-11;95.68;95.68;95.68;95.68;956.8
2013-11-12;95.53;95.56;95.53;95.56;22068.36
2013-11-13;95.46;95.69;95.46;95.69;6596.17
2013-11-14;95.71;95.71;95.71;95.71;3062.72
2013-11-15;95.68;95.68;95.41;95.41;28624.08
2013-11-18;;;;95.41;
2013-11-19;;;;95.41;
2013-11-20;95.55;95.55;95.55;95.55;3057.6
2013-11-21;;;;95.55;
2013-11-22;;;;95.55;
2013-11-25;95.62;95.62;95.62;95.62;7075.88
2013-11-26;95.64;95.64;95.64;95.64;5068.92
2013-11-27;95.69;95.69;95.45;95.45;17508.63
2013-11-28;95.64;95.64;95.64;95.64;6120.96
2013-11-29;;;;95.64;
2013-12-02;;;;95.64;
2013-12-03;95.68;95.68;95.68;95.68;2009.28
2013-12-04;95.59;95.59;95.59;95.59;30110.85
2013-12-05;;;;95.59;
2013-12-06;95.12;95.12;95.12;95.12;24731.2
2013-12-09;;;;95.12;
2013-12-10;95.27;95.27;95.27;95.27;38108.0
2013-12-11;;;;95.27;
2013-12-12;;;;95.27;
2013-12-13;95.13;95.13;95.13;95.13;9988.65
2013-12-16;;;;95.13;
2013-12-17;;;;95.13;
2013-12-18;95.3;95.33;95.3;95.3;107231.14
2013-12-19;95.0;95.0;95.0;95.0;28500.0
2013-12-20;95.26;95.26;95.24;95.24;23811.9
2013-12-23;95.26;95.26;95.26;95.26;3143.58
2013-12-27;95.21;95.21;95.16;95.16;45304.41
2013-12-30;;;;95.16;
2014-01-02;95.14;95.17;95.14;95.17;22173.53
2014-01-03;95.19;95.19;95.19;95.19;2570.13
2014-01-06;95.34;95.34;95.31;95.31;51101.88
2014-01-07;95.39;95.41;95.39;95.41;28903.57
2014-01-08;;;;95.41;
2014-01-09;;;;95.41;
2014-01-10;95.29;95.29;95.29;95.29;24775.4
2014-01-13;95.54;95.54;95.46;95.46;203203.42
2014-01-14;;;;95.46;
2014-01-15;95.58;95.58;95.58;95.58;17204.4
2014-01-16;95.6;95.6;95.6;95.6;14340.0
2014-01-17;95.61;95.61;95.61;95.61;15010.77
2014-01-20;95.74;95.74;95.74;95.74;5074.22
2014-01-21;95.75;95.76;95.75;95.76;26620.6
2014-01-22;95.77;95.77;95.77;95.77;574.62
2014-01-23;95.9;95.9;95.9;95.9;10549.0
2014-01-24;95.9;95.9;95.9;95.9;20426.7
2014-01-27;95.91;95.91;95.89;95.89;16302.2
2014-01-28;;;;95.89;
2014-01-29;;;;95.89;
2014-01-30;96.1;96.1;96.1;96.1;51894.0
2014-01-31;95.56;95.56;95.56;95.56;5160.24
2014-02-03;95.59;95.59;95.59;95.59;100369.5
2014-02-04;95.63;95.64;95.47;95.62;58313.25
2014-02-05;95.67;95.67;95.67;95.67;5740.2
2014-02-06;95.59;95.59;95.42;95.42;125707.61
2014-02-07;;;;95.42;
2014-02-10;95.61;95.61;95.55;95.56;200285.97
2014-02-11;95.59;95.59;95.59;95.59;24088.68
2014-02-12;95.61;95.64;95.38;95.61;72835.84
2014-02-13;95.59;95.69;95.59;95.66;40356.51
2014-02-14;;;;95.66;
2014-02-17;95.6;95.65;95.6;95.65;98565.15
2014-02-18;95.73;95.73;95.73;95.73;22975.2
2014-02-19;95.69;95.78;95.69;95.78;64134.8
2014-02-20;95.78;95.78;95.78;95.78;9961.12
2014-02-21;95.7;95.75;95.55;95.75;165060.14
2014-02-24;95.7;95.73;95.7;95.73;31583.1
2014-02-25;;;;95.73;
2014-02-26;95.97;95.97;95.97;95.97;16026.99
2014-02-27;;;;95.97;
2014-02-28;96.0;96.0;95.9;95.9;21587.5
2014-03-03;96.02;96.06;96.02;96.06;22475.09
2014-03-04;96.06;96.06;96.06;96.06;6051.78
2014-03-05;95.99;95.99;95.99;95.99;335965.0
2014-03-06;96.03;96.03;95.9;95.9;182808.28
2014-03-07;;;;95.9;
2014-03-10;;;;95.9;
2014-03-11;;;;95.9;
2014-03-12;;;;95.9;
2014-03-13;;;;95.9;
2014-03-14;96.24;96.31;96.23;96.31;159924.58
2014-03-17;96.22;96.23;96.2;96.22;35311.94
2014-03-18;96.25;96.25;96.25;96.25;37345.0
2014-03-19;96.2;96.22;96.16;96.16;88799.48
2014-03-20;95.94;95.94;95.94;95.94;20051.46
2014-03-21;95.95;95.95;95.95;95.95;10074.75
2014-03-24;95.86;95.86;95.86;95.86;10448.74
2014-03-25;96.16;96.16;96.16;96.16;769.28
2014-03-26;96.12;96.2;96.12;96.2;18563.64
2014-03-27;;;;96.2;
2014-03-28;;;;96.2;
2014-03-31;;;;96.2;
2014-04-01;96.13;96.16;96.08;96.08;49507.74
2014-04-02;96.03;96.03;96.02;96.02;41960.96
2014-04-03;96.02;96.05;95.96;96.05;48868.3
2014-04-04;96.03;96.06;96.03;96.04;16039.09
2014-04-07;;;;96.04;
2014-04-08;96.09;96.21;96.09;96.21;7981.71
2014-04-09;96.14;96.16;96.14;96.16;31924.08
2014-04-10;96.31;96.35;96.28;96.28;24462.66
2014-04-11;;;;96.28;
2014-04-14;;;;96.28;
2014-04-15;;;;96.28;
2014-04-16;96.48;96.48;96.36;96.36;1639.56
2014-04-17;96.45;96.45;96.45;96.45;9645.0
2014-04-22;96.38;96.38;96.38;96.38;88284.08
2014-04-23;96.36;96.46;96.36;96.39;60159.74
2014-04-24;;;;96.39;
