Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-06-17;9.281;9.281;9.256;9.256;43078.932
2022-06-24;9.462;9.462;9.447;9.447;93099.359
2022-07-06;9.443;9.443;9.443;9.443;991.515
2022-08-01;10.256;10.256;10.256;10.256;1025.6
2022-08-31;9.656;9.656;9.656;9.656;965.6
2022-10-03;8.974;8.974;8.974;8.974;942.27
2022-10-31;9.403;9.403;9.403;9.403;1034.33
2022-11-30;10.106;10.106;10.106;10.106;1010.6
2022-12-16;9.85;9.85;9.85;9.85;16400.25
2022-12-22;9.787;9.787;9.787;9.787;16295.355
2023-01-03;9.837;9.961;9.837;9.939;121796.11
2023-01-04;10.136;10.136;10.136;10.136;1013.6
2023-01-30;10.482;10.482;10.482;10.482;29978.52
2023-01-31;10.436;10.436;10.436;10.436;1033.164
2023-02-20;10.67;10.67;10.67;10.67;21275.98
2023-04-03;10.64;10.64;10.64;10.64;2500.4
2023-05-05;10.942;10.942;10.942;10.942;711.23
2023-06-20;10.896;10.896;10.896;10.896;2179.2
2023-06-28;10.816;10.816;10.816;10.816;692.224
2023-07-05;10.808;10.808;10.808;10.808;702.52
2023-07-06;10.622;10.622;10.622;10.622;2124.4
2023-08-03;10.74;10.74;10.74;10.74;10417.8
2023-08-07;10.788;10.788;10.788;10.788;712.008
2023-08-09;10.906;10.906;10.906;10.906;9739.058
2023-08-29;10.828;10.828;10.828;10.828;30426.68
2023-09-06;10.732;10.732;10.732;10.732;708.312
2023-10-05;10.38;10.38;10.38;10.38;716.22
2023-10-18;10.502;10.502;10.502;10.502;42.008
2023-10-31;10.166;10.166;10.166;10.166;10603.138
2023-11-07;10.414;10.414;10.414;10.414;708.152
