Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-06-22;9.698966;9.698966;9.698966;9.698966;249649.4
2017-06-26;9.720633;9.747856;9.720633;9.744522;28370.7
2017-06-27;9.635633;9.637855;9.630077;9.630077;23750.03
2017-06-28;9.621744;9.621744;9.621744;9.621744;33945.24
2017-07-04;9.523965;9.523965;9.523965;9.523965;74400.62
2017-08-01;9.471187;9.471187;9.471187;9.471187;170.48
2017-08-02;9.501743;9.501743;9.501743;9.501743;71490.54
2017-08-03;9.453965;9.453965;9.453965;9.453965;9699.69
2017-08-07;9.570632;9.570632;9.570632;9.570632;172.27
2017-11-15;9.687855;9.687855;9.687855;9.687855;16740.48
2017-12-12;9.898968;9.898968;9.898968;9.898968;77330.12
2017-12-14;9.89119;9.89119;9.89119;9.89119;6053.36
2017-12-28;9.843412;9.843412;9.843412;9.843412;4961.04
2018-02-06;9.582299;9.582299;9.582299;9.582299;37255.68
2018-02-14;9.490076;9.490076;9.490076;9.490076;36897.12
2018-03-28;9.241185;9.241185;9.241185;9.241185;15968.64
2018-04-06;9.580077;9.580077;9.580077;9.580077;37419.48
2018-04-25;9.7823;9.785634;9.7823;9.785634;1224310.08
2018-06-27;9.605;9.605;9.605;9.605;1296.675
2018-06-28;9.655;9.655;9.655;9.655;64051.27
2018-06-29;9.77;9.776;9.754;9.754;64956.628
2018-07-06;9.819;9.819;9.818;9.818;31780.886
2018-07-09;9.887;9.887;9.887;9.887;5764.121
2018-07-16;9.969;9.969;9.969;9.969;996.9
2018-08-02;9.916;9.916;9.916;9.916;198.32
2018-08-29;9.915;9.915;9.915;9.915;247.875
2018-09-20;9.811;9.811;9.811;9.811;173429.047
2018-09-28;9.777;9.786;9.777;9.786;172866.936
2018-10-11;9.187;9.187;9.187;9.187;624.716
2018-10-23;8.976;8.976;8.964;8.964;120866.523
2018-10-31;9.154;9.16;9.154;9.16;32195.818
2018-11-14;9.174;9.174;9.174;9.174;1009.14
2018-11-27;9.018;9.024;9.018;9.024;28415.664
2018-12-04;9.12;9.12;9.12;9.12;193590.24
2018-12-07;8.769;8.769;8.769;8.769;5287.707
2018-12-11;8.727;8.734;8.727;8.734;66648.637
2019-01-02;8.416;8.531;8.416;8.531;67825.031
2019-01-03;8.422;8.422;8.422;8.422;8228.294
2019-01-04;8.507;8.652;8.507;8.652;261939.195
2019-01-07;8.625;8.625;8.625;8.625;39761.25
2019-01-08;8.749;8.749;8.749;8.749;7961.59
2019-01-14;8.738;8.74;8.738;8.74;196695.006
2019-01-24;8.969;8.969;8.962;8.962;64856.427
2019-03-01;9.492;9.492;9.492;9.492;132.9
2019-03-27;9.501;9.501;9.501;9.501;121745.8
2019-04-01;9.632;9.632;9.632;9.632;134.8
2019-04-09;9.801;9.801;9.801;9.801;1960.2
2019-04-17;9.915;9.915;9.915;9.915;396.6
2019-04-18;9.964;9.964;9.964;9.964;9854.4
2019-05-02;10.032;10.032;10.032;10.032;260.8
2019-05-21;9.704;9.704;9.704;9.704;30247.4
2019-06-03;9.428;9.428;9.428;9.428;264.0
2019-06-27;9.871;9.873;9.871;9.873;48826.9
2019-06-28;9.906;9.906;9.906;9.906;7924.8
2019-07-01;10.03;10.034;10.026;10.026;40300.7
2019-07-10;10.02;10.02;10.01;10.01;20010.0
2019-07-12;10.03;10.034;10.014;10.014;20021.5
2019-07-16;10.048;10.092;10.048;10.092;33774.7
2019-07-17;10.1;10.1;10.042;10.042;19799.6
2019-07-18;9.991;9.991;9.991;9.991;10001.0
2019-07-19;10.048;10.048;9.972;9.972;30015.5
2019-07-22;10.02;10.02;10.02;10.02;13657.3
2019-07-23;10.074;10.108;10.074;10.108;47986.3
2019-07-25;10.22;10.22;10.11;10.11;33933.9
2019-07-26;10.126;10.132;10.126;10.132;74818.2
2019-07-29;10.114;10.14;10.114;10.14;20027.5
2019-08-01;9.979;10.026;9.979;10.026;2615.8
2019-08-02;9.843;9.843;9.773;9.773;37185.0
2019-08-05;9.637;9.637;9.557;9.557;12941.5
2019-08-06;9.546;9.546;9.546;9.546;4467.5
2019-08-07;9.613;9.613;9.537;9.568;41086.9
2019-08-08;9.625;9.687;9.625;9.687;17466.5
2019-08-09;9.696;9.696;9.641;9.646;16179.7
2019-08-12;9.604;9.604;9.599;9.599;1373.4
2019-08-13;9.528;9.601;9.528;9.601;13539.1
2019-08-14;9.603;9.603;9.516;9.516;32571.1
2019-08-16;9.478;9.478;9.478;9.478;19.0
2019-08-21;9.701;9.704;9.701;9.704;2881.6
2019-08-22;9.703;9.703;9.703;9.703;135.8
2019-08-23;9.709;9.709;9.613;9.613;110619.3
2019-08-26;9.58;9.608;9.58;9.594;26438.0
2019-08-27;9.612;9.651;9.612;9.651;63930.6
2019-08-28;9.63;9.63;9.577;9.577;96759.6
2019-08-29;9.758;9.758;9.758;9.758;31811.1
2019-08-30;9.816;9.817;9.816;9.817;13213.4
2019-09-02;9.849;9.853;9.849;9.853;17636.8
2019-09-03;9.808;9.832;9.799;9.799;84006.4
2019-09-04;9.934;9.934;9.934;9.934;2781.5
2019-09-05;9.996;9.996;9.996;9.996;9296.3
2019-09-06;10.032;10.032;10.032;10.032;6781.6
2019-09-09;10.064;10.064;10.054;10.054;8782.9
2019-09-10;10.04;10.072;10.01;10.072;49545.6
2019-09-11;10.142;10.142;10.142;10.142;2860.0
2019-09-12;10.15;10.176;10.136;10.176;28099.6
2019-09-13;10.202;10.202;10.202;10.202;1805.8
2019-09-16;10.14;10.146;10.138;10.142;44076.0
2019-09-17;10.116;10.116;10.116;10.116;5877.4
2019-09-18;10.13;10.13;10.13;10.13;7607.6
2019-09-19;10.17;10.172;10.17;10.172;15703.1
2019-09-20;10.178;10.178;10.178;10.178;13068.6
2019-09-23;10.112;10.112;10.112;10.112;3094.3
2019-09-24;10.134;10.136;10.134;10.136;20411.4
2019-09-25;9.993;9.993;9.993;9.993;21235.1
2019-09-26;10.104;10.104;10.104;10.104;3192.9
2019-09-27;10.134;10.134;10.134;10.134;4124.5
2019-09-30;10.152;10.152;10.152;10.152;8355.1
2019-10-01;10.106;10.112;10.106;10.112;8521.0
2019-10-02;9.984;9.984;9.984;9.984;1567.5
2019-10-03;9.852;9.865;9.847;9.847;1331.7
2019-10-04;9.837;9.837;9.837;9.837;1337.8
2019-10-08;9.937;9.937;9.935;9.935;5027.7
2019-10-09;9.894;9.939;9.887;9.917;296565.0
2019-10-10;9.94;9.94;9.94;9.94;437.4
2019-10-14;10.124;10.124;10.124;10.124;2753.7
2019-10-15;10.254;10.254;10.232;10.232;5475.0
2019-10-16;10.278;10.278;10.278;10.278;22149.1
2019-10-17;10.358;10.358;10.358;10.358;1864.4
2019-10-18;10.27;10.27;10.27;10.27;1437.8
2019-10-21;10.28;10.288;10.28;10.288;16683.1
2019-10-22;10.284;10.284;10.274;10.274;13940.8
2019-10-23;10.268;10.268;10.268;10.268;4528.2
2019-10-24;10.356;10.356;10.356;10.356;8926.9
2019-10-25;10.33;10.33;10.33;10.33;2747.8
2019-10-28;10.354;10.402;10.354;10.402;4559.4
2019-10-29;10.386;10.388;10.356;10.374;15270.7
2019-10-30;10.37;10.37;10.324;10.364;9932.2
2019-10-31;10.374;10.374;10.332;10.332;19918.5
2019-11-01;10.374;10.374;10.374;10.374;197.1
2019-11-04;10.518;10.518;10.518;10.518;4985.5
2019-11-05;10.546;10.556;10.54;10.556;32615.3
2019-11-06;10.566;10.58;10.566;10.574;29346.9
2019-11-07;10.626;10.626;10.626;10.626;18553.0
2019-11-08;10.592;10.592;10.592;10.592;3654.2
2019-11-12;10.63;10.63;10.63;10.63;4602.8
2019-11-13;10.568;10.568;10.562;10.562;6742.4
2019-11-14;10.572;10.576;10.572;10.576;11904.8
2019-11-15;10.614;10.614;10.588;10.588;277119.9
2019-11-18;10.632;10.632;10.58;10.58;20736.8
2019-11-19;10.68;10.68;10.674;10.674;3299.3
2019-11-20;10.528;10.528;10.528;10.528;515.9
2019-11-22;10.584;10.584;10.566;10.566;33733.3
2019-11-25;10.61;10.61;10.61;10.61;2270.5
2019-11-26;10.598;10.598;10.592;10.592;8965.1
2019-12-02;10.67;10.67;10.48;10.48;231005.5
2019-12-04;10.43;10.444;10.428;10.444;98965.1
2019-12-06;10.574;10.574;10.574;10.574;30844.4
2019-12-10;10.442;10.442;10.442;10.442;3132.6
2019-12-12;10.59;10.64;10.552;10.638;39204.6
2019-12-30;10.79;10.798;10.728;10.728;29956.932
2020-01-13;10.862;10.862;10.862;10.862;7603.4
2020-01-17;10.956;10.956;10.956;10.956;328.68
2020-01-20;10.932;10.932;10.932;10.932;29702.244
2020-01-21;10.868;10.868;10.868;10.868;29528.356
2020-01-29;10.784;10.784;10.784;10.784;4065.568
2020-01-30;10.7;10.7;10.7;10.7;2257.7
2020-02-04;10.716;10.768;10.716;10.768;42990.0
2020-02-05;10.894;10.904;10.89;10.904;37666.826
2020-02-06;10.966;10.966;10.966;10.966;29794.622
2020-02-12;11.112;11.134;11.112;11.134;20021.4
2020-02-13;11.01;11.1;11.01;11.1;29948.19
2020-02-14;11.14;11.14;11.122;11.122;161931.588
2020-02-17;11.126;11.152;11.126;11.152;60089.16
2020-02-18;11.078;11.102;11.078;11.102;20028.54
2020-02-19;11.166;11.184;11.166;11.184;20025.6
2020-02-21;11.016;11.058;10.992;10.992;233038.738
2020-02-25;10.452;10.452;10.39;10.39;19945.794
2020-02-26;10.304;10.41;10.304;10.41;222258.004
2020-02-27;10.17;10.172;10.042;10.126;191796.982
2020-02-28;9.686;9.686;9.67;9.67;26850.778
2020-03-02;9.722;9.722;9.722;9.722;9722.0
