Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-06-27;53.87;53.87;53.84;53.84;55686.07
2017-06-28;53.41;53.65;53.41;53.65;146255.81
2017-06-29;53.29;53.29;53.29;53.29;63468.39
2017-07-04;53.12;53.38;53.12;53.38;240457.14
2017-07-05;52.96;52.96;52.88;52.88;28119.2
2017-07-07;52.62;52.62;52.62;52.62;57303.18
2017-07-10;52.84;52.84;52.74;52.74;33280.34
2017-07-12;52.4;52.4;52.38;52.38;32844.46
2017-07-26;53.33;53.42;53.33;53.42;11430.62
2017-07-27;53.3;53.3;53.3;53.3;5330.0
2017-08-03;52.85;52.85;52.85;52.85;49414.75
2017-08-08;52.84;52.84;52.84;52.84;7397.6
2017-08-11;52.36;52.36;52.07;52.07;47950.19
2017-08-14;51.95;51.95;51.95;51.95;25403.55
2017-08-21;52.4;52.4;52.15;52.15;18290.0
2017-08-23;52.5;52.5;52.5;52.5;10500.0
2017-08-24;52.99;52.99;52.99;52.99;7948.5
2017-08-25;52.94;52.94;52.94;52.94;2647.0
2017-08-29;52.0;52.0;51.96;51.96;2807.04
2017-09-01;53.2;53.2;53.2;53.2;11225.2
2017-09-15;52.77;52.77;52.77;52.77;26015.61
2017-09-18;53.0;53.0;53.0;53.0;2650.0
2017-09-19;52.52;52.52;52.52;52.52;8298.16
2017-09-22;52.0;52.0;52.0;52.0;64168.0
2017-09-25;52.1;52.1;52.1;52.1;64291.4
2017-09-26;52.55;52.55;52.55;52.55;6726.4
2017-09-28;52.03;52.15;52.03;52.11;96780.42
2017-10-11;52.45;52.45;52.45;52.45;19406.5
2017-10-13;52.73;52.73;52.6;52.6;210790.38
2017-10-19;51.94;51.94;51.94;51.94;1869.84
2017-10-20;52.35;52.35;52.27;52.27;17116.29
2017-10-26;51.41;51.41;51.41;51.41;63439.94
2017-10-27;51.97;51.97;51.81;51.81;187495.49
2017-10-30;52.45;52.45;52.37;52.37;5870.56
2017-10-31;52.55;52.55;52.55;52.55;8618.2
2017-11-03;52.12;52.15;52.12;52.15;64334.59
2017-11-06;52.61;53.19;52.6;53.17;215862.5
2017-11-08;53.56;53.56;53.56;53.56;33046.52
2017-11-10;52.91;52.91;52.91;52.91;32645.47
2017-11-14;51.97;51.97;51.97;51.97;64130.98
2017-11-21;51.77;51.77;51.77;51.77;31942.09
2017-11-22;52.01;52.01;52.01;52.01;8529.64
2017-11-30;51.75;51.85;51.74;51.81;276035.51
2017-12-01;51.84;52.12;51.82;52.12;103635.08
2017-12-08;52.57;52.6;52.48;52.48;135562.33
2017-12-11;52.42;52.42;52.42;52.42;106465.02
2017-12-13;52.55;52.59;52.55;52.55;119183.09
2017-12-14;52.3;52.36;52.3;52.36;193688.64
2018-01-05;52.5;52.71;52.5;52.52;129900.15
2018-01-08;52.8;52.8;52.8;52.8;32577.6
2018-01-12;51.63;51.63;51.63;51.63;1187.49
2018-01-16;51.73;51.73;51.72;51.72;37244.57
2018-01-17;51.85;51.85;51.85;51.85;18147.5
2018-01-18;51.7;51.71;51.7;51.71;136301.39
2018-01-23;51.84;51.84;51.82;51.82;21663.32
2018-01-26;51.25;51.25;51.22;51.22;15367.5
2018-01-29;51.08;51.08;51.08;51.08;8019.56
2018-01-30;50.66;50.67;50.15;50.15;111587.25
2018-02-01;50.68;50.68;50.58;50.58;10369.4
2018-02-02;49.835;49.835;49.83;49.83;67570.935
2018-02-05;49.025;49.1;49.025;49.1;53570.925
2018-02-06;49.0;49.0;47.73;47.73;31605.41
2018-02-07;48.685;48.755;48.685;48.755;71279.04
2018-02-08;48.46;48.48;48.46;48.48;47791.42
2018-02-14;47.775;47.83;47.775;47.83;58988.285
2018-03-05;46.795;46.795;46.795;46.795;1637.825
2018-03-12;48.715;48.715;48.57;48.57;4378.55
2018-03-16;48.095;48.365;48.095;48.305;83356.225
2018-03-27;46.765;46.765;46.765;46.765;5144.15
2018-04-03;47.11;47.11;47.11;47.11;37688.0
2018-04-17;48.52;48.52;48.52;48.52;29936.84
2018-04-23;48.46;48.46;48.46;48.46;242.3
2018-04-24;49.065;49.08;48.74;48.74;60896.645
2018-04-27;49.27;49.27;49.27;49.27;30399.59
2018-05-23;50.84;50.84;50.84;50.84;31368.28
2018-05-31;50.87;50.87;50.87;50.87;2289.15
2018-06-05;51.29;51.29;51.29;51.29;25747.58
2018-06-25;51.63;51.63;51.63;51.63;51836.52
2018-06-28;52.32;52.39;52.32;52.39;29318.8
2018-07-16;52.94;52.94;52.94;52.94;23823.0
2018-07-19;52.84;53.02;52.84;53.02;65315.62
2018-07-27;53.7;53.7;53.7;53.7;53.7
2018-08-01;53.49;53.49;53.23;53.23;33216.25
2018-08-10;54.9;54.9;54.9;54.9;33873.3
2018-08-16;54.15;54.15;53.72;53.72;96051.19
2018-08-20;54.27;54.27;54.25;54.25;66956.84
2018-08-22;53.62;53.62;53.62;53.62;3002.72
2018-09-05;52.36;52.36;52.36;52.36;3665.2
2018-09-13;52.51;52.54;52.51;52.54;3781.44
2018-09-20;52.08;52.08;52.08;52.08;937.44
2018-09-21;52.08;52.18;52.08;52.18;59726.48
2018-09-24;52.16;52.16;52.16;52.16;32182.72
2018-10-12;50.99;50.99;50.95;50.97;114376.68
2018-10-15;50.51;50.81;50.49;50.81;42086.51
2018-10-25;51.45;51.45;51.45;51.45;2058.0
2018-10-26;51.09;51.09;51.07;51.09;60631.49
2018-11-05;51.88;51.88;51.88;51.88;2594.0
2018-11-12;53.43;53.49;53.43;53.49;80729.8
2018-11-16;52.39;52.81;52.39;52.81;226677.16
2018-11-23;52.23;52.23;52.23;52.23;26376.15
2018-12-03;53.72;53.72;53.72;53.72;8058.0
2018-12-04;53.5;53.5;53.39;53.39;53979.45
2018-12-10;52.59;52.59;52.59;52.59;52.59
2018-12-13;52.99;52.99;52.99;52.99;32694.83
2019-01-02;49.745;49.82;49.735;49.82;136365.425
2019-01-04;51.28;51.28;51.28;51.28;31639.76
2019-01-18;54.52;54.52;54.52;54.52;6978.56
2019-01-21;54.46;54.46;54.46;54.46;8659.14
2019-01-30;55.49;55.49;55.49;55.49;34237.33
2019-01-31;55.68;55.68;55.68;55.68;1113.6
2019-02-04;55.92;56.02;55.92;56.02;21817.8
2019-02-05;56.33;56.33;56.33;56.33;16899.0
2019-02-07;56.33;56.35;56.33;56.35;35039.4
2019-02-14;56.87;56.87;56.87;56.87;568.7
2019-02-21;57.52;57.52;57.51;57.51;46013.2
2019-02-25;57.7;57.7;57.7;57.7;59661.8
2019-02-27;57.25;57.28;57.25;57.26;104055.0
2019-02-28;57.25;57.25;57.25;57.25;4465.5
2019-03-06;57.69;57.69;57.69;57.69;1557.6
2019-03-07;57.73;57.73;57.73;57.73;5773.0
2019-03-08;58.19;58.35;58.19;58.35;269578.4
2019-03-11;58.44;58.44;58.44;58.44;2045.4
2019-03-12;58.63;58.63;58.63;58.63;11726.0
2019-03-18;59.05;59.05;59.05;59.05;40272.1
2019-03-21;59.4;59.67;59.3;59.67;10356.5
2019-03-22;59.76;59.76;59.76;59.76;1434.2
2019-03-25;59.6;59.63;59.6;59.63;45064.8
2019-03-26;59.97;59.97;59.97;59.97;30224.9
2019-03-28;59.99;60.01;59.91;60.01;56454.8
2019-03-29;60.22;60.22;60.22;60.22;9033.0
2019-04-01;60.35;60.35;60.2;60.2;34105.7
2019-04-02;60.46;60.55;60.46;60.55;19728.9
2019-04-03;60.83;60.83;60.5;60.5;60001.2
2019-04-05;60.56;60.56;60.54;60.54;4602.1
2019-04-10;60.5;60.5;60.32;60.32;2778.5
2019-04-11;60.3;60.3;60.3;60.3;1809.0
2019-04-12;60.25;60.25;60.25;60.25;13676.8
2019-04-15;60.24;60.48;60.24;60.48;51808.8
2019-04-17;59.66;59.69;59.55;59.55;124518.8
2019-04-18;59.48;59.64;59.48;59.62;19245.6
2019-04-23;60.06;60.06;60.02;60.02;40039.3
2019-04-25;60.8;60.8;60.8;60.8;42560.0
2019-04-29;60.47;60.76;60.47;60.76;16954.8
2019-05-06;59.71;59.71;59.71;59.71;1492.8
2019-05-07;60.03;60.03;60.03;60.03;5102.6
2019-05-09;59.89;59.89;59.89;59.89;1796.7
2019-05-10;59.6;59.65;59.6;59.65;2981.3
2019-05-17;61.09;61.35;61.09;61.35;2448.8
2019-05-21;61.02;61.02;61.02;61.02;610.2
2019-05-23;60.87;60.87;60.87;60.87;4869.6
2019-06-03;60.47;60.58;60.4;60.41;5015.3
2019-06-07;61.64;61.73;61.54;61.54;5052.3
2019-06-12;61.31;61.31;61.31;61.31;2759.0
2019-06-14;61.67;61.67;61.67;61.67;3391.9
2019-06-18;62.19;62.19;62.19;62.19;1492.6
2019-06-19;62.42;62.42;62.42;62.42;4681.5
2019-06-20;62.78;62.78;62.78;62.78;2511.2
2019-06-21;62.48;62.48;62.48;62.48;32302.2
2019-06-24;62.4;62.4;62.38;62.38;10979.2
2019-06-26;61.28;61.49;61.18;61.18;2143.4
2019-06-27;61.4;61.4;61.21;61.21;2451.4
2019-07-01;61.78;61.78;61.78;61.78;185.3
2019-07-02;61.74;61.75;61.74;61.75;39514.8
2019-07-10;63.18;63.18;63.15;63.15;1263.3
2019-07-15;63.13;63.13;63.13;63.13;1388.9
2019-07-22;62.59;62.59;62.59;62.59;1502.2
2019-07-23;62.92;63.03;62.92;63.03;18644.1
2019-07-24;62.93;62.95;62.93;62.95;5286.9
2019-07-26;62.62;62.62;62.62;62.62;1252.4
2019-07-29;62.4;62.4;62.4;62.4;2496.0
2019-07-30;62.0;62.0;62.0;62.0;124.0
2019-07-31;62.12;62.12;62.09;62.09;10868.8
2019-08-01;62.53;62.92;62.53;62.92;3636.5
2019-08-02;62.72;62.84;62.72;62.84;2386.0
2019-08-05;61.93;61.93;61.93;61.93;681.2
2019-08-06;61.16;61.16;61.15;61.15;6237.6
2019-08-07;61.54;61.54;61.15;61.15;6573.1
2019-08-08;61.5;61.5;61.5;61.5;5904.0
2019-08-09;62.03;62.03;62.03;62.03;6265.0
2019-08-12;62.07;62.07;61.86;61.86;1427.4
2019-08-13;61.78;61.78;61.78;61.78;3583.2
2019-08-14;62.18;62.18;62.18;62.18;2984.6
2019-08-16;62.45;62.45;62.45;62.45;124.9
2019-08-19;63.1;63.19;63.1;63.19;126.3
2019-08-21;63.36;63.41;63.36;63.41;9256.0
2019-08-23;63.41;63.41;63.41;63.41;3107.1
2019-08-26;62.41;62.41;62.41;62.41;1497.8
2019-08-27;62.68;62.77;62.67;62.77;4326.4
2019-08-28;62.73;62.73;62.47;62.47;7401.9
2019-08-29;63.6;63.6;63.42;63.42;11419.7
2019-08-30;63.84;63.84;63.65;63.65;8539.2
2019-09-02;63.55;63.83;63.55;63.83;37316.8
2019-09-03;63.64;63.78;63.64;63.64;24673.5
2019-09-04;64.67;64.89;64.67;64.77;5249.8
2019-09-05;64.91;64.99;64.76;64.76;25194.8
2019-09-06;64.37;64.42;64.14;64.18;50142.3
2019-09-09;64.27;64.28;63.85;63.85;31120.5
2019-09-10;63.41;63.49;63.18;63.18;15147.8
2019-09-11;63.26;63.46;63.19;63.46;5510.7
2019-09-12;63.45;63.46;63.45;63.46;8312.9
2019-09-13;63.47;63.47;63.36;63.36;2157.4
2019-09-16;62.77;63.21;62.77;63.14;206217.2
2019-09-17;63.36;63.41;63.36;63.41;8365.4
2019-09-18;63.7;63.76;63.7;63.74;21284.0
2019-09-19;63.62;63.88;63.62;63.88;33943.7
2019-09-20;64.03;64.38;64.03;64.38;15638.0
2019-09-23;64.55;64.56;64.22;64.22;13313.1
2019-09-24;64.3;64.64;64.3;64.62;22740.3
2019-09-25;64.22;64.22;64.13;64.13;34275.8
2019-09-26;64.28;64.28;64.2;64.2;6424.0
2019-09-27;64.67;64.73;64.41;64.41;59669.7
2019-09-30;64.45;64.54;64.45;64.54;40970.6
2019-10-01;64.65;64.65;64.17;64.17;58211.0
2019-10-02;63.86;63.86;63.86;63.86;1596.5
2019-10-03;63.32;63.32;63.32;63.32;1393.0
2019-10-04;63.26;63.46;63.26;63.46;2787.8
2019-10-07;63.63;63.63;63.55;63.55;22192.0
2019-10-08;63.52;63.52;63.22;63.22;17109.9
2019-10-09;63.24;63.34;63.24;63.34;16587.0
2019-10-10;63.13;63.13;63.13;63.13;441.9
2019-10-14;63.6;63.6;63.29;63.29;4374.8
2019-10-15;63.75;63.75;63.43;63.43;15334.5
2019-10-16;63.39;63.39;63.24;63.24;44193.9
2019-10-17;63.21;63.34;63.0;63.34;19609.8
2019-10-18;63.15;63.6;63.15;63.6;7860.2
2019-10-21;63.65;63.65;63.27;63.52;23486.7
2019-10-22;63.7;63.72;63.7;63.72;12104.2
2019-10-23;63.64;63.64;63.62;63.62;10435.0
2019-10-24;63.92;64.03;63.92;64.03;26877.2
2019-10-25;63.75;63.75;63.75;63.75;1338.8
2019-10-28;63.6;63.7;63.3;63.3;6474.7
2019-10-29;63.0;63.21;63.0;63.21;23103.8
2019-10-30;62.94;63.05;62.94;62.95;3714.1
2019-10-31;62.72;62.78;62.7;62.78;11728.3
2019-11-01;63.2;63.2;63.13;63.13;631.7
2019-11-04;63.2;63.62;63.2;63.53;9020.6
2019-11-05;63.45;63.46;63.45;63.46;5837.9
2019-11-06;63.01;63.14;62.7;63.14;19506.3
