Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-06-23;9.867726;9.893609;9.857726;9.861255;408884.81
2017-06-27;9.997139;9.997139;9.997139;9.997139;36879.15
2017-07-21;9.820079;9.820079;9.820079;9.820079;4006.56
2017-08-17;9.790667;9.790667;9.790667;9.790667;16976.88
2017-08-21;9.700666;9.700666;9.700666;9.700666;32982.0
2017-08-25;9.725372;9.725372;9.725372;9.725372;71753.22
2017-09-06;9.680077;9.680077;9.680077;9.680077;14316.72
2017-10-06;10.119493;10.119493;10.119493;10.119493;167901.28
2017-10-16;10.185964;10.185964;10.185964;10.185964;169004.16
2017-11-01;10.327141;10.327141;10.327141;10.327141;17204.88
2017-11-09;10.258906;10.258906;10.258906;10.258906;113534.4
2017-11-13;10.06361;10.06361;10.06361;10.06361;37124.36
2017-12-01;9.987139;9.987139;9.987139;9.987139;3395.6
2017-12-19;10.223611;10.223611;10.223611;10.223611;16684.8
2017-12-20;10.173023;10.173023;10.173023;10.173023;10549.34
2017-12-27;10.163611;10.163611;10.163611;10.163611;4837.84
2018-01-02;10.093022;10.093022;10.093022;10.093022;19903.28
2018-01-24;10.443613;10.443613;10.443613;10.443613;6213.9
2018-02-06;9.716548;9.776549;9.704784;9.773019;909597.92
2018-02-14;9.74949;9.74949;9.74949;9.74949;150989.14
2018-03-16;9.838902;9.838902;9.838902;9.838902;167.26
2018-10-05;10.036;10.036;10.036;10.036;4777.136
2018-10-29;9.572;9.572;9.51;9.51;81746.97
2019-05-06;10.402;10.402;10.402;10.402;30342.6
2019-06-28;10.506;10.506;10.502;10.504;222688.7
2019-07-01;10.63;10.636;10.63;10.636;193356.2
2019-07-02;10.644;10.644;10.644;10.644;89952.4
2019-07-05;10.72;10.72;10.718;10.718;21137.8
2019-07-26;10.69;10.716;10.69;10.716;31124.2
2019-08-08;10.208;10.208;10.208;10.208;30797.5
2019-08-09;10.272;10.28;10.272;10.28;20007.4
2019-09-17;10.728;10.728;10.728;10.728;10009.2
2019-10-04;10.424;10.43;10.424;10.43;30018.4
2019-10-21;10.804;10.804;10.804;10.804;9993.7
2019-10-22;10.842;10.878;10.842;10.876;35016.4
2019-10-23;10.854;10.854;10.854;10.854;12503.8
2019-11-01;10.976;10.978;10.976;10.978;19978.1
2019-11-04;11.022;11.078;11.022;11.078;60039.9
2020-01-29;11.55;11.55;11.55;11.55;18849.6
2020-01-30;11.424;11.436;11.424;11.436;20013.924
2020-02-03;11.366;11.366;11.352;11.352;60019.974
2020-02-26;11.016;11.016;11.016;11.016;10002.528
2020-02-27;10.926;10.944;10.77;10.77;30016.362
2020-02-28;10.3;10.382;10.238;10.288;470830.712
2020-03-03;10.622;10.676;10.588;10.588;129348.308
2020-03-10;9.556;9.629;9.552;9.552;30010.607
2020-03-11;9.257;9.257;9.252;9.253;30010.722
2020-03-13;8.277;8.277;8.194;8.196;29347.247
2020-03-17;7.822;7.822;7.781;7.781;19886.208
2020-03-18;7.772;7.778;7.767;7.774;75227.917
2020-03-27;8.604;8.604;8.604;8.604;10006.452
2020-03-31;8.897;8.897;8.803;8.803;40463.516
2020-04-01;8.674;8.674;8.674;8.674;19689.98
2020-04-16;9.015;9.015;8.975;9.0;80038.669
2020-04-22;9.078;9.078;9.078;9.078;10003.956
2020-05-04;9.123;9.123;9.115;9.116;40017.802
2020-05-12;9.457;9.471;9.437;9.437;40015.664
