Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-10-27;40.06;40.06;40.06;40.06;40.06
2020-10-28;39.91;39.91;39.85;39.85;15355.8
2020-10-29;39.88;39.88;39.85;39.85;3388.9
2020-10-30;39.83;39.84;39.8;39.8;101859.99
2020-11-02;39.8;39.91;39.79;39.88;45845.45
2020-11-03;39.83;39.88;39.83;39.88;254086.94
2020-11-04;39.98;39.98;39.98;39.98;18790.6
2020-11-05;40.2;40.34;40.2;40.34;267243.6
2020-11-06;40.265;40.3;40.2;40.3;27392.5
2020-11-09;40.54;40.89;40.47;40.89;128240.56
2020-11-10;40.73;40.78;40.7;40.7;306714.01
2020-11-11;40.66;40.7;40.52;40.52;29525.5
2020-11-12;40.63;40.64;40.605;40.63;150204.785
2020-11-13;40.635;40.75;40.635;40.75;98125.65
2020-11-16;40.75;40.8;40.75;40.8;12230.5
2020-11-17;40.88;40.89;40.84;40.89;119142.0
2020-11-18;40.94;40.95;40.94;40.95;47501.4
2020-11-19;40.8;40.92;40.8;40.855;57103.42
2020-11-20;40.99;41.0;40.99;41.0;115410.6
2020-11-23;41.05;41.07;41.05;41.05;45574.02
2020-11-24;41.1;41.2;41.1;41.19;149589.66
2020-11-25;41.31;41.32;41.3;41.31;93030.72
2020-11-26;41.29;41.31;41.29;41.3;210668.37
2020-11-27;41.31;41.33;41.29;41.33;105350.13
2020-11-30;41.34;41.36;41.3;41.34;69026.54
2020-12-01;41.32;41.34;41.3;41.3;154304.6
2020-12-02;41.32;41.32;41.32;41.32;692958.441
2020-12-03;41.43;41.44;41.43;41.44;24863.4
2020-12-04;41.48;41.5;41.48;41.5;77293.54
2020-12-07;41.55;41.6;41.55;41.59;70238.56
2020-12-08;41.59;41.59;41.55;41.56;26234.09
2020-12-09;41.63;41.63;41.56;41.59;80356.53
2020-12-10;41.4;41.43;41.36;41.36;66268.51
2020-12-14;41.22;41.44;41.22;41.345;115478.14
2020-12-15;41.39;41.39;41.36;41.36;26319.51
2020-12-16;41.4;41.4;41.11;41.11;130209.09
2020-12-17;41.44;41.45;41.27;41.45;146693.36
2020-12-18;41.43;41.43;41.42;41.42;4763.7
2020-12-21;41.1;41.33;41.1;41.11;271648.61
2020-12-22;41.44;41.45;41.33;41.39;187821.3
2020-12-23;41.25;41.39;41.25;41.39;34346.7
2020-12-28;41.39;41.44;41.39;41.44;117220.2
2020-12-29;41.37;41.37;41.25;41.25;11902.88
2020-12-30;41.32;41.32;41.12;41.12;138457.73
2021-01-04;41.215;41.44;41.215;41.44;11184.66
2021-01-05;41.33;41.45;41.33;41.45;62055.0
2021-01-06;41.5;41.65;41.46;41.65;11216.0
2021-01-07;41.63;41.65;41.51;41.65;587809.3985
2021-01-08;41.79;41.8;41.63;41.79;178819.4
2021-01-11;41.75;41.75;41.7;41.73;23990.94
2021-01-12;41.66;41.68;41.5;41.5;54117.5
2021-01-13;41.54;41.55;41.43;41.43;143096.6
2021-01-14;41.49;41.55;41.39;41.55;64927.64
2021-01-15;41.39;41.39;41.29;41.29;56609.85
2021-01-18;41.43;41.43;41.29;41.3;14151.58
2021-01-19;41.17;41.34;41.17;41.34;618.4
2021-01-20;41.225;41.24;41.22;41.24;52350.85
2021-01-21;41.44;41.44;41.4;41.4;13881.0
2021-01-22;41.3;41.3;41.21;41.28;66764.14
2021-01-25;41.3;41.3;41.2;41.2;16928.0
2021-01-26;41.28;41.29;41.26;41.26;339007.36
2021-01-28;41.13;41.13;41.13;41.13;49356.0
2021-02-01;41.31;41.34;41.14;41.34;29819.02
2021-02-02;41.4;41.47;41.4;41.45;30173.16
2021-02-03;41.45;41.46;41.44;41.44;51823.2
2021-02-04;41.32;41.5;41.32;41.5;44060.42
2021-02-05;41.42;41.43;41.26;41.43;11993.1
2021-02-09;41.39;41.39;41.39;41.39;34974.55
2021-02-10;41.39;41.39;41.39;41.39;21853.92
2021-02-11;41.49;41.5;41.49;41.49;52073.95
2021-02-12;41.41;41.42;41.41;41.42;5177.45
2021-02-15;41.45;41.47;41.45;41.47;5721.06
2021-02-16;41.48;41.48;41.29;41.42;44486.58
2021-02-17;41.46;41.46;41.45;41.45;31260.6
2021-02-18;41.34;41.52;41.33;41.52;8064.3
2021-02-22;41.3;41.3;41.3;41.3;20650.0
2021-02-23;41.39;41.51;41.39;41.51;44614.25
2021-02-25;41.38;41.39;41.245;41.245;49013.59
2021-02-26;41.18;41.18;41.1;41.18;8852.35
2021-03-01;40.99;40.99;40.99;40.99;2049.5
2021-03-02;41.27;41.3;41.27;41.29;25925.95
2021-03-03;41.35;41.35;41.32;41.34;109549.35
2021-03-04;41.28;41.31;41.28;41.31;107024.6
2021-03-05;41.18;41.5;41.18;41.5;16556.06
