Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-12-28;103.38;103.38;103.38;103.38;2584.5
2018-01-10;104.9;104.9;104.9;104.9;4196.0
2018-01-12;104.9;104.9;104.9;104.9;11958.6
2018-01-25;108.32;108.56;108.32;108.56;15403.52
2018-01-26;108.24;108.24;108.14;108.14;4867.8
2018-02-12;101.5;101.5;101.5;101.5;15225.0
2018-02-15;104.28;104.28;104.28;104.28;3128.4
2018-02-26;106.28;106.28;106.28;106.28;531.4
2018-02-28;105.28;105.28;105.28;105.28;1052.8
2018-03-02;101.06;101.06;101.06;101.06;1010.6
2018-03-21;103.58;103.58;103.58;103.58;3107.4
2018-03-27;102.06;102.06;102.06;102.06;510.3
2018-04-09;101.68;101.68;101.68;101.68;32232.56
2018-04-20;101.2;101.2;101.2;101.2;3339.6
2018-04-23;100.24;100.24;100.24;100.24;4009.6
2018-05-04;99.68;99.68;99.68;99.68;10566.08
2018-05-09;100.2;100.2;100.2;100.2;2905.8
2018-05-14;101.6;101.6;101.6;101.6;10668.0
2018-05-15;100.76;100.76;100.76;100.76;1108.36
2018-05-16;100.62;100.62;100.62;100.62;2515.5
2018-05-18;98.67;98.67;98.67;98.67;20128.68
2018-05-25;101.0;101.0;101.0;101.0;1313.0
2018-05-29;100.34;100.34;100.34;100.34;7224.48
2018-05-30;99.27;99.27;99.27;99.27;2680.29
2018-06-04;101.32;101.32;101.32;101.32;12867.64
2018-06-25;92.67;92.67;92.6;92.6;54931.12
2018-06-27;92.07;92.07;92.07;92.07;3130.38
2018-07-03;91.82;92.82;91.82;92.82;51052.64
2018-07-04;91.18;91.29;91.18;91.29;33559.85
2018-07-09;92.93;93.29;92.91;93.29;44001.08
2018-07-10;93.52;93.52;93.52;93.52;4395.44
2018-07-12;93.78;93.78;93.78;93.78;17067.96
2018-07-17;93.3;93.3;93.3;93.3;746.4
2018-07-20;95.45;95.45;95.45;95.45;17371.9
2018-07-26;97.2;97.2;97.2;97.2;4762.8
2018-07-30;97.55;97.55;97.55;97.55;11803.55
2018-09-06;94.38;94.41;94.38;94.41;33601.95
2018-09-13;94.52;94.76;94.52;94.76;34048.8
2018-09-17;93.52;93.52;93.52;93.52;841.68
2018-09-21;95.68;95.68;95.68;95.68;382.72
2018-09-28;99.11;99.11;99.11;99.11;198.22
2018-10-03;96.71;96.71;96.71;96.71;386.84
2018-10-11;89.91;89.91;89.91;89.91;8361.63
2018-10-30;89.25;89.25;89.25;89.25;28292.25
2018-12-04;96.94;96.94;96.94;96.94;387.76
2019-02-22;100.28;100.28;100.28;100.28;3008.4
2019-03-05;98.32;98.42;98.32;98.38;261063.9
2019-04-01;101.05;101.05;101.05;101.05;4951.5
2019-04-23;103.42;103.42;103.42;103.42;2585.5
2019-06-11;99.97;99.97;99.97;99.97;1099.7
2019-06-17;98.81;98.81;98.81;98.81;3952.4
2019-06-27;98.09;98.09;98.09;98.09;1961.8
2019-07-10;99.4;99.4;99.4;99.4;994.0
2019-07-25;101.59;101.59;100.57;100.57;36410.6
2019-07-31;99.54;99.73;99.54;99.73;7972.7
2019-08-05;94.49;94.49;94.49;94.49;18898.0
2019-08-06;94.15;94.15;94.15;94.15;9415.0
2019-08-08;94.33;94.78;94.33;94.78;53964.6
2019-08-12;93.59;93.59;93.59;93.59;561.5
2019-08-13;93.47;93.47;93.47;93.47;7664.5
2019-09-03;95.07;95.07;95.07;95.07;6654.9
2019-09-18;98.96;98.96;98.96;98.96;7916.8
2019-09-19;98.37;98.37;98.37;98.37;1475.6
2019-09-27;98.23;98.23;98.23;98.23;1473.5
2019-09-30;98.54;98.54;98.54;98.54;9854.0
2019-10-17;99.06;99.21;99.06;99.16;89226.5
2019-10-29;100.33;100.4;100.33;100.4;4014.3
2019-10-31;99.48;99.48;99.48;99.48;5968.8
2019-11-01;99.83;100.43;99.83;100.43;182259.4
2019-11-05;102.05;102.16;102.05;102.16;7759.8
2019-11-07;102.48;102.91;102.48;102.91;10068.0
2019-11-13;100.71;100.71;100.71;100.71;3021.3
2019-11-14;100.5;100.5;100.5;100.5;15075.0
2019-11-15;101.54;101.54;101.54;101.54;1929.3
2019-11-26;100.68;100.68;100.68;100.68;2517.0
2019-11-27;100.95;100.95;100.95;100.95;807.6
2019-11-29;99.8;99.8;99.8;99.8;698.6
2019-12-06;100.65;100.65;100.65;100.65;25162.5
2019-12-13;102.21;102.21;102.21;102.21;3066.3
2019-12-18;103.42;103.42;103.42;103.42;723.9
2019-12-19;104.13;104.13;104.13;104.13;2603.25
2019-12-23;105.0;105.0;105.0;105.0;5250.0
2019-12-27;105.0;105.0;105.0;105.0;10500.0
2019-12-30;104.82;104.9;104.82;104.9;66481.24
2020-01-02;105.07;105.07;105.06;105.06;66611.21
2020-01-03;104.64;104.64;104.64;104.64;33170.88
2020-01-14;105.59;106.01;105.59;106.01;34133.12
2020-01-15;105.71;105.71;105.71;105.71;33510.07
2020-01-23;105.72;106.51;105.54;105.54;597760.86
2020-01-24;107.3;107.3;106.42;106.42;301985.14
2020-01-27;103.21;103.21;103.21;103.21;32717.57
2020-01-28;103.92;104.07;103.57;103.57;240802.67
2020-01-29;104.05;104.13;103.82;103.82;131913.21
2020-01-30;102.13;102.13;102.13;102.13;32375.21
2020-01-31;99.38;99.38;99.38;99.38;31503.46
2020-02-03;100.32;101.21;100.32;101.21;66157.69
2020-02-25;101.48;101.48;101.48;101.48;2029.6
2020-03-04;96.34;96.6;96.34;96.6;29481.6
2020-03-05;95.62;95.62;95.07;95.17;62218.48
2020-03-06;90.69;90.69;90.69;90.69;28748.73
2020-03-10;86.47;86.47;86.47;86.47;6052.9
2020-03-13;80.47;83.84;79.67;79.67;728566.49
2020-03-23;69.32;69.32;69.32;69.32;18716.4
2020-03-24;72.36;72.36;72.36;72.36;578.88
2020-03-26;76.12;76.12;76.12;76.12;20552.4
2020-04-01;73.87;73.87;73.87;73.87;19206.2
2020-04-07;80.34;80.34;80.34;80.34;321.36
2020-04-24;79.82;79.82;79.82;79.82;39910.0
2020-04-30;81.72;81.72;81.72;81.72;20430.0
2020-05-06;79.51;79.51;79.49;79.49;39750.0
2020-05-12;79.39;79.39;79.39;79.39;9923.75
2020-05-14;78.41;78.41;78.41;78.41;19602.5
2020-06-03;84.79;86.09;84.79;86.08;39644.46
2020-06-04;86.16;86.16;86.16;86.16;19816.8
2020-06-18;86.76;86.76;86.76;86.76;867.6
2020-07-06;90.67;90.67;90.67;90.67;906.7
2020-07-10;91.63;91.63;91.63;91.63;7330.4
2020-07-13;92.73;92.73;92.43;92.43;55521.0
2020-07-24;89.17;89.17;89.17;89.17;13375.5
2020-07-27;89.49;89.49;89.49;89.49;2684.7
2020-08-03;89.58;90.19;89.28;90.19;46691.8
2020-08-19;91.06;91.06;91.06;91.06;455.3
2020-08-21;91.74;91.74;91.74;91.74;91.74
2020-08-26;94.0;94.0;94.0;94.0;3572.0
2020-08-28;93.96;93.96;93.96;93.96;939.6
2020-08-31;92.8;92.8;92.8;92.8;278.4
2020-09-01;92.99;92.99;92.99;92.99;929.9
2020-09-02;93.78;93.78;93.78;93.78;468.9
2020-09-03;93.06;93.06;93.06;93.06;93.06
2020-09-15;92.0;92.03;92.0;92.03;27602.4
2020-09-21;90.58;90.58;90.58;90.58;7246.4
2020-09-23;90.0;90.0;90.0;90.0;39600.0
2020-09-28;90.53;90.53;90.53;90.53;18106.0
2020-09-29;89.66;89.66;89.66;89.66;7172.8
2020-10-01;91.77;91.77;91.77;91.77;9177.0
2020-10-23;95.5;95.5;95.5;95.5;7640.0
2020-10-26;94.6;94.6;94.6;94.6;283.8
2020-10-27;95.16;95.16;95.16;95.16;7612.8
2020-11-02;95.0;95.0;95.0;95.0;1900.0
2020-11-03;97.04;97.04;97.04;97.04;20378.4
2020-11-05;100.99;100.99;100.98;100.98;42413.7
2020-11-10;103.8;103.8;103.75;103.75;4980.2
2020-11-11;103.32;103.32;103.32;103.32;3202.92
2020-11-12;104.53;104.53;104.53;104.53;19860.7
2020-11-23;106.52;107.18;106.52;107.18;9612.66
2020-11-24;107.57;107.57;107.5;107.5;5912.85
2020-11-30;105.78;105.78;105.78;105.78;5289.0
2020-12-02;104.72;104.74;104.72;104.74;9216.24
2020-12-03;105.33;105.33;105.33;105.33;2106.6
2020-12-04;105.99;105.99;105.99;105.99;2861.73
2020-12-07;106.14;106.14;105.87;105.87;9756.24
2020-12-09;107.39;107.39;107.39;107.39;1288.68
2020-12-10;106.87;106.87;106.2;106.2;25521.5
2020-12-15;106.77;107.11;106.77;107.11;24367.12
2020-12-17;108.22;108.25;108.19;108.25;43504.44
2020-12-28;107.79;107.79;107.3;107.3;15298.97
2020-12-29;107.59;107.59;107.59;107.59;645.54
2020-12-30;108.8;109.31;108.8;109.31;9359.86
2021-01-04;110.9;110.9;110.9;110.9;1663.5
2021-01-06;110.75;110.75;110.75;110.75;3433.25
2021-01-08;115.13;115.21;114.83;115.21;42314.48
2021-01-11;114.73;114.73;114.67;114.67;39909.04
2021-01-12;115.13;115.13;114.95;114.95;4254.41
2021-01-13;115.91;115.91;115.91;115.91;10663.72
2021-01-14;117.11;117.11;117.11;117.11;585.55
2021-01-19;116.98;116.98;116.98;116.98;1754.7
2021-01-20;118.45;118.45;118.45;118.45;1184.5
2021-01-21;118.52;118.52;118.36;118.36;35535.2
2021-01-22;117.29;117.29;116.94;116.99;42570.55
2021-01-27;116.18;116.18;115.96;115.96;6380.0
2021-01-28;113.71;114.93;113.71;114.93;1826.68
2021-02-02;118.22;118.47;118.22;118.47;10779.27
2021-02-03;119.32;119.32;119.32;119.32;7159.2
2021-02-05;119.6;119.6;119.6;119.6;1435.2
2021-02-08;119.44;119.44;119.44;119.44;1433.28
2021-02-11;121.43;121.43;121.42;121.42;41284.5
2021-02-16;122.7;122.7;122.7;122.7;5153.4
2021-02-22;116.28;116.28;116.28;116.28;5814.0
2021-02-24;115.45;115.45;114.65;114.65;39480.6
2021-02-25;115.1;115.1;115.06;115.06;21056.1
2021-03-01;113.92;114.79;113.64;114.79;127417.08
2021-03-09;111.51;111.51;111.19;111.19;354005.23
2021-03-12;114.0;114.1;114.0;114.1;20652.0
2021-03-15;114.21;114.21;114.21;114.21;228.42
2021-03-16;115.43;115.43;115.43;115.43;346.29
2021-03-17;114.15;114.15;114.13;114.13;41090.4
2021-03-22;114.01;114.01;113.9;113.9;61533.0
2021-03-23;113.08;113.08;112.59;113.01;81306.0
2021-03-24;112.16;112.58;112.01;112.01;101046.6
2021-03-25;111.41;111.41;111.41;111.41;20053.8
2021-03-26;113.64;113.64;113.23;113.23;81671.4
2021-03-29;113.74;113.74;113.74;113.74;4549.6
2021-04-01;117.0;117.0;117.0;117.0;351.0
2021-04-06;115.49;115.49;115.49;115.49;115.49
2021-04-07;114.69;114.69;114.69;114.69;20644.2
2021-04-09;114.43;114.43;114.43;114.43;1258.73
2021-04-12;113.12;113.12;113.12;113.12;4977.28
2021-04-15;115.73;115.73;115.73;115.73;462.92
2021-04-16;116.0;116.0;116.0;116.0;232.0
2021-04-19;115.44;115.44;115.36;115.36;5886.08
2021-04-21;114.01;114.01;114.01;114.01;41043.6
2021-04-23;115.35;115.41;115.25;115.39;124567.2
2021-04-26;115.56;115.87;115.33;115.79;249654.6
2021-04-27;115.64;115.65;115.5;115.5;301675.0
2021-04-28;113.74;114.17;113.74;114.15;232439.3
2021-04-29;114.51;114.51;114.34;114.36;82359.0
2021-05-03;112.57;112.57;112.57;112.57;7542.19
