Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-04-28;7.129;7.137;6.883;6.883;21945.54
2022-04-29;6.876;7.01;6.876;7.002;9655.8
2022-05-02;6.796;6.798;6.79;6.798;978.644
2022-05-03;6.898;6.898;6.898;6.898;47596.2
2022-05-04;6.9;6.9;6.9;6.9;3450.0
2022-05-05;7.174;7.174;6.84;6.84;5605.6
2022-05-06;6.807;6.807;6.763;6.763;135628.45
2022-05-09;6.491;6.491;6.491;6.491;253.149
2022-05-10;6.226;6.226;6.2;6.2;101940.35
2022-05-11;6.129;6.129;5.951;5.951;67650.65
2022-05-12;5.577;5.577;5.57;5.57;1671.7
2022-05-16;6.135;6.151;6.135;6.151;9208.9
2022-05-17;6.183;6.234;6.183;6.234;82710.375
2022-05-18;6.301;6.301;6.301;6.301;31.505
2022-05-19;6.082;6.082;6.0;6.0;198.246
2022-05-20;6.114;6.114;6.114;6.114;3057.0
2022-05-25;5.785;5.785;5.785;5.785;2956.135
2022-05-26;5.862;5.862;5.862;5.862;55689.0
2022-05-30;6.444;6.444;6.444;6.444;8377.2
2022-06-06;6.517;6.517;6.517;6.517;3258.5
2022-06-07;6.455;6.455;6.445;6.445;4320.15
2022-06-08;6.545;6.668;6.545;6.646;5280.8
2022-06-09;6.65;6.68;6.629;6.629;64812.004
2022-06-10;6.749;6.755;6.336;6.336;68179.988
2022-06-13;6.234;6.234;5.731;5.731;4975.264
2022-06-14;5.8;5.8;5.8;5.8;1856.0
2022-06-15;5.76;5.873;5.76;5.873;62060.6
2022-06-16;5.862;5.862;5.862;5.862;117.24
2022-06-20;6.006;6.006;6.006;6.006;1801.8
2022-06-21;6.095;6.095;6.088;6.088;103599.615
2022-06-23;6.136;6.136;6.136;6.136;1006.304
2022-06-24;6.573;6.6;6.481;6.481;10534.6
2022-06-28;6.316;6.393;6.316;6.393;108272.548
2022-06-29;6.151;6.151;6.074;6.074;46979.25
2022-06-30;5.681;5.681;5.681;5.681;2840.5
2022-07-01;5.689;5.742;5.689;5.691;6583.078
2022-07-04;5.466;5.466;5.431;5.431;1634.7
2022-07-05;5.468;5.501;5.468;5.501;1641.532
2022-07-06;5.732;5.732;5.732;5.732;1146.4
2022-07-07;5.626;6.03;5.626;6.03;51693.83
2022-07-08;6.083;6.083;6.083;6.083;3041.5
2022-07-11;5.9;5.9;5.9;5.9;194.7
2022-07-12;5.683;5.683;5.683;5.683;568.3
2022-07-19;6.077;6.077;6.077;6.077;200.541
2022-07-20;6.081;6.363;6.081;6.363;10972.83
2022-07-21;6.446;6.446;6.404;6.43;22822.5
2022-07-22;6.64;6.64;6.318;6.32;10092.58
2022-07-25;6.239;6.305;6.239;6.289;10020.0
2022-07-26;6.162;6.179;5.95;5.995;7749.88
2022-07-27;5.994;6.029;5.994;6.029;614.838
2022-07-28;6.6;6.654;6.56;6.654;37435.88
2022-07-29;6.889;6.912;6.78;6.8;58580.072
2022-08-01;6.9;6.916;6.82;6.824;23415.252
2022-08-02;6.681;6.75;6.589;6.75;10039.815
2022-08-03;6.925;6.97;6.925;6.97;38982.5
