Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-08-20;12.11;12.26;12.11;12.26;135812.0
2019-08-28;12.38;12.38;12.38;12.38;99.0
2019-08-29;12.39;12.39;12.39;12.39;6195.0
2019-09-04;12.49;12.49;12.49;12.49;6245.0
2019-09-10;12.28;12.28;12.28;12.28;122800.0
2019-09-11;12.24;12.34;12.24;12.33;499895.0
2019-10-01;12.258;12.258;12.258;12.258;208.4
2019-10-02;12.218;12.218;12.132;12.132;2015.0
2019-10-03;12.25;12.306;12.162;12.162;1357.9
2019-10-04;12.318;12.318;12.232;12.232;2713.9
2019-10-07;12.368;12.368;12.282;12.282;5278.9
2019-10-08;12.326;12.33;12.24;12.33;5394.9
2019-10-09;12.3;12.3;12.248;12.248;552.4
2019-10-10;12.3;12.33;12.244;12.244;2894.1
2019-10-11;12.312;12.312;12.222;12.222;1348.3
2019-10-14;12.298;12.298;12.202;12.202;7142.9
2019-10-15;12.308;12.31;12.222;12.27;182787.4
2019-10-16;12.308;12.308;12.162;12.172;108645.6
2019-10-17;12.278;12.278;12.192;12.268;119609.8
2019-10-18;12.288;12.288;12.202;12.202;79746.4
2019-10-21;12.278;12.278;12.158;12.268;10370.5
2019-10-22;12.268;12.278;12.182;12.278;30064.2
2019-10-23;12.288;12.288;12.202;12.27;4983.2
2019-10-24;12.318;12.342;12.232;12.342;23469.1
2019-10-25;12.3;12.3;12.17;12.3;8544.2
2019-10-28;12.308;12.308;12.12;12.12;3024.7
2019-10-29;12.248;12.248;12.162;12.162;1015.4
2019-10-30;12.238;12.238;12.11;12.218;12586.9
2019-10-31;12.182;12.268;12.182;12.258;7254.6
2019-11-04;12.338;12.338;12.204;12.204;2642.4
2019-11-05;12.272;12.272;12.2;12.268;6252.8
2019-11-06;12.238;12.238;12.162;12.228;101766.9
2019-11-07;12.24;12.258;12.172;12.172;11386.0
2019-11-08;12.188;12.188;12.122;12.122;1107.7
2019-11-11;12.2;12.2;12.088;12.158;19386.6
2019-11-12;12.158;12.158;12.092;12.158;77528.8
2019-11-13;12.128;12.128;12.106;12.106;944.5
2019-11-14;12.208;12.218;12.13;12.218;8674.1
2019-11-15;12.218;12.218;12.134;12.142;8046.1
2019-11-18;12.216;12.216;12.132;12.132;206.7
2019-11-19;12.214;12.214;12.092;12.092;847.8
2019-11-20;12.188;12.188;12.104;12.108;218.3
2019-11-21;12.264;12.264;12.118;12.208;16028.5
2019-11-22;12.278;12.278;12.2;12.2;5474.7
2019-11-25;12.262;12.262;12.148;12.148;2703.2
2019-11-26;12.276;12.288;12.168;12.288;9988.8
2019-11-27;12.288;12.288;12.178;12.28;13867.8
2019-11-28;12.288;12.288;12.152;12.288;43199.9
2019-11-29;12.272;12.272;12.272;12.272;257.7
2019-12-02;12.21;12.21;12.21;12.21;1282.1
2019-12-03;12.222;12.222;12.16;12.16;341.6
2019-12-04;12.254;12.254;12.194;12.194;2244.6
2019-12-05;12.25;12.25;12.186;12.236;15368.3
2019-12-06;12.25;12.25;12.25;12.25;159.3
2019-12-09;12.308;12.31;12.182;12.192;2063.4
2019-12-10;12.294;12.294;12.202;12.202;356.3
2019-12-11;12.302;12.302;12.19;12.19;232.7
2019-12-12;12.322;12.322;12.322;12.322;12.3
2019-12-13;12.31;12.31;12.31;12.31;49.2
2019-12-16;12.34;12.348;12.212;12.348;6619.3
2019-12-17;12.358;12.358;12.216;12.242;75674.4
2019-12-18;12.328;12.328;12.262;12.262;14576.9
2019-12-19;12.31;12.31;12.236;12.236;233.594
2019-12-20;12.238;12.3;12.238;12.3;196946.856
2019-12-23;12.312;12.316;12.254;12.316;396060.762
2019-12-27;12.282;12.346;12.282;12.346;6706.228
2019-12-30;12.358;12.358;12.358;12.358;803.27
2020-01-02;12.354;12.354;12.354;12.354;840.072
2020-01-03;12.28;12.282;12.278;12.278;135061.0
2020-01-07;12.29;12.29;12.29;12.29;2888.15
2020-01-08;12.28;12.362;12.278;12.29;1612.358
2020-01-09;12.292;12.292;12.292;12.292;712.936
2020-01-10;12.356;12.356;12.302;12.302;529.742
2020-01-13;12.4;12.4;12.358;12.358;111301.074
2020-01-14;12.292;12.358;12.292;12.358;113929.03
2020-01-15;12.358;12.358;12.306;12.306;64532.852
2020-01-16;12.322;12.33;12.322;12.33;2082.706
2020-01-17;12.322;12.38;12.322;12.37;93769.35
2020-01-20;12.378;12.378;12.322;12.322;9749.496
2020-01-21;12.32;12.382;12.32;12.328;9009.774
2020-01-22;12.312;12.418;12.312;12.322;1111.698
2020-01-23;12.418;12.418;12.418;12.418;37.254
2020-01-24;12.38;12.398;12.334;12.334;44789.374
2020-01-27;12.388;12.418;12.322;12.418;20684.656
2020-01-28;12.458;12.458;12.458;12.458;1370.38
2020-01-29;12.49;12.496;12.46;12.46;68277.392
2020-01-30;12.512;12.518;12.512;12.518;8236.802
2020-01-31;12.53;12.53;12.49;12.49;30701.638
2020-02-04;12.526;12.528;12.526;12.528;10122.288
2020-02-05;12.432;12.538;12.432;12.534;15433.582
2020-02-06;12.524;12.53;12.418;12.53;14071.702
2020-02-07;12.552;12.552;12.462;12.462;1878.888
2020-02-10;12.456;12.548;12.456;12.456;1558.564
2020-02-11;12.568;12.588;12.462;12.588;41111.688
2020-02-12;12.564;12.564;12.564;12.564;12.564
2020-02-13;12.578;12.578;12.47;12.48;1174.278
2020-02-14;12.512;12.624;12.512;12.624;5863.44
2020-02-17;12.506;12.658;12.506;12.638;5030.196
2020-02-18;12.634;12.634;12.632;12.634;5760.996
2020-02-19;12.636;12.658;12.56;12.658;29820.912
2020-02-20;12.57;12.57;12.57;12.57;12.57
2020-02-21;12.576;12.678;12.576;12.678;1367453.466
2020-02-24;12.706;12.708;12.632;12.708;5751.812
2020-02-25;12.688;12.688;12.622;12.688;10997.79
2020-02-26;12.658;12.658;12.586;12.592;35070.0
2020-02-27;12.64;12.64;12.55;12.61;126950.3
2020-02-28;12.494;12.5;12.35;12.5;268293.968
2020-03-02;12.55;12.648;12.514;12.648;19396.432
2020-03-03;12.63;12.63;12.562;12.562;1843.436
