Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-01-11;8.091;8.091;8.09;8.09;61643.536
2019-01-14;8.005;8.005;8.005;8.005;2969.855
2019-01-15;8.124;8.124;8.101;8.101;53315.236
2019-01-16;8.176;8.176;8.168;8.168;286654.37
2019-01-17;8.178;8.18;8.171;8.171;164987.241
2019-01-18;8.252;8.289;8.252;8.289;428162.102
2019-01-21;8.276;8.293;8.276;8.293;208954.147
2019-01-22;8.237;8.256;8.234;8.234;443576.849
2019-01-23;8.233;8.259;8.182;8.182;32561.2
2019-01-24;8.286;8.306;8.286;8.306;75547.328
2019-01-25;8.382;8.437;8.382;8.437;28613.709
2019-01-28;8.275;8.275;8.275;8.275;2515.6
2019-01-29;8.375;8.375;8.375;8.375;93381.25
2019-01-30;8.398;8.398;8.398;8.398;32659.822
2019-01-31;8.485;8.485;8.48;8.48;49491.075
2019-02-04;8.483;8.483;8.483;8.483;251639.7
2019-02-05;8.581;8.599;8.581;8.599;5528.1
2019-02-06;8.637;8.637;8.607;8.607;27799.9
2019-02-07;8.525;8.525;8.493;8.503;4207469.7
2019-02-08;8.44;8.44;8.44;8.44;2149073.3
2019-02-11;8.471;8.502;8.471;8.502;790856.7
2019-02-12;8.544;8.544;8.544;8.544;759810.3
2019-02-13;8.525;8.526;8.491;8.519;301093.8
2019-02-14;8.501;8.514;8.501;8.514;497246.5
2019-02-15;8.478;8.478;8.478;8.478;306895.3
2019-02-18;8.478;8.491;8.456;8.48;594221.9
2019-02-19;8.452;8.452;8.452;8.452;2785058.8
2019-02-20;8.52;8.56;8.51;8.56;1064828.4
2019-02-21;8.589;8.589;8.488;8.508;1062811.6
2019-02-22;8.62;8.62;8.62;8.62;57538.5
2019-02-25;8.671;8.699;8.671;8.699;267342.0
2019-02-26;8.68;8.68;8.657;8.657;115780.0
2019-02-27;8.597;8.61;8.588;8.61;3478849.0
2019-02-28;8.53;8.534;8.51;8.534;388534.4
2019-03-01;8.528;8.552;8.528;8.552;2099775.6
2019-03-04;8.586;8.675;8.476;8.557;505910.8
2019-03-05;8.588;8.618;8.588;8.618;913727.3
2019-03-06;8.665;8.665;8.646;8.646;1314373.5
2019-03-07;8.572;8.588;8.536;8.536;874796.3
2019-03-08;8.453;8.453;8.402;8.402;125242.1
2019-03-11;8.509;8.568;8.509;8.568;324912.0
2019-03-12;8.625;8.625;8.618;8.618;1096915.9
2019-03-13;8.572;8.579;8.565;8.569;822857.1
2019-03-14;8.554;8.565;8.516;8.546;1543407.7
2019-03-15;8.629;8.647;8.629;8.647;222024.2
2019-03-18;8.734;8.734;8.707;8.707;541028.9
2019-03-19;8.763;8.763;8.743;8.743;920807.9
2019-03-20;8.727;8.727;8.687;8.694;1363906.3
2019-03-21;8.695;8.726;8.695;8.726;37208.2
2019-03-22;8.682;8.719;8.611;8.63;561107.7
2019-03-25;8.543;8.543;8.543;8.543;6458.5
2019-03-26;8.609;8.632;8.609;8.632;65356.4
2019-03-27;8.544;8.566;8.544;8.566;42961.4
2019-03-28;8.567;8.624;8.567;8.577;2356839.0
2019-03-29;8.723;8.726;8.707;8.726;323638.9
2019-04-01;8.82;8.833;8.802;8.833;512513.8
2019-04-02;8.871;8.89;8.856;8.856;333771.8
2019-04-03;8.911;8.911;8.885;8.893;847204.8
2019-04-04;8.891;8.915;8.891;8.915;1569703.5
2019-04-05;8.966;8.985;8.928;8.985;287909.9
2019-04-08;8.933;8.933;8.912;8.924;674433.4
2019-04-09;8.981;8.981;8.954;8.954;379564.1
2019-04-10;8.977;9.012;8.977;9.012;648107.4
2019-04-11;8.925;8.948;8.903;8.934;725901.4
2019-04-12;8.921;8.948;8.921;8.944;616024.7
2019-04-15;8.94;8.94;8.921;8.921;310530.9
2019-04-16;8.929;8.966;8.929;8.94;1452378.5
2019-04-17;8.991;9.016;8.991;9.016;816646.8
2019-04-18;8.961;8.996;8.961;8.996;630274.1
2019-04-23;8.952;8.964;8.952;8.964;459242.5
2019-04-24;8.983;8.983;8.902;8.902;44403.3
2019-04-26;8.913;8.929;8.913;8.929;40044.2
2019-04-29;8.972;8.985;8.972;8.978;1311446.5
2019-04-30;8.885;8.899;8.862;8.862;201436.7
2019-05-02;8.917;8.918;8.895;8.91;334221.4
2019-05-03;8.939;9.004;8.939;8.995;12681971.7
2019-05-06;8.737;8.749;8.718;8.749;134800.5
2019-05-07;8.728;8.735;8.658;8.674;275357.9
2019-05-08;8.623;8.65;8.6;8.623;652170.8
2019-05-09;8.503;8.506;8.342;8.342;516399.3
2019-05-10;8.486;8.512;8.445;8.445;415235.9
2019-05-13;8.356;8.357;8.322;8.322;649960.4
2019-05-14;8.311;8.35;8.311;8.332;410330.6
2019-05-15;8.388;8.388;8.337;8.339;1245675.3
2019-05-16;8.391;8.41;8.357;8.41;14754613.9
2019-05-17;8.24;8.249;8.22;8.229;488144.9
2019-05-20;8.171;8.185;8.171;8.185;125300.8
2019-05-21;8.245;8.25;8.234;8.234;204987.5
2019-05-22;8.287;8.287;8.271;8.271;568848.0
2019-05-23;8.141;8.154;8.127;8.145;570137.3
2019-05-24;8.166;8.186;8.166;8.186;1637069.2
2019-05-27;8.134;8.151;8.134;8.151;3898.7
2019-05-28;8.145;8.173;8.145;8.173;63880.1
2019-05-29;8.123;8.134;8.118;8.134;67026.9
2019-05-30;8.261;8.287;8.251;8.287;1990225.5
2019-05-31;8.213;8.237;8.213;8.237;497001.5
2019-06-03;8.365;8.366;8.365;8.366;121982.7
2019-06-04;8.259;8.297;8.25;8.297;475027.4
2019-06-05;8.337;8.337;8.315;8.33;119960.0
2019-06-06;8.266;8.291;8.266;8.285;160958.9
2019-06-07;8.244;8.308;8.244;8.308;135369.6
2019-06-10;8.372;8.372;8.338;8.364;150717.0
2019-06-11;8.421;8.459;8.421;8.459;547088.8
2019-06-12;8.372;8.399;8.372;8.399;2292738.3
2019-06-13;8.419;8.432;8.397;8.397;231090.7
2019-06-14;8.377;8.382;8.355;8.382;353977.9
2019-06-17;8.384;8.384;8.356;8.376;256278.2
2019-06-18;8.464;8.502;8.464;8.502;106344.4
2019-06-19;8.622;8.622;8.598;8.614;883808.4
2019-06-20;8.723;8.743;8.722;8.742;200192.1
2019-06-21;8.636;8.669;8.636;8.669;1648433.6
2019-06-24;8.614;8.618;8.601;8.618;337447.8
2019-06-25;8.57;8.58;8.57;8.575;158959.3
2019-06-26;8.597;8.617;8.596;8.597;1383811.5
2019-06-27;8.639;8.65;8.636;8.65;1983516.3
2019-06-28;8.656;8.661;8.638;8.656;1127324.6
2019-07-01;8.809;8.81;8.783;8.797;1678577.2
2019-07-02;8.773;8.784;8.773;8.784;406636.5
2019-07-03;8.766;8.766;8.742;8.742;508811.9
2019-07-04;8.783;8.803;8.783;8.789;316307.9
2019-07-05;8.802;8.803;8.787;8.803;280704.2
2019-07-08;8.689;8.729;8.688;8.729;743576.0
2019-07-09;8.678;8.691;8.67;8.691;314937.2
2019-07-10;8.721;8.721;8.69;8.712;69904.5
2019-07-11;8.792;8.797;8.781;8.79;1038901.7
2019-07-12;8.757;8.757;8.741;8.757;173393.2
2019-07-15;8.759;8.764;8.749;8.749;1059676.5
2019-07-16;8.818;8.834;8.818;8.821;201610.0
2019-07-17;8.788;8.788;8.758;8.758;15942.0
2019-07-18;8.764;8.798;8.764;8.797;394283.8
2019-07-19;8.841;8.847;8.829;8.829;2770915.6
2019-07-22;8.779;8.813;8.779;8.791;214944.2
2019-07-23;8.843;8.847;8.829;8.847;1916948.9
2019-07-24;8.858;8.864;8.838;8.864;1210861.8
2019-07-25;8.871;8.882;8.798;8.798;29657.7
2019-07-26;8.808;8.832;8.808;8.832;21468.6
2019-07-29;8.781;8.781;8.781;8.781;3626.6
2019-07-30;8.758;8.773;8.742;8.742;370599.5
2019-07-31;8.715;8.715;8.693;8.693;917352.1
2019-08-01;8.728;8.737;8.72;8.72;320236.6
2019-08-02;8.454;8.479;8.454;8.459;59814.4
2019-08-05;8.194;8.194;8.097;8.097;335034.7
2019-08-06;8.125;8.136;8.089;8.089;421119.0
2019-08-07;8.158;8.192;8.158;8.18;204010.6
2019-08-08;8.193;8.209;8.193;8.209;228707.3
2019-08-09;8.241;8.241;8.197;8.205;197772.1
2019-08-12;8.141;8.141;8.091;8.091;83618.5
2019-08-13;8.016;8.026;8.016;8.026;69107.9
2019-08-14;8.163;8.163;8.106;8.106;90670.3
2019-08-16;8.183;8.207;8.183;8.196;76153.2
2019-08-19;8.285;8.285;8.253;8.253;20260.3
2019-08-20;8.278;8.283;8.275;8.275;50825.5
2019-08-21;8.295;8.305;8.295;8.305;26075.9
2019-08-22;8.242;8.242;8.227;8.227;109924.1
2019-08-23;8.306;8.306;8.226;8.242;348556.7
2019-08-27;8.108;8.114;8.108;8.114;135147.6
2019-08-28;8.138;8.153;8.138;8.153;78338.7
2019-08-29;8.208;8.208;8.208;8.208;30660105.1
2019-08-30;8.342;8.353;8.342;8.353;18064.3
2019-09-02;8.386;8.399;8.386;8.389;15740.2
2019-09-03;8.333;8.333;8.31;8.312;33839.1
2019-09-04;8.421;8.421;8.393;8.406;69932.8
2019-09-05;8.487;8.493;8.487;8.493;2420.3
2019-09-06;8.56;8.6;8.56;8.6;30970.4
2019-09-09;8.589;8.589;8.575;8.581;756795.5
2019-09-10;8.554;8.572;8.554;8.572;22781.7
2019-09-11;8.631;8.661;8.626;8.66;106287.0
2019-09-12;8.693;8.693;8.693;8.693;1599.5
2019-09-13;8.72;8.746;8.72;8.746;617876.2
2019-09-16;8.703;8.715;8.694;8.715;405173.4
2019-09-17;8.689;8.689;8.634;8.634;50566.0
2019-09-18;8.67;8.695;8.667;8.687;138766.8
2019-09-19;8.611;8.641;8.607;8.641;62439.0
2019-09-20;8.695;8.706;8.682;8.706;41078.4
2019-09-23;8.664;8.682;8.664;8.682;3080.1
2019-09-24;8.669;8.673;8.669;8.673;8845.3
2019-09-25;8.53;8.55;8.53;8.55;29649.8
2019-09-26;8.651;8.663;8.646;8.663;146664.7
2019-09-27;8.633;8.652;8.632;8.652;88293.6
2019-09-30;8.617;8.634;8.617;8.634;123232.7
2019-10-01;8.631;8.631;8.54;8.54;132749.3
2019-10-02;8.475;8.475;8.46;8.46;191056.0
2019-10-03;8.479;8.494;8.477;8.482;206035.8
2019-10-04;8.483;8.483;8.476;8.477;36713.9
2019-10-07;8.519;8.529;8.519;8.529;15873.5
2019-10-08;8.522;8.522;8.487;8.487;35071.1
2019-10-09;8.49;8.522;8.486;8.522;15360.4
2019-10-10;8.51;8.51;8.488;8.496;206312.4
2019-10-11;8.678;8.678;8.659;8.674;336893.1
2019-10-14;8.63;8.65;8.63;8.65;207156.1
2019-10-15;8.693;8.699;8.684;8.692;149517.8
2019-10-16;8.677;8.698;8.677;8.698;21824.5
2019-10-17;8.709;8.75;8.709;8.747;110071.7
2019-10-18;8.658;8.674;8.658;8.674;128550.4
2019-10-21;8.666;8.667;8.644;8.665;271648.7
2019-10-22;8.692;8.705;8.692;8.705;35325.7
2019-10-23;8.68;8.703;8.68;8.68;74945.5
2019-10-24;8.741;8.755;8.741;8.755;30758.3
2019-10-25;8.74;8.759;8.74;8.759;11016.6
2019-10-28;8.836;8.881;8.836;8.881;893510.8
2019-10-29;8.826;8.84;8.821;8.84;33936.6
2019-10-30;8.815;8.815;8.815;8.815;221759.0
2019-10-31;8.788;8.788;8.771;8.786;39333.1
2019-11-01;8.845;8.845;8.845;8.845;150.4
2019-11-04;8.971;9.0;8.971;9.0;101560.0
2019-11-05;9.08;9.08;9.072;9.072;29990.9
2019-11-06;9.079;9.106;9.065;9.079;985101.0
2019-11-07;9.137;9.139;9.111;9.137;331574.4
2019-11-08;9.107;9.107;9.086;9.096;817719.6
2019-11-11;8.975;9.003;8.949;9.003;363903.0
2019-11-12;9.037;9.037;9.003;9.028;45426.3
2019-11-13;8.923;8.923;8.892;8.893;117380.7
2019-11-14;8.917;8.936;8.913;8.935;127992.5
2019-11-15;8.941;8.941;8.918;8.918;171481.2
2019-11-18;8.998;9.002;8.983;8.983;62675.8
2019-11-19;9.033;9.033;9.024;9.024;10991909.0
2019-11-20;8.933;8.967;8.933;8.967;37242711.8
2019-11-21;8.869;8.892;8.866;8.877;1249065.0
2019-11-22;8.926;8.944;8.926;8.944;20476.8
2019-11-25;9.022;9.049;9.022;9.022;79441.8
2019-11-26;8.997;9.013;8.997;9.013;83889.8
2019-11-27;9.027;9.033;9.009;9.033;105795.8
2019-11-28;8.991;9.027;8.991;9.027;113896.5
2019-11-29;8.926;8.948;8.891;8.891;219573.7
2019-12-02;8.935;8.935;8.88;8.92;203559.6
2019-12-03;8.827;8.836;8.76;8.76;161773.3
2019-12-04;8.843;8.861;8.843;8.858;233292.4
2019-12-05;8.857;8.879;8.85;8.879;241723.5
2019-12-06;8.914;8.985;8.913;8.985;263802.7
2019-12-09;8.962;8.98;8.941;8.98;127296.9
2019-12-10;8.934;8.962;8.894;8.962;412656.0
2019-12-11;9.013;9.013;8.979;9.011;47478.8
2019-12-12;9.06;9.076;9.06;9.066;307492.3
2019-12-13;9.205;9.262;9.205;9.227;225516.0
2019-12-16;9.232;9.237;9.22;9.237;21674.7
2019-12-17;9.328;9.33;9.306;9.33;64531.1
2019-12-18;9.375;9.421;9.374;9.418;104842952.5
2019-12-19;9.407;9.407;9.383;9.395;1064593.558
2019-12-20;9.422;9.456;9.421;9.455;549278.15
2019-12-23;9.443;9.475;9.443;9.444;289347.494
2019-12-27;9.532;9.548;9.519;9.541;1211110.361
2019-12-30;9.484;9.484;9.459;9.474;461805.819
2020-01-02;9.519;9.589;9.496;9.584;228191.379
2020-01-03;9.501;9.526;9.485;9.526;798066.24
2020-01-07;9.458;9.465;9.431;9.431;92566.095
2020-01-08;9.448;9.473;9.448;9.473;71101.224
2020-01-09;9.619;9.643;9.605;9.605;312172.13
2020-01-10;9.648;9.729;9.648;9.682;1317744.928
2020-01-13;9.72;9.733;9.702;9.717;918823.8388
2020-01-14;9.694;9.728;9.691;9.71;1984575.3283
2020-01-15;9.684;9.684;9.645;9.657;1218344.5903
2020-01-16;9.675;9.704;9.661;9.704;933225.3207
2020-01-17;9.737;9.784;9.737;9.761;6340034.711
2020-01-20;9.753;9.78;9.734;9.767;1834136.5873
2020-01-21;9.559;9.598;9.555;9.578;791489.458
2020-01-22;9.655;9.672;9.655;9.66;919595.723
2020-01-23;9.538;9.552;9.513;9.53;1263046.9165
2020-01-24;9.618;9.647;9.599;9.599;631585.326
2020-01-27;9.291;9.291;9.094;9.113;899066.809
2020-01-28;9.238;9.261;9.156;9.261;20569341.642
2020-01-29;9.36;9.391;9.354;9.354;379771.21
2020-01-30;9.159;9.219;9.121;9.142;4757229.3388
2020-01-31;9.036;9.066;9.023;9.066;2199801.3896
2020-02-03;9.01;9.088;9.001;9.088;69232291.6257
2020-02-04;9.275;9.322;9.274;9.322;1450450.711
2020-02-05;9.311;9.529;9.311;9.529;2883333.528
2020-02-06;9.478;9.51;9.445;9.463;723234.489
2020-02-07;9.394;9.394;9.35;9.368;788636.579
2020-02-10;9.368;9.39;9.357;9.386;1213180.317
2020-02-11;9.5;9.57;9.495;9.57;4228642.097
2020-02-12;9.602;9.661;9.602;9.661;1074086.91
2020-02-13;9.621;9.621;9.547;9.619;888295.868
2020-02-14;9.647;9.672;9.631;9.631;538214.216
2020-02-17;9.68;9.689;9.657;9.66;939595.875
2020-02-18;9.573;9.601;9.543;9.601;463050.489
2020-02-19;9.642;9.673;9.642;9.673;363406.331
2020-02-20;9.602;9.621;9.558;9.566;3022970.231
2020-02-21;9.473;9.492;9.462;9.487;416306.905
2020-02-24;9.253;9.253;9.066;9.078;755298.059
2020-02-25;9.172;9.191;9.16;9.16;2124750.1923
2020-02-26;9.002;9.143;9.002;9.143;551531.501
2020-02-27;9.018;9.018;8.884;8.884;2259452.999
2020-02-28;8.499;8.642;8.499;8.501;2427122.162
2020-03-02;8.75;8.787;8.546;8.634;2877492.5926
2020-03-03;8.77;8.77;8.743;8.743;3535666.005
2020-03-04;8.861;8.88;8.84;8.88;670485.928
2020-03-05;8.839;8.839;8.751;8.751;371382.502
2020-03-06;8.53;8.538;8.369;8.385;1120079.301
2020-03-09;8.3;8.3;7.7;7.797;1047814.575
2020-03-10;8.092;8.092;7.927;7.975;8172243.613
2020-03-11;7.936;7.965;7.898;7.943;1010667.084
2020-03-12;7.545;7.545;7.378;7.385;2776032.7425
2020-03-13;7.569;7.791;7.258;7.427;1004855.292
2020-03-16;7.021;7.081;6.823;6.907;2181125.2938
2020-03-17;6.828;6.986;6.828;6.933;906489.1064
2020-03-18;6.807;6.83;6.807;6.83;5995889.6116
2020-03-19;6.65;6.698;6.528;6.691;76388022.6362
2020-03-20;7.22;7.22;7.042;7.08;1074598.4807
2020-03-23;6.717;6.91;6.611;6.611;788054.236
2020-03-24;7.047;7.114;6.975;7.114;772971.732
2020-03-25;7.343;7.343;7.173;7.301;429114.248
2020-03-26;7.257;7.448;7.257;7.448;479092.449
2020-03-27;7.276;7.276;7.094;7.094;617036.083
2020-03-30;7.065;7.104;7.047;7.104;2424080.8406
2020-03-31;7.242;7.349;7.205;7.349;44115079.9444
2020-04-01;7.144;7.144;7.09;7.1;33559030.9016
2020-04-02;7.238;7.306;7.18;7.274;44830.294
2020-04-03;7.251;7.358;7.236;7.236;277381.607
2020-04-06;7.456;7.535;7.432;7.51;5766690.1076
2020-04-07;7.698;7.748;7.654;7.654;234929.335
2020-04-08;7.543;7.596;7.53;7.596;338334.158
2020-04-09;7.718;7.723;7.629;7.68;655587.088
2020-04-14;7.742;7.776;7.716;7.776;481764.838
2020-04-15;7.698;7.698;7.576;7.576;244998.295
2020-04-16;7.72;7.72;7.684;7.688;309852.949
2020-04-17;7.917;7.947;7.854;7.854;473616.3954
2020-04-20;7.796;7.8;7.748;7.788;637837.096
2020-04-21;7.668;7.668;7.592;7.609;181884.704
2020-04-22;7.741;7.741;7.717;7.732;204663.49
2020-04-23;7.844;7.846;7.823;7.841;25311.607
2020-04-24;7.792;7.792;7.772;7.792;12367.056
2020-04-27;7.82;7.846;7.82;7.825;527687.961
2020-04-28;7.861;7.93;7.861;7.93;326196.282
2020-04-29;7.959;7.984;7.941;7.984;1242405.2136
2020-04-30;8.167;8.167;8.056;8.056;90618.357
2020-05-04;7.626;7.637;7.601;7.637;191523.141
2020-05-05;7.803;7.826;7.774;7.811;663794.767
2020-05-06;7.873;7.917;7.808;7.808;2229377.784
2020-05-07;7.869;7.888;7.865;7.865;413456.574
2020-05-08;7.929;7.952;7.901;7.952;45744.186
2020-05-11;7.92;7.967;7.903;7.967;34772.895
2020-05-12;7.975;7.996;7.933;7.996;46085.779
2020-05-13;7.933;8.004;7.933;8.004;108840.779
2020-05-14;7.844;7.874;7.757;7.757;298986.446
2020-05-15;7.915;7.918;7.779;7.783;2173087.5341
2020-05-18;7.924;8.037;7.924;8.037;181094.363
2020-05-19;8.065;8.065;7.957;7.972;69842.781
2020-05-20;8.101;8.102;8.082;8.102;113234.581
2020-05-21;7.995;7.995;7.995;7.995;44843.955
2020-05-22;7.838;7.918;7.837;7.851;162844.309
2020-05-25;7.9;7.985;7.9;7.979;115595.985
2020-05-26;8.026;8.026;7.997;8.007;838310.913
2020-05-27;8.03;8.037;7.939;7.939;203905.289
2020-05-28;7.992;7.992;7.949;7.949;141169.9
2020-05-29;7.897;7.921;7.827;7.884;2580336.287
2020-06-01;8.077;8.086;8.05;8.086;9772.068
2020-06-02;8.192;8.192;8.192;8.192;1908.736
2020-06-03;8.316;8.444;8.316;8.404;535780.776
2020-06-04;8.332;8.354;8.262;8.267;877301.297
2020-06-05;8.368;8.507;8.364;8.495;729233.586
2020-06-08;8.427;8.514;8.427;8.514;85095.492
2020-06-09;8.515;8.517;8.43;8.43;439482.086
2020-06-10;8.484;8.497;8.469;8.497;36854.98
2020-06-11;8.307;8.307;8.271;8.271;235493.792
2020-06-12;8.226;8.298;8.224;8.288;491076.092
2020-06-15;8.125;8.143;8.108;8.116;250468.523
2020-06-16;8.318;8.444;8.318;8.444;191293.087
2020-06-17;8.397;8.425;8.365;8.425;63398.66
