Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-09-06;20.135;20.135;20.135;20.135;74902.2
2019-09-23;20.44;20.44;20.44;20.44;5110.0
2019-10-01;20.6;20.6;20.6;20.6;6674.4
2019-10-02;19.99;19.99;19.99;19.99;80.0
2019-10-03;20.015;20.015;20.015;20.015;20.0
2019-10-07;20.07;20.07;20.07;20.07;100350.0
2019-10-08;20.04;20.04;20.04;20.04;6813.6
2019-10-15;20.805;20.805;20.805;20.805;6740.8
2019-10-22;20.945;20.945;20.945;20.945;5026.8
2019-11-01;21.15;21.15;21.15;21.15;5076.0
2019-11-04;21.53;21.53;21.53;21.53;2153.0
2019-11-12;21.72;21.72;21.72;21.72;345348.0
2019-11-13;21.62;21.62;21.62;21.62;1989.0
2019-11-18;21.78;21.8;21.77;21.77;25033.7
2019-11-21;21.465;21.555;21.465;21.555;167468.9
2019-11-22;21.72;21.72;21.71;21.71;180248.5
2019-11-26;21.775;21.78;21.775;21.78;43555.0
2019-11-28;21.76;21.76;21.76;21.76;27200.0
2019-11-29;21.825;21.825;21.825;21.825;5019.8
2019-12-02;21.865;21.865;21.865;21.865;284.2
2019-12-03;21.27;21.27;21.255;21.255;285504.7
2019-12-10;21.505;21.505;21.505;21.505;10752.5
2019-12-11;21.545;21.545;21.545;21.545;2154.5
2019-12-18;21.855;21.95;21.855;21.925;89261.4
2019-12-19;21.785;21.785;21.785;21.785;6971.2
2019-12-20;21.9;21.9;21.9;21.9;10950.0
2019-12-27;22.085;22.085;22.085;22.085;5079.55
2019-12-30;22.125;22.125;22.105;22.105;59687.74
2020-01-02;22.18;22.2;22.18;22.2;1420.54
2020-01-03;22.0;22.07;21.975;22.07;71683.95
2020-01-06;21.805;21.805;21.805;21.805;2006.06
2020-01-10;22.15;22.15;22.15;22.15;57988.7
2020-01-13;22.215;22.215;22.215;22.215;1999.35
2020-01-15;22.125;22.125;22.125;22.125;132.75
2020-01-16;22.12;22.12;22.09;22.09;4177.71
2020-01-17;22.31;22.32;22.31;22.32;122735.0
2020-01-24;22.3;22.3;22.3;22.3;55750.0
2020-01-27;21.77;21.77;21.77;21.77;21.77
2020-01-30;21.695;21.695;21.695;21.695;23864.5
2020-01-31;21.63;21.63;21.42;21.42;10731.63
2020-02-06;22.28;22.28;22.28;22.28;26736.0
2020-02-07;22.285;22.285;22.285;22.285;185946.04
2020-02-14;22.555;22.555;22.555;22.555;2029.95
2020-02-18;22.43;22.49;22.43;22.49;10663.34
2020-02-20;22.665;22.68;22.66;22.66;913448.0
2020-02-21;22.225;22.43;22.225;22.43;8280.65
2020-02-24;21.81;21.81;21.375;21.375;26369.6
2020-02-26;20.955;20.955;20.955;20.955;146.685
2020-02-27;20.665;20.665;20.39;20.41;13068.085
2020-02-28;19.674;19.8;19.674;19.8;2058.696
2020-03-02;19.592;19.592;19.538;19.538;201996.318
2020-03-03;20.02;20.195;20.02;20.15;116066.25
2020-03-04;20.275;20.275;20.15;20.15;112136.0
2020-03-06;19.208;19.208;19.208;19.208;2016.84
2020-03-09;18.246;18.246;18.246;18.246;510.888
2020-03-11;17.364;17.368;17.364;17.368;193740.016
2020-03-12;16.432;16.432;16.386;16.386;26647.092
2020-03-13;15.926;15.926;15.2;15.2;36671.48
2020-03-16;14.274;14.274;14.274;14.274;299.754
2020-03-17;14.344;14.344;14.344;14.344;129096.0
