Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2010-10-07;198.4;198.4;198.4;198.4;992.0
2010-10-08;197.32;197.32;197.32;197.32;592.0
2010-10-11;;;;197.32;
2010-10-12;;;;197.32;
2010-10-13;200.85;200.85;200.85;200.85;8034.0
2010-10-14;201.27;201.27;200.77;200.77;39185.2
2010-10-15;;;;200.77;
2010-10-18;;;;200.77;
2010-10-19;;;;200.77;
2010-10-20;;;;200.77;
2010-10-21;;;;200.77;
2010-10-22;;;;200.77;
2010-10-25;;;;200.77;
2010-10-26;;;;200.77;
2010-10-27;199.76;199.76;199.76;199.76;50739.0
2010-10-28;;;;199.76;
2010-10-29;;;;199.76;
2010-11-01;;;;199.76;
2010-11-02;;;;199.76;
2010-11-03;;;;199.76;
2010-11-04;;;;199.76;
2010-11-05;;;;199.76;
2010-11-08;;;;199.76;
2010-11-09;212.54;212.82;212.54;212.82;74459.0
2010-11-10;213.76;213.76;212.83;212.83;81437.9
2010-11-11;215.61;215.61;215.61;215.61;862.4
2010-11-12;215.48;215.48;214.31;214.33;26896.9
2010-11-15;215.46;216.43;215.46;216.43;13153.7
2010-11-16;;;;216.43;
2010-11-17;;;;216.43;
2010-11-18;;;;216.43;
2010-11-19;212.4;212.4;212.4;212.4;19540.8
2010-11-22;;;;212.4;
2010-11-23;213.5;213.5;213.5;213.5;16012.5
2010-11-24;;;;213.5;
2010-11-25;;;;213.5;
2010-11-26;214.86;214.86;214.86;214.86;9024.1
2010-11-29;214.0;215.63;214.0;215.63;33573.1
2010-11-30;217.21;217.21;215.77;215.77;3461.0
2010-12-01;;;;215.77;
2010-12-02;;;;215.77;
2010-12-03;;;;215.77;
2010-12-06;223.75;225.0;223.75;225.0;37958.7
2010-12-07;;;;225.0;
2010-12-08;227.65;227.65;227.65;227.65;3870.0
2010-12-09;227.25;227.35;227.25;227.35;13640.0
2010-12-10;227.65;227.65;227.65;227.65;2048.8
2010-12-13;228.81;228.81;228.73;228.73;10753.5
2010-12-14;226.98;226.98;225.55;226.91;11798.0
2010-12-15;227.38;227.38;227.14;227.14;14776.1
2010-12-16;;;;227.14;
2010-12-17;;;;227.14;
2010-12-20;231.38;231.38;231.03;231.03;12020.6
2010-12-21;;;;231.03;
2010-12-22;233.74;234.3;233.74;234.3;35577.8
2010-12-23;234.02;236.21;234.02;236.21;18997.2
2010-12-27;236.0;236.0;234.91;234.91;107543.0
2010-12-28;233.69;233.69;233.69;233.69;11684.5
2010-12-29;236.15;236.15;236.15;236.15;3069.9
2010-12-30;236.45;236.45;234.8;234.8;6821.6
2011-01-03;235.65;235.65;235.65;235.65;10604.2
2011-01-04;236.5;236.96;235.97;235.97;34555.9
2011-01-05;235.89;237.57;234.22;237.45;26163.9
2011-01-06;240.5;240.5;240.5;240.5;1443.0
2011-01-07;237.51;241.09;237.51;240.7;34473.3
2011-01-10;240.82;240.82;239.4;239.4;9603.7
2011-01-11;241.25;243.83;241.25;243.83;56969.0
2011-01-12;243.82;245.21;243.09;244.59;131779.0
2011-01-13;243.6;243.64;240.16;241.33;127187.7
2011-01-14;238.69;240.28;238.69;240.28;61548.8
2011-01-17;;;;240.28;
2011-01-18;241.49;242.5;241.49;242.5;7259.9
2011-01-19;243.0;243.0;241.0;241.06;2531781.9
2011-01-20;233.98;238.39;233.98;236.98;231409.4
2011-01-21;237.09;237.09;237.09;237.09;28450.8
2011-01-24;237.4;237.57;237.3;237.3;42509.5
2011-01-25;237.52;237.52;234.97;234.97;111429.3
2011-01-26;236.09;236.09;235.89;235.89;54532.6
2011-01-27;;;;235.89;
2011-01-28;237.86;237.91;237.86;237.88;345895.7
2011-01-31;238.73;238.73;237.1;237.1;11439.4
2011-02-01;244.48;246.73;244.0;246.73;117996.7
2011-02-02;246.74;246.9;244.98;244.98;126858.5
2011-02-03;245.85;246.38;245.85;246.38;7872.9
2011-02-04;246.81;248.79;246.81;248.79;10370.0
2011-02-07;248.17;250.3;248.05;250.3;425822.7
2011-02-08;248.21;248.21;246.16;246.16;19248.5
2011-02-09;244.61;245.12;244.61;245.12;7592.7
2011-02-10;243.55;243.55;241.74;241.74;11852.5
2011-02-11;247.83;247.83;247.1;247.49;4454.1
2011-02-14;249.3;249.42;247.04;249.07;38513.5
2011-02-15;252.99;252.99;250.61;251.1;586188.8
2011-02-16;251.08;251.8;251.08;251.8;7797.2
2011-02-17;250.89;252.0;250.89;252.0;17584.5
2011-02-18;254.81;254.81;254.22;254.58;30281.1
2011-02-21;253.97;253.97;251.57;253.58;313230.7
2011-02-22;253.28;255.61;252.9;252.9;43128.1
2011-02-23;252.9;252.93;251.09;252.46;810897.7
2011-02-24;252.0;253.39;249.63;249.63;1634313.2
2011-02-25;252.46;254.26;249.5;254.26;127903.2
2011-02-28;254.59;256.08;252.73;255.99;103218.7
2011-03-01;257.91;257.91;253.17;253.17;38084.2
2011-03-02;249.68;252.16;249.68;251.64;631247.3
2011-03-03;254.32;255.09;251.42;253.09;114999.5
2011-03-04;254.07;254.59;252.17;254.15;28468.8
2011-03-07;252.96;253.88;252.09;252.09;48838.0
2011-03-08;252.0;252.0;252.0;252.0;7056.0
2011-03-09;251.0;251.05;248.31;250.31;16521.2
2011-03-10;247.91;247.91;245.46;245.46;15120.1
2011-03-11;239.91;242.96;239.39;242.96;47743.3
2011-03-14;237.63;237.63;237.63;237.63;475.3
2011-03-15;236.5;236.5;234.0;235.31;28202.4
2011-03-16;237.5;239.9;237.26;237.26;43457.0
2011-03-17;;;;237.26;
2011-03-18;243.01;243.01;243.01;243.01;70472.9
2011-03-21;239.04;245.17;239.04;245.17;53482.6
2011-03-22;243.96;243.96;243.66;243.66;21453.8
2011-03-23;245.36;247.9;244.32;246.49;5623368.4
2011-03-24;249.61;250.24;249.61;250.24;64908.7
2011-03-25;248.22;248.22;246.06;246.06;110032.0
2011-03-28;248.78;251.24;248.7;251.24;27511.4
2011-03-29;;;;251.24;
2011-03-30;249.99;252.85;249.99;251.5;20125.7
2011-03-31;251.06;253.17;251.03;253.17;121133.1
2011-04-01;252.57;254.62;251.78;254.62;11865.9
2011-04-04;252.71;253.53;250.99;253.0;484417.3
2011-04-05;253.03;253.03;252.85;252.87;22000.2
2011-04-06;253.46;253.46;250.9;250.9;12647.4
2011-04-07;;;;250.9;
2011-04-08;248.61;248.61;248.61;248.61;3977.8
2011-04-11;250.6;250.6;247.41;248.12;164493.6
2011-04-12;;;;248.12;
2011-04-13;239.69;239.69;238.23;238.23;12461.0
2011-04-14;;;;238.23;
2011-04-15;238.78;238.78;238.2;238.2;37409.0
2011-04-18;241.25;241.25;236.71;239.16;25741.7
2011-04-19;239.76;239.76;239.76;239.76;2877.1
2011-04-20;;;;239.76;
2011-04-21;;;;239.76;
2011-04-26;244.01;244.14;244.0;244.01;124199.6
