Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-06;5.78;5.78;5.78;5.78;2780.18
2022-05-09;5.615;5.615;5.615;5.615;2184.235
2022-05-10;5.639;5.639;5.639;5.639;4471.727
2022-05-12;5.627;5.627;5.627;5.627;7343.235
2022-05-13;5.772;5.785;5.772;5.785;7200.245
2022-05-16;5.808;5.808;5.805;5.805;16230.975
2022-05-17;5.913;5.913;5.913;5.913;733.212
2022-05-18;5.887;5.887;5.887;5.887;994.903
2022-05-19;5.705;5.708;5.705;5.708;116940.892
2022-05-20;5.843;5.857;5.843;5.857;7164.199
2022-05-23;5.853;5.853;5.853;5.853;8241.024
2022-05-24;5.807;5.822;5.807;5.822;21062.887
2022-05-25;5.792;5.792;5.792;5.792;2189.376
2022-05-26;5.876;5.876;5.876;5.876;370.188
2022-05-27;5.98;5.98;5.98;5.98;2864.42
2022-05-30;6.067;6.082;6.067;6.082;3666.718
2022-05-31;6.034;6.034;6.034;6.034;1580.908
2022-06-01;6.006;6.006;6.006;6.006;1153.152
2022-06-03;5.991;5.991;5.975;5.975;3736.112
2022-06-06;6.04;6.04;6.04;6.04;948.28
2022-06-07;5.977;5.977;5.977;5.977;5032.634
2022-06-08;5.973;5.973;5.973;5.973;1087.086
2022-06-09;5.968;5.968;5.968;5.968;3306.272
2022-06-10;5.797;5.797;5.797;5.797;4631.803
2022-06-13;5.58;5.58;5.58;5.58;1037.88
2022-06-16;5.461;5.466;5.461;5.466;1836.336
2022-06-20;5.48;5.48;5.48;5.48;147.96
2022-06-21;5.567;5.567;5.567;5.567;450.927
2022-06-23;5.449;5.449;5.449;5.449;7530.518
2022-06-27;5.633;5.633;5.633;5.633;225.32
2022-06-30;5.452;5.452;5.452;5.452;152.656
2022-07-04;5.497;5.497;5.483;5.483;2139.14
2022-07-05;5.44;5.44;5.44;5.44;146.88
2022-07-06;5.434;5.434;5.434;5.434;152.152
2022-07-07;5.519;5.519;5.519;5.519;2284.866
2022-07-08;5.543;5.543;5.543;5.543;687.332
2022-07-11;5.545;5.545;5.545;5.545;10663.035
2022-07-12;5.481;5.481;5.481;5.481;1200.339
2022-07-13;5.495;5.495;5.495;5.495;1489.145
2022-07-15;5.448;5.448;5.448;5.448;2184.648
2022-07-19;5.569;5.569;5.569;5.569;5045.514
2022-07-20;5.705;5.705;5.635;5.674;723302.344
2022-07-22;5.714;5.714;5.714;5.714;4136.936
2022-07-27;5.728;5.743;5.72;5.743;469048.445
2022-07-28;5.757;5.757;5.746;5.746;2422.905
2022-07-29;5.879;5.879;5.868;5.868;4858.858
2022-08-01;5.891;5.915;5.886;5.886;25431.503
2022-08-02;5.838;5.838;5.813;5.836;12424.677
2022-08-04;5.959;5.959;5.959;5.959;2639.837
2022-08-05;5.938;5.942;5.938;5.942;24760.512
2022-08-08;5.955;5.955;5.955;5.955;172.695
2022-08-09;5.904;5.904;5.904;5.904;2550.528
2022-08-10;5.892;5.892;5.878;5.878;12026.681
2022-08-11;5.963;5.963;5.963;5.963;387.595
2022-08-12;5.98;5.98;5.98;5.98;2978.04
2022-08-17;6.017;6.017;6.017;6.017;697.972
2022-08-18;5.977;5.977;5.977;5.977;4034.475
2022-08-19;5.952;5.952;5.952;5.952;2976.0
2022-08-22;5.827;5.827;5.827;5.827;145.675
2022-08-23;5.815;5.815;5.815;5.815;1168.815
