Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-04-01;9.689;9.689;9.689;9.689;30200.6
2019-04-02;9.713;9.735;9.713;9.727;2673858.2
2019-04-16;9.895;9.895;9.885;9.885;38898.1
2019-04-17;9.898;9.898;9.898;9.898;3018.9
2019-04-18;9.835;9.865;9.835;9.865;4040.2
2019-04-23;9.874;9.91;9.872;9.91;35049.2
2019-04-24;9.951;9.951;9.951;9.951;2567.4
2019-05-08;9.818;9.818;9.818;9.818;9827.8
2019-05-13;9.644;9.644;9.644;9.644;9653.6
2019-05-14;9.573;9.573;9.573;9.573;4786.5
2019-05-23;9.573;9.573;9.573;9.573;3350.6
2019-05-29;9.464;9.464;9.464;9.464;13949.9
2019-06-07;9.659;9.744;9.655;9.744;1233705.2
2019-06-13;9.782;9.782;9.782;9.782;10212.4
2019-06-21;9.975;9.975;9.975;9.975;64179.2
2019-07-01;10.044;10.044;10.044;10.044;5022.0
2019-07-05;10.112;10.112;10.052;10.052;511591.5
2019-07-08;10.076;10.076;10.062;10.062;1143166.5
2019-07-09;10.02;10.02;10.02;10.02;42003.8
2019-07-24;10.16;10.16;10.16;10.16;10505.4
2019-08-01;10.102;10.102;10.102;10.102;10506.1
2019-08-02;9.974;9.991;9.881;9.881;161247.1
2019-08-07;9.728;9.728;9.616;9.616;31507.4
2019-08-09;9.893;9.893;9.893;9.893;108.8
2019-08-12;9.895;9.896;9.777;9.798;414881.0
2019-08-13;9.718;9.718;9.718;9.718;10505.2
2019-08-14;9.854;9.854;9.768;9.768;42020.1
2019-08-19;9.875;9.875;9.875;9.875;108.6
2019-08-20;9.876;9.876;9.876;9.876;9.9
2019-08-23;9.909;9.909;9.804;9.804;104540.1
2019-08-26;9.674;9.713;9.659;9.66;824205.4
2019-08-27;9.709;9.709;9.709;9.709;29136.7
2019-08-28;9.679;9.7;9.645;9.7;246541.8
2019-08-29;9.8;9.8;9.8;9.8;10005.8
2019-08-30;9.875;9.931;9.872;9.931;281511.1
2019-09-03;9.796;9.812;9.768;9.809;245812.4
2019-09-09;10.082;10.082;10.082;10.082;2520.5
2019-09-10;10.046;10.046;10.046;10.046;99576.0
2019-09-11;10.054;10.08;10.046;10.08;428568.3
2019-09-12;10.148;10.164;10.148;10.156;88387.7
2019-09-16;10.098;10.128;10.098;10.128;349844.4
2019-10-03;9.762;9.762;9.762;9.762;9762.0
2019-10-10;9.813;9.861;9.813;9.861;176999.0
2019-10-11;10.042;10.042;10.042;10.042;30136.0
2019-10-14;9.999;10.008;9.999;10.008;58040.3
2019-10-17;10.104;10.104;10.104;10.104;29311.7
2019-10-23;10.082;10.1;10.064;10.086;597004.2
2019-10-24;10.138;10.148;10.136;10.136;142879.5
2019-10-25;10.126;10.176;10.126;10.176;58896.1
2019-10-28;10.244;10.246;10.234;10.234;36472.8
2019-10-29;10.226;10.244;10.226;10.244;57103.4
2019-10-30;10.228;10.23;10.21;10.21;40470.9
2019-10-31;10.27;10.272;10.268;10.268;78311.0
2019-11-04;10.362;10.372;10.36;10.372;85390.6
2019-11-05;10.382;10.382;10.36;10.36;56378.6
2019-11-07;10.41;10.422;10.41;10.418;97632.3
2019-11-08;10.38;10.4;10.38;10.386;215298.1
2019-11-15;10.486;10.486;10.486;10.486;23226.5
2019-11-19;10.546;10.546;10.498;10.498;36300.9
2019-11-20;10.462;10.494;10.462;10.494;40046.9
2019-11-21;10.466;10.474;10.44;10.44;57895.6
2019-11-22;10.474;10.474;10.436;10.436;39917.2
2019-12-02;10.514;10.514;10.492;10.494;117607.8
2019-12-03;10.506;10.506;10.372;10.372;49359.6
2019-12-04;10.46;10.494;10.45;10.488;23794.6
2019-12-05;10.474;10.484;10.474;10.484;9494.0
2019-12-06;10.516;10.594;10.516;10.594;53373.4
2019-12-10;10.548;10.56;10.548;10.56;9477.5
2019-12-11;10.55;10.564;10.55;10.564;4518.4
2019-12-12;10.58;10.692;10.572;10.688;14526.3
2019-12-13;10.666;10.704;10.638;10.638;134086.5
2019-12-16;10.714;10.752;10.714;10.752;19194.2
2019-12-17;10.752;10.752;10.75;10.75;10988.5
2019-12-18;10.744;10.768;10.744;10.768;4517.5
2019-12-20;10.784;10.834;10.784;10.83;169595.896
2019-12-23;10.85;10.85;10.85;10.85;3797.5
2019-12-27;10.936;10.936;10.936;10.936;29538.136
2020-01-02;10.896;10.906;10.896;10.906;21017.128
2020-01-03;10.848;10.878;10.848;10.876;135093.912
2020-01-06;10.822;10.88;10.822;10.87;92290.618
2020-01-07;10.918;10.918;10.874;10.914;105093.35
2020-01-08;10.862;10.92;10.862;10.92;63117.816
2020-01-09;10.998;11.01;10.998;11.01;21017.64
2020-01-10;11.038;11.038;11.032;11.032;21010.64
2020-01-13;11.01;11.028;11.01;11.028;83455.53
2020-01-14;11.054;11.056;11.054;11.056;21004.5
2020-01-16;11.106;11.122;11.106;11.114;21027.68
2020-01-17;11.196;11.196;11.162;11.162;29959.72
2020-01-21;11.128;11.188;11.128;11.188;21066.304
2020-01-23;11.168;11.168;11.112;11.112;50909.8
2020-01-28;10.956;11.004;10.916;11.004;186705.83
2020-01-29;11.066;11.066;11.004;11.038;58029.15
2020-01-31;11.014;11.014;10.904;10.904;93027.07
2020-02-03;10.888;10.974;10.888;10.94;164980.698
2020-02-05;11.178;11.178;11.166;11.166;4982.712
2020-02-07;11.238;11.238;11.238;11.238;11238.0
2020-02-14;11.374;11.382;11.366;11.366;42049.362
