Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-10-08;36.75;36.75;36.75;36.75;551.3
2019-10-25;37.62;37.62;37.62;37.62;10909.8
2019-11-07;38.75;38.75;38.75;38.75;1278.8
2019-11-18;39.25;39.25;39.25;39.25;4710.0
2019-11-26;39.625;39.625;39.625;39.625;4755.0
2019-12-03;38.92;38.92;38.92;38.92;2529.8
2020-01-06;40.405;40.405;40.35;40.35;5007.25
2020-01-16;41.63;41.63;41.63;41.63;20815.0
2020-01-17;42.045;42.1;42.045;42.1;21885.4
2020-01-24;42.495;42.495;42.495;42.495;1402.335
2020-01-30;41.515;41.515;41.515;41.515;4981.8
2020-02-04;42.025;42.025;42.025;42.025;10506.25
2020-02-05;42.7;42.7;42.7;42.7;2135.0
2020-02-06;43.02;43.02;43.02;43.02;10066.68
2020-02-07;43.12;43.12;43.12;43.12;4312.0
2020-02-10;43.005;43.005;42.93;42.99;12281.13
2020-02-14;44.18;44.18;44.18;44.18;22090.0
2020-02-19;44.435;44.435;44.435;44.435;355.48
2020-02-21;43.775;43.775;43.775;43.775;26265.0
2020-02-26;41.05;41.05;41.05;41.05;1231.5
2020-03-02;38.485;38.485;38.21;38.21;1192.76
2020-03-04;39.155;39.155;39.155;39.155;352.395
2020-03-12;33.56;33.56;33.56;33.56;167.8
2020-04-01;33.235;33.235;33.235;33.235;432.055
2020-04-03;33.44;33.44;33.44;33.44;33.44
2020-04-06;34.365;34.365;34.365;34.365;34.365
2020-04-14;37.315;37.315;37.315;37.315;373.15
2020-04-20;38.205;38.205;38.205;38.205;38.205
2020-05-04;38.0;38.0;37.155;37.155;751.55
2020-05-08;39.31;39.31;39.31;39.31;39.31
2020-05-15;38.975;38.975;38.79;38.79;619935.87
2020-05-22;39.445;39.445;39.445;39.445;110327.665
2020-06-02;40.19;40.19;40.19;40.19;281.33
2020-06-09;41.2;41.2;41.125;41.125;3871.225
2020-06-16;40.015;40.715;40.015;40.715;22958.475
2020-06-19;41.1;41.1;41.1;41.1;43072.8
2020-06-25;40.005;40.005;40.005;40.005;5640.705
2020-07-02;40.925;40.925;40.925;40.925;286.475
2020-07-03;40.97;40.97;40.97;40.97;163880.0
2020-07-06;41.44;41.44;41.38;41.38;157583.42
2020-07-07;41.385;41.585;41.25;41.585;561136.185
2020-07-08;41.28;41.28;41.24;41.24;140933.84
2020-07-10;41.4;41.4;41.365;41.365;115497.11
2020-07-15;41.605;41.83;41.605;41.83;235012.63
