Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-03-21;20.255;20.255;20.255;20.255;40.5
2019-03-26;20.455;20.47;20.445;20.47;17268.0
2019-03-27;20.545;20.545;20.53;20.53;1334.7
2019-03-28;20.635;20.635;20.59;20.59;10501.4
2019-04-01;20.64;20.64;20.49;20.505;76915.3
2019-04-03;20.49;20.49;20.415;20.455;22822.1
2019-04-04;20.48;20.485;20.48;20.485;19152.5
2019-04-05;20.445;20.445;20.445;20.445;6133.5
2019-04-09;20.435;20.445;20.435;20.445;438617.1
2019-04-11;20.445;20.465;20.445;20.465;12273.5
2019-04-12;20.355;20.36;20.345;20.36;29518.8
2019-04-15;20.285;20.29;20.285;20.29;2333.2
2019-04-16;20.295;20.3;20.295;20.3;5074.5
2019-04-17;20.28;20.28;20.28;20.28;2028.0
2019-04-23;20.335;20.375;20.335;20.375;4071.0
2019-04-24;20.46;20.48;20.46;20.48;6142.0
2019-04-25;20.51;20.525;20.51;20.52;5191.3
2019-04-26;20.54;20.54;20.535;20.535;513.5
2019-04-29;20.52;20.52;20.51;20.51;32821.0
2019-04-30;20.5;20.5;20.45;20.45;5322.0
2019-05-02;20.52;20.525;20.52;20.525;7141.7
2019-05-03;20.52;20.565;20.52;20.54;20131.0
2019-05-08;20.66;20.66;20.625;20.63;23756.5
2019-05-09;20.62;20.63;20.62;20.63;11137.2
2019-05-14;20.58;20.59;20.58;20.59;12353.0
2019-05-15;20.65;20.675;20.65;20.675;4132.5
2019-05-16;20.66;20.66;20.66;20.66;4132.0
2019-05-17;20.705;20.75;20.705;20.72;106162.8
2019-05-20;20.675;20.695;20.665;20.67;22753.0
2019-05-21;20.665;20.675;20.615;20.615;141424.2
2019-05-22;20.66;20.69;20.64;20.64;122949.2
2019-05-23;20.73;20.73;20.73;20.73;2073.0
2019-05-24;20.7;20.73;20.7;20.73;8924.7
2019-05-27;20.755;20.755;20.75;20.75;16603.5
2019-05-28;20.78;20.795;20.77;20.775;27023.5
2019-05-30;20.86;20.88;20.81;20.88;94070.3
2019-05-31;20.925;20.99;20.925;20.99;48202.9
