Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2017-05-29;30.76;30.76;30.76;30.76;307.6
2017-05-30;;;;30.76;
2017-05-31;;;;30.76;
2017-06-01;;;;30.76;
2017-06-02;;;;30.76;
2017-06-05;;;;30.76;
2017-06-06;;;;30.76;
2017-06-07;;;;30.76;
2017-06-08;;;;30.76;
2017-06-09;;;;30.76;
2017-06-14;30.84;30.84;30.84;30.84;308.4
2017-11-27;30.96;30.96;30.96;30.96;15480.0
2017-12-01;30.925;30.925;30.925;30.925;30.925
2017-12-27;30.53;30.53;30.53;30.53;23477.57
2018-01-18;30.72;30.72;30.72;30.72;16281.6
2018-03-05;30.72;30.72;30.72;30.72;30.72
2018-04-18;30.845;30.845;30.845;30.845;30.845
2018-05-08;30.835;30.835;30.835;30.835;4625.25
2018-05-18;30.735;30.735;30.735;30.735;16904.25
2018-06-11;30.405;30.405;30.4;30.4;74177.0
2018-06-12;30.405;30.43;30.4;30.425;42471.455
2018-06-13;30.46;30.46;30.46;30.46;6092.0
2018-06-19;30.76;30.76;30.76;30.76;149862.72
2018-08-20;30.51;30.51;30.51;30.51;122.04
2018-09-04;30.4;30.4;30.4;30.4;7600.0
2018-10-19;30.175;30.28;30.175;30.27;2018999.75
2018-10-22;30.26;30.26;30.26;30.26;6778.24
2018-10-24;30.38;30.38;30.38;30.38;5529.16
2018-10-25;30.36;30.36;30.36;30.36;137257.56
2018-10-29;30.375;30.375;30.375;30.375;6621.75
2018-11-02;30.365;30.365;30.365;30.365;11447.605
2018-11-06;30.385;30.48;30.385;30.385;3464.555
2018-11-26;30.435;30.435;30.435;30.435;1826.1
2018-11-29;30.485;30.485;30.485;30.485;4481.295
2018-12-10;30.58;30.605;30.58;30.605;55005.315
2018-12-18;30.645;30.685;30.645;30.685;28947.76
2019-01-10;30.8;30.8;30.77;30.77;14715.23
2019-01-31;30.845;30.845;30.845;30.845;339.295
2019-02-01;30.81;30.81;30.81;30.81;2403.18
2019-02-26;30.875;30.875;30.875;30.875;10003.5
2019-03-06;30.885;30.885;30.885;30.885;20507.6
2019-04-17;31.0;31.0;31.0;31.0;24893.0
2019-04-25;31.0;31.0;31.0;31.0;13020.0
2019-05-07;31.005;31.005;31.005;31.005;38601.2
2019-05-23;31.08;31.08;31.05;31.05;13979.3
2019-06-04;31.145;31.145;31.145;31.145;249.2
2019-06-24;31.23;31.23;31.23;31.23;4403.4
2019-07-17;31.48;31.48;31.48;31.48;164955.2
2019-10-03;31.64;31.64;31.625;31.625;9016.7
2019-10-08;31.585;31.585;31.585;31.585;9759.8
2019-10-14;31.565;31.565;31.565;31.565;315.7
2019-11-19;31.38;31.38;31.38;31.38;74998.2
2019-12-04;31.34;31.34;31.34;31.34;31.3
2019-12-16;31.35;31.35;31.35;31.35;815.1
2019-12-18;31.385;31.385;31.385;31.385;26520.3
2020-01-28;31.46;31.46;31.46;31.46;21204.04
2020-02-06;31.46;31.46;31.46;31.46;22022.0
2020-02-27;31.52;31.52;31.455;31.52;9878.69
2020-02-28;31.455;31.455;31.455;31.455;2076.03
2020-03-03;31.48;31.515;31.48;31.515;503.96
2020-03-04;31.535;31.535;31.535;31.535;17155.04
2020-03-11;31.415;31.415;31.415;31.415;1947.73
2020-03-12;31.4;31.4;31.4;31.4;7065.0
2020-03-13;30.765;30.765;30.765;30.765;28765.275
2020-03-17;30.96;30.96;30.96;30.96;1578.96
2020-03-20;30.965;30.965;30.965;30.965;27342.095
2020-03-31;31.25;31.25;31.25;31.25;31250.0
2020-04-03;31.085;31.085;31.085;31.085;13024.615
2020-04-07;31.085;31.085;31.085;31.085;559.53
2020-04-08;31.04;31.04;31.04;31.04;7946.24
2020-04-20;30.95;30.95;30.95;30.95;30950.0
2020-04-28;31.115;31.115;31.115;31.115;4853.94
2020-05-05;31.18;31.18;31.18;31.18;5518.86
2020-05-22;31.22;31.22;31.155;31.155;32339.605
2020-05-25;31.165;31.165;31.165;31.165;1495.92
2020-06-09;31.29;31.29;31.29;31.29;23436.21
2020-06-19;31.31;31.31;31.31;31.31;2786.59
2020-06-30;31.38;31.38;31.38;31.38;878.64
2020-08-05;31.5;31.5;31.5;31.5;693.0
2020-08-20;31.53;31.53;31.53;31.53;31.53
2020-08-31;31.41;31.41;31.41;31.41;1476.27
2020-09-04;31.47;31.47;31.47;31.47;660.87
2020-09-15;31.49;31.49;31.49;31.49;251.92
2020-09-21;31.55;31.55;31.55;31.55;1009.6
2020-09-25;31.545;31.545;31.54;31.54;2965.095
2020-09-29;31.56;31.56;31.56;31.56;536.52
2020-10-01;31.51;31.51;31.505;31.505;18842.715
2020-10-08;31.57;31.6;31.57;31.6;6283.22
2020-10-20;31.66;31.66;31.66;31.66;63320.0
2020-10-29;31.65;31.65;31.65;31.65;9020.25
2020-11-03;31.7;31.7;31.7;31.7;6054.7
2020-11-06;31.68;31.68;31.66;31.66;16942.46
2020-11-10;31.62;31.62;31.62;31.62;7999.86
2020-11-11;31.6;31.6;31.6;31.6;14125.2
2020-11-16;31.66;31.66;31.66;31.66;1044.78
2020-11-17;31.65;31.65;31.65;31.65;3070.05
2020-11-18;31.66;31.66;31.66;31.66;3957.5
2020-11-30;31.68;31.68;31.68;31.68;1900.8
2020-12-02;31.64;31.64;31.64;31.64;22685.88
2020-12-07;31.65;31.65;31.65;31.65;379.8
2020-12-09;31.72;31.72;31.72;31.72;110068.4
2020-12-10;31.71;31.71;31.71;31.71;15125.67
2020-12-15;31.73;31.73;31.73;31.73;116861.59
2020-12-17;31.71;31.71;31.71;31.71;10020.36
2020-12-18;31.68;31.68;31.68;31.68;4498.56
2020-12-22;31.69;31.725;31.69;31.69;293098.535
2020-12-23;31.7;31.7;31.7;31.7;33221.6
2020-12-28;31.67;31.67;31.67;31.67;13523.09
2020-12-30;31.69;31.69;31.68;31.68;13276.985
2021-01-04;31.64;31.64;31.64;31.64;175159.04
2021-01-11;31.6;31.6;31.6;31.6;55236.8
2021-01-13;31.62;31.62;31.62;31.62;24410.64
2021-01-15;31.6;31.6;31.6;31.6;5403.6
2021-01-18;31.59;31.59;31.59;31.59;63180.0
2021-01-22;31.54;31.54;31.54;31.54;5551.04
2021-01-29;31.58;31.58;31.58;31.58;18853.26
2021-02-02;31.56;31.56;31.56;31.56;6185.76
2021-02-09;31.61;31.61;31.61;31.61;1675.33
2021-02-19;31.5;31.5;31.5;31.5;630.0
2021-02-22;31.51;31.51;31.51;31.51;3497.61
2021-02-23;31.5;31.5;31.5;31.5;4347.0
2021-02-25;31.47;31.47;31.47;31.47;1573.5
2021-02-26;31.42;31.42;31.42;31.42;345.62
2021-03-01;31.5;31.5;31.5;31.5;630.0
2021-03-02;31.49;31.49;31.49;31.49;2645.16
2021-03-10;31.51;31.51;31.51;31.51;22813.24
2021-03-11;31.52;31.52;31.52;31.52;7438.72
2021-03-12;31.5;31.5;31.5;31.5;27121.5
2021-03-15;31.54;31.55;31.54;31.55;5456.57
