Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-10-10;97.84;97.84;97.84;97.84;782.72
2022-10-11;97.34;97.34;97.34;97.34;486.7
2022-10-14;97.41;97.41;97.41;97.41;15098.55
2022-10-21;96.11;96.11;96.11;96.11;9803.22
2022-10-26;97.43;97.43;97.43;97.43;4871.5
2022-11-07;97.73;98.15;97.73;98.15;172620.81
2022-11-10;98.44;98.44;98.44;98.44;28055.4
2022-11-15;99.94;99.94;99.94;99.94;1698.98
2022-11-16;99.97;100.18;99.97;100.18;40005.43
2022-11-21;100.41;100.41;100.41;100.41;10141.41
2022-11-28;100.98;100.98;100.98;100.98;1009.8
2022-11-30;100.86;100.86;100.86;100.86;1008.6
2022-12-01;101.75;102.01;101.75;102.01;1223.6
2022-12-02;102.06;102.06;102.06;102.06;306.18
2022-12-05;102.3;102.3;102.3;102.3;4092.0
2022-12-06;102.1;102.29;102.1;102.29;2757.08
2022-12-07;102.69;102.69;102.69;102.69;513.45
2022-12-08;102.56;102.56;102.56;102.56;5128.0
2022-12-09;101.89;101.89;101.89;101.89;2037.8
2022-12-12;101.6;101.85;101.6;101.85;9871.96
2022-12-13;101.26;102.03;101.26;102.03;1526.6
2022-12-14;102.07;102.07;102.07;102.07;12248.4
2022-12-19;100.31;100.31;100.12;100.13;2706.19
2022-12-20;100.03;100.03;100.03;100.03;1000.3
2022-12-22;99.8;99.8;99.8;99.8;1996.0
2022-12-27;99.11;99.11;99.03;99.03;40634.3
2022-12-28;99.34;99.34;99.34;99.34;198.68
2023-01-03;100.2;100.2;100.2;100.2;100.2
2023-01-04;100.51;100.51;100.3;100.3;12562.5
2023-01-05;100.31;100.31;100.31;100.31;3209.92
2023-01-09;100.51;100.51;100.51;100.51;1206.12
2023-01-10;100.35;100.35;100.35;100.35;200.7
2023-01-11;100.63;100.63;100.63;100.63;2012.6
2023-01-12;101.4;101.4;101.4;101.4;101.4
2023-01-13;101.53;101.53;100.91;100.91;2629.86
2023-01-17;101.16;101.16;101.16;101.16;606.96
2023-01-18;102.38;102.38;102.35;102.35;4094.9
2023-01-19;102.22;102.22;102.22;102.22;102.22
2023-01-20;101.46;101.46;101.46;101.46;202.92
2023-01-23;101.38;101.38;101.34;101.34;1824.52
2023-01-24;101.35;101.35;101.35;101.35;304.05
2023-01-25;101.6;101.6;101.6;101.6;508.0
2023-01-26;101.57;101.57;101.57;101.57;2031.4
2023-02-01;101.22;101.22;101.22;101.22;202.44
2023-02-03;102.18;102.18;102.18;102.18;20436.0
2023-02-06;101.82;101.82;101.82;101.82;9978.36
2023-02-07;101.65;101.65;101.65;101.65;2033.0
2023-02-10;101.7;101.7;101.2;101.2;1927.8
2023-02-13;100.5;100.5;100.5;100.5;2010.0
2023-02-16;100.7;100.7;100.7;100.7;402.8
2023-02-17;100.15;100.15;100.15;100.15;2003.0
2023-02-21;99.64;99.64;99.64;99.64;1096.04
2023-02-24;99.71;99.71;99.71;99.71;4985.5
2023-02-27;99.09;99.09;99.09;99.09;1981.8
2023-03-01;98.8;98.8;98.8;98.8;98.8
2023-03-02;98.79;98.79;98.79;98.79;4939.5
2023-03-06;98.79;98.79;98.79;98.79;987.9
2023-03-07;99.19;99.19;99.19;99.19;495.95
2023-03-09;98.8;98.8;98.8;98.8;11856.0
2023-03-16;99.77;99.77;99.34;99.34;1196.38
2023-03-17;98.94;98.94;98.94;98.94;1978.8
2023-03-22;99.81;99.81;99.81;99.81;299.43
2023-03-23;100.14;100.14;99.62;99.62;698.38
2023-03-28;99.84;99.84;99.84;99.84;4992.0
2023-04-05;100.86;100.89;100.86;100.88;25622.73
2023-04-06;103.59;103.59;103.59;103.59;22686.21
2023-04-11;101.08;101.08;101.08;101.08;22136.52
2023-04-14;100.7;100.7;100.7;100.7;201.4
2023-04-26;100.57;100.57;100.57;100.57;301.71
