Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-10-04;6.568;6.568;6.568;6.568;197.04
2021-10-07;6.671;6.671;6.671;6.671;1334.2
2021-10-08;6.688;6.688;6.677;6.677;18370.0
2021-10-12;6.657;6.657;6.657;6.657;232.995
2021-10-14;6.649;6.649;6.649;6.649;19.947
2021-10-15;6.761;6.761;6.761;6.761;202.83
2021-10-18;6.743;6.747;6.716;6.735;122701.676
2021-10-19;6.751;6.762;6.748;6.762;85864.103
2021-10-20;6.792;6.811;6.775;6.811;57065.056
2021-10-22;6.837;6.84;6.822;6.822;13129.334
2021-10-25;6.83;6.856;6.83;6.856;40969.84
2021-10-26;6.881;6.881;6.881;6.881;9633.4
2021-10-27;6.876;6.876;6.844;6.848;31997.754
2021-10-28;6.83;6.83;6.83;6.83;20080.2
2021-10-29;6.83;6.837;6.83;6.837;28321.39
2021-11-01;6.93;6.93;6.93;6.93;3118.5
2021-11-03;6.914;6.914;6.914;6.914;34570.0
2021-11-04;6.995;7.007;6.995;7.002;58564.6
2021-11-05;7.026;7.053;7.026;7.053;4711.66
2021-11-08;7.028;7.032;7.007;7.007;63961.75
2021-11-09;7.013;7.019;6.98;7.002;61007.734
2021-11-10;7.0;7.0;7.0;7.0;9030.0
2021-11-11;7.039;7.045;7.034;7.034;40131.277
2021-11-12;7.078;7.078;7.078;7.078;1061.7
2021-11-15;7.11;7.11;7.11;7.11;3555.0
2021-11-16;7.125;7.15;7.119;7.15;16978.358
2021-11-17;7.17;7.17;7.17;7.17;3585.0
2021-11-18;7.126;7.126;7.1;7.1;12106.4
2021-11-22;7.146;7.206;7.125;7.198;121016.772
2021-11-23;7.132;7.14;7.132;7.132;30794.28
2021-11-25;7.198;7.198;7.198;7.198;2159.4
2021-11-26;7.172;7.172;7.01;7.094;58186.19
2021-11-29;7.02;7.032;7.009;7.011;17163.05
2021-11-30;6.924;6.941;6.924;6.941;20025.228
2021-12-01;7.022;7.022;6.95;7.021;24303.446
2021-12-02;6.897;6.897;6.84;6.84;10085.096
2021-12-03;6.966;6.966;6.966;6.966;14670.396
2021-12-06;6.983;6.986;6.983;6.986;5098.43
2021-12-07;7.073;7.082;7.073;7.082;29726.4
2021-12-08;7.133;7.133;7.096;7.096;9163.315
2021-12-09;7.074;7.074;7.074;7.074;1216.728
2021-12-10;7.117;7.143;7.117;7.142;40398.922
2021-12-13;7.179;7.181;7.179;7.181;12493.14
2021-12-14;7.059;7.09;7.059;7.064;89906.784
2021-12-15;7.112;7.112;7.07;7.07;7574.912
2021-12-16;7.167;7.17;7.167;7.17;15807.735
2021-12-17;7.133;7.149;7.07;7.149;28440.868
2021-12-20;7.014;7.014;7.014;7.014;3857.7
2021-12-21;7.046;7.046;7.046;7.046;5002.66
2021-12-22;7.088;7.105;7.088;7.105;35693.14
2021-12-23;7.159;7.159;7.154;7.154;5725.2
2021-12-28;7.292;7.312;7.292;7.312;30880.16
2021-12-29;7.317;7.317;7.259;7.275;46836.516
2021-12-30;7.319;7.319;7.319;7.319;512.33
2022-01-03;7.264;7.317;7.264;7.317;18524.4
2022-01-04;7.323;7.355;7.322;7.343;7733.015
2022-01-05;7.343;7.351;7.335;7.337;15850.076
2022-01-06;7.249;7.264;7.243;7.243;55628.775
2022-01-07;7.245;7.26;7.2;7.2;40374.11
2022-01-10;7.197;7.216;7.134;7.136;46255.06
2022-01-11;7.181;7.216;7.181;7.186;26289.32
2022-01-12;7.191;7.191;7.191;7.191;10786.5
2022-01-13;7.201;7.206;7.201;7.206;25127.789
2022-01-14;7.13;7.141;7.127;7.127;12306.57
2022-01-17;7.149;7.18;7.149;7.175;9962.642
2022-01-18;7.127;7.191;7.076;7.1;103047.602
2022-01-19;7.12;7.183;7.12;7.183;28357.151
2022-01-20;7.062;7.13;7.062;7.105;40849.581
2022-01-21;6.989;7.006;6.917;7.006;179612.245
2022-01-24;6.927;6.927;6.777;6.792;28956.382
2022-01-25;6.907;6.907;6.799;6.867;20334.282
2022-01-26;6.908;6.977;6.903;6.954;123543.264
2022-01-27;6.905;6.999;6.905;6.999;628.97
2022-01-28;6.946;6.946;6.817;6.922;151439.55
2022-01-31;7.024;7.03;6.991;7.009;51615.13
2022-02-01;7.066;7.076;7.042;7.065;34270.685
2022-02-02;7.1;7.103;7.071;7.098;27612.319
2022-02-03;7.113;7.113;7.01;7.01;19417.15
2022-02-04;7.0;7.0;6.869;6.869;170845.198
2022-02-07;6.941;6.941;6.941;6.941;347.05
2022-02-08;6.941;6.96;6.941;6.96;3177.737
2022-02-09;7.007;7.048;7.007;7.047;22065.26
2022-02-10;7.06;7.067;7.048;7.048;15940.03
2022-02-11;7.0;7.0;6.959;6.976;109167.973
2022-02-14;6.871;6.899;6.861;6.899;70673.113
2022-02-15;6.973;6.992;6.96;6.985;13831.408
2022-02-16;6.973;6.973;6.973;6.973;1359.735
2022-02-17;6.997;6.997;6.95;6.95;19856.25
2022-02-18;6.867;6.893;6.859;6.881;57563.92
2022-02-21;6.881;6.881;6.801;6.827;18918.531
2022-02-22;6.808;6.846;6.807;6.844;10429.196
2022-02-23;6.823;6.83;6.79;6.79;51948.116
2022-02-24;6.661;6.671;6.584;6.671;50476.244
2022-02-25;6.749;6.84;6.721;6.84;66796.892
2022-02-28;6.836;6.836;6.836;6.836;2050.8
2022-03-01;6.998;6.998;6.998;6.998;839.76
2022-03-02;6.872;6.901;6.872;6.882;19937.682
2022-03-03;6.97;6.999;6.965;6.965;40761.791
2022-03-04;6.912;6.964;6.912;6.936;66852.134
2022-03-07;6.9;6.95;6.9;6.937;14412.757
2022-03-08;6.857;6.857;6.8;6.8;43067.437
2022-03-09;6.854;6.872;6.85;6.85;5694.83
2022-03-10;6.83;6.83;6.792;6.792;8549.022
2022-03-11;6.881;6.895;6.878;6.895;2368.59
2022-03-14;6.866;6.866;6.816;6.816;22022.93
2022-03-15;6.75;6.839;6.74;6.839;4696.809
2022-03-16;6.94;6.976;6.94;6.976;7934.1
2022-03-17;6.99;6.99;6.95;6.964;8597.86
2022-03-18;7.017;7.058;7.014;7.058;3554.074
