Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-11-19;12.848;12.848;12.848;12.848;6205.584
2021-11-22;12.642;12.642;12.5;12.5;21776.348
2021-11-23;12.208;12.252;12.198;12.252;11895.816
2021-11-24;12.218;12.26;12.136;12.26;27472.04
2021-11-26;12.146;12.146;12.066;12.066;8688.32
2021-11-29;12.234;12.234;12.218;12.218;23267.102
2021-11-30;12.046;12.046;12.016;12.016;15409.626
2021-12-02;11.478;11.502;11.478;11.502;2459.292
2021-12-03;11.598;11.598;11.55;11.55;113247.18
2021-12-06;11.114;11.114;11.114;11.114;1111.4
2021-12-07;11.586;11.586;11.564;11.564;109381.226
2021-12-10;11.452;11.452;11.316;11.358;57623.4
2021-12-13;11.434;11.434;11.434;11.434;114.34
2021-12-14;11.12;11.12;11.12;11.12;278.0
2021-12-15;10.928;10.928;10.928;10.928;3496.96
2021-12-16;11.276;11.276;11.162;11.162;129838.84
2021-12-17;10.91;10.91;10.672;10.672;12178.248
2021-12-20;10.67;10.736;10.624;10.624;3749.908
2021-12-21;10.656;10.874;10.644;10.874;68170.312
2021-12-22;11.03;11.03;11.03;11.03;441.2
2021-12-23;11.092;11.092;11.092;11.092;554.6
2021-12-28;11.306;11.306;11.306;11.306;1944.632
2021-12-29;11.182;11.182;10.986;10.986;4366.16
2021-12-30;11.106;11.202;11.106;11.202;5712.06
2022-01-03;11.112;11.146;11.112;11.146;2106.254
2022-01-04;11.19;11.19;11.19;11.19;2014.2
2022-01-05;10.814;10.814;10.662;10.662;50281.558
2022-01-06;10.396;10.396;10.172;10.272;45498.76
2022-01-07;10.194;10.208;10.194;10.208;14485.42
2022-01-10;9.754;9.834;9.742;9.834;14053.61
2022-01-11;10.126;10.126;10.126;10.126;87083.6
2022-01-13;10.14;10.14;10.14;10.14;2007.72
2022-01-14;9.715;9.715;9.715;9.715;2914.5
2022-01-17;9.769;9.769;9.769;9.769;1240.663
2022-01-18;9.6;9.6;9.6;9.6;960.0
2022-01-19;9.541;9.665;9.541;9.665;3155.79
2022-01-20;9.546;9.546;9.546;9.546;238.65
2022-01-21;9.45;9.45;9.289;9.38;31089.138
2022-01-24;8.929;8.929;8.672;8.672;3299.285
2022-01-25;8.859;8.88;8.859;8.875;67341.53
2022-01-26;9.042;9.108;9.042;9.056;108432.84
2022-01-27;8.754;8.88;8.754;8.88;3114.6
2022-01-28;8.785;8.785;8.785;8.785;1256.255
2022-02-02;9.533;9.533;9.533;9.533;6768.43
2022-02-03;9.069;9.069;8.869;8.869;5172.2
2022-02-04;8.905;8.907;8.775;8.875;293095.13
2022-02-08;9.024;9.024;9.024;9.024;2616.96
2022-02-10;9.513;9.513;9.4;9.494;333778.77
2022-02-14;9.039;9.039;9.039;9.039;1852.995
2022-02-15;9.055;9.163;9.054;9.163;119914.716
2022-02-16;9.21;9.211;9.21;9.211;25788.612
2022-02-17;9.12;9.12;9.05;9.05;10662.4
2022-02-18;8.8;8.8;8.796;8.796;2436.692
2022-02-21;8.53;8.53;8.395;8.395;10292.58
2022-02-22;8.457;8.5;8.457;8.5;1861.4
