Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-02-01;21.85;21.85;21.815;21.815;9169.3
2018-02-02;21.68;21.68;21.615;21.615;12551.65
2018-02-06;21.0;21.0;21.0;21.0;1680.0
2018-02-07;21.235;21.235;21.235;21.235;3079.075
2018-02-08;21.065;21.065;21.065;21.065;315.975
2018-02-09;20.65;20.65;20.62;20.62;2640.86
2018-02-12;20.85;20.85;20.85;20.85;1459.5
2018-02-13;20.74;20.74;20.74;20.74;10370.0
2018-02-15;20.96;20.96;20.96;20.96;628.8
2018-02-16;21.235;21.235;21.13;21.13;2219.175
2018-03-07;20.8;20.8;20.8;20.8;5200.0
2018-03-12;21.45;21.45;21.45;21.45;3110.25
2018-03-14;21.15;21.15;21.15;21.15;2115.0
2018-03-23;20.525;20.525;20.525;20.525;10262.5
2018-03-26;20.5;20.5;20.5;20.5;615.0
2018-04-13;20.89;20.89;20.89;20.89;3133.5
2018-04-18;21.02;21.02;21.02;21.02;147.14
2018-05-02;21.02;21.02;21.02;21.02;1051.0
2018-05-08;21.125;21.125;21.125;21.125;2112.5
2018-05-31;21.54;21.54;21.54;21.54;3661.8
2018-06-01;21.455;21.455;21.455;21.455;4291.0
2018-06-06;21.55;21.55;21.55;21.55;2155.0
2018-06-08;21.38;21.38;21.38;21.38;6242.96
2018-06-11;21.48;21.48;21.48;21.48;6615.84
2018-07-02;20.995;20.995;20.96;20.96;8387.5
2018-07-10;21.4;21.415;21.4;21.415;17129.0
2018-08-07;22.175;22.175;22.115;22.115;8800.475
2018-08-08;22.05;22.05;22.05;22.05;1719.9
2018-08-20;22.41;22.41;22.41;22.41;986.04
2018-08-22;22.135;22.135;22.135;22.135;22.135
2018-08-27;22.06;22.06;22.06;22.06;441.2
2018-08-31;21.935;21.935;21.935;21.935;219.35
2018-10-15;21.0;21.0;21.0;21.0;987.0
2018-10-17;21.55;21.55;21.47;21.47;430.2
2018-10-18;21.48;21.48;21.48;21.48;4296.0
2018-10-25;21.15;21.15;21.15;21.15;1057.5
2018-11-01;21.7;21.7;21.7;21.7;238.7
2018-11-06;21.695;21.695;21.69;21.69;3145.275
2018-12-03;22.515;22.515;22.46;22.46;1235.905
2018-12-05;22.01;22.01;22.01;22.01;10036.56
2018-12-07;21.665;21.665;21.665;21.665;6824.475
2018-12-10;21.27;21.27;21.15;21.15;13173.15
2018-12-17;21.02;21.02;21.02;21.02;1576.5
2018-12-19;20.75;20.75;20.75;20.75;9960.0
2018-12-20;20.36;20.445;20.36;20.445;15881.855
2018-12-21;20.2;20.2;20.2;20.2;9898.0
2019-01-07;20.73;20.73;20.71;20.71;17707.75
2019-01-11;21.01;21.01;21.01;21.01;735.35
2019-01-24;21.44;21.44;21.44;21.44;471.68
2019-01-28;21.49;21.49;21.49;21.49;988.54
2019-01-30;21.55;21.55;21.55;21.55;4956.5
2019-01-31;21.69;21.69;21.685;21.685;4337.75
2019-02-04;21.995;21.995;21.995;21.995;3299.3
2019-02-05;22.045;22.045;22.045;22.045;10008.4
2019-02-06;22.22;22.22;22.22;22.22;622.2
2019-02-08;21.89;21.89;21.89;21.89;7004.8
2019-02-13;22.19;22.19;22.19;22.19;9985.5
2019-02-15;22.035;22.22;22.035;22.22;15045.0
2019-02-20;22.36;22.385;22.36;22.385;6709.9
2019-02-21;22.365;22.365;22.365;22.365;3354.8
2019-02-22;22.5;22.5;22.5;22.5;2250.0
2019-02-25;22.71;22.73;22.71;22.73;19313.5
2019-02-27;22.685;22.685;22.685;22.685;6964.3
2019-02-28;22.385;22.385;22.385;22.385;2238.5
2019-03-05;23.0;23.0;23.0;23.0;19550.0
2019-03-08;22.505;22.505;22.505;22.505;3375.8
2019-03-18;22.7;22.7;22.7;22.7;22700.0
2019-03-19;22.69;22.69;22.69;22.69;11345.0
2019-03-21;22.43;22.45;22.43;22.45;5610.5
2019-03-25;22.4;22.4;22.4;22.4;5600.0
2019-03-28;22.62;22.62;22.615;22.615;4523.0
