Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-06-29;4.9005;4.9005;4.9005;4.9005;245.025
2023-07-03;4.969;4.969;4.95;4.957;4138.854
2023-07-04;4.961;4.9945;4.961;4.9875;54597.179
2023-07-05;4.979;4.979;4.9675;4.9675;32247.7275
2023-07-06;4.958;4.958;4.897;4.897;7534.884
2023-07-07;4.9215;4.9215;4.902;4.902;785.125
2023-07-10;4.869;4.895;4.869;4.895;1873.46
2023-07-11;4.891;4.891;4.8895;4.89;2430.405
2023-07-12;4.9215;4.942;4.9215;4.9405;13755.941
2023-07-13;4.9295;4.9315;4.9295;4.9315;1380.76
2023-07-14;4.9325;4.963;4.9275;4.963;4608.845
2023-07-17;4.9105;4.9105;4.9105;4.9105;392.84
2023-07-18;4.9115;4.9205;4.9115;4.92;1535.006
2023-07-19;4.9705;4.9705;4.965;4.965;2449.8515
2023-07-20;4.968;4.973;4.965;4.965;22132.392
2023-07-21;4.989;4.989;4.989;4.989;1112.547
2023-07-24;4.9725;5.008;4.9715;5.005;24607.487
2023-07-25;5.036;5.036;5.036;5.036;503.6
2023-07-27;5.031;5.079;5.031;5.079;1623.045
2023-07-28;5.072;5.083;5.072;5.079;41386.628
2023-08-01;5.131;5.131;5.077;5.077;6168.76
2023-08-02;5.038;5.04;5.017;5.04;40973.567
2023-08-03;5.0;5.004;4.99;5.004;84359.855
2023-08-04;5.024;5.024;4.985;4.985;24442.379
2023-08-07;4.995;4.995;4.9855;4.9885;3530.208
2023-08-08;4.987;4.987;4.975;4.975;2592.38
2023-08-10;4.9775;4.9775;4.9775;4.9775;358.38
2023-08-11;4.9645;4.9645;4.95;4.9585;4049.929
2023-08-14;4.973;4.973;4.967;4.967;10493.8625
2023-08-17;4.915;4.915;4.915;4.915;49.15
2023-08-18;4.857;4.859;4.857;4.859;6800.2
2023-08-21;4.875;4.891;4.875;4.887;20344.243
2023-08-22;4.902;4.902;4.902;4.902;534.318
2023-08-23;4.924;4.924;4.924;4.924;797.688
2023-08-24;5.019;5.019;5.0;5.0;1830.035
