Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2005-02-24;;42.0;41.75;42.0;2045286.0
2005-02-25;;42.94;42.62;42.79;3035235.0
2005-02-28;;44.22;42.89;43.05;2348998.0
2005-03-01;;43.95;42.93;43.16;4870292.0
2005-03-02;;43.6;42.11;42.4;2115752.0
2005-03-03;;42.9;42.42;42.63;1398167.0
2005-03-04;;42.63;41.88;41.88;2539427.0
2005-03-07;;42.5;41.88;42.18;1940313.0
2005-03-08;;42.49;42.08;42.08;888592.0
2005-03-09;;42.68;42.06;42.16;1816688.0
2005-03-10;;42.15;41.39;41.45;4035509.0
2005-03-11;;42.05;41.25;41.25;361383.0
2005-03-14;;41.74;41.41;41.72;500035.0
2005-03-15;;41.8;41.08;41.38;1043172.0
2005-03-16;;41.79;41.14;41.56;1327343.0
2005-03-17;;41.65;41.29;41.46;579332.0
2005-03-18;;41.99;41.63;41.8;2398069.0
2005-03-21;;42.35;42.05;42.13;1057140.0
2005-03-22;;42.43;41.75;41.9;3341355.0
2005-03-23;;41.8;41.3;41.7;2148008.0
2005-03-24;;41.77;41.3;41.6;817382.0
2005-03-29;;42.04;41.3;41.48;2021982.0
2005-03-30;;41.41;41.13;41.26;756068.0
2005-03-31;;41.49;41.15;41.26;1698020.0
2005-04-01;;41.92;41.2;41.91;278922.0
2005-04-04;;42.05;41.85;42.03;373804.0
2005-04-05;;42.22;42.05;42.11;437614.0
2005-04-06;;42.37;42.11;42.31;322914.0
2005-04-07;;42.28;42.12;42.15;223507.0
2005-04-08;;42.88;42.43;42.67;1444010.0
2005-04-11;;42.93;42.05;42.13;934007.0
2005-04-12;;42.59;41.88;42.23;339664.0
2005-04-13;;42.78;42.43;42.5;747322.0
2005-04-14;;42.7;42.27;42.56;580205.0
2005-04-15;;42.2;41.31;41.39;923964.0
2005-04-18;;41.89;39.75;39.96;1494841.0
2005-04-19;;40.48;40.13;40.36;714293.0
2005-04-20;;40.54;40.17;40.17;611527.0
2005-04-21;;40.57;40.03;40.35;581290.0
2005-04-22;;41.16;40.63;41.07;969837.0
2005-04-25;;41.47;41.03;41.32;217481.0
2005-04-26;;41.79;41.51;41.79;196534.0
2005-04-27;;41.73;41.29;41.4;1009033.0
2005-04-28;;41.89;41.63;41.68;365954.0
2005-04-29;;41.6;41.2;41.46;187544.0
2005-05-02;;41.96;41.68;41.95;171637.0
2005-05-03;;42.05;41.73;41.8;1011592.0
2005-05-04;;42.09;41.68;41.87;381589.0
2005-05-05;;42.44;42.04;42.2;398850.0
2005-05-06;;42.75;42.01;42.75;1401236.0
2005-05-09;;42.85;42.55;42.75;218562.0
2005-05-10;;42.86;42.6;42.6;1342857.0
2005-05-11;;42.68;42.2;42.48;563678.0
2005-05-12;;42.89;42.66;42.75;3258083.0
2005-05-13;;42.9;42.5;42.7;288233.0
2005-05-16;;42.92;42.38;42.68;189815.0
2005-05-17;;42.5;41.41;41.68;317716.0
2005-05-18;;41.9;41.4;41.81;297406.0
2005-05-19;;42.29;41.6;42.11;101852.0
2005-05-20;;42.54;42.06;42.54;153091.0
2005-05-23;;42.4;42.21;42.32;197975.0
2005-05-24;;42.06;41.77;41.88;241012.0
2005-05-25;;41.7;41.2;41.37;721653.0
2005-05-26;;41.55;41.2;41.49;162056.0
2005-05-27;;42.2;41.91;42.1;184255.0
2005-05-30;;42.82;42.35;42.8;588900.0
2005-05-31;;43.02;42.74;42.9;353477.0
2005-06-01;;43.15;42.51;43.15;1206556.0
2005-06-02;;43.1;42.65;42.75;364344.0
2005-06-03;;43.0;42.71;42.93;378985.0
2005-06-06;;43.5;43.0;43.2;482185.0
2005-06-07;;43.64;43.29;43.54;379886.0
2005-06-08;;43.98;43.64;43.86;496682.0
2005-06-09;;44.0;43.68;43.97;671332.0
2005-06-10;;44.56;44.08;44.4;1599608.0
2005-06-13;;44.93;44.35;44.85;1035578.0
2005-06-14;;44.9;44.13;44.63;653434.0
2005-06-15;;44.77;44.29;44.39;547847.0
2005-06-16;;44.6;44.22;44.43;396165.0
2005-06-17;;44.46;44.07;44.07;717808.0
2005-06-20;;44.75;44.0;44.62;452933.0
2005-06-21;;45.1;44.6;44.89;535750.0
2005-06-22;;45.73;45.08;45.58;510214.0
2005-06-23;;46.07;45.7;45.85;1496766.0
