Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-05-23;7.948;7.948;7.759;7.759;6599.2
2022-05-25;7.33;7.33;7.33;7.33;2199.0
2022-05-26;7.5;7.5;7.5;7.5;3750.0
2022-05-27;7.765;7.804;7.765;7.804;5295.8
2022-05-31;8.425;8.425;8.425;8.425;21062.5
2022-06-01;8.0;8.0;8.0;8.0;1200.0
2022-06-15;6.35;6.35;6.35;6.35;15875.0
2022-06-17;6.144;6.144;6.144;6.144;1228.8
2022-06-24;6.817;6.817;6.817;6.817;409.02
2022-06-29;6.337;6.337;6.337;6.337;950.55
2022-06-30;6.096;6.096;5.886;5.886;2356.47
2022-07-04;5.997;5.997;5.99;5.99;1102.748
2022-07-05;5.99;5.99;5.929;5.929;1542.15
2022-07-08;6.893;6.893;6.789;6.789;4496.034
2022-07-13;6.507;6.507;6.507;6.507;1301.4
2022-07-19;7.295;7.295;7.295;7.295;1787.275
2022-07-21;7.745;7.812;7.745;7.812;4556.58
2022-07-22;7.9;8.0;7.9;8.0;2593.4
2022-07-25;7.619;7.619;7.619;7.619;1523.8
2022-07-28;7.566;7.566;7.566;7.566;1967.16
2022-08-01;7.725;7.725;7.573;7.573;607.36
2022-08-05;8.749;8.749;8.639;8.639;3803.36
2022-08-08;9.196;9.263;9.088;9.088;29568.58
2022-08-09;8.876;8.876;8.873;8.873;1588.756
2022-08-11;9.477;9.665;9.476;9.665;10432.925
2022-08-12;9.352;9.352;9.352;9.352;1215.76
2022-08-16;9.916;9.994;9.406;9.406;25783.594
2022-08-18;8.967;8.967;8.941;8.941;5275.45
2022-08-22;7.976;8.126;7.976;8.085;31825.73
2022-08-23;8.22;8.22;8.22;8.22;115.08
2022-08-25;8.197;8.197;8.197;8.197;327.88
2022-08-26;8.15;8.15;8.115;8.115;34492.9
2022-08-30;8.035;8.035;8.035;8.035;4821.0
2022-09-01;7.813;7.813;7.813;7.813;781.3
2022-09-08;7.692;7.692;7.692;7.692;7692.0
2022-09-09;8.333;8.333;8.333;8.333;124.995
2022-09-21;7.3;7.3;7.3;7.3;197.1
2022-09-26;7.239;7.239;7.239;7.239;101.346
2022-09-28;7.121;7.121;7.121;7.121;220.751
2022-10-04;7.385;7.385;7.385;7.385;147.7
