Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2020-03-03;17.732;17.768;17.712;17.766;2802.9
2020-03-04;17.72;17.736;17.71;17.736;1736.8
2020-03-05;;;;17.736;
2020-03-06;17.17;17.24;17.162;17.222;1170.0
2020-03-09;;;;17.222;
2020-03-10;16.696;16.698;16.69;16.692;567.6
2020-03-23;15.234;15.234;15.234;15.234;1005.444
2020-04-02;15.882;15.892;15.882;15.888;285972.0
2020-04-15;17.154;17.2;17.154;17.2;498.708
2020-04-20;17.26;17.264;17.26;17.264;983.932
2020-04-24;17.144;17.144;17.144;17.144;428.6
2020-04-27;16.892;16.95;16.892;16.95;474.484
2020-05-04;16.976;16.976;16.976;16.976;509.28
2020-05-05;17.032;17.032;17.032;17.032;51.096
2020-05-12;17.038;17.05;16.984;17.0;3097.262
2020-05-14;16.854;16.856;16.854;16.856;134.84
2020-05-15;16.904;16.974;16.894;16.974;2369.996
2020-05-18;16.96;16.99;16.96;16.99;5470.44
2020-05-21;17.088;17.088;17.088;17.088;34.176
2020-06-01;17.312;17.35;17.312;17.35;19808.224
2020-06-03;17.438;17.44;17.438;17.44;139.516
2020-06-09;17.61;17.618;17.6;17.6;216545.4
2020-06-10;17.344;17.354;17.334;17.336;431718.0
2020-06-11;17.252;17.252;17.156;17.17;453900.356
2020-06-12;17.094;17.11;17.094;17.11;478.828
2020-06-15;17.168;17.168;17.148;17.148;1028.92
2020-06-16;17.47;17.47;17.47;17.47;3039.78
2020-06-17;17.458;17.544;17.458;17.504;396115.0
2020-06-18;17.476;17.48;17.456;17.462;42063.7
2020-06-23;17.292;17.312;17.292;17.312;5193.56
2020-06-24;17.248;17.248;17.248;17.248;25872.0
2020-06-26;17.272;17.272;17.246;17.246;20730.944
2020-06-30;17.146;17.18;17.142;17.156;303947.576
2020-07-02;17.312;17.344;17.312;17.344;104080.624
2020-07-03;17.41;17.43;17.41;17.43;20079.32
2020-07-06;17.34;17.43;17.34;17.4;20012.448
2020-07-13;17.33;17.36;17.33;17.36;26037.54
2020-07-15;17.23;17.26;17.23;17.26;25942.18
2020-07-16;17.32;17.34;17.32;17.33;5337.716
2020-07-17;17.36;17.382;17.36;17.382;4513.644
2020-07-20;17.37;17.4;17.36;17.39;11063.136
2020-07-21;17.452;17.474;17.452;17.474;419244.0
2020-07-23;17.426;17.448;17.426;17.448;87.196
2020-07-24;17.28;17.526;17.28;17.432;496112.264
2020-07-27;17.296;17.32;17.296;17.32;952.456
2020-07-28;17.286;17.308;17.286;17.308;519.196
2020-07-30;17.2;17.23;17.154;17.18;131019.048
2020-07-31;17.13;17.13;17.13;17.13;5139.0
2020-08-03;17.196;17.274;17.194;17.274;534.99
