Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2018-11-21;45.205;45.205;45.205;45.205;135.615
2018-11-22;45.415;45.415;45.26;45.29;6567.3
2018-11-23;45.25;45.25;45.25;45.25;678.75
2018-11-26;45.955;46.25;45.935;46.205;183062.81
2018-11-27;46.35;46.44;46.21;46.38;98204.17
2018-11-28;46.76;46.885;46.71;46.78;66248.89
2018-11-29;47.035;47.11;46.83;46.86;118026.765
2018-11-30;46.97;47.165;46.895;47.105;53251.48
2018-12-03;48.1;48.155;47.74;47.74;128796.3
2018-12-04;47.49;47.565;47.37;47.47;34083.805
2018-12-05;47.28;47.28;46.65;46.695;42246.345
2018-12-06;46.2;46.2;45.15;45.15;117045.855
2018-12-07;45.945;46.09;45.9;46.09;19769.35
2018-12-10;45.0;45.0;44.79;44.89;15130.46
2018-12-11;45.68;45.68;45.68;45.68;593.84
2018-12-12;45.56;45.88;45.56;45.865;46086.875
2018-12-13;45.945;45.945;45.665;45.665;13736.675
2018-12-14;45.7;45.785;45.23;45.785;153292.615
2018-12-17;45.085;45.275;44.8;44.94;14064.43
2018-12-18;44.315;44.4;44.06;44.4;63958.09
2018-12-19;44.26;44.41;44.26;44.41;9755.2
2018-12-20;43.165;43.165;42.905;43.105;13989.98
2018-12-21;42.75;42.8;42.58;42.58;30744.2
2018-12-27;42.11;42.11;42.11;42.11;2105.5
2018-12-28;42.45;43.09;42.45;43.09;11596.1
2019-01-02;42.695;42.695;42.695;42.695;1067.375
2019-01-03;43.145;43.215;43.04;43.04;14583.57
2019-01-04;42.895;43.43;42.895;43.43;6753.68
2019-01-07;43.845;43.87;43.845;43.87;1973.9
2019-01-08;45.0;45.0;44.47;44.505;15070.535
2019-01-09;44.945;44.945;44.77;44.785;31969.785
2019-01-10;44.56;44.67;44.515;44.67;9809.7
2019-01-11;45.115;45.115;44.75;44.75;23900.275
2019-01-14;45.0;45.0;44.905;44.905;22497.5
2019-01-15;45.535;45.535;45.52;45.52;2504.35
2019-01-16;45.86;45.96;45.86;45.96;4779.44
2019-01-18;46.465;46.465;46.465;46.465;464.65
2019-01-21;46.69;46.695;46.6;46.6;1679.295
2019-01-22;46.5;46.5;46.44;46.44;6734.7
2019-01-23;46.4;46.4;46.4;46.4;6960.0
2019-01-24;46.545;46.695;46.545;46.695;9886.56
2019-01-25;47.0;47.38;47.0;47.38;50146.6
2019-01-28;47.21;47.21;46.73;46.73;62983.73
2019-01-29;46.97;46.985;46.905;46.975;9105.2
2019-01-31;46.98;47.27;46.98;47.27;1794.99
2019-02-01;47.345;47.345;47.13;47.13;8463.915
2019-02-04;47.555;47.605;47.525;47.605;95867.4
2019-02-05;47.85;47.95;47.85;47.95;10768.8
2019-02-06;48.155;48.56;48.155;48.28;153060.9
2019-02-07;49.5;49.5;48.145;48.175;62696.3
2019-02-08;48.16;48.16;47.505;47.655;21683.6
2019-02-11;47.975;48.07;47.975;48.07;1441.2
2019-02-12;48.525;48.69;48.525;48.69;14321.0
2019-02-13;48.82;49.065;48.82;49.065;30303.8
2019-02-14;49.215;49.225;48.84;49.1;102943.9
2019-02-15;49.005;49.48;49.005;49.48;24764.3
2019-02-18;49.46;49.46;49.385;49.385;8942.4
2019-02-19;49.375;49.395;49.145;49.165;68118.6
2019-02-21;49.475;49.625;49.425;49.425;39118.8
2019-02-22;49.465;49.835;49.465;49.835;83154.6
2019-02-25;50.23;50.39;50.05;50.39;60071.4
2019-02-26;50.15;50.51;49.85;50.04;104911.3
2019-02-27;49.705;49.81;49.705;49.77;34394.2
2019-02-28;49.455;49.705;49.45;49.655;468196.6
2019-03-01;49.89;49.89;49.84;49.88;101331.3
2019-03-04;51.28;51.28;49.88;49.965;416390.5
2019-03-05;50.2;50.2;49.65;49.65;18628.1
2019-03-06;49.775;49.79;49.45;49.45;50253.3
2019-03-07;49.19;49.19;48.73;48.975;195988.0
2019-03-08;48.925;48.925;48.725;48.86;7021.8
2019-03-11;48.79;48.975;48.785;48.975;9875.7
2019-03-12;49.59;49.59;49.4;49.4;95904.0
2019-03-13;49.525;49.72;49.525;49.72;274885.4
2019-03-14;49.56;49.56;49.515;49.515;28771.9
2019-03-15;49.375;49.74;49.375;49.74;37247.6
2019-03-18;49.755;49.935;49.75;49.75;231488.8
2019-03-19;49.995;50.17;49.925;50.17;83395.9
2019-03-20;50.17;50.17;49.61;49.62;52382.8
2019-03-21;49.6;49.6;49.5;49.54;60358.7
2019-03-22;50.23;50.42;49.8;49.98;298160.4
2019-03-25;49.255;49.255;49.09;49.105;51160.9
2019-03-26;49.46;49.73;49.31;49.725;74701.6
2019-03-27;49.97;49.97;49.615;49.885;96478.2
2019-03-28;49.52;49.545;49.52;49.545;29721.4
2019-03-29;49.715;49.855;49.715;49.825;2490.2
2019-04-01;50.55;50.79;50.51;50.79;158348.3
2019-04-02;51.03;51.13;51.01;51.07;126961.7
2019-04-03;51.2;51.57;51.2;51.37;95707.0
2019-04-04;51.43;51.53;51.27;51.27;61274.4
2019-04-05;51.49;51.68;51.33;51.68;398026.1
2019-04-08;51.71;51.71;51.39;51.59;98127.6
2019-04-09;51.76;51.76;51.35;51.37;112180.8
2019-04-10;51.61;51.64;51.58;51.58;14190.0
2019-04-11;51.65;51.84;51.65;51.84;120321.5
2019-04-12;51.73;51.81;51.71;51.71;11704.3
2019-04-15;51.85;51.93;51.83;51.83;158728.6
2019-04-16;52.05;52.26;52.05;52.14;42575.7
2019-04-17;52.34;52.52;52.24;52.45;128261.1
2019-04-18;52.1;52.57;52.1;52.23;22678.7
2019-04-23;52.57;52.95;52.39;52.9;90030.4
2019-04-24;52.93;53.07;52.84;52.93;17839.2
2019-04-25;53.24;53.45;52.9;52.9;569430.7
2019-04-26;52.81;52.83;52.52;52.72;95589.7
2019-04-29;52.5;53.08;52.5;53.08;11271.6
2019-04-30;52.84;52.84;52.6;52.6;89298.4
2019-05-02;52.52;52.69;52.29;52.55;34771.4
2019-05-03;52.74;52.86;52.56;52.82;63196.7
2019-05-06;52.0;52.19;51.77;52.13;623578.8
2019-05-07;52.24;52.26;51.53;51.53;325185.7
2019-05-08;51.68;51.68;51.15;51.4;106662.6
2019-05-09;50.86;50.99;49.9;49.9;232330.5
2019-05-10;50.63;50.63;49.93;49.93;6130.4
2019-05-13;49.925;50.1;49.295;49.295;47283.7
2019-05-14;49.475;49.85;49.47;49.85;71102.7
2019-05-15;49.945;50.06;49.635;49.95;13183.1
2019-05-16;50.08;50.43;50.08;50.27;24625.0
2019-05-17;50.53;50.54;50.27;50.27;24484.6
2019-05-20;50.43;50.43;49.79;49.815;15507.8
2019-05-21;49.95;50.62;49.89;50.22;18821.4
2019-05-22;50.26;50.3;50.26;50.3;12013.7
2019-05-23;49.9;49.9;49.2;49.2;26293.6
2019-05-24;49.825;49.825;49.25;49.25;75736.3
2019-05-27;49.52;49.545;49.445;49.445;54626.0
2019-05-28;49.445;49.505;49.41;49.505;6922.7
2019-05-29;49.185;49.215;49.135;49.215;10965.0
2019-05-30;49.45;49.635;49.44;49.505;126571.2
2019-05-31;48.755;48.755;48.495;48.745;235232.1
2019-06-03;48.525;48.84;48.38;48.52;68573.4
2019-06-04;48.28;48.775;48.28;48.615;95170.5
2019-06-05;49.615;49.615;49.47;49.47;11160.8
2019-06-06;49.785;49.86;49.495;49.495;47876.9
2019-06-07;49.945;50.19;49.845;50.09;81024.3
2019-06-10;50.37;50.66;50.36;50.66;175958.7
2019-06-11;50.72;50.96;50.65;50.88;327343.0
2019-06-12;50.45;50.48;50.21;50.3;318882.6
2019-06-13;50.3;50.59;50.3;50.56;33090.3
2019-06-14;50.54;50.72;50.54;50.72;50520.7
2019-06-17;50.63;50.77;50.46;50.57;178816.1
2019-06-18;50.4;51.56;50.4;51.56;25793.8
2019-06-19;51.66;51.66;51.41;51.54;27295.6
2019-06-20;51.58;52.0;51.58;52.0;19442.9
2019-06-21;51.86;51.86;51.51;51.69;10391.6
2019-06-24;51.4;51.4;51.13;51.13;69927.6
2019-06-25;51.04;51.11;50.79;50.79;65956.9
2019-06-26;50.76;50.96;50.66;50.81;38085.4
2019-06-27;51.3;51.3;51.01;51.2;198063.1
2019-06-28;51.34;51.43;51.24;51.38;45580.7
2019-07-01;52.63;52.63;52.2;52.31;43422.4
2019-07-02;52.29;52.46;52.23;52.4;202178.5
2019-07-03;52.4;52.59;52.4;52.55;33555.1
2019-07-04;52.82;52.87;52.61;52.85;18952.8
2019-07-05;52.66;52.81;52.55;52.55;11556.6
2019-07-08;52.68;52.69;52.59;52.59;113776.0
2019-07-09;52.26;52.29;52.05;52.29;58426.3
2019-07-10;52.32;52.53;52.32;52.49;76845.5
2019-07-11;52.51;52.71;52.49;52.66;113705.9
2019-07-12;52.62;52.79;52.62;52.79;30796.6
2019-07-15;52.92;52.97;52.74;52.84;32990.4
2019-07-16;52.86;53.07;52.86;52.91;30383.9
2019-07-17;52.96;52.97;52.81;52.81;93499.7
2019-07-18;52.2;52.46;52.12;52.31;77286.6
2019-07-19;52.56;52.62;52.36;52.53;517679.9
2019-07-22;52.45;52.64;52.42;52.64;62685.8
2019-07-23;52.63;53.21;52.63;53.21;75408.9
2019-07-24;53.48;53.77;53.3;53.77;36607.7
2019-07-25;54.03;54.2;53.36;53.73;37675.3
2019-07-26;53.49;53.87;53.49;53.81;87216.1
2019-07-29;53.81;53.93;53.5;53.5;46301.6
2019-07-30;53.66;53.67;53.21;53.21;105740.8
2019-07-31;53.3;53.45;53.25;53.45;19420.5
2019-08-01;53.38;53.72;53.31;53.72;238123.4
2019-08-02;52.42;52.42;51.6;51.68;157465.4
2019-08-05;50.94;50.94;50.04;50.04;311262.4
2019-08-06;50.0;50.25;49.955;50.05;40865.1
2019-08-07;50.51;50.65;49.94;50.18;10180.5
2019-08-08;50.7;50.82;50.48;50.82;67643.0
2019-08-09;51.29;51.41;51.0;51.0;16654.2
2019-08-12;50.58;50.61;50.53;50.53;8954.6
2019-08-13;50.28;51.16;50.1;51.16;105941.0
2019-08-14;50.83;50.83;50.15;50.16;199764.8
2019-08-16;50.21;50.73;50.21;50.49;185148.6
2019-08-19;51.15;51.22;51.15;51.22;11517.8
2019-08-20;51.49;51.49;51.3;51.3;514.0
2019-08-22;51.61;51.61;51.53;51.53;2321.3
2019-08-23;51.76;51.76;50.92;50.92;6792.4
2019-08-26;50.44;50.67;50.44;50.52;114216.0
2019-08-27;50.5;50.83;50.5;50.74;39246.5
2019-08-28;50.6;50.6;50.38;50.43;77941.9
2019-08-29;51.18;51.39;51.18;51.39;17204.6
