Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-07-21;9.791;9.791;9.791;9.791;9536.434
2022-08-25;10.204;10.214;10.204;10.214;117804.716
2022-09-06;9.85;9.85;9.85;9.85;108.35
2022-09-19;9.46;9.46;9.46;9.46;104.06
2022-10-05;9.325;9.325;9.325;9.325;9082.55
2022-10-07;9.293;9.293;9.293;9.293;106061.009
2022-10-10;9.191;9.191;9.191;9.191;2757.3
2022-10-12;9.0;9.0;9.0;9.0;8766.0
2022-10-18;9.058;9.061;9.058;9.061;171793.889
2022-10-25;8.634;8.634;8.634;8.634;8409.516
2022-10-26;8.672;8.672;8.672;8.672;8446.528
2022-10-27;8.663;8.663;8.663;8.663;105619.296
2022-11-04;9.138;9.138;9.138;9.138;83630.976
2022-11-24;9.185;9.206;9.185;9.185;17912.834
2022-11-29;9.323;9.323;9.323;9.323;9080.602
2022-12-09;9.428;9.428;9.428;9.428;2818.972
2023-01-04;9.399;9.399;9.399;9.399;488.748
2023-01-05;9.437;9.437;9.437;9.437;9191.638
2023-01-11;9.671;9.671;9.671;9.671;4400.305
2023-01-24;9.913;9.913;9.913;9.913;19.826
2023-01-27;10.006;10.006;10.006;10.006;30.018
2023-01-31;9.726;9.726;9.726;9.726;48.63
2023-02-01;9.766;9.766;9.766;9.766;380.874
2023-02-03;9.767;9.767;9.767;9.767;105317.561
2023-02-13;9.678;9.678;9.678;9.678;38.712
2023-02-24;9.385;9.385;9.385;9.385;84.465
2023-02-27;9.348;9.348;9.348;9.348;1196.544
2023-02-28;9.286;9.299;9.286;9.299;184941.577
2023-03-01;9.443;9.443;9.43;9.43;24112.601
2023-03-02;9.417;9.417;9.417;9.417;10528.206
2023-03-03;9.505;9.505;9.505;9.505;503.765
2023-03-06;9.522;9.522;9.522;9.522;10140.93
2023-03-07;9.503;9.503;9.485;9.485;57606.32
2023-03-08;9.41;9.41;9.41;9.41;46579.5
2023-03-09;9.329;9.329;9.329;9.329;10299.216
2023-03-10;9.199;9.199;9.199;9.199;149032.999
2023-03-14;9.03;9.03;9.03;9.03;72.24
2023-03-22;9.131;9.132;9.131;9.131;175356.525
2023-03-24;9.191;9.191;9.191;9.191;919.1
2023-03-28;9.209;9.209;9.208;9.208;159199.429
2023-03-31;9.312;9.312;9.312;9.312;44706.912
2023-04-03;9.351;9.351;9.351;9.351;65.457
2023-04-11;9.344;9.344;9.344;9.344;4615.936
2023-04-12;9.265;9.265;9.265;9.265;7300.82
2023-05-02;9.135;9.135;9.125;9.125;319.655
2023-05-08;9.179;9.182;9.178;9.182;96444.434
2023-05-12;9.124;9.124;9.124;9.124;282.844
2023-05-26;9.232;9.232;9.232;9.232;158051.84
2023-05-31;9.215;9.215;9.215;9.215;1179.52
2023-06-01;9.198;9.198;9.198;9.198;64.386
2023-06-02;9.376;9.391;9.376;9.391;521738.803
2023-06-12;9.593;9.593;9.593;9.593;94030.586
2023-06-13;9.648;9.648;9.648;9.648;106021.872
2023-06-15;9.709;9.71;9.668;9.669;349508.777
2023-07-03;9.496;9.496;9.496;9.496;66.472
2023-07-13;9.448;9.451;9.433;9.433;479049.171
2023-07-14;9.418;9.418;9.418;9.418;4972.704
2023-07-17;9.379;9.379;9.378;9.378;124456.504
2023-07-28;9.777;9.777;9.777;9.777;10608.045
2023-07-31;9.782;9.782;9.78;9.78;20990.026
2023-08-01;9.814;9.814;9.814;9.814;58.884
2023-08-14;9.325;9.325;9.325;9.325;29830.675
2023-08-16;9.205;9.207;9.203;9.203;155870.332
2023-08-23;9.233;9.233;9.233;9.233;2769.9
2023-08-25;9.334;9.334;9.334;9.334;1026.74
2023-08-31;9.329;9.329;9.329;9.329;1026.19
2023-09-01;9.413;9.413;9.413;9.413;75.304
2023-09-06;9.464;9.464;9.464;9.464;3028.48
2023-09-18;9.442;9.442;9.442;9.442;56.652
2023-10-02;9.357;9.357;9.357;9.357;74.856
2023-10-03;9.243;9.243;9.243;9.243;44273.97
2023-10-05;9.157;9.157;9.157;9.157;105149.831
2023-10-10;9.272;9.321;9.272;9.32;162984.294
2023-10-12;9.419;9.425;9.419;9.425;52713.494
2023-10-17;9.312;9.321;9.312;9.321;14894.712
2023-10-19;9.164;9.165;9.149;9.149;430059.012
2023-10-26;8.942;8.942;8.942;8.942;7797.424
2023-10-27;9.051;9.051;8.982;8.982;685068.394
2023-10-31;8.926;8.926;8.926;8.926;41961.126
2023-11-01;8.972;8.972;8.972;8.972;89.72
2023-11-03;9.274;9.274;9.274;9.274;107049.782
2023-11-06;9.391;9.391;9.359;9.36;251643.219
2023-11-09;9.283;9.293;9.282;9.293;51236.395
