Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2019-01-21;7.128;7.128;7.128;7.128;3564.0
2019-01-22;7.045;7.045;7.029;7.029;9153.7
2019-01-23;7.07;7.07;7.07;7.07;45955.0
2019-02-06;7.4;7.4;7.4;7.4;48100.0
2019-02-07;7.296;7.296;7.278;7.278;10922.4
2019-02-18;7.733;7.733;7.733;7.733;7733.0
2019-02-25;8.4;8.442;8.4;8.442;218946.0
2019-02-28;8.3;8.3;8.3;8.3;16600.0
2019-03-01;8.494;8.494;8.49;8.49;8492.0
2019-03-04;8.716;8.716;8.682;8.682;10452.4
2019-03-05;8.699;8.701;8.63;8.63;155902.3
2019-03-06;8.726;8.726;8.712;8.717;7864.5
2019-03-07;8.625;8.625;8.529;8.572;53875.8
2019-03-08;8.323;8.323;8.216;8.216;154114.5
2019-03-12;8.618;8.618;8.524;8.524;159582.8
2019-03-13;8.414;8.436;8.414;8.436;2765.1
2019-03-14;8.369;8.374;8.339;8.339;126171.8
2019-03-18;8.665;8.684;8.659;8.665;92278.5
2019-03-19;8.637;8.637;8.637;8.637;14682.9
2019-03-20;8.617;8.617;8.617;8.617;2154.3
2019-03-22;8.575;8.598;8.575;8.598;62730.9
2019-03-25;8.463;8.463;8.436;8.436;9070.1
2019-03-26;8.36;8.396;8.36;8.396;16065.6
2019-03-27;8.4;8.4;8.4;8.4;1680.0
2019-03-29;8.731;8.731;8.711;8.711;65452.5
2019-04-02;8.894;8.894;8.894;8.894;3112.9
2019-04-03;9.076;9.081;9.076;9.081;5312.1
2019-04-05;9.3;9.3;9.267;9.267;1718.4
2019-04-09;9.192;9.192;9.157;9.157;21313.1
2019-04-10;9.178;9.178;9.178;9.178;458.9
2019-04-11;8.959;8.959;8.959;8.959;7167.2
2019-04-12;8.943;9.15;8.943;9.15;4415.9
2019-04-15;8.955;8.955;8.898;8.898;71697.0
2019-04-17;9.247;9.266;9.226;9.266;15583.2
2019-04-18;9.2;9.2;9.2;9.2;9200.0
2019-04-23;9.043;9.043;9.043;9.043;452.2
2019-04-24;9.14;9.14;9.14;9.14;50270.0
2019-04-25;8.89;8.89;8.832;8.832;17088.1
2019-04-26;8.83;8.83;8.83;8.83;7064.0
2019-04-30;8.835;8.835;8.835;8.835;55280.6
2019-05-02;8.858;8.858;8.851;8.851;814.7
2019-05-03;8.903;8.903;8.903;8.903;890.3
2019-05-07;8.343;8.35;8.3;8.3;10287.6
2019-05-08;8.304;8.304;8.14;8.15;2500.6
2019-05-13;8.0;8.0;7.917;7.917;1436.8
2019-05-14;8.078;8.078;8.078;8.078;161.6
2019-05-15;8.202;8.202;8.16;8.16;507.3
2019-05-21;8.094;8.094;8.07;8.07;5299.3
2019-05-23;7.924;7.924;7.918;7.918;170577.9
2019-05-24;7.889;7.889;7.835;7.835;314.5
2019-05-30;8.05;8.05;8.021;8.021;1791.4
2019-06-05;7.93;7.93;7.93;7.93;11895.0
2019-06-06;7.879;7.879;7.85;7.85;2553.0
2019-06-07;7.864;7.886;7.83;7.886;31545.3
2019-06-10;7.89;7.89;7.87;7.888;8073.2
2019-06-11;8.146;8.146;8.125;8.125;2805.2
2019-06-17;8.067;8.086;8.067;8.086;985.3
2019-06-19;8.273;8.274;8.273;8.274;99282.5
2019-06-21;8.444;8.444;8.444;8.444;4222.0
2019-06-24;8.419;8.419;8.414;8.414;1683.3
2019-06-25;8.365;8.37;8.322;8.339;231728.7
2019-06-27;8.429;8.429;8.398;8.398;1464.6
2019-07-01;8.746;8.746;8.746;8.746;18900.1
2019-07-02;8.693;8.693;8.66;8.66;15190.7
2019-07-04;8.631;8.631;8.62;8.62;517.5
2019-07-05;8.598;8.598;8.598;8.598;1719.6
2019-07-08;8.5;8.5;8.495;8.495;4674.5
2019-07-10;8.442;8.472;8.442;8.472;1691.4
2019-07-15;8.505;8.521;8.505;8.521;1004.5
2019-07-16;8.533;8.533;8.533;8.533;256.0
2019-07-17;8.5;8.5;8.48;8.48;4674.0
2019-07-23;8.52;8.542;8.52;8.542;99555.1
2019-07-25;8.66;8.66;8.557;8.557;30129.8
2019-07-29;8.615;8.615;8.602;8.602;499.3
2019-07-30;8.627;8.627;8.627;8.627;7505.5
2019-07-31;8.553;8.553;8.553;8.553;5131.8
2019-08-01;8.53;8.58;8.53;8.58;5133.0
2019-08-02;8.26;8.26;8.26;8.26;1668.5
2019-08-05;8.058;8.058;7.834;7.845;2221.9
2019-08-06;7.919;7.93;7.862;7.862;1660.7
2019-08-07;7.902;7.902;7.871;7.871;10095.0
2019-08-08;7.946;7.946;7.946;7.946;476.8
2019-08-09;7.843;7.85;7.843;7.85;941.6
2019-08-14;7.991;7.991;7.991;7.991;1997.8
2019-08-16;8.204;8.204;8.204;8.204;500.4
2019-08-19;8.311;8.311;8.311;8.311;1122.0
2019-08-20;8.308;8.308;8.308;8.308;166.2
2019-08-21;8.361;8.361;8.341;8.341;12661.6
2019-08-22;8.334;8.337;8.299;8.299;43133.4
2019-08-23;8.394;8.394;8.314;8.314;69083.0
2019-08-28;8.3;8.3;8.28;8.28;8308.3
2019-08-29;8.402;8.402;8.402;8.402;2940.7
2019-09-02;8.458;8.458;8.458;8.458;5328.5
2019-09-04;8.51;8.525;8.51;8.525;1703.5
2019-09-06;8.711;8.711;8.703;8.703;17623.8
2019-09-12;8.708;8.708;8.708;8.708;4354.0
2019-09-13;8.8;8.8;8.8;8.8;23760.0
2019-09-16;8.75;8.75;8.75;8.75;542.5
2019-09-18;8.622;8.622;8.622;8.622;1000.2
2019-09-19;8.606;8.606;8.606;8.606;2409.7
2019-09-24;8.635;8.635;8.635;8.635;10362.0
2019-09-25;8.501;8.501;8.501;8.501;1700.2
2019-09-26;8.55;8.55;8.5;8.515;21315.0
2019-09-27;8.551;8.551;8.551;8.551;5335.8
2019-09-30;8.464;8.464;8.464;8.464;6771.2
2019-10-01;8.495;8.495;8.443;8.443;9727.7
2019-10-02;8.334;8.334;8.334;8.334;1233.4
2019-10-07;8.393;8.393;8.384;8.384;3010.9
2019-10-14;8.75;8.75;8.733;8.733;8951.8
2019-10-15;8.749;8.75;8.749;8.75;1084.9
2019-10-18;8.394;8.398;8.391;8.398;50189.9
2019-10-23;8.4;8.4;8.4;8.4;4200.0
2019-10-28;8.583;8.583;8.583;8.583;15131.8
2019-10-29;8.523;8.523;8.523;8.523;1022.8
2019-10-30;8.476;8.476;8.476;8.476;211.9
2019-10-31;8.434;8.434;8.434;8.434;742.2
2019-11-01;8.603;8.603;8.603;8.603;215.1
2019-11-04;8.646;8.7;8.646;8.671;79502.4
2019-11-05;8.792;8.799;8.753;8.799;7919.0
2019-11-07;8.88;8.88;8.852;8.852;120316.7
2019-11-08;8.835;8.835;8.835;8.835;88.4
2019-11-11;8.679;8.679;8.679;8.679;8679.0
2019-11-12;8.629;8.648;8.629;8.648;466.5
2019-11-15;8.589;8.591;8.589;8.591;1099.5
2019-11-21;8.5;8.5;8.5;8.5;85.0
2019-11-22;8.487;8.487;8.487;8.487;16974.0
2019-11-26;8.599;8.6;8.57;8.578;570744.9
2019-11-27;8.593;8.593;8.593;8.593;6247.1
2019-11-28;8.563;8.563;8.505;8.505;2161.6
2019-12-02;8.426;8.459;8.426;8.429;10041.7
2019-12-03;8.432;8.433;8.344;8.344;105291.7
2019-12-05;8.494;8.494;8.494;8.494;1698.8
2019-12-06;8.603;8.603;8.603;8.603;77.4
2019-12-09;8.535;8.535;8.535;8.535;5121.0
2019-12-11;8.535;8.564;8.535;8.564;15979.5
2019-12-12;8.665;8.665;8.629;8.629;9684.6
2019-12-13;8.722;8.78;8.665;8.665;32325.3
2019-12-16;8.754;8.843;8.754;8.843;110529.3
2019-12-17;8.89;8.89;8.863;8.882;15993.9
2019-12-18;8.909;8.909;8.908;8.908;17817.0
2019-12-19;8.876;8.884;8.85;8.85;71856.4
2019-12-20;8.88;8.88;8.88;8.88;621.6
2019-12-23;8.76;8.801;8.76;8.801;13060.438
2019-12-27;8.871;8.871;8.838;8.838;121317.249
2019-12-30;8.949;8.949;8.942;8.942;3130.75
2020-01-02;9.1;9.198;9.1;9.198;62767.084
2020-01-03;9.115;9.139;9.1;9.139;3596.975
2020-01-06;9.139;9.139;9.071;9.109;121582.209
2020-01-07;9.205;9.205;9.18;9.18;15128.6
2020-01-08;9.196;9.196;9.196;9.196;9196.0
2020-01-09;9.314;9.325;9.296;9.307;232729.418
2020-01-10;9.322;9.322;9.322;9.322;46610.0
2020-01-13;9.465;9.465;9.448;9.448;46781.5
2020-01-14;9.417;9.439;9.388;9.402;71557.149
2020-01-15;9.353;9.39;9.347;9.362;20155.916
2020-01-16;9.39;9.398;9.39;9.398;51653.0
2020-01-17;9.478;9.478;9.475;9.476;12460.54
2020-01-20;9.493;9.493;9.493;9.493;5031.29
2020-01-21;9.22;9.22;9.177;9.211;225830.798
2020-01-22;9.381;9.381;9.271;9.271;31487.753
2020-01-23;9.079;9.079;8.928;8.942;141976.358
2020-01-24;9.15;9.156;9.064;9.064;24252.566
2020-01-27;8.573;8.573;8.287;8.474;413244.242
2020-01-28;8.5;8.59;8.48;8.59;6649.19
2020-01-29;8.659;8.659;8.579;8.579;26024.87
2020-01-30;8.355;8.413;8.323;8.395;368706.257
2020-01-31;8.412;8.412;8.3;8.3;17621.936
2020-02-03;8.148;8.217;8.11;8.199;197540.062
2020-02-04;8.42;8.634;8.42;8.634;75192.188
2020-02-05;8.556;8.831;8.556;8.791;23363.56
2020-02-06;8.817;8.862;8.74;8.74;128133.753
2020-02-07;8.828;8.828;8.772;8.772;15578.16
2020-02-10;8.878;8.956;8.878;8.914;78741.734
2020-02-11;9.077;9.077;9.077;9.077;3022.641
2020-02-12;9.15;9.227;9.13;9.227;243973.753
2020-02-13;9.13;9.13;9.052;9.098;338441.97
2020-02-14;9.153;9.194;9.14;9.15;138135.901
2020-02-17;9.384;9.413;9.372;9.377;277935.18
2020-02-18;9.3;9.339;9.268;9.318;256374.787
2020-02-19;9.359;9.36;9.335;9.335;113990.66
2020-02-20;9.48;9.506;9.406;9.406;238529.181
2020-02-21;9.466;9.558;9.462;9.497;37808.642
2020-02-24;9.451;9.454;9.236;9.24;432309.745
2020-02-25;9.462;9.462;9.405;9.425;156766.459
2020-02-26;9.334;9.384;9.2;9.384;122776.108
2020-02-27;9.281;9.397;9.22;9.22;153598.479
2020-02-28;8.794;8.871;8.794;8.83;14349.035
2020-03-02;8.83;9.155;8.83;9.15;109340.56
2020-03-03;9.258;9.283;9.221;9.221;61317.152
2020-03-04;9.285;9.381;9.283;9.381;126750.558
2020-03-05;9.463;9.463;9.415;9.415;5098.37
2020-03-06;9.2;9.2;9.015;9.015;28586.45
2020-03-09;8.537;8.636;8.534;8.636;6344.89
2020-03-10;9.052;9.097;8.96;9.065;39395.002
2020-03-11;8.96;8.96;8.852;8.934;17632.075
2020-03-12;8.778;8.778;8.458;8.458;109908.854
2020-03-13;8.952;9.034;8.827;8.827;133518.57
2020-03-16;8.204;8.204;8.047;8.177;13213.21
2020-03-17;8.177;8.351;8.073;8.342;55954.68
2020-03-18;8.13;8.229;7.998;8.135;317945.694
2020-03-19;8.135;8.209;8.111;8.19;267026.581
2020-03-20;8.591;8.591;8.2;8.2;84144.335
2020-03-23;7.99;8.139;7.99;8.133;69366.048
2020-03-24;8.125;8.439;8.125;8.411;167227.992
2020-03-25;8.618;8.618;8.335;8.5;82830.308
2020-03-26;8.368;8.506;8.35;8.506;208304.078
2020-03-27;8.36;8.36;8.169;8.174;95102.02
2020-03-30;8.15;8.15;8.15;8.15;25265.0
2020-03-31;8.373;8.401;8.34;8.396;9045.04
2020-04-01;8.349;8.374;8.349;8.353;7995.158
2020-04-02;8.48;8.594;8.479;8.568;145106.818
2020-04-03;8.598;8.6;8.526;8.568;118848.064
2020-04-06;8.734;8.75;8.709;8.745;240948.868
2020-04-07;8.79;8.885;8.71;8.71;198559.341
2020-04-08;8.671;8.712;8.671;8.693;39117.99
2020-04-09;8.763;8.763;8.687;8.705;150662.527
2020-04-14;8.722;8.751;8.657;8.681;193381.68
2020-04-15;8.575;8.594;8.575;8.578;14928.628
2020-04-16;8.68;8.725;8.664;8.725;62623.987
2020-04-17;8.812;8.86;8.726;8.726;452114.333
2020-04-20;8.804;8.822;8.777;8.777;10010.585
2020-04-21;8.74;8.74;8.674;8.675;151820.409
2020-04-22;8.829;8.834;8.829;8.834;9582.965
2020-04-23;8.89;8.896;8.89;8.896;10671.0
2020-04-24;8.842;8.842;8.805;8.805;14829.47
2020-04-27;8.841;8.869;8.818;8.818;32157.337
2020-04-28;8.922;8.922;8.874;8.899;56346.5
2020-04-29;8.908;8.95;8.888;8.935;70977.919
2020-04-30;8.99;9.05;8.99;9.0;12088.815
2020-05-04;8.454;8.481;8.453;8.47;33940.291
2020-05-06;9.009;9.009;8.954;8.998;106689.128
2020-05-07;9.07;9.106;9.07;9.07;22669.957
2020-05-08;9.139;9.139;9.114;9.12;25308.4
2020-05-11;9.143;9.143;9.018;9.018;68510.031
2020-05-12;9.119;9.125;9.098;9.098;15516.798
2020-05-13;9.106;9.106;9.029;9.053;194480.417
2020-05-14;9.058;9.058;8.963;9.053;110470.315
2020-05-15;9.06;9.06;8.935;8.935;85963.039
2020-05-18;9.013;9.073;8.997;9.073;130591.275
2020-05-19;9.022;9.039;9.022;9.039;12616.537
2020-05-20;8.956;9.019;8.956;9.019;2196.35
2020-05-21;8.894;8.898;8.826;8.826;62958.194
2020-05-22;8.696;8.765;8.696;8.765;14614.18
2020-05-25;8.719;8.785;8.718;8.785;160748.832
2020-05-26;8.797;8.8;8.786;8.789;7167.005
2020-05-27;8.733;8.748;8.602;8.64;140920.1
2020-05-28;8.678;8.694;8.629;8.683;22155.421
2020-05-29;8.625;8.625;8.611;8.611;32918.736
2020-06-01;8.83;8.832;8.83;8.832;35482.176
2020-06-02;8.896;8.896;8.891;8.891;56586.874
2020-06-03;8.872;8.881;8.872;8.881;1331.7
2020-06-04;8.811;8.83;8.701;8.701;198732.695
2020-06-05;8.784;8.91;8.784;8.91;64080.55
