Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2022-02-04;9.023;9.023;9.023;9.023;4511.5
2022-02-11;9.193;9.193;9.193;9.193;4587.307
2022-02-22;8.797;8.797;8.797;8.797;43.985
2022-02-25;8.959;9.046;8.959;9.046;9454.8
2022-03-01;9.212;9.212;9.212;9.212;2763.6
2022-03-02;9.043;9.043;9.043;9.043;316.505
2022-03-07;8.73;8.73;8.73;8.73;436.5
2022-03-11;8.734;8.789;8.734;8.789;40302.9
2022-03-15;8.466;8.514;8.466;8.514;51151.728
2022-03-18;8.97;8.97;8.97;8.97;3812.25
2022-03-21;9.23;9.247;9.23;9.247;21230.87
2022-03-22;9.229;9.229;9.229;9.229;20119.22
2022-03-30;9.533;9.55;9.529;9.529;30990.25
2022-03-31;9.356;9.356;9.355;9.355;9682.46
2022-04-01;9.125;9.125;9.125;9.125;4562.5
2022-04-05;9.274;9.308;9.261;9.264;6540721.783
2022-04-06;8.823;8.858;8.719;8.719;45226.179
2022-04-07;8.737;8.737;8.712;8.712;10152.081
2022-04-08;8.77;8.77;8.62;8.62;65073.665
2022-04-11;8.5;8.5;8.37;8.401;5680.348
2022-04-12;8.355;8.452;8.355;8.406;46609.587
2022-04-13;8.474;8.523;8.414;8.523;166227.382
2022-04-14;8.497;8.508;8.497;8.508;31308.407
2022-04-19;8.368;8.535;8.368;8.535;38069.684
2022-04-20;8.615;8.685;8.615;8.685;61252.56
2022-04-21;8.611;8.611;8.611;8.611;1997.752
2022-04-22;8.394;8.394;8.366;8.366;9339.704
2022-04-25;8.154;8.249;8.154;8.249;5712.25
2022-04-26;8.339;8.359;8.339;8.359;22146.35
2022-04-27;8.098;8.185;8.03;8.116;212797.554
2022-04-28;8.315;8.346;8.224;8.224;22799.289
2022-04-29;8.43;8.43;8.417;8.417;5187.186
2022-05-02;8.196;8.276;8.196;8.276;1555.044
2022-05-03;8.4;8.432;8.4;8.432;11419.52
2022-05-04;8.461;8.493;8.461;8.493;3691.684
2022-05-05;8.606;8.606;8.42;8.42;1021.56
2022-05-06;8.272;8.275;8.272;8.275;7413.797
2022-05-09;8.174;8.174;8.119;8.142;22591.74
2022-05-10;8.042;8.043;8.042;8.043;9537.844
2022-05-11;8.186;8.213;8.186;8.213;934.878
2022-05-12;7.899;8.011;7.862;8.011;4791.069
2022-05-13;8.266;8.266;8.242;8.242;2028.996
2022-05-16;8.34;8.343;8.34;8.343;800.67
2022-05-17;8.424;8.456;8.424;8.425;19382.896
2022-05-18;8.551;8.551;8.505;8.505;5704.046
2022-05-19;8.099;8.11;8.047;8.047;59939.112
2022-05-20;8.289;8.289;8.099;8.099;155.591
2022-05-23;8.2;8.2;8.016;8.016;121566.304
2022-05-24;7.898;7.987;7.838;7.838;5016.962
2022-05-25;7.921;7.921;7.876;7.876;4587.199
2022-05-26;7.928;7.928;7.928;7.928;832.44
2022-05-27;8.258;8.284;8.258;8.284;9171.424
2022-05-30;8.667;8.667;8.667;8.667;11197.764
2022-05-31;8.579;8.579;8.579;8.579;19011.064
2022-06-01;8.528;8.609;8.528;8.609;18270.702
2022-06-02;8.488;8.488;8.488;8.488;1969.216
2022-06-06;8.531;8.57;8.531;8.57;36357.471
2022-06-07;8.394;8.394;8.394;8.394;486.852
2022-06-08;8.461;8.481;8.437;8.437;57163.93
2022-06-09;8.356;8.373;8.323;8.323;21434.095
2022-06-10;8.173;8.173;8.173;8.173;1569.216
2022-06-13;7.68;7.68;7.65;7.65;1310.19
2022-06-14;7.626;7.652;7.626;7.652;1543.806
2022-06-15;7.642;7.653;7.607;7.653;17010.724
2022-06-16;7.512;7.512;7.476;7.476;150772.553
2022-06-17;7.367;7.367;7.289;7.289;79920.048
2022-06-20;7.272;7.272;7.272;7.272;2472.48
2022-06-21;7.41;7.41;7.396;7.396;46200.97
2022-06-22;7.23;7.23;7.23;7.23;426.57
2022-06-23;7.217;7.307;7.216;7.307;48793.916
2022-06-24;7.327;7.327;7.309;7.309;5786.134
2022-06-27;7.611;7.611;7.611;7.611;1902.75
2022-06-29;7.363;7.363;7.266;7.266;28050.133
2022-06-30;7.107;7.107;7.081;7.081;12915.129
2022-07-01;7.057;7.057;6.981;6.981;44159.628
2022-07-04;6.849;6.849;6.849;6.849;3424.5
2022-07-05;6.883;6.908;6.883;6.908;2582.125
