Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2007-04-20;2.28;2.28;2.28;2.28;992.0
2007-04-23;2.26;2.28;2.26;2.26;3524.0
2007-04-24;2.26;2.26;2.26;2.26;1130.0
2007-04-25;;;;2.26;
2007-04-26;;;;2.26;
2007-04-27;2.26;2.26;2.2;2.22;1115.0
2007-04-30;;;;2.22;
2007-05-02;;;;2.22;
2007-05-03;;;;2.22;
2007-05-04;2.12;2.18;2.12;2.17;4160.0
2007-05-07;2.2;2.2;2.2;2.2;7.0
2007-05-08;2.21;2.21;2.185;2.185;18.0
2007-05-09;2.19;2.19;2.19;2.19;9.0
2007-05-10;;;;2.19;
2007-05-11;2.15;2.193;2.15;2.193;3912.0
2007-05-14;;;;2.193;
2007-05-15;;;;2.193;
2007-05-16;2.18;2.18;2.18;2.18;218.0
2007-05-17;;;;2.18;
2007-05-18;2.188;2.23;2.188;2.23;1042.0
2007-05-21;;;;2.23;
2007-05-22;2.23;2.23;2.2;2.2;1701.0
2007-05-23;2.18;2.18;2.18;2.18;1480.0
2007-05-24;;;;2.18;
2007-05-25;;;;2.18;
2007-05-28;;;;2.18;
2007-05-29;;;;2.18;
2007-05-30;;;;2.18;
2007-05-31;;;;2.18;
2007-06-01;2.185;2.185;2.185;2.185;653.0
2007-06-04;2.253;2.253;2.195;2.233;1693.0
2007-06-05;;;;2.233;
2007-06-06;;;;2.233;
2007-06-07;;;;2.233;
2007-06-08;;;;2.233;
2007-06-11;2.233;2.233;2.233;2.233;100.0
2007-06-12;2.233;2.233;2.233;2.233;92.0
2007-06-13;2.28;2.285;2.233;2.28;2814.0
2007-06-14;2.31;2.31;2.23;2.27;3290.0
2007-06-15;2.32;2.32;2.267;2.267;3064.0
2007-06-18;2.32;2.32;2.24;2.273;5024.0
2007-06-19;2.255;2.255;2.247;2.247;10177.0
2007-06-20;2.243;2.243;2.243;2.243;4978.0
2007-06-21;;;;2.243;
2007-06-22;2.215;2.215;2.215;2.215;109.0
2007-06-25;;;;2.215;
2007-06-26;;;;2.215;
