Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-02-10;9.36;10.23;8.926;9.095;10438361.785
2021-02-11;9.229;9.388;8.945;9.0;16495711.708
2021-02-12;9.042;9.109;8.82;8.992;9311810.024
2021-02-15;9.077;9.107;8.944;8.971;9946719.255
2021-02-16;9.007;9.05;8.751;8.799;6976214.534
2021-02-17;8.714;8.714;8.28;8.325;5771420.395
2021-02-18;8.223;8.263;7.722;7.876;5166312.102
2021-02-19;7.631;8.28;7.501;8.19;7391480.3
2021-02-22;8.028;8.035;7.87;7.875;7760526.802
2021-02-23;7.895;7.895;7.373;7.619;3982614.95
2021-02-24;7.665;7.775;7.58;7.725;2688752.025
2021-02-25;7.832;7.902;7.62;7.656;2682493.055
2021-02-26;7.43;7.597;7.39;7.549;2135368.862
2021-03-01;7.699;7.849;7.609;7.71;3660066.409
2021-03-02;7.794;7.853;7.73;7.769;2393043.892
2021-03-03;7.819;7.837;7.53;7.599;2467658.097
2021-03-04;7.548;7.548;7.32;7.422;2260242.318
2021-03-05;7.374;7.479;7.2;7.245;2191004.311
2021-03-08;7.38;7.43;7.24;7.419;1393743.276
2021-03-09;7.359;7.633;7.35;7.63;1744409.507
2021-03-10;7.652;7.719;7.554;7.63;2412006.057
2021-03-11;7.7;7.79;7.7;7.79;2103047.107
2021-03-12;7.83;7.836;7.644;7.701;1250469.06
2021-03-15;7.775;7.816;7.651;7.701;1908507.104
2021-03-16;7.727;7.727;7.62;7.62;1382512.551
2021-03-17;7.607;7.743;7.442;7.47;1587207.07
2021-03-18;7.58;7.599;7.503;7.58;1310942.888
2021-03-19;7.5;7.55;7.427;7.528;2313795.461
2021-03-22;7.52;7.632;7.45;7.595;1635058.545
2021-03-23;7.562;7.569;7.477;7.517;1601631.44
2021-03-24;7.435;7.478;7.4;7.439;1360275.032
2021-03-25;7.391;7.41;7.25;7.41;1667912.89
2021-03-26;7.518;7.541;7.457;7.499;1067319.22
2021-03-29;7.564;7.618;7.501;7.538;999565.731
2021-03-30;7.566;7.62;7.516;7.6;968998.552
2021-03-31;7.65;7.789;7.65;7.776;2047636.773
2021-04-01;7.8;7.859;7.77;7.789;2206025.338
2021-04-06;7.827;7.898;7.79;7.848;2776121.385
2021-04-07;7.843;7.851;7.722;7.722;2219862.237
2021-04-08;7.72;7.783;7.7;7.73;1324077.51
2021-04-09;7.781;7.781;7.7;7.73;1445594.246
2021-04-12;7.738;7.738;7.6;7.624;1807830.319
2021-04-13;7.642;7.649;7.59;7.616;1307834.035
2021-04-14;7.685;7.685;7.585;7.625;972563.134
2021-04-15;7.644;7.648;7.543;7.549;1475357.614
2021-04-16;7.563;7.631;7.51;7.59;1077935.097
2021-04-19;7.655;7.683;7.481;7.521;1502561.913
2021-04-20;7.5;7.503;7.3;7.312;1274751.923
2021-04-21;7.361;7.367;7.245;7.338;1130485.933
2021-04-22;7.44;7.564;7.403;7.55;1060826.096
2021-04-23;7.55;7.573;7.46;7.57;873904.262
2021-04-26;7.644;7.651;7.553;7.65;1525879.552
2021-04-27;7.669;7.669;7.608;7.645;1399970.079
2021-04-28;7.64;7.64;7.54;7.58;1392757.48
2021-04-29;7.581;7.629;7.504;7.562;1189346.25
2021-04-30;7.553;7.553;7.42;7.468;1472547.174
2021-05-03;7.477;7.477;7.39;7.401;775428.777
2021-05-04;7.411;7.411;7.06;7.06;2619507.402
2021-05-05;7.183;7.207;7.1;7.128;2167448.3657
2021-05-06;7.199;7.199;6.951;6.98;1478211.795
2021-05-07;7.065;7.183;7.029;7.14;1059468.284
2021-05-10;7.199;7.199;7.056;7.08;1046303.06
2021-05-11;6.968;6.968;6.751;6.881;6671548.395
2021-05-12;7.0;7.0;6.844;6.885;788374.597
2021-05-13;6.9;6.9;6.67;6.803;1019712.946
2021-05-14;6.86;6.947;6.806;6.945;617844.093
2021-05-17;6.958;6.974;6.871;6.873;776814.055
2021-05-18;7.02;7.02;6.923;6.992;542231.488
2021-05-19;6.91;6.91;6.765;6.789;706437.418
2021-05-20;6.831;6.949;6.831;6.949;368314.221
2021-05-21;6.98;7.083;6.98;7.08;847486.462
2021-05-24;7.08;7.108;7.002;7.002;819842.26
2021-05-25;7.001;7.081;6.98;6.989;590389.524
2021-05-26;7.001;7.13;7.001;7.13;1006705.267
2021-05-27;7.18;7.218;7.15;7.18;1177644.247
2021-05-28;7.25;7.34;7.25;7.288;1518507.375
2021-05-31;7.349;7.364;7.32;7.32;1383081.536
2021-06-01;7.403;7.427;7.301;7.349;2063096.705
2021-06-02;7.409;7.409;7.279;7.291;409471.645
2021-06-03;7.308;7.324;7.2;7.261;864039.016
2021-06-04;7.313;7.313;7.215;7.303;805475.094
2021-06-07;7.277;7.288;7.21;7.277;1226401.256
2021-06-08;7.331;7.46;7.321;7.352;1157538.175
2021-06-09;7.4;7.41;7.34;7.394;886253.072
2021-06-10;7.358;7.358;7.174;7.24;2004368.614
2021-06-11;7.255;7.259;7.184;7.238;837301.208
2021-06-14;7.3;7.322;7.201;7.201;811107.9485
2021-06-15;7.289;7.309;7.18;7.18;1353275.564
2021-06-16;7.245;7.245;7.16;7.239;941276.43
2021-06-17;7.22;7.236;7.151;7.216;596818.986
2021-06-18;7.225;7.225;7.03;7.081;1491592.471
2021-06-21;7.031;7.092;6.94;7.09;564390.988
2021-06-22;7.166;7.25;7.091;7.25;622664.175
2021-06-23;7.249;7.302;7.205;7.265;677691.961
2021-06-24;7.3;7.378;7.291;7.378;639958.281
2021-06-25;7.386;7.424;7.344;7.42;759471.657
2021-06-28;7.416;7.485;7.38;7.464;666247.422
2021-06-29;7.531;7.63;7.472;7.565;2103481.081
2021-06-30;7.57;7.573;7.41;7.494;1366843.52
2021-07-01;7.55;7.56;7.47;7.471;877287.386
2021-07-02;7.48;7.55;7.478;7.549;1214778.162
2021-07-05;7.49;7.539;7.47;7.5;1000873.924
2021-07-06;7.512;7.54;7.428;7.495;952533.251
2021-07-07;7.475;7.553;7.334;7.413;892843.41
2021-07-08;7.277;7.288;7.07;7.111;2570477.169
2021-07-09;7.248;7.261;7.162;7.19;600380.433
2021-07-12;7.254;7.254;7.194;7.238;377922.416
2021-07-13;7.279;7.279;7.171;7.2;475830.721
2021-07-14;7.197;7.197;7.051;7.051;843717.824
2021-07-15;7.088;7.088;6.935;6.957;1012450.88
2021-07-16;6.957;7.0;6.87;6.903;938145.821
2021-07-19;6.825;6.825;6.632;6.708;2648527.313
2021-07-20;6.77;6.867;6.768;6.859;584084.249
2021-07-21;6.935;7.039;6.9;6.977;589023.328
2021-07-22;7.035;7.154;7.018;7.062;599317.809
2021-07-23;7.117;7.117;6.991;7.04;690646.301
2021-07-26;6.984;6.984;6.897;6.937;754643.956
2021-07-27;6.964;6.964;6.801;6.801;666372.325
2021-07-28;6.814;6.988;6.814;6.94;404057.272
2021-07-29;6.975;7.054;6.946;6.946;467138.459
2021-07-30;6.9;6.996;6.85;6.97;976575.656
2021-08-02;6.983;7.053;6.983;7.0;834941.838
2021-08-03;7.0;7.044;6.936;6.99;378775.244
2021-08-04;7.025;7.025;6.901;6.941;411895.045
2021-08-05;6.9;6.9;6.824;6.865;765618.36
2021-08-06;6.87;6.971;6.85;6.962;549283.54
2021-08-09;6.951;6.999;6.9;6.999;414936.662
2021-08-10;7.0;7.183;7.0;7.09;392435.807
2021-08-11;7.12;7.166;7.026;7.045;2255226.763
2021-08-12;7.008;7.095;6.91;6.968;887378.201
2021-08-13;7.0;7.002;6.891;6.911;653685.825
2021-08-16;6.856;6.889;6.79;6.793;735515.725
2021-08-17;6.777;6.777;6.701;6.733;575990.809
2021-08-18;6.8;6.935;6.769;6.912;271765.241
2021-08-19;6.822;6.841;6.73;6.795;1257158.317
2021-08-20;6.76;6.76;6.677;6.747;2304270.299
2021-08-23;6.812;6.87;6.706;6.87;778674.792
2021-08-24;6.94;6.989;6.927;6.964;1197709.214
2021-08-25;7.0;7.048;6.981;7.018;391943.745
2021-08-26;6.996;7.03;6.961;6.972;273665.623
2021-08-27;7.049;7.049;6.967;7.042;287093.353
2021-08-30;7.072;7.098;7.006;7.053;420499.679
2021-08-31;7.082;7.094;7.035;7.094;601156.219
2021-09-01;7.1;7.151;7.093;7.151;1876029.856
2021-09-02;7.14;7.197;7.131;7.197;563659.614
