Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2006-03-08;28.79;28.79;28.59;28.71;189821.0
2006-03-09;28.87;28.87;28.66;28.69;1056326.0
2006-03-10;28.65;28.92;28.62;28.91;1746664.0
2006-03-13;29.02;29.13;29.02;29.12;745706.0
2006-03-14;29.08;29.25;29.07;29.25;1779648.0
2006-03-15;29.41;29.5;29.35;29.42;1671774.0
2006-03-16;29.52;29.54;29.43;29.49;724284.0
2006-03-17;29.69;29.69;29.38;29.38;423766.0
2006-03-20;29.7;29.72;29.54;29.58;720862.0
2006-03-21;29.61;29.68;29.48;29.67;489390.0
2006-03-22;29.61;29.7;29.54;29.7;1014210.0
2006-03-23;29.75;29.75;29.6;29.67;565048.0
2006-03-24;29.69;29.74;29.65;29.74;347517.0
2006-03-27;29.72;29.72;29.41;29.41;2935171.0
2006-03-28;29.43;29.43;29.14;29.17;4314694.0
2006-03-29;29.2;29.27;29.17;29.27;784697.0
2006-03-30;29.41;29.51;29.3;29.5;382736.0
2006-03-31;29.99;29.99;29.31;29.45;199138.0
2006-04-03;29.99;29.99;29.5;29.54;174271.0
2006-04-04;29.54;29.54;29.45;29.49;1459917.0
2006-04-05;29.57;29.57;29.4;29.51;189304.0
2006-04-06;29.54;29.63;29.46;29.56;254671.0
2006-04-07;30.0;30.0;29.4;29.4;1515054.0
2006-04-10;29.39;29.41;29.31;29.4;2788020.0
2006-04-11;29.45;29.45;29.04;29.04;682638.0
2006-04-12;29.07;29.99;28.78;28.92;345341.0
2006-04-13;28.95;28.97;28.88;28.97;156025.0
2006-04-18;28.95;29.0;28.77;28.87;234288.0
2006-04-19;28.9;29.3;28.9;29.2;1195598.0
2006-04-20;29.35;29.66;29.35;29.55;349922.0
2006-04-21;29.65;29.8;29.64;29.77;104283.0
2006-04-24;29.8;29.89;29.76;29.85;269229.0
2006-04-25;29.99;30.05;29.93;29.95;188815.0
2006-04-26;29.98;29.98;29.92;29.95;138614.0
2006-04-27;30.0;30.0;29.66;29.8;153337.0
2006-04-28;30.1;30.1;29.6;29.66;92258.0
2006-05-02;29.79;29.89;29.78;29.87;190752.0
2006-05-03;30.0;30.06;29.8;29.8;2861568.0
2006-05-04;29.82;30.01;29.82;30.01;278248.0
2006-05-05;30.08;30.2;30.04;30.19;1381317.0
2006-05-08;30.29;30.4;30.28;30.34;844563.0
2006-05-09;30.38;30.51;30.34;30.51;255755.0
2006-05-10;30.46;30.49;30.41;30.41;291408.0
2006-05-11;30.38;30.5;30.17;30.17;274092.0
2006-05-12;30.15;30.15;29.75;29.75;360961.0
2006-05-15;29.8;29.8;29.12;29.25;137882.0
2006-05-16;29.12;29.27;29.05;29.22;90776.0
2006-05-17;29.33;29.36;28.6;28.6;138382.0
2006-05-18;28.6;28.6;28.18;28.19;151464.0
