Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2006-09-26;26.2;26.39;26.2;26.39;1129585.0
2006-09-27;26.61;26.69;26.61;26.69;16525.0
2006-09-28;26.66;26.73;26.66;26.73;160.0
2006-09-29;26.69;26.69;26.69;26.69;266953.0
2006-10-02;26.64;26.72;26.6;26.63;9051.0
2006-10-03;26.56;26.56;26.46;26.46;272277.0
2006-10-04;26.67;26.72;26.65;26.72;860448.0
2006-10-05;26.96;26.98;26.88;26.98;13729.0
2006-10-06;26.96;26.97;26.9;26.97;11994.0
2006-10-09;;;;26.97;
2006-10-10;27.2;27.2;27.18;27.18;16310.0
2006-10-11;;;;27.18;
2006-10-12;27.24;27.49;27.24;27.47;15871.0
2006-10-13;27.56;27.56;27.4;27.46;328922.0
2006-10-16;;;;27.46;
2006-10-17;27.32;27.32;27.31;27.31;22587.0
2006-10-18;27.31;27.46;27.31;27.46;32922.0
2006-10-19;27.38;27.5;27.38;27.5;6169.0
2006-10-20;27.55;27.55;27.48;27.48;290680.0
2006-10-23;27.56;27.56;27.56;27.56;83.0
2006-10-24;27.64;27.66;27.64;27.66;3264.0
2006-10-25;27.7;27.7;27.7;27.7;2216.0
2006-10-26;;;;27.7;
2006-10-27;27.65;27.65;27.64;27.64;27645.0
2006-10-30;27.48;27.48;27.48;27.48;2748.0
2006-10-31;27.6;27.6;27.6;27.6;1380.0
2006-11-01;27.63;27.63;27.63;27.63;28.0
2006-11-02;27.65;27.65;27.64;27.64;28359.0
2006-11-03;27.65;27.65;27.65;27.65;28.0
2006-11-06;27.7;27.81;27.7;27.81;12304.0
2006-11-07;28.09;28.09;28.09;28.09;2809.0
2006-11-08;28.03;28.07;28.03;28.07;94187.0
2006-11-09;28.12;28.18;28.12;28.18;59889.0
2006-11-10;28.0;28.0;28.0;28.0;1960.0
2006-11-13;28.15;28.17;28.15;28.17;107818.0
2006-11-14;28.2;28.2;28.2;28.2;126900.0
2006-11-15;28.3;28.34;28.27;28.34;625514.0
2006-11-16;;;;28.34;
2006-11-17;28.34;28.34;28.34;28.34;8502.0
2006-11-20;28.06;28.06;28.05;28.05;206171.0
2006-11-21;28.31;28.4;28.31;28.4;410945.0
2006-11-22;28.46;28.47;28.45;28.45;13804.0
2006-11-23;;;;28.45;
2006-11-24;28.02;28.02;28.02;28.02;22416.0
2006-11-27;28.05;28.05;28.05;28.05;2805.0
2006-11-28;27.65;27.65;27.46;27.46;29187.0
2006-11-29;27.72;27.72;27.72;27.72;6930.0
2006-11-30;27.87;27.87;27.87;27.87;585298.0
2006-12-01;27.73;27.76;27.65;27.65;833993.0
2006-12-04;27.14;27.44;27.04;27.4;593562.0
2006-12-05;27.58;27.7;27.58;27.63;583580.0
2006-12-06;;;;27.63;
2006-12-07;27.91;27.95;27.91;27.95;16762.0
2006-12-08;27.91;27.91;27.85;27.85;5638.0
2006-12-11;;;;27.85;
2006-12-12;28.1;28.22;28.1;28.1;4895.0
2006-12-13;28.27;28.27;28.27;28.27;707.0
2006-12-14;28.51;28.52;28.51;28.52;577328.0
2006-12-15;28.68;28.7;28.67;28.67;10755.0
2006-12-18;28.86;28.88;28.8;28.8;605884.0
2006-12-19;;;;28.8;
2006-12-20;28.75;28.75;28.7;28.7;18244.0
2006-12-21;28.7;28.7;28.7;28.7;431.0
2006-12-22;28.64;28.64;28.58;28.58;2891.0
2006-12-27;28.71;28.78;28.71;28.78;30990.0
2006-12-28;28.8;28.8;28.8;28.8;1440.0
2006-12-29;;;;28.8;
2007-01-02;28.88;28.88;28.88;28.88;722.0
2007-01-03;29.14;29.16;29.04;29.04;18774.0
2007-01-04;28.98;28.98;28.92;28.92;18907.0
2007-01-05;28.91;28.91;28.84;28.84;14570.0
2007-01-08;;;;28.84;
2007-01-09;28.99;28.99;28.89;28.89;15111.0
2007-01-10;28.52;28.52;28.52;28.52;5704.0
2007-01-11;29.0;29.0;29.0;29.0;5800.0
2007-01-12;29.16;29.16;29.16;29.16;875.0
2007-01-15;29.35;29.39;29.35;29.39;8811.0
2007-01-16;;;;29.39;
2007-01-17;29.26;29.27;29.12;29.17;268044.0
2007-01-18;29.29;29.34;29.29;29.29;509686.0
2007-01-19;29.04;29.04;29.04;29.04;232320.0
2007-01-22;29.39;29.46;29.2;29.2;8638.0
2007-01-23;29.3;29.3;29.14;29.16;30717.0
2007-01-24;;;;29.16;
2007-01-25;29.41;29.41;29.41;29.41;59.0
2007-01-26;;;;29.41;
2007-01-29;29.34;29.34;29.29;29.29;5887.0
2007-01-30;29.49;29.49;29.49;29.49;354.0
2007-01-31;;;;29.49;
2007-02-01;29.73;29.73;29.73;29.73;30.0
2007-02-02;29.71;29.71;29.71;29.71;297.0
2007-02-05;29.75;29.77;29.7;29.74;38439.0
2007-02-06;29.96;29.96;29.94;29.94;3593.0
2007-02-07;29.94;30.04;29.94;30.04;305918.0
2007-02-08;29.98;29.99;29.77;29.77;315972.0
2007-02-09;;;;29.77;
2007-02-12;29.75;29.76;29.75;29.76;8033.0
2007-02-13;29.83;29.83;29.83;29.83;119320.0
2007-02-14;29.98;29.98;29.92;29.92;2126.0
2007-02-15;30.07;30.07;30.03;30.03;5411.0
2007-02-16;30.03;30.03;30.03;30.03;90.0
2007-02-19;30.14;30.14;30.14;30.14;301.0
2007-02-20;30.2;30.2;30.0;30.06;88558.0
2007-02-21;30.21;30.21;30.07;30.07;256525.0
2007-02-22;30.06;30.09;30.06;30.09;4539.0
2007-02-23;29.97;30.02;29.97;30.02;13816.0
2007-02-26;30.2;30.2;30.15;30.15;5585.0
2007-02-27;29.96;29.96;29.28;29.28;11792.0
2007-02-28;28.59;28.64;28.59;28.64;233410.0
2007-03-01;28.64;28.64;28.31;28.42;120321.0
2007-03-02;28.51;28.51;28.5;28.5;18673.0
2007-03-05;27.9;27.9;27.82;27.86;30623.0
2007-03-06;28.37;28.37;28.37;28.37;9986.0
2007-03-07;;;;28.37;
2007-03-08;;;;28.37;
2007-03-09;28.79;28.95;28.79;28.95;112067.0
2007-03-12;;;;28.95;
2007-03-13;28.85;28.85;28.85;28.85;202.0
2007-03-14;28.13;28.13;27.97;27.97;1547353.0
2007-03-15;28.29;28.29;28.29;28.29;9958.0
2007-03-16;;;;28.29;
2007-03-19;28.7;28.7;28.7;28.7;459200.0
2007-03-20;28.77;28.77;28.75;28.77;1150480.0
2007-03-21;29.13;29.13;29.13;29.13;68048.0
2007-03-22;29.18;29.55;29.18;29.55;1965870.0
2007-03-23;29.48;29.75;29.48;29.75;277811.0
2007-03-26;29.74;29.75;29.7;29.7;8388.0
